,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,transcript_id,gene_id,gene_name,transcript_name,CP209,GZ209,CP334,GZ334,CP336,GZ336
1,404.894645159442,4.77299985830457,0.360737703599398,13.2312198328041,5.79393258203912e-40,6.7238587614564e-36,ENST00000388825.9,ENSG00000211445.13,GPX3,GPX3-201,28,534,43,972,25,693
2,887.946467597415,-3.81183670127785,0.293413114875355,-12.991364421107,1.3696330161759e-38,7.94729557636068e-35,ENST00000373253.7,ENSG00000020129.16,NCDN,NCDN-203,2166,56,1774,187,1619,119
3,384.939292010096,4.03396808563849,0.312327626088186,12.9158221965914,3.66508062877194e-38,1.41777535656328e-34,ENST00000409197.5,ENSG00000077380.16,DYNC1I2,DYNC1I2-203,47,353,62,1011,40,840
4,2969.66379530962,3.19162217416034,0.270772584405717,11.7870949939973,4.54964720890281e-32,1.31996639648293e-28,ENST00000337147.11,ENSG00000092820.19,EZR,EZR-201,664,3151,646,6249,637,6094
5,692.28786388029,3.65213234260496,0.311435820457137,11.7267574977221,9.29515756815715e-32,2.15740607156927e-28,ENST00000300403.11,ENSG00000088325.16,TPX2,TPX2-201,116,615,145,1567,84,1682
6,240.780819337854,4.3132481781829,0.370450740705054,11.6432434983765,2.48386469758903e-31,4.80420830258679e-28,ENST00000294728.7,ENSG00000162692.12,VCAM1,VCAM1-201,34,210,25,543,19,635
7,164.259906037476,4.74202348902345,0.417514572091284,11.3577436717267,6.78750727749689e-30,1.12527174221931e-26,ENST00000423485.6,ENSG00000131747.15,TOP2A,TOP2A-201,15,206,17,318,8,364
8,394.130829666477,3.88450654896923,0.345613468224869,11.2394536269687,2.60992631801201e-29,3.36535499116993e-26,ENST00000452853.6,ENSG00000070087.15,PFN2,PFN2-203,49,420,68,732,50,975
9,208.826628538694,4.33321455993956,0.385397796482181,11.2434855608727,2.49339173425727e-29,3.36535499116993e-26,ENST00000247191.7,ENSG00000126787.13,DLGAP5,DLGAP5-201,20,180,33,606,14,446
10,251.528740899928,4.47415770212141,0.405880628302418,11.0233339315415,2.94929092917876e-28,3.42265212331196e-25,ENST00000414849.6,ENSG00000137804.14,NUSAP1,NUSAP1-202,18,333,38,581,17,434
11,181.571794905871,4.26018943030491,0.391195862467404,10.890169960987,1.28400421769598e-27,1.35462444966926e-24,ENST00000260359.10,ENSG00000137804.14,NUSAP1,NUSAP1-201,20,229,29,409,12,337
12,602.366748048706,2.99494084196787,0.277692694307048,10.785090509642,4.04844603751587e-27,3.91518468878097e-24,ENST00000302763.12,ENSG00000044115.21,CTNNA1,CTNNA1-201,159,619,179,1348,115,1161
13,248.982369145667,4.40387706612218,0.415635887100868,10.5955169002369,3.12609166376024e-26,2.79063798137982e-23,ENST00000559596.6,ENSG00000137804.14,NUSAP1,NUSAP1-208,19,331,41,571,16,427
14,308.456074128156,3.94213749639097,0.375894237885765,10.4873581424491,9.87509466035604e-26,8.18574810953085e-23,ENST00000287598.11,ENSG00000156970.13,BUB1B,BUB1B-201,27,292,62,860,37,607
15,505.679710684077,-4.30830776496123,0.411908883040806,-10.4593708520105,1.32734073607338e-25,1.02691928280877e-22,ENST00000271234.13,ENSG00000137942.18,FNBP1L,FNBP1L-202,1239,21,1371,99,680,34
16,245.354200758679,4.23184699858848,0.407191431767256,10.3927702511367,2.67469540330728e-25,1.93999000971131e-22,ENST00000395284.8,ENSG00000170312.17,CDK1,CDK1-203,20,174,38,799,25,522
17,616.545538375883,-3.09110543096494,0.298506021298915,-10.3552531956118,3.96137048273159e-25,2.70421790894707e-22,ENST00000488336.5,ENSG00000164076.17,CAMKV,CAMKV-215,1458,72,1102,148,1127,159
18,105.039539159865,4.39800154625682,0.427224891196866,10.2943476302045,7.47243572774706e-25,4.81764536780581e-22,ENST00000337881.11,ENSG00000171476.22,HOPX,HOPX-202,14,102,9,318,9,192
19,398.62753851964,3.63957783813976,0.354497433851048,10.2668665287688,9.93802370156314e-25,6.07004026613896e-22,ENST00000368986.9,ENSG00000112333.12,NR2E1,NR2E1-202,95,309,58,1192,48,821
20,305.93127000131,3.1336790266598,0.309721310998136,10.1177378352201,4.60945906495424e-24,2.6746386224397e-21,ENST00000514985.6,ENSG00000250722.6,SELENOP,SELENOP-214,78,291,78,862,55,510
21,253.422256393553,3.87797828839514,0.383541960669417,10.110962257237,4.93966974951638e-24,2.72975559253036e-21,ENST00000274026.10,ENSG00000145386.11,CCNA2,CCNA2-201,26,190,43,659,38,632
22,656.764570464346,2.8181986367484,0.283238650849651,9.94990841925864,2.52415392106292e-23,1.33149119336069e-20,ENST00000312377.10,ENSG00000161800.13,RACGAP1,RACGAP1-201,205,579,189,1812,154,1123
23,242.96838773535,5.71004208535356,0.577722086808877,9.88371782164971,4.89811778026942e-23,2.47141986260985e-20,ENST00000201031.3,ENSG00000087510.7,TFAP2C,TFAP2C-201,2,137,16,884,12,562
24,1896.53589068311,2.79604185549965,0.285234756511964,9.80259870743478,1.09725702295124e-22,5.30569489639549e-20,ENST00000367075.4,ENSG00000092820.19,EZR,EZR-202,662,2092,513,3725,433,3614
25,318.927085528599,3.56022375988708,0.365230483829012,9.74788227576822,1.88356401403094e-22,8.74350415313162e-20,ENST00000321765.10,ENSG00000076382.17,SPAG5,SPAG5-201,46,243,72,1032,49,593
26,140.27858417946,3.64202753603157,0.379086006556061,9.60739112772543,7.44104055220417e-22,3.32127983108959e-19,ENST00000695912.1,ENSG00000144354.15,CDCA7,CDCA7-211,17,153,28,371,24,240
27,116.70068715562,4.27530325204689,0.450453460193512,9.49110980346394,2.28587465146338e-21,9.47413404651161e-19,ENST00000376057.8,ENSG00000162493.17,PDPN,PDPN-202,16,83,15,282,8,329
28,213.170887614782,-3.53743042129269,0.372683328288474,-9.49178606281673,2.27109092894719e-21,9.47413404651161e-19,ENST00000357716.9,ENSG00000196277.16,GRM7,GRM7-201,597,20,474,49,272,31
29,136.592447297388,3.65436707687203,0.385737484164297,9.47371522575578,2.70063517139664e-21,1.08071969531235e-18,ENST00000397062.8,ENSG00000116044.16,NFE2L2,NFE2L2-201,31,133,21,276,16,336
30,216.011782680489,-5.22903056836909,0.553889916933393,-9.44055923119088,3.70795075122134e-21,1.43435894893079e-18,ENST00000377844.9,ENSG00000150361.12,KLHL1,KLHL1-201,533,1,598,30,307,7
31,842.259807195153,4.5667503198574,0.48493670210476,9.4172090914885,4.63237068349327e-21,1.73415038006256e-18,ENST00000367963.8,ENSG00000079931.15,MOXD1,MOXD1-202,30,615,105,2973,88,1625
32,200.550016143512,3.35374453992459,0.356555502597752,9.40595367478629,5.15604778060699e-21,1.86987295293575e-18,ENST00000272433.7,ENSG00000144040.13,SFXN5,SFXN5-201,59,180,32,532,30,400
33,345.341254503064,-2.92404639801022,0.313861805148136,-9.31634990320065,1.20411488284236e-20,4.23447067132898e-18,ENST00000330884.9,ENSG00000130540.14,SULT4A1,SULT4A1-201,880,44,581,110,588,85
34,401.211199300894,3.11246497126312,0.334427729855336,9.30683879775605,1.31693548486474e-20,4.49501067701627e-18,ENST00000406877.8,ENSG00000164649.20,CDCA7L,CDCA7L-203,133,433,94,920,57,735
35,81.829794841258,4.15247954374937,0.446688544666289,9.29614066295697,1.45636121945814e-20,4.82887770051764e-18,ENST00000294489.10,ENSG00000162493.17,PDPN,PDPN-201,8,71,10,202,11,199
36,210.220272878761,3.34068536453892,0.359498214584203,9.29263409111162,1.50516338919487e-20,4.85206142544624e-18,ENST00000596288.7,ENSG00000112118.20,MCM3,MCM3-205,39,263,56,411,32,390
37,1210.96002945642,2.56911125564107,0.277269269890857,9.26576268856756,1.93688061243011e-20,6.07499986682469e-18,ENST00000360270.7,ENSG00000147065.17,MSN,MSN-201,473,1140,439,2630,274,2348
38,286.458405304401,-4.47419959080174,0.484323216079545,-9.23804484744521,2.51042290043648e-20,7.66669941041193e-18,ENST00000369209.8,ENSG00000165868.16,HSPA12A,HSPA12A-201,704,11,868,53,318,14
39,1400.65470857911,-4.34074226318704,0.47172653986182,-9.20181905486716,3.51940596556135e-20,1.04724887770101e-17,ENST00000354662.5,ENSG00000048540.16,LMO3,LMO3-204,3119,82,4737,238,1374,73
40,1456.34777787711,-2.9445162078285,0.322030594162627,-9.14359151336256,6.04119349336411e-20,1.75270126226226e-17,ENST00000447467.6,ENSG00000158560.14,DYNC1I1,DYNC1I1-205,3502,138,2661,588,2490,335
41,91.7043488028975,4.4404748586147,0.486344492360034,9.13030769006319,6.83048828676377e-20,1.93336137970472e-17,ENST00000263181.7,ENSG00000121621.7,KIF18A,KIF18A-201,6,122,14,167,7,193
42,1549.43945984819,-4.5354423669483,0.498478204222394,-9.09857708628084,9.15229901718716e-20,2.52886738320136e-17,ENST00000441439.6,ENSG00000048540.16,LMO3,LMO3-208,4078,71,4754,264,1467,61
