gene_id	lr	df	pvalue	adj_pvalue
DYNC1I2	1135.52273816369	7	6.16768105976882e-241	2.71254613008633e-237
DCTN1	653.997687424802	9	5.32271414766098e-135	1.17046484107065e-131
GTF2I	341.106645952976	4	1.45892207538614e-72	2.13877976251608e-69
USP5	287.485235845576	2	3.74433089894007e-63	4.11689182338461e-60
GPHN	275.860485714215	1	5.99365367473665e-62	5.27201777229836e-59
KANSL3	279.4076919476	6	2.10375165434036e-57	1.54204996263148e-54
PTPRZ1	257.526997296387	2	1.19873467079176e-56	7.53147868877451e-54
KIAA1191	262.476049177152	4	1.33477006547633e-55	7.33789843495615e-53
APLP2	253.395748176488	3	1.20602414862613e-54	5.89343800628634e-52
SEPTIN2	249.72738825671	5	6.28943184298758e-52	2.76609212454594e-49
MACROH2A1	248.745262519769	5	1.02171739937987e-51	4.08501192952059e-49
FNBP1L	224.02402789864	2	2.25839776289999e-49	8.27702780102846e-47
MYO6	232.970820314497	4	3.02700462047723e-49	1.02405894775837e-46
FHL1	223.297229310127	3	3.88988255467427e-48	1.22197881967553e-45
NCDN	217.764703843977	2	5.16410880012553e-48	1.5141167001968e-45
PFN2	207.399886303261	1	5.07169799653151e-47	1.3940829867966e-44
ASPH	207.334420777623	4	9.9474834039204e-44	2.57347247120247e-41
TSC2	223.979710797345	9	3.04486280310581e-43	7.43961478225519e-41
APP	199.291662872536	4	5.33532714970007e-42	1.23498783180952e-39
ABAT	178.140199338192	1	1.23453006700295e-40	2.71473161733949e-38
ATG13	191.833987532892	4	2.13884257753749e-40	4.4793474552428e-38
TBC1D9B	173.288224081038	4	2.05903152873041e-36	4.11619121061651e-34
MASP1	163.999051437281	2	2.44375949250563e-36	4.67289315132163e-34
AMPD2	197.859827694304	12	9.01621416881985e-36	1.65222124643624e-33
NRCAM	153.829553089554	2	3.94763480892532e-34	6.94467915586142e-32
ATG16L1	164.372719363083	5	1.15713205318516e-33	1.95733337304167e-31
CDC42	147.282181842002	2	1.04251082132902e-32	1.69813429340927e-30
TPD52L2	156.920027330249	6	2.65818417891813e-31	4.17524786388641e-29
SLC25A25	139.437932478319	4	3.72369054405215e-29	5.64716931473839e-27
PTBP2	138.913554151542	4	4.82200613346397e-29	7.06906099165818e-27
AP2A1	113.66144324234	1	1.54569689566586e-26	2.19289514423821e-24
ANK2	133.406300777715	8	5.56099096797449e-25	7.64288696160994e-23
SALL2	101.235838420977	1	8.16584447177313e-24	1.08828436323813e-21
CDC25B	110.485475541237	3	8.62690936801263e-24	1.11591610001528e-21
EHBP1	99.6533435594483	1	1.81548113482762e-23	2.26616184600427e-21
AMPH	99.6107211391682	1	1.85497559018085e-23	2.26616184600427e-21
BIN1	111.972292215748	4	2.76245345696076e-23	3.28358656857119e-21
PROM1	113.853970144017	5	6.27563910905961e-23	7.26322652674846e-21
USP16	101.586292976835	2	8.72603120200102e-23	9.84027826317962e-21
RALYL	90.6138140127625	1	1.74636851900247e-21	1.92013218664322e-19
SH2B1	103.264406215791	4	1.9845893254147e-21	2.12883508613996e-19
ARMC6	91.0791467734034	2	1.66883949748369e-20	1.74751335950792e-18
KIFBP	104.868638569817	6	2.41449948624465e-20	2.46952761407069e-18
UNG	88.3722073861845	2	6.45979876763645e-20	6.45686249546935e-18
NDRG2	104.764284713492	7	1.1166725469654e-19	1.09136130256752e-17
ZFAND6	93.8970094087417	4	1.95568336345233e-19	1.83523427037882e-17
ATAT1	97.2969021199615	5	1.96125535943167e-19	1.83523427037882e-17
G3BP2	81.0804997148371	2	2.47510251774591e-18	2.26781268188469e-16
NRBP1	84.5675960107219	3	3.21343296285407e-18	2.8842200348229e-16
PFKFB3	79.6480424628353	2	5.06579174555819e-18	4.45587041939298e-16
MADD	83.203664894243	3	6.30512465426977e-18	5.43724279009381e-16
TRIM9	77.8346709635234	2	1.25434195840217e-17	1.06088383327937e-15
MCFD2	81.6561517788505	3	1.35441140976635e-17	1.10961055937796e-15
GOLM2	72.8929964850868	1	1.36873014929183e-17	1.10961055937796e-15
CLSTN1	77.6326785488745	2	1.38764394647085e-17	1.10961055937796e-15
AP2B1	84.7927303129436	4	1.67859495951472e-17	1.31829654141888e-15
RTN3	84.6587938095327	4	1.79208723414158e-17	1.38273678171134e-15
KLC1	92.7190257691254	7	3.41685583348104e-17	2.59091930269821e-15
NRG1	75.510805109093	2	4.00900879051152e-17	2.98841028146944e-15
RCAN1	70.0064744807615	1	5.91101256063579e-17	4.33277220694604e-15
PACSIN2	74.6164430913659	2	6.26967823543658e-17	4.52033522613936e-15
ADGRL2	96.7321142813223	9	7.19512708803257e-17	5.10389821502698e-15
KLHL13	81.162432221	4	9.87868099075762e-17	6.89626015830985e-15
DDX5	93.2654497943295	8	1.00881566961667e-16	6.93245517964707e-15
CD200	73.1474426482418	2	1.3068767937957e-16	8.84252944478997e-15
R3HDM1	76.5050755076793	3	1.72380631450757e-16	1.14868184412186e-14
SGK1	72.4956039542005	2	1.81042117359777e-16	1.18762574812607e-14
EPB41L3	76.3770548431941	3	1.83625627268241e-16	1.18762574812607e-14
EWSR1	81.5539198356564	5	3.96874281465262e-16	2.5296421592525e-14
MEAF6	65.7383570388611	1	5.14938736644698e-16	3.23528651966197e-14
MORF4L2	73.4063440643004	3	7.95466097874798e-16	4.92740830768079e-14
CSTF2	64.8498425063472	1	8.08285394570275e-16	4.93727661850009e-14
PRKACB	79.9207325339503	5	8.71845004767741e-16	5.25256757666921e-14
MDM1	72.4847253460825	3	1.25336449602669e-15	7.44905007233159e-14
TFG	107.332937029014	16	1.43816072953335e-15	8.43337451798357e-14
DDR1	75.39805762373	4	1.64142060175501e-15	9.49864185068226e-14
PICALM	68.0145678321442	2	1.70146982225906e-15	9.71826529648747e-14
SMARCA1	62.6601893094639	1	2.45630882259789e-15	1.3849802822802e-13
AGAP2	62.5194210742815	1	2.63830069622326e-15	1.46876537493543e-13
MYL6	70.8919853407042	3	2.74942007855977e-15	1.51149368818823e-13
PKM	70.7397016243267	3	2.96384025209469e-15	1.60925548502623e-13
RNPS1	70.3935953983964	3	3.51539993852389e-15	1.88545474751562e-13
ARHGAP39	60.3752402877206	1	7.83928671923274e-15	4.15387746881754e-13
MAP4	70.4252325417019	4	1.84592887290174e-14	9.66475617026412e-13
FERMT2	62.0622123870257	2	3.33704307639147e-14	1.72662534705526e-12
ATP1A3	61.9686756690717	2	3.49681819324675e-14	1.78825655975572e-12
DPYSL2	57.0047298251011	1	4.3476500909818e-14	2.19781208047563e-12
SCRIB	56.3899736677631	1	5.94326552485061e-14	2.97028202026056e-12
VAV2	60.619996436468	2	6.86333231283159e-14	3.39156578784644e-12
DMXL2	64.155275838104	3	7.60383926805231e-14	3.71574278898823e-12
PTK2B	54.3679328794525	1	1.66253852283673e-13	8.03499387190764e-12
SUPT5H	58.7214636734407	2	1.77335702082136e-13	8.47741758431775e-12
VPS29	54.1373005114365	1	1.86958300881421e-13	8.84131835781173e-12
KIDINS220	64.6982615395947	4	2.97876012133983e-13	1.39367946953751e-11
SYNJ1	57.035553347199	2	4.11990265363204e-13	1.90729809164986e-11
ZNF711	56.9046991125333	2	4.39846955784646e-13	2.01269496204281e-11
PIANP	56.8863112287563	2	4.43909530054917e-13	2.01269496204281e-11
ST7	63.5232963742301	4	5.26571316571014e-13	2.36312311252992e-11
RGS7	71.9348895391167	7	5.9994346027522e-13	2.66520337201052e-11
KIF21B	55.3620550132582	2	9.51223345497724e-13	4.18348027349899e-11
MRAS	50.1733919118597	1	1.40743341542576e-12	6.12860610004208e-11
FBXO5	49.6728077999892	1	1.81646111747031e-12	7.83215293591612e-11
ZRANB2	54.0196961517941	2	1.86110991831918e-12	7.94675866093956e-11
SPTAN1	60.8714380204183	4	1.90264857099499e-12	8.04600809157303e-11
SLC39A10	53.5853959479264	2	2.31248601302692e-12	9.68601284313563e-11
STAU1	65.4109011384899	6	3.55595029808254e-12	1.475383906695e-10
MINK1	56.2421003837944	3	3.72974929461826e-12	1.53303153249823e-10
LMO3	66.7656290518498	7	6.63743140604001e-12	2.70290956701518e-10
PLD3	57.7608352261122	4	8.56605105511193e-12	3.45628371930113e-10
KCNAB2	50.8720371039308	2	8.98002408124076e-12	3.59037690084517e-10
EEF1D	63.3179376126172	6	9.50750292124789e-12	3.76702683312146e-10
