gene_symbol	RED	pvalue	p_adj	APAreg
A1BG	0.848757432704114	0.206939766749278	0.798650228615497	NC
AAGAB	0.153506147916833	0.209679964204234	0.800612850851932	NC
AAK1	0.147324288241694	0.529642886357809	0.921362975740861	NC
AAMP	0.040507570340752	0.529288392610587	0.921362975740861	NC
AARD	-0.384363928252654	0.583305970931621	0.945397228918898	NC
AARS1	1.35523817603048	0.0785860046214941	0.754146392308588	NC
AASDHPPT	0.160135590500058	0.0508645674284547	0.754146392308588	NC
AASS	0.0199229227194273	0.756525665741569	0.955139876783748	NC
AATK	0.146658425521738	0.51255726048442	0.916638679191208	NC
ABAT	0.186669117232475	0.174097861131417	0.775211869217006	NC
ABCA2	0.0758319664183225	0.492299453887771	0.908418375584953	NC
ABCA5	-0.0341311155023689	0.884446029129887	0.988458402659883	NC
ABCB1	-0.305912869667643	0.425141564599039	0.87785372857595	NC
ABCB10	0.174309021258555	0.195600558220094	0.795467932012388	NC
ABCB7	0.119236025936118	0.118381564451953	0.761924111229778	NC
ABCB8	0.28069920405316	0.00886965918425708	0.754146392308588	UP
ABCC2	0.547895912722401	0.54531903861193	0.930231889482247	NC
ABCC4	0.309908496594243	0.130182391097447	0.761924111229778	NC
ABCD3	-0.400777084398	0.297015565933908	0.818784807482156	NC
ABCD4	-0.110076902938675	0.384170907252823	0.863177805234086	NC
ABCE1	0.155816220147319	0.335463475766182	0.838030855738208	NC
ABCF1	0.131110503548318	0.101856567147999	0.761924111229778	NC
ABCF3	0.186345959907654	0.320680421053835	0.832194423468969	NC
ABCG1	0.178538463101959	0.268757905256855	0.813749216105959	NC
ABCG4	-0.596984532280191	0.435307410989575	0.883461185904167	NC
ABHD10	0.099901380964422	0.516448212285182	0.919104731558657	NC
ABHD11	-0.0908214595731227	0.776937874490242	0.955139876783748	NC
ABHD16A	0.244341616214849	0.00516356063293283	0.754146392308588	UP
ABHD17C	0.0334342826290534	0.644292981655556	0.949713767452889	NC
ABHD18	0.0147558591815792	0.882416642157428	0.988458402659883	NC
ABHD2	0.176748015543618	0.508385224468114	0.914922946007891	NC
ABHD3	0.199672868044783	0.637949622036141	0.949713767452889	NC
ABHD4	-0.051805393011352	0.758352090865007	0.955139876783748	NC
ABI1	-0.00137664553693861	0.994539944820151	0.997662951774772	NC
ABI2	-0.18108296485656	0.393811314389622	0.869469321933301	NC
ABL2	0.0708713935560911	0.811911160221602	0.961194913485398	NC
ABLIM1	0.129883942661335	0.668178511940561	0.949713767452889	NC
ABLIM2	0.59251594691626	0.594597322573853	0.949713767452889	NC
ABR	0.199348001543837	0.382010455308276	0.860940844086742	NC
ABRAXAS1	0.185373596706286	0.0143639225607406	0.754146392308588	UP
ACAA2	0.691292300221359	0.0173411155947952	0.754146392308588	UP
ACACA	0.0585339198792686	0.247178318817599	0.807705198582123	NC
ACACB	-0.021107267652785	0.965176528601424	0.988458402659883	NC
ACAD11	0.104670847423127	0.594255193450219	0.949713767452889	NC
ACAD9	0.332782651844343	0.109603667520093	0.761924111229778	NC
ACADS	0.150821210595195	0.185444017780849	0.780695555004032	NC
ACADSB	0.340975582020487	0.162179531133204	0.767554563243845	NC
