gene_symbol	SRR2056323.3most_areads	SRR2056323.3most_aRPKM	SRR2056323.3most_creads	SRR2056323.3most_cRPKM	SRR2056323.3most_3UTR_RE	SRR2056324.3most_areads	SRR2056324.3most_aRPKM	SRR2056324.3most_creads	SRR2056324.3most_cRPKM	SRR2056324.3most_3UTR_RE	SRR2056325.3most_areads	SRR2056325.3most_aRPKM	SRR2056325.3most_creads	SRR2056325.3most_cRPKM	SRR2056325.3most_3UTR_RE	SRR2056326.3most_areads	SRR2056326.3most_aRPKM	SRR2056326.3most_creads	SRR2056326.3most_cRPKM	SRR2056326.3most_3UTR_RE
A1BG	15	0.479753729929154	80	26.3403438469078	-5.77883634548759	10	0.332620939066529	87	29.7901843009609	-6.48481424717011	44	0.942532434522425	137	30.2112397159261	-5.00239931053197	37	0.768080446220987	170	36.3294027672026	-5.5637364167175
A1CF	16	0.118408054248372	1	0.53137079790173	-2.16595172699236	12	0.0923559739250362	0	0	Inf	13	0.0644348973533075	0	0	Inf	20	0.0960658747453687	0	0	Inf
A2M	0	0	9	4.31264335082743	-Inf	0	0	12	5.98004931164609	-Inf	0	0	9	2.88841818712615	-Inf	2	13.9333944730683	14	4.35418577283384	1.67807190511264
AAAS	0	0	410	217.862027139709	-Inf	0	0	286	158.046979827267	-Inf	0	0	548	195.027012819642	-Inf	0	0	470	162.096420850052	-Inf
AACS	0	0	1466	72.3142909578286	-Inf	0	0	1331	68.2795581330964	-Inf	0	0	1836	60.6567819296491	-Inf	0	0	1599	51.1936989026567	-Inf
AADACL2	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA
AADACL3	0	0	0	0	NA	0	0	0	0	NA	0	0	1	0.0130046163755479	-Inf	0	0	0	0	NA
AADAT	0	0	394	30.2076707595735	-Inf	0	0	404	32.2125322920669	-Inf	0	0	893	45.8552433973982	-Inf	0	0	787	39.1627908939455	-Inf
AAGAB	4045	104.671592395739	409	217.330656341808	-1.05402174168584	4205	113.161524582644	395	218.281667943253	-0.947807453983389	6893	119.463465935518	602	214.245003133986	-0.842692072843059	7815	131.255397549456	687	236.936683242523	-0.852124826992504
AAK1	897	14.14236197929	36	7.20919485511452	0.972113042248758	854	14.0026379886488	42	8.74693779912413	0.67884870561354	1665	17.5816759216374	73	9.79092334077255	0.844555771850417	1771	18.1228272707138	65	8.44842015624476	1.10105455249527
AAMP	500	115.664764198437	1121	345.760535110527	-1.57982377742218	463	111.387010454282	976	313.070474307786	-1.49090645358149	861	133.398439952562	1852	382.584453414083	-1.52003645514224	829	124.46965536825	1722	344.731397738845	-1.46967863517994
AANAT	1	0.458704705880981	0	0	Inf	0	0	0	0	NA	0	0	2	0.711777419049788	-Inf	2	0.595444208250781	2	0.689772003617242	-0.21215323683161
AARD	124	4.24960911425368	14	3.38449688393264	0.328388757388336	115	4.09871408759055	26	6.53675059891645	-0.673402298137652	224	5.14152373198672	47	7.60992659511114	-0.565686560560968	275	6.11699150717397	57	8.94373293879383	-0.548054836693655
AARS1	159	26.0161086692192	1985	258.572510721671	-3.31309181418083	108	18.3777125187173	1824	247.097959906464	-3.74905398943614	349	38.2461009818384	1889	164.80497815909	-2.10737523761358	309	32.8156927757477	1839	155.48247837362	-2.24429421394243
AARSD1	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA
AASDH	0	0	17	8.29421509088428	-Inf	0	0	23	11.6701568384851	-Inf	0	0	31	10.1298868138404	-Inf	0	0	43	13.6167264168622	-Inf
AASDHPPT	3620	138.969807674414	920	125.956567706706	0.141845129765964	4084	163.049737454782	1070	152.348875320508	0.097933268329064	5328	136.991187038063	1222	112.052286497402	0.289910995992304	6593	164.275518170492	1533	136.223812035802	0.270138583102841
AASS	4102	18.7823551157992	141	40.4665857375323	-1.10735315693613	4161	19.8141110030789	153	45.6658311071156	-1.20458685066509	6946	21.3012798065311	247	47.477837628436	-1.15631411721978	7115	21.1449751889516	246	45.8237304862941	-1.11578004494259
AATF	0	0	613	183.791956483183	-Inf	0	0	509	158.710731451732	-Inf	0	0	1125	225.909802345062	-Inf	0	0	1159	225.541958020756	-Inf
AATK	617	4.40689832483925	138	18.3777820872315	-2.06012714974255	460	3.41686785263072	112	15.5115257579174	-2.18259424322703	1189	5.68782529120775	225	20.0684142033579	-1.81897756358518	890	4.12587206582073	209	18.0650089632213	-2.13042697834093
ABAT	1963	34.4961259018961	63	33.476360267809	0.0432916699211977	1781	32.5489084340938	52	28.7358145140485	0.17975921891547	4312	50.7510817493797	119	42.3507564334624	0.261050835399505	4578	52.216011704082	120	41.3863202170345	0.335338287902111
ABCA1	0	0	15	0.24328400085256	-Inf	0	0	13	0.219274498785049	-Inf	1	17.9723798310071	39	0.423646306079951	5.40677735745029	0	0	61	0.642140422225117	-Inf
ABCA10	0	0	3	0.731842508019201	-Inf	0	0	0	0	NA	0	0	2	0.326770542381948	-Inf	0	0	3	0.475002084309146	-Inf
ABCA12	0	0	0	0	NA	3	0.154894894288705	0	0	Inf	6	0.199508379252623	2	0.711777419049788	-1.8349768242617	3	0.0966701744199927	0	0	Inf
ABCA13	1	0.0441715642700204	1	0.0695187183783351	-0.654283561225063	3	0.137811835988552	3	0.216892980215143	-0.654283561225063	3	0.0887524929926279	3	0.139681708531144	-0.654283561225063	3	0.0860086078584462	3	0.135363288274627	-0.654283561225063
ABCA2	570	49.5000272414281	150	79.7056196852595	-0.687252126596356	396	35.7641784075145	115	63.5503590214535	-0.829384976017346	1006	58.5120197734408	254	90.3957322193231	-0.627521642119219	723	40.7517969418623	197	67.9425423562983	-0.737451527657838
ABCA3	0	0	1398	94.4943248389527	-Inf	0	0	1084	76.1991841759371	-Inf	0	0	1841	83.3429502994563	-Inf	0	0	1714	75.1947044295939	-Inf
ABCA5	45	5.6692025269093	105	34.785106862641	-2.61725203867766	39	5.1097134963361	88	30.3186039174814	-2.56888901711626	76	6.41268012749551	157	34.8353534996065	-2.44155285278926	61	4.98789356136834	163	35.0485077023168	-2.81285043400941
ABCA6	0	0	0	0	NA	0	0	0	0	NA	0	0	1	0.355888709524894	-Inf	0	0	1	0.344886001808621	-Inf
ABCA7	2	0.933364358053474	31	16.4724947349536	-4.14147487857946	2	0.970674670875887	28	15.47313089218	-3.99463349025018	10	3.12563127495777	145	51.6038628811096	-4.04525956332015	11	3.33189867834241	121	41.7312062188431	-3.64671018682988
ABCA8	0	0	13	0.878702591492407	-Inf	0	0	10	0.702944503468054	-Inf	0	0	15	0.67905717245619	-Inf	0	0	13	0.570321562184785	-Inf
ABCA9	0	0	3	0.125393576140362	-Inf	0	0	2	0.0869373731703482	-Inf	0	0	6	0.167966166644927	-Inf	0	0	5	0.135644416599185	-Inf
ABCB1	200	9.41551764703065	62	32.9449894699073	-1.80694674691246	231	11.3096371192184	51	28.1832026964707	-1.31728292685575	392	12.3599524451839	123	43.774311271562	-1.82441128752434	381	11.6417177505242	127	43.8005222296948	-1.91164412557915
ABCB10	2415	106.586602113652	573	80.2924861278507	0.408689213447603	2715	124.617146017362	707	103.029639837551	0.274443146363697	4888	144.488474694018	1055	99.012327528525	0.545274354705554	5747	164.628326555764	1292	117.50617271021	0.486476047622856
ABCB4	0	0	4	0.949884081204863	-Inf	0	0	7	1.72874581870595	-Inf	0	0	4	0.636190436495828	-Inf	0	0	2	0.308260939669652	-Inf
ABCB6	0	0	165	54.3269591842474	-Inf	0	0	134	45.8837321417099	-Inf	0	0	406	89.531119158146	-Inf	0	0	295	63.0421989195574	-Inf
ABCB7	439	10.4899598433503	153	81.2997320789647	-2.9542414428061	433	10.7601837124365	156	86.2074435421456	-3.00210973378433	645	10.3225155752445	211	75.0925177097527	-2.86287456804537	710	11.0114760417169	231	79.6686664177914	-2.85500455667282
ABCB8	1108	25.0482911759001	137	72.797799312537	-1.53918265380145	728	17.1156030846102	88	48.6298399468514	-1.50652971532871	1994	30.1911755543625	198	70.465964485929	-1.22279966257153	1451	21.2903910914302	148	51.0431282676759	-1.26151429845232
ABCC1	7	1.69224844196632	2918	89.1825391890672	-5.71974798267503	3	0.754240453721129	2501	79.4933358382598	-6.71966557827456	1	0.161913331810875	4105	84.0280400982737	-9.01950524347991	7	1.09835316792205	3684	73.0789083695666	-6.05604116084848
ABCC10	2	11.9263223529055	239	38.6348183450297	-1.69575237807614	3	18.6045978584545	180	30.260490492667	-0.701776165703906	12	47.9263462160191	292	31.6140657268319	0.600252371745751	12	46.4446482435609	185	19.4102257343195	1.25869547010946
ABCC12	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA	3	0.0371227206209634	0	0	Inf
ABCC2	7	0.681813346853944	14	1.81487514065953	-1.41242155107183	13	1.31684086475449	19	2.56150260370026	-0.959909346374326	28	1.82659395741633	21	1.82328491039203	0.00261594820701129	17	1.07471735953793	31	2.60830452092462	-1.27915502020837
ABCC3	0	0	3	1.59411239370519	-Inf	3	0.165783545273357	2	1.10522363515571	-2.73696559416621	28	0.996488386669703	12	4.27066451429873	-2.09953567355091	26	0.896703604702414	9	3.10397401627759	-1.79141337818858
ABCC4	1783	55.6342136038007	97	51.5429673964678	0.110196778600202	1893	61.4276228128856	103	56.9190172105192	0.109976801682821	2549	53.2692978944619	107	38.0800919191637	0.48426730478339	2615	52.9590502137697	120	41.3863202170345	0.35572326868812
ABCC5	0	0	1016	40.0346151229691	-Inf	0	0	852	34.91435545243	-Inf	0	0	1690	44.6010600798856	-Inf	0	0	1458	37.2887098783656	-Inf
