"hgnc_symbol","ensembl_gene_id","dataset","RBP","msORhs","data.type","dataset.id","regulation","cell.type"
"AGRN","ENSG00000188157","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"SDF4","ENSG00000078808","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"INTS11","ENSG00000127054","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"DVL1","ENSG00000107404","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"DHRS3","ENSG00000162496","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"CAPZB","ENSG00000077549","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"MICOS10","ENSG00000173436","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"CDC42","ENSG00000070831","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"CDC42-AS1","ENSG00000285752","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"PPP1R8","ENSG00000117751","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"SCARNA1","ENSG00000252947","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"RCC1","ENSG00000180198","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"SNHG3","ENSG00000242125","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"SNORA73B","ENSG00000200087","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"SNHG12","ENSG00000197989","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"SNORD99","ENSG00000221539","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"RN7SKP91","ENSG00000222784","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"PUM1","ENSG00000134644","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"THRAP3","ENSG00000054118","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"FOXJ3","ENSG00000198815","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"RPS8","ENSG00000142937","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"SNORD46","ENSG00000200913","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"RN7SKP291","ENSG00000199831","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"ACADM","ENSG00000117054","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"RABGGTB","ENSG00000137955","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"SNORD45C","ENSG00000206620","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"SNORD45A","ENSG00000207241","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"SNORD45B","ENSG00000201487","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"CCDC18-AS1","ENSG00000223745","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"PTBP2","ENSG00000117569","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"SCARNA2","ENSG00000278249","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"RNVU1-14","ENSG00000207501","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
"LINC01138","ENSG00000274020","ENCODE_1","FASTKD2","Human","eCLIP","dataset51",NA,"HepG2"
