gene_id	lr	df	pvalue	adj_pvalue	N1_C.HQ.bam	N1_T.HQ.bam	N28_C.HQ.bam	N28_T.HQ.bam	R2_C.HQ.bam	R2_T.HQ.bam	R8_C.HQ.bam	R8_T.HQ.bam	WARM1	WARM2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
RBM26:chr13:79318868:79320620:u1	63.4644422427278	2	1.65528000288633e-14	6.28509817095939e-11	0.956017297753401	0.204948358254971	0.817348983681649	0.381394367682734	0.928571428571429	0.351351351351351	0.862607568077331	0.33802899917482	0.891136319520953	0.318930769115969	0.572205550404983	chr13_79320476_79320477_-_3UTR_vs_chr13_79319977_79319986_-_3UTR	1.10762527233115	chr13_79319977_79319986_-_3UTR;chr13_79320394_79320411_-_3UTR;chr13_79320476_79320477_-_3UTR	distal	TRUE
PRPF4B:chr6:4060617:4064983:u1	53.7581847643123	1	2.26747625103934e-13	4.3048036625982e-10	0.703225806451613	0.348214285714286	0.83695652173913	0.517509727626459	0.854794520547945	0.451713395638629	0.887378640776699	0.425806451612903	0.820588872378847	0.435810965148069	0.384777907230778	chr6_4061893_4061926_+_3UTR_vs_chr6_4064971_4064988_+_3UTR	0.801416248504025	chr6_4061893_4061926_+_3UTR;chr6_4064971_4064988_+_3UTR	distal	TRUE
FAHD2A:chr2:95412958:95416616:u1	57.267126700176	3	2.25366065146623e-12	2.8523831645391e-09	0.431624043486986	0.243527449851233	0.498294348167705	0.294744787978304	0.559961259586943	0.22576647178858	0.657077676139006	0.152029945292255	0.53673933184516	0.229017163727593	0.307722168117567	chr2_95413119_95413142_+_3UTR_vs_chr2_95414926_95414929_+_3UTR	0.661375181422351	chr2_95413119_95413142_+_3UTR;chr2_95414926_95414929_+_3UTR;chr2_95415536_95415568_+_3UTR;chr2_95416592_95416617_+_3UTR	distal	TRUE
WDR36:chr5:111126884:111130502:u1	53.1792738114473	3	1.6789064342204e-11	1.59370193268371e-08	0.84349609257201	0.650519633500258	0.785872975330477	0.703114489205739	0.775761539190598	0.62338721358791	0.792948900213614	0.583039906554265	0.799519876826675	0.640015310712043	0.159504566114632	chr5_111128351_111128380_+_3UTR_vs_chr5_111129697_111129715_+_3UTR	0.573165366000509	chr5_111126977_111127025_+_3UTR;chr5_111128351_111128380_+_3UTR;chr5_111129697_111129715_+_3UTR;chr5_111130494_111130507_+_3UTR	distal	TRUE
DPH1:chr17:2042605:2044965:u2	43.8783798015411	1	3.49427506064593e-11	2.65355248105452e-08	0.41304347826087	0.15	0.440860215053763	0.212121212121212	0.458715596330275	0.161290322580645	0.504587155963303	0.127659574468085	0.454301611402053	0.162767777292486	0.291533834109567	chr17_2043418_2043446_+_3UTR_vs_chr17_2043883_2043904_+_3UTR	0.592858256666147	chr17_2043418_2043446_+_3UTR;chr17_2043883_2043904_+_3UTR	distal	TRUE
BSDC1:chr1:32364633:32368332:u1	41.4317223507765	1	1.22060484504875e-10	7.72439432775016e-08	0.771186440677966	0.954198473282443	0.607594936708861	0.895061728395062	0.586206896551724	0.982456140350877	0.537313432835821	0.975609756097561	0.625575426693593	0.951831524531486	-0.326256097837893	chr1_32368019_32368020_-_3UTR_vs_chr1_32365100_32365117_-_3UTR	-0.604370317825568	chr1_32365100_32365117_-_3UTR;chr1_32368019_32368020_-_3UTR	proximal	TRUE
FBXO22:chr15:75933103:75942511:u2	47.9854083228388	4	9.50417064237394e-10	5.15533370415627e-07	0.730883287439102	0.157306260780101	0.757082407649148	0.331609357716115	0.695332909694274	0.361645008887211	0.716813275089624	0.210302628612035	0.725027969968037	0.265215813998866	0.459812155969171	chr15_75934561_75934614_+_3UTR_vs_chr15_75938517_75938565_+_3UTR	0.595615731785945	chr15_75934104_75934110_+_3UTR;chr15_75934561_75934614_+_3UTR;chr15_75935261_75935273_+_3UTR;chr15_75938517_75938565_+_3UTR;chr15_75938825_75938826_+_3UTR	distal	TRUE
TRAF7:chr16:2176575:2178129:u1	36.4459075271334	2	1.21862963860542e-08	5.78392092223097e-06	0.827255215822459	0.618339343525698	0.87280803195963	0.718432647527711	0.929333282361037	0.724340404323583	0.914063438663943	0.70999115826702	0.885864992201767	0.692775888411003	0.193089103790764	chr16_2176928_2176945_+_3UTR_vs_chr16_2178041_2178075_+_3UTR	0.427937388547652	chr16_2176928_2176945_+_3UTR;chr16_2178041_2178075_+_3UTR;chr16_2178117_2178130_+_3UTR	distal	TRUE
AK2:chr1:33007940:33013402:u2	35.3097754792052	2	2.15069921242449e-08	9.07356101063974e-06	0.213330611411657	0.271845851742759	0.10005425935974	0.308411214953271	0.13556922260077	0.259010929385319	0.158288477328711	0.26737416616131	0.151810642675219	0.276660540560665	-0.124849897885445	chr1_33009914_33009936_-_3UTR_vs_chr1_33008874_33008888_-_3UTR	-0.502177257364003	chr1_33007974_33007996_-_3UTR;chr1_33008874_33008888_-_3UTR;chr1_33009914_33009936_-_3UTR	proximal	TRUE
LUC7L3:chr17:50750662:50756215:u1	34.0173237418931	2	4.10423297073602e-08	1.55837725898847e-05	0.608059628962639	0.489206510514842	0.628099710939948	0.534187179230692	0.633534748364096	0.5294726048376	0.623907716215409	0.498669389961854	0.623400451120523	0.512883921136247	0.110516529984276	chr17_50752534_50752559_+_3UTR_vs_chr17_50752703_50752753_+_3UTR	0.207314798694747	chr17_50752534_50752559_+_3UTR;chr17_50752619_50752649_+_3UTR;chr17_50752703_50752753_+_3UTR	distal	TRUE
