gene_id	chisq	pvalue	adj_pvalue	PgS	oRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
MSMO1	84.9065419125515	1.5878196001132e-17	2.70405677899278e-14	0.6875	0.608272506082725	-0.0792274939172749	chr4:165342063:+_vs_chr4:165343006:+	-0.346677311435523	chr4:165341915:+;chr4:165342063:+;chr4:165343006:+;chr4:165343070:+;chr4:165343164:+	proximal	TRUE
VCAN	80.7107541651113	1.23144325139635e-16	1.04857392856399e-13	0.336666666666667	0.482758620689655	0.146091954022989	chr5:83537169:+_vs_chr5:83580635:+	0.885402298850575	chr5:83520452:+;chr5:83537169:+;chr5:83538176:+;chr5:83580349:+;chr5:83580635:+	distal	TRUE
RPL15	70.2281007433677	3.81429510016487e-15	2.16524818519359e-12	0.250764525993884	0.374807987711214	0.12404346171733	chr3:23919552:+_vs_chr3:23919783:+	0.399554672416466	chr3:23919552:+;chr3:23919783:+;chr3:23920772:+;chr3:23920847:+	distal	TRUE
CSNK1A1	68.5737768665158	8.62209569426376e-15	3.67085724183279e-12	0.444444444444444	0.364583333333333	-0.0798611111111112	chr5:149509933:-_vs_chr5:149493238:-	-0.840544871794872	chr5:149493238:-;chr5:149495984:-;chr5:149509933:-;chr5:149513127:-	proximal	TRUE
IQGAP2	70	2.26984203365292e-14	7.65169414138494e-12	0	0.61864406779661	0.61864406779661	chr5:76502273:+_vs_chr5:76606298:+	1.32203389830508	chr5:76502273:+;chr5:76590448:+;chr5:76606298:+;chr5:76637171:+;chr5:76698147:+	distal	TRUE
FAM83D	57.7169412503286	3.02684621498103e-14	7.65169414138494e-12	0	0.666666666666667	0.666666666666667	chr20:38953035:+_vs_chr20:38953096:+	1.33333333333333	chr20:38953035:+;chr20:38953096:+	distal	TRUE
SLC1A3	80.9513237987306	3.14514732763914e-14	7.65169414138494e-12	0.475	0.725778546712803	0.250778546712803	chr5:36610649:+_vs_chr5:36688334:+	0.629065743944637	chr5:36608855:+;chr5:36609558:+;chr5:36610649:+;chr5:36610904:+;chr5:36686229:+;chr5:36686284:+;chr5:36686312:+;chr5:36686654:+;chr5:36688334:+	distal	TRUE
GOLM1	61.4001735904638	2.95157985566413e-13	6.28317561774501e-11	0.640625	0.764550264550265	0.123925264550265	chr9:86027699:-_vs_chr9:86026915:-	0.718005952380952	chr9:86026141:-;chr9:86026915:-;chr9:86027030:-;chr9:86027699:-	distal	TRUE
CPE	60.2729181929182	5.13969600839209e-13	9.72544700254637e-11	0.365384615384615	0.958333333333333	0.592948717948718	chr4:165495647:+_vs_chr4:165498177:+	1.175	chr4:165495647:+;chr4:165497756:+;chr4:165498003:+;chr4:165498177:+	distal	TRUE
MOXD1	53.5330488485569	2.37381102634998e-12	4.04260017787401e-10	0.363636363636364	0.883838383838384	0.52020202020202	chr6:132296855:-_vs_chr6:132296055:-	1.04040404040404	chr6:132296055:-;chr6:132296171:-;chr6:132296855:-	distal	TRUE
TXNL1	49.413394927167	1.86216270959252e-11	2.88296644948732e-09	0.369565217391304	0.518867924528302	0.149302707136998	chr18:56602900:-_vs_chr18:56602822:-	0.883921246923708	chr18:56602566:-;chr18:56602822:-;chr18:56602900:-	distal	TRUE
BMP7	48.5139293139293	2.91967224748929e-11	4.14350153122855e-09	0.9	0.391891891891892	-0.508108108108108	chr20:57170509:-_vs_chr20:57168755:-	-1.52162162162162	chr20:57168755:-;chr20:57170509:-;chr20:57170699:-	proximal	TRUE
