gene_id	lr	df	pvalue	adj_pvalue	CP209	CP334	CP336	GZ209	GZ334	GZ336	WARM1	WARM2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
PTBP2	464.196243888437	7	3.96599456882299e-96	3.16922625994645e-92	0.638270547945205	0.627842042281611	0.628660854012967	0.588039867109635	0.582109479305741	0.582754182754183	0.631591148079928	0.584301176389853	0.0472899716900751	chr1:96814793:+_vs_chr1:96814881:+	0.485263146935463	chr1:96735694:+;chr1:96754547:+;chr1:96814386:+;chr1:96814573:+;chr1:96814793:+;chr1:96814881:+;chr1:96815047:+;chr1:96815674:+	distal	TRUE
KLC1	422.233021719221	7	4.05641518339851e-87	1.62074068652687e-83	0.394877675840979	0.403577274587369	0.395984848484848	0.471735074626866	0.482454863133372	0.490273775216138	0.398146599637732	0.481487904325459	-0.0833413046877267	chr14:103686225:+_vs_chr14:103701544:+	-0.314121083580209	chr14:103675587:+;chr14:103678714:+;chr14:103685896:+;chr14:103686225:+;chr14:103687533:+;chr14:103688127:+;chr14:103694045:+;chr14:103697147:+;chr14:103701544:+	proximal	TRUE
GPM6B	329.047922289203	7	3.7476349668623e-67	9.98245034006556e-64	0.869454845465507	0.866688780775468	0.868814453593413	0.817941429232498	0.806141746465344	0.803123983078425	0.868319359944796	0.809069052925422	0.0592503070193737	chrX:13773456:-_vs_chrX:13770943:-	0.130878703977464	chrX:13770943:-;chrX:13771029:-;chrX:13771129:-;chrX:13771456:-;chrX:13771784:-;chrX:13772376:-;chrX:13773456:-;chrX:13923868:-	distal	FALSE
ATAT1	316.09955889175	6	2.89671811314948e-65	5.78691861054438e-62	0.695912614517266	0.692952050837666	0.688322368421053	0.773752012882448	0.792081949058693	0.791452991452991	0.692395677925328	0.785762317798044	-0.0933666398727159	chr6:30644640:+_vs_chr6:30646821:+	-0.662045472151602	chr6:30630963:+;chr6:30633973:+;chr6:30635613:+;chr6:30642493:+;chr6:30644640:+;chr6:30644692:+;chr6:30646821:+	proximal	TRUE
CDC42	286.947244847666	6	5.11405527289531e-59	8.17328313714128e-56	0.474688256095291	0.475901584091675	0.380175353141744	0.82615629984051	0.766198830409357	0.772092067406494	0.443588397776237	0.788149065885454	-0.344560668109217	chr1:22090807:+_vs_chr1:22092943:+	-0.780485863330034	chr1:22090127:+;chr1:22090807:+;chr1:22091590:+;chr1:22091837:+;chr1:22092414:+;chr1:22092738:+;chr1:22092943:+	proximal	TRUE
LAMP2	287.920029408511	7	2.29373472988131e-58	3.05487237108026e-55	0.835379464285714	0.826367781155015	0.822784810126582	0.519047619047619	0.482142857142857	0.49887808526552	0.828177351855771	0.500022853818665	0.328154498037105	chrX:120436494:-_vs_chrX:120426148:-	0.854514557338087	chrX:120426148:-;chrX:120426222:-;chrX:120430940:-;chrX:120431142:-;chrX:120436494:-;chrX:120436826:-;chrX:120437837:-;chrX:120438558:-	distal	TRUE
NUP93	284.351537033974	9	5.41802092574979e-56	6.18505788823809e-53	0.29606921452415	0.291268791929876	0.287633759755411	0.258405379442843	0.256886012225818	0.25063829787234	0.291657255403146	0.255309896513667	0.0363473588894784	chr16:56844765:+_vs_chr16:56844954:+	0.457915218712376	chr16:56839216:+;chr16:56842037:+;chr16:56844765:+;chr16:56844954:+;chr16:56846261:+;chr16:56846560:+;chr16:56846748:+;chr16:56846818:+;chr16:56847560:+;chr16:56850286:+	distal	TRUE
MASP1	291.918904860106	12	2.3314463600194e-55	2.32882348286438e-52	0.55510752688172	0.566301703163017	0.479838709677419	0.761261261261261	0.815934065934066	0.796666666666667	0.533749313240719	0.791287331287331	-0.257538018046612	chr3:187246360:-_vs_chr3:187234082:-	-0.947270953962395	chr3:187217282:-;chr3:187234082:-;chr3:187234762:-;chr3:187244569:-;chr3:187245182:-;chr3:187246360:-;chr3:187246507:-;chr3:187246659:-;chr3:187246908:-;chr3:187246972:-;chr3:187247076:-;chr3:187248847:-;chr3:187249045:-	proximal	TRUE
MAP4	272.576548871897	8	2.78979960850608e-54	2.47703207461912e-51	0.357313714120035	0.465510840510841	0.4002331002331	0.802473763118441	0.753298774740811	0.745978204462896	0.407685884954659	0.767250247440716	-0.359564362486057	chr3:47973079:-_vs_chr3:47850695:-	-0.658625007911448	chr3:47850695:-;chr3:47851558:-;chr3:47851755:-;chr3:47875460:-;chr3:47876601:-;chr3:47877418:-;chr3:47916030:-;chr3:47916689:-;chr3:47973079:-	proximal	TRUE
ASPH	244.970867338785	11	3.15423004295479e-46	2.52054522732518e-43	0.365089248650892	0.395889328063241	0.341085271317829	0.451401230348599	0.460908219297481	0.450220653133274	0.367354616010654	0.454176700926451	-0.0868220849157971	chr8:61675259:-_vs_chr8:61624548:-	-0.513557479056022	chr8:61500556:-;chr8:61501229:-;chr8:61606461:-;chr8:61618985:-;chr8:61623713:-;chr8:61624125:-;chr8:61624463:-;chr8:61624548:-;chr8:61648528:-;chr8:61675259:-;chr8:61679978:-;chr8:61680032:-	proximal	TRUE
