gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
HNRNPK	1.25384530350671e-15	chr9:83968178:-,chr9:83968344:-,chr9:83968909:-	52,38,96	24,25,280	0.254,0.185,0.468	0.064,0.066,0.743	0.3465	0.097	0.2495	distal	1.70648345807264e-12	TRUE
GDI2	1.0513583721672e-10	chr10:5765223:-,chr10:5765913:-	16,24	80,5	0.364,0.545	0.92,0.057	0.364	0.92	-0.556	proximal	7.1544937225978e-08	TRUE
CNN3	2.48237645338889e-10	chr1:94896957:-,chr1:94897208:-,chr1:94897617:-,chr1:94901708:-	1,0,0,7	111,20,14,12	0.067,0,0,0.467	0.665,0.12,0.084,0.072	0.067	0.773	-0.706	proximal	1.12617145102076e-07	TRUE
CAPRIN1	3.59158782621358e-10	chr11:34091967:+,chr11:34099056:+,chr11:34099516:+,chr11:34101141:+	0,11,0,27	17,7,12,4	0,0.212,0,0.519	0.274,0.113,0.194,0.065	0.589666666666667	0.232	0.357666666666667	distal	1.22203775786917e-07	TRUE
AKT3	4.59905537865233e-10	chr1:243499724:-,chr1:243545511:-,chr1:243645894:-	14,0,19	0,10,0	0.259,0,0.352	0,0.455,0	0.259	0.2275	0.0315	distal	1.25186287406917e-07	FALSE
UBE2I	7.07078498183774e-10	chr16:1325350:+,chr16:1326766:+,chr16:1327015:+	47,0,15	165,16,2	0.746,0,0.238	0.887,0.086,0.011	0.238	0.054	0.184	distal	1.44499255889592e-07	TRUE
TPR	7.43199699652567e-10	chr1:186338063:-,chr1:186359936:-,chr1:186363420:-	12,3,3	0,33,19	0.261,0.065,0.065	0,0.347,0.2	0.2935	0.1735	0.12	distal	1.44499255889592e-07	TRUE
SMARCA5	9.61716384501951e-10	chr4:143528017:+,chr4:143534951:+,chr4:143543538:+,chr4:143543971:+,chr4:143544781:+,chr4:143548058:+,chr4:143550064:+	5,0,1,14,0,1,17	34,13,16,19,10,14,5	0.111,0,0.022,0.311,0,0.022,0.378	0.262,0.1,0.123,0.146,0.077,0.108,0.038	0.559166666666667	0.31	0.249166666666667	distal	1.63611999913394e-07	TRUE
BRWD1	1.78530142199559e-09	chr21:39236611:-,chr21:39250818:-,chr21:39296437:-,chr21:39296775:-	11,10,23,0	24,55,6,11	0.19,0.172,0.397,0	0.205,0.47,0.051,0.094	0.437	0.535333333333333	-0.0983333333333333	proximal	2.64942518056001e-07	FALSE
SETD2	1.94667537146217e-09	chr3:47122819:-,chr3:47122924:-,chr3:47123603:-	26,0,0	4,13,11	0.743,0,0	0.062,0.2,0.169	0.743	0.162	0.581	distal	2.64942518056001e-07	TRUE
GFOD2	2.20696590758928e-09	chr16:67674538:-,chr16:67680743:-,chr16:67682024:-	10,13,0	42,0,14	0.345,0.448,0	0.737,0,0.246	0.569	0.737	-0.168	proximal	2.73061872748092e-07	TRUE
USP48	1.00926213385333e-08	chr1:21706528:-,chr1:21715435:-,chr1:21721037:-,chr1:21747129:-	13,0,3,10	0,12,22,5	0.245,0,0.057,0.189	0,0.167,0.306,0.069	0.264	0.213333333333333	0.0506666666666667	distal	1.14467147014531e-06	FALSE
PALMD	1.2318202232348e-08	chr1:99687181:+,chr1:99690074:+,chr1:99694372:+	3,11,1	18,0,21	0.111,0.407,0.037	0.327,0,0.382	0.2405	0.382	-0.1415	proximal	1.17207917238108e-06	TRUE
NSG1	1.25741054048554e-08	chr4:4417738:+,chr4:4418468:+,chr4:4418546:+,chr4:4418587:+,chr4:4418690:+,chr4:4419058:+	4,11,19,12,16,36	62,3,32,39,56,164	0.037,0.101,0.174,0.11,0.147,0.33	0.168,0.008,0.087,0.106,0.152,0.444	0.6034	0.6656	-0.0622000000000001	proximal	1.17207917238108e-06	FALSE
PPP2R5E	1.30335863370888e-08	chr14:63374241:-,chr14:63374685:-,chr14:63374734:-,chr14:63375842:-,chr14:63376003:-,chr14:63376081:-	12,6,0,10,0,6	0,11,11,18,24,20	0.255,0.128,0,0.213,0,0.128	0,0.115,0.115,0.188,0.25,0.208	0.4426	0.2862	0.1564	distal	1.17207917238108e-06	TRUE
JAK1	1.37790350904462e-08	chr1:64833229:-,chr1:64864911:-	12,1	0,28	0.632,0.053	0,1	0.632	0	0.632	distal	1.17207917238108e-06	TRUE
CCNT2	2.98437935371764e-08	chr2:134953905:+,chr2:134954039:+,chr2:134955113:+,chr2:134955826:+	10,3,13,0	8,24,0,10	0.303,0.091,0.394,0	0.129,0.387,0,0.161	0.293	0.29	0.003	distal	2.389259000241e-06	FALSE
SRI	3.20451846369471e-08	chr7:88205851:-,chr7:88206289:-	20,8	10,65	0.488,0.195	0.127,0.823	0.488	0.127	0.361	distal	2.42297201616028e-06	TRUE
ADD2	3.60028267530699e-08	chr2:70663482:-,chr2:70674673:-,chr2:70675084:-	32,2,1	22,30,19	0.696,0.043,0.022	0.293,0.4,0.253	0.7175	0.493	0.2245	distal	2.57893932689095e-06	TRUE
VCAN	4.34694109923809e-08	chr5:83537169:+,chr5:83538176:+,chr5:83539490:+,chr5:83580635:+	137,29,2,52	79,27,19,12	0.482,0.102,0.007,0.183	0.418,0.143,0.101,0.063	0.221666666666667	0.178	0.0436666666666666	distal	2.95809341803152e-06	FALSE
CDC42	6.91639094293023e-08	chr1:22090127:+,chr1:22090807:+,chr1:22091599:+,chr1:22092943:+	63,195,26,24	29,145,56,46	0.199,0.615,0.082,0.076	0.102,0.511,0.197,0.162	0.335666666666667	0.463666666666667	-0.128	proximal	4.48248003491812e-06	TRUE
YWHAB	8.83055151010741e-08	chr20:44905027:+,chr20:44908131:+,chr20:44908400:+,chr20:44908520:+	3,15,6,31	12,1,25,14	0.051,0.254,0.102,0.525	0.197,0.016,0.41,0.23	0.677666666666667	0.508666666666667	0.169	distal	5.46290027511645e-06	TRUE
SNX6	1.74372372139029e-07	chr14:34561409:-,chr14:34562403:-,chr14:34563019:-,chr14:34581566:-	0,2,0,10	14,10,11,1	0,0.087,0,0.435	0.318,0.227,0.25,0.023	0.058	0.552666666666667	-0.494666666666667	proximal	1.03182955861399e-05	TRUE
TBCD	1.90702315068845e-07	chr17:82937314:+,chr17:82942704:+	16,0	0,15	1,0	0,1	0	1	-1	proximal	1.08144104503624e-05	TRUE
HNRNPM	2.34242244474863e-07	chr19:8455573:+,chr19:8466261:+,chr19:8473702:+,chr19:8489114:+	0,1,3,71	15,17,67,141	0,0.012,0.036,0.845	0.057,0.065,0.255,0.536	0.873	0.727666666666667	0.145333333333333	distal	1.24706043661285e-05	TRUE
TERF2IP	2.4204930187052e-07	chr16:75654357:+,chr16:75656326:+,chr16:75656801:+,chr16:75657432:+	27,100,58,28	31,103,53,105	0.126,0.467,0.271,0.131	0.102,0.338,0.174,0.344	0.467333333333333	0.572666666666667	-0.105333333333333	proximal	1.24706043661285e-05	TRUE
NEUROD6	2.47396265896744e-07	chr7:31337465:-,chr7:31337811:-,chr7:31337860:-,chr7:31337925:-,chr7:31338080:-,chr7:31338259:-,chr7:31339095:-	21,10,10,49,22,51,16	200,11,34,197,118,115,88	0.114,0.054,0.054,0.265,0.119,0.276,0.086	0.253,0.014,0.043,0.25,0.15,0.146,0.112	0.413166666666667	0.492666666666667	-0.0795	proximal	1.24706043661285e-05	FALSE
RPL15	2.79297652494346e-07	chr3:23919552:+,chr3:23919783:+,chr3:23920772:+,chr3:23920847:+	107,91,158,128	342,121,248,226	0.218,0.186,0.322,0.261	0.356,0.126,0.258,0.235	0.537666666666667	0.449	0.0886666666666666	distal	1.33735427390189e-05	FALSE
TUBB2B	2.84961601345737e-07	chr6:3224264:-,chr6:3224496:-	27,821	180,1909	0.031,0.947	0.083,0.881	0.031	0.083	-0.052	proximal	1.33735427390189e-05	FALSE
SUB1	3.546574110456e-07	chr5:32601333:+,chr5:32601957:+,chr5:32604067:+	47,14,26	74,19,1	0.412,0.123,0.228	0.661,0.17,0.009	0.2895	0.094	0.1955	distal	1.60896245477687e-05	TRUE
UBR5	4.14466466836859e-07	chr8:102305100:-,chr8:102311326:-,chr8:102326601:-	1,12,7	20,1,21	0.033,0.4,0.233	0.323,0.016,0.339	0.233	0.331	-0.098	proximal	1.81964148827408e-05	FALSE
FUS	4.67417228471141e-07	chr16:31186135:+,chr16:31191605:+,chr16:31191779:+	24,163,13	17,321,1	0.119,0.811,0.065	0.049,0.925,0.003	0.4705	0.4655	0.005	distal	1.98798389984132e-05	FALSE
