gene_id	p_value	FDR	sig	tss_id	pas_id
CYHR1	0	0	TRUE	chr8:144462415:-;chr8:144462851:-;chr8:144465035:-;chr8:144465428:-;chr8:144465489:-;chr8:144465648:-	chr8:144449931:-;chr8:144451125:-;chr8:144463825:-
ASNS	2.22236503040527e-285	2.54349677729883e-282	TRUE	chr7:97858379:-;chr7:97872113:-;chr7:97872394:-;chr7:97872542:-;chr7:97928411:-	chr7:97852128:-;chr7:97922758:-
CAMTA1	5.48253363510668e-280	4.18317316358639e-277	TRUE	chr1:6785454:+;chr1:7669730:+;chr1:7704736:+	chr1:6872020:+;chr1:6888201:+;chr1:7769706:+
HNRNPA1	1.06446491646214e-246	6.09140048445457e-244	TRUE	chr12:54280663:+;chr12:54281795:+;chr12:54282394:+;chr12:54282573:+;chr12:54282800:+;chr12:54283812:+;chr12:54284258:+;chr12:54284709:+;chr12:54285907:+;chr12:54286247:+	chr12:54284881:+;chr12:54285246:+;chr12:54287087:+
NCOR1	5.48261120028259e-220	2.50993940748937e-217	TRUE	chr17:16057935:-;chr17:16215529:-	chr17:16031404:-;chr17:16126117:-
SFXN5	7.37015910852612e-217	2.81171569990271e-214	TRUE	chr2:72981117:-;chr2:72988348:-;chr2:73059158:-;chr2:73070567:-;chr2:73071266:-;chr2:73071662:-	chr2:72942036:-;chr2:73047893:-;chr2:73049115:-;chr2:73053329:-
KALRN	1.45748098103168e-207	4.7659628079736e-205	TRUE	chr3:124033369:+;chr3:124094661:+;chr3:124384513:+;chr3:124384719:+;chr3:124384825:+;chr3:124384953:+;chr3:124562700:+;chr3:124584658:+	chr3:124395531:+;chr3:124408540:+;chr3:124408582:+;chr3:124519850:+;chr3:124675427:+
GPM6B	2.09581511849561e-204	5.99665100779556e-202	TRUE	chrX:13817069:-;chrX:13817323:-;chrX:13938415:-;chrX:13938638:-;chrX:13938824:-	chrX:13770943:-;chrX:13771029:-;chrX:13771456:-;chrX:13773456:-
ASPH	2.52472721530734e-192	6.42122288426499e-190	TRUE	chr8:61651086:-;chr8:61684190:-;chr8:61689699:-;chr8:61689768:-;chr8:61714525:-	chr8:61624535:-;chr8:61675259:-
PSMG2	9.46375760047915e-148	2.16625411474968e-145	TRUE	chr18:12658043:+;chr18:12658193:+;chr18:12658246:+;chr18:12703023:+	chr18:12663659:+;chr18:12725740:+
POLR2F	3.15870458308414e-125	6.572977082436e-123	TRUE	chr22:37953663:+;chr22:37986193:+	chr22:37967801:+;chr22:38041915:+
FEZ1	7.5317910481547e-118	1.43668914243551e-115	TRUE	chr11:125451520:-;chr11:125452825:-;chr11:125463540:-;chr11:125481597:-;chr11:125481756:-;chr11:125495665:-;chr11:125496122:-;chr11:125496218:-	chr11:125445752:-;chr11:125488204:-
MAP4	4.72216913555676e-112	8.31465011637648e-110	TRUE	chr3:47857478:-;chr3:47891336:-;chr3:47892575:-;chr3:48016412:-;chr3:48088801:-;chr3:48089272:-	chr3:47850695:-;chr3:47851558:-;chr3:47973079:-
SCP2	2.41964652516978e-105	3.95612206865259e-103	TRUE	chr1:52927229:+;chr1:52927380:+;chr1:53014928:+	chr1:52994232:+;chr1:53051599:+
