gene_id	chisq	pvalue	adj_pvalue	ExM	ExMU	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
CDC42	56.6237078028279	6.04552860618104e-11	1.50231385863599e-07	0.479365079365079	0.31796875	0.161396329365079	chr1:22090807:+_vs_chr1:22092943:+	0.392801339285714	chr1:22090127:+;chr1:22090807:+;chr1:22091599:+;chr1:22092414:+;chr1:22092738:+;chr1:22092943:+	distal	TRUE
HSPE1-MOB4	37.8512399743416	7.63498401002158e-10	8.83272818918352e-07	0.893203883495146	0.433333333333333	0.459870550161812	chr2:197550913:+_vs_chr2:197552617:+	0.919741100323625	chr2:197550913:+;chr2:197552617:+	distal	TRUE
SGCB	47.7456462653801	1.06632533471028e-09	8.83272818918352e-07	0.308908045977011	0.477272727272727	-0.168364681295716	chr4:52023010:-_vs_chr4:52022924:-	-0.33029353092049	chr4:52020709:-;chr4:52022604:-;chr4:52022924:-;chr4:52023010:-;chr4:52023696:-	proximal	TRUE
ECPAS	39.914984334324	2.15065762999205e-09	1.33609605263256e-06	0.533333333333333	0.339622641509434	0.193710691823899	chr9:111411070:-_vs_chr9:111410045:-	1.18050314465409	chr9:111362029:-;chr9:111410045:-;chr9:111411070:-	distal	TRUE
HNRNPA2B1	47.5455243313212	4.39752151811212e-09	2.18556819450173e-06	0.425147928994083	0.4745269286754	-0.0493789996813175	chr7:26191844:-_vs_chr7:26190125:-	-0.179685279450143	chr7:26189927:-;chr7:26190125:-;chr7:26190329:-;chr7:26191844:-;chr7:26196593:-;chr7:26196861:-	proximal	FALSE
MSMO1	45.1666488340981	1.34198301280455e-08	5.5580463113655e-06	0.608873720136519	0.697674418604651	-0.0888006984681324	chr4:165341915:+_vs_chr4:165342147:+	-0.194269386459243	chr4:165341449:+;chr4:165341915:+;chr4:165342063:+;chr4:165342147:+;chr4:165343070:+;chr4:165343164:+	proximal	FALSE
RBM22	35.089293081693	2.40135750157888e-08	8.52481913060502e-06	0.679347826086957	0.46	0.219347826086957	chr5:150691134:-_vs_chr5:150690792:-	0.802173913043478	chr5:150690792:-;chr5:150691134:-;chr5:150693280:-	distal	TRUE
SEMA3C	50.8108876315338	2.85362353640925e-08	8.86406810997122e-06	0.466374269005848	0.5	-0.0336257309941521	chr7:80743984:-_vs_chr7:80742538:-	-0.332343679712101	chr7:80742538:-;chr7:80742836:-;chr7:80743612:-;chr7:80743984:-;chr7:80744049:-;chr7:80744367:-;chr7:80744420:-;chr7:80761617:-;chr7:80804166:-	proximal	TRUE
TMEM237	30.4665266106443	3.39677200133634e-08	9.37886491480088e-06	1	0.0476190476190476	0.952380952380952	chr2:201624272:-_vs_chr2:201623800:-	1.9047619047619	chr2:201623800:-;chr2:201624272:-	distal	TRUE
TSN	35.7955037000479	8.27218524747223e-08	1.95210808404537e-05	0.428571428571429	0.52112676056338	-0.0925553319919517	chr2:121767293:+_vs_chr2:121767503:+	-0.356405097250168	chr2:121765791:+;chr2:121766300:+;chr2:121767293:+;chr2:121767503:+	proximal	TRUE
