SE_id	p_value	max_contrib_value	max_contrib_pas_id	min_contrib_value	min_contrib_pas_id	FDR	exon	pas_id	sig	gene_id
BFAR:SE02	0	415.861824673833	chr16:14650589:+	65.3477671029452	chr16:14669008:+	0	chr16:14649804-14649973:+	chr16:14650589:+;chr16:14668891:+;chr16:14669008:+;chr16:14669227:+	TRUE	BFAR
CTSC:SE05	0	3734.69767800159	chr11:88326088:-	17.7152499336451	chr11:88293592:-	0	chr11:88328112-88328196:-	chr11:88293592:-;chr11:88326088:-	TRUE	CTSC
EWSR1:SE02	0	709.531078242483	chr22:29300519:+	128.083030619973	chr22:29300336:+	0	chr22:29274265-29274282:+	chr22:29300336:+;chr22:29300519:+	TRUE	EWSR1
HSPA14:SE03	0	871.054843814646	chr10:14844748:+	47.9142867082571	chr10:14871741:+	0	chr10:14842134-14842846:+	chr10:14844748:+;chr10:14846999:+;chr10:14871741:+	TRUE	HSPA14
KLHL7:SE03	0	2582.13196756585	chr7:23144500:+	6.42773199653423	chr7:23156513:+	0	chr7:23143851-23144025:+	chr7:23144500:+;chr7:23156513:+;chr7:23175304:+;chr7:23175421:+	TRUE	KLHL7
LSM14A:SE04	0	2221.57592992831	chr19:34219566:+	165.174924963683	chr19:34228096:+	0	chr19:34219391-34219573:+	chr19:34219566:+;chr19:34228096:+	TRUE	LSM14A
MLLT10:SE12	0	1317.63171838179	chr10:21743627:+	6.74927143743969	chr10:21673695:+	0	chr10:21673350-21673919:+	chr10:21673695:+;chr10:21743627:+	TRUE	MLLT10
MRM3:SE01	0	1914.16871240247	chr17:784074:+	33.3233563837338	chr17:792509:+	0	chr17:783083-783327:+	chr17:784074:+;chr17:792509:+	TRUE	MRM3
POLR3C:SE07	0	1662.45308775549	chr1:145842195:+	0.251505173785195	chr1:145844402:+	0	chr1:145840922-145841071:+	chr1:145842195:+;chr1:145842493:+;chr1:145844402:+	TRUE	POLR3C
PSPC1:SE02	0	2107.57885514447	chr13:19674752:-	308.286218303603	chr13:19675389:-	0	chr13:19705662-19705831:-	chr13:19674752:-;chr13:19675389:-;chr13:19702867:-	TRUE	PSPC1
PSPC1:SE03	0	2091.44722282802	chr13:19674752:-	304.261965608785	chr13:19675389:-	0	chr13:19709542-19709599:-	chr13:19674752:-;chr13:19675389:-;chr13:19702867:-	TRUE	PSPC1
RNASEH2B:SE03	0	2887.30494437095	chr13:50970457:+	3.12583582516858	chr13:50956760:+	0	chr13:50953905-50953985:+	chr13:50956501:+;chr13:50956760:+;chr13:50970457:+	TRUE	RNASEH2B
NDUFV3:SE04	2.80784713837592e-297	898.26024780318	chr21:42909670:+	48.0783029332952	chr21:42909100:+	3.52816792349004e-294	chr21:42903182-42904276:+	chr21:42909100:+;chr21:42909670:+	TRUE	NDUFV3
GFPT2:SE06	1.62654105883563e-282	882.928265590451	chr5:180315170:-	39.6632855580749	chr5:180300682:-	1.89782487114857e-279	chr5:180316341-180316461:-	chr5:180300682:-;chr5:180315170:-	TRUE	GFPT2
NCBP3:SE02	5.1109658178926e-259	737.556183695037	chr17:3839108:-	9.58170642347417	chr17:3812247:-	5.56584177568505e-256	chr17:3840100-3840205:-	chr17:3811523:-;chr17:3811708:-;chr17:3812147:-;chr17:3812247:-;chr17:3822504:-;chr17:3839108:-	TRUE	NCBP3
