gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
CDC42	3.22285489203099e-16	chr1:22090127:+,chr1:22090807:+,chr1:22091599:+,chr1:22092943:+	32,126,44,99	63,195,26,24	0.101,0.399,0.139,0.313	0.199,0.615,0.082,0.076	0.538666666666667	0.335666666666667	0.203	distal	5.21780207019817e-13	TRUE
GPM6A	2.68020268289393e-10	chr4:175632943:-,chr4:175633448:-,chr4:175634532:-,chr4:175634820:-,chr4:175640800:-	237,250,107,526,79	146,56,49,155,14	0.197,0.207,0.089,0.436,0.066	0.338,0.13,0.113,0.359,0.032	0.50575	0.58175	-0.076	proximal	2.12534672259852e-07	FALSE
HDAC2	3.93825828770572e-10	chr6:113940717:-,chr6:113941015:-,chr6:113943369:-,chr6:113945368:-,chr6:113958739:-	83,26,268,25,5	37,26,68,5,16	0.19,0.059,0.613,0.057,0.011	0.228,0.16,0.42,0.031,0.099	0.555	0.56575	-0.0107499999999999	proximal	2.12534672259852e-07	FALSE
ANK2	6.25406119155294e-10	chr4:113238732:+,chr4:113336669:+,chr4:113341882:+,chr4:113353496:+,chr4:113353763:+	0,19,13,18,60	12,11,10,1,8	0,0.107,0.073,0.101,0.337	0.194,0.177,0.161,0.016,0.129	0.476	0.26575	0.21025	distal	2.53133126728105e-07	TRUE
SGCB	2.44580794656247e-09	chr4:52020709:-,chr4:52022924:-,chr4:52023010:-,chr4:52023696:-	2,81,45,46	15,54,3,16	0.01,0.399,0.222,0.227	0.163,0.587,0.033,0.174	0.35	0.565333333333333	-0.215333333333333	proximal	7.91952613096927e-07	TRUE
FDFT1	3.22731920591238e-09	chr8:11838667:+,chr8:11838962:+,chr8:11839298:+	114,299,73	17,24,33	0.231,0.605,0.148	0.23,0.324,0.446	0.4505	0.608	-0.1575	proximal	7.99397635133281e-07	TRUE
SETD2	3.45632084368929e-09	chr3:47062233:-,chr3:47122819:-,chr3:47122924:-,chr3:47123490:-	11,7,16,14	4,26,0,0	0.139,0.089,0.203,0.177	0.114,0.743,0,0	0.266	0.609333333333333	-0.343333333333333	proximal	7.99397635133281e-07	TRUE
ARMH4	6.37521330645041e-09	chr14:58005049:-,chr14:58137964:-	14,1	0,27	0.778,0.056	0,0.628	0.778	0	0.778	distal	1.2901837928929e-06	TRUE
NSG1	7.86577056112497e-09	chr4:4417738:+,chr4:4418468:+,chr4:4418546:+,chr4:4418587:+,chr4:4418690:+,chr4:4419058:+	59,6,38,47,120,200	4,11,19,12,16,36	0.119,0.012,0.077,0.095,0.242,0.403	0.037,0.101,0.174,0.11,0.147,0.33	0.6868	0.6034	0.0834000000000001	distal	1.4149647264957e-06	FALSE
NCAM1	4.29262632723028e-08	chr11:113214510:+,chr11:113275423:+,chr11:113275627:+,chr11:113275701:+,chr11:113276748:+,chr11:113277084:+	25,171,39,74,17,28	3,99,59,37,16,3	0.067,0.457,0.104,0.198,0.045,0.075	0.014,0.454,0.271,0.17,0.073,0.014	0.3628	0.3736	-0.0108	proximal	6.86030986822034e-06	FALSE
MARCHF7	4.66111232553575e-08	chr2:159747856:+,chr2:159748898:+,chr2:159768573:+	16,51,31	29,16,2	0.145,0.464,0.282	0.547,0.302,0.038	0.514	0.189	0.325	distal	6.86030986822034e-06	TRUE
SELENOT	9.76062860280191e-08	chr3:150628381:+,chr3:150629795:+	55,1	15,16	0.932,0.017	0.405,0.432	0.017	0.432	-0.415	proximal	1.31687147566136e-05	TRUE
ATRX	1.12479436228941e-07	chrX:77682921:-,chrX:77683759:-,chrX:77683930:-,chrX:77683973:-,chrX:77684359:-,chrX:77693854:-	12,23,7,45,62,45	9,9,22,7,49,13	0.039,0.074,0.023,0.145,0.199,0.145	0.061,0.061,0.15,0.048,0.333,0.088	0.2098	0.2856	-0.0758	proximal	1.40080159426658e-05	FALSE
GDI2	1.23399069972969e-07	chr10:5765223:-,chr10:5765913:-	129,27	16,24	0.721,0.151	0.364,0.545	0.721	0.364	0.357	distal	1.42702210204455e-05	TRUE
MEF2C	1.50624406852775e-07	chr5:88719925:-,chr5:88720825:-,chr5:88721929:-,chr5:88721967:-,chr5:88823843:-	0,8,69,47,69	10,13,21,16,59	0,0.026,0.225,0.153,0.225	0.056,0.073,0.118,0.09,0.331	0.17025	0.19225	-0.022	proximal	1.62573943129762e-05	FALSE
ANKLE2	1.63850603765298e-07	chr12:132725668:-,chr12:132727132:-,chr12:132750822:-	16,0,26	3,12,5	0.286,0,0.464	0.136,0.545,0.227	0.286	0.4085	-0.1225	proximal	1.65796329685011e-05	TRUE
JAK1	2.09673682178072e-07	chr1:64833229:-,chr1:64864911:-	0,22	12,1	0,0.759	0.632,0.053	0	0.632	-0.632	proximal	1.99683347909588e-05	TRUE
YWHAB	2.22827235856908e-07	chr20:44905027:+,chr20:44908131:+,chr20:44908400:+,chr20:44908520:+	14,0,28,36	3,15,6,31	0.147,0,0.295,0.379	0.051,0.254,0.102,0.525	0.575666666666667	0.677666666666667	-0.102	proximal	2.00420719362408e-05	TRUE
USP48	2.44765882234051e-07	chr1:21678910:-,chr1:21706528:-,chr1:21721037:-,chr1:21728622:-,chr1:21747129:-,chr1:21756547:-	11,0,11,12,1,12	0,13,3,5,10,9	0.134,0,0.134,0.146,0.012,0.146	0,0.245,0.057,0.094,0.189,0.17	0.2752	0.3056	-0.0304	proximal	2.08566296493121e-05	FALSE
RPL15	2.58251677593502e-07	chr3:23919552:+,chr3:23919783:+,chr3:23920772:+,chr3:23920847:+	442,208,311,442	107,91,158,128	0.309,0.145,0.217,0.309	0.218,0.186,0.322,0.261	0.502	0.537666666666667	-0.0356666666666666	proximal	2.0905473301194e-05	FALSE
DAB1	2.73650373140962e-07	chr1:56994780:-,chr1:56996614:-,chr1:56997237:-,chr1:56997446:-,chr1:57144009:-	11,10,2,24,13	0,3,10,0,4	0.113,0.103,0.021,0.247,0.134	0,0.097,0.323,0,0.129	0.2625	0.23425	0.02825	distal	2.10971406721532e-05	FALSE
EIF1	3.16610088590549e-07	chr17:41690999:+,chr17:41691644:+,chr17:41692668:+	90,645,40	62,169,19	0.114,0.814,0.051	0.237,0.645,0.073	0.458	0.3955	0.0624999999999999	distal	2.32996242467317e-05	FALSE
NEUROD6	3.5756696110379e-07	chr7:31337465:-,chr7:31337811:-,chr7:31337860:-,chr7:31337925:-,chr7:31338080:-,chr7:31338259:-,chr7:31339095:-	203,8,37,136,103,199,110	21,10,10,49,22,51,16	0.236,0.009,0.043,0.158,0.12,0.232,0.128	0.114,0.054,0.054,0.265,0.119,0.276,0.086	0.429833333333333	0.413166666666667	0.0166666666666666	distal	2.51696047837842e-05	FALSE
