gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
MKI67	5.64884154163634e-20	chr10:128097892:-,chr10:128101604:-,chr10:128109018:-,chr10:128111953:-,chr10:128115328:-,chr10:128115641:-	22,2,0,1,0,4	8,11,50,31,24,44	0.564,0.051,0,0.026,0,0.103	0.044,0.06,0.275,0.17,0.132,0.242	0.6152	0.3514	0.2638	distal	4.24284282611717e-17	TRUE
MXI1	8.81171926504085e-20	chr10:110279293:+,chr10:110285108:+,chr10:110285432:+,chr10:110286092:+	52,36,26,0	0,5,1,14	0.382,0.265,0.191,0	0,0.238,0.048,0.667	0.215666666666667	0.778333333333333	-0.562666666666667	proximal	4.24284282611717e-17	TRUE
ARL6IP1	1.09472575620534e-17	chr16:18791667:-,chr16:18793259:-,chr16:18795529:-	34,68,16	223,327,0	0.26,0.519,0.122	0.38,0.557,0	0.5195	0.6585	-0.139	proximal	3.51406967741913e-15	TRUE
FBLN1	6.64562621341416e-16	chr22:45563362:+,chr22:45601135:+	197,16	19,26	0.925,0.075	0.422,0.578	0.075	0.578	-0.503	proximal	1.59993451087946e-13	TRUE
CCNL2	2.65161027992735e-15	chr1:1385711:-,chr1:1386502:-,chr1:1386705:-,chr1:1387335:-	0,14,28,26	10,0,0,1	0,0.203,0.406,0.377	0.909,0,0,0.091	0.270666666666667	0.909	-0.638333333333333	proximal	5.10700139914008e-13	TRUE
ZBED5	4.5506299275942e-14	chr11:10852797:-,chr11:10852879:-,chr11:10854619:-	51,0,28	3,11,2	0.531,0,0.292	0.167,0.611,0.111	0.531	0.4725	0.0585	distal	7.3037610337887e-12	FALSE
TCP1	2.94676053287862e-13	chr6:159778498:-,chr6:159778952:-	8,133	25,21	0.054,0.905	0.521,0.438	0.054	0.521	-0.467	proximal	4.05390056166016e-11	TRUE
MCL1	4.1823250194606e-13	chr1:150574558:-,chr1:150575962:-,chr1:150576064:-	39,4,10	3,28,0	0.684,0.07,0.175	0.097,0.903,0	0.719	0.5485	0.1705	distal	5.0344737421757e-11	TRUE
CANX	2.78155155539993e-12	chr5:179709995:+,chr5:179724712:+,chr5:179724793:+,chr5:179728862:+,chr5:179730908:+	21,29,1,26,20	2,11,21,7,0	0.178,0.246,0.008,0.22,0.169	0.038,0.212,0.404,0.135,0	0.3995	0.35625	0.04325	distal	2.97626016427792e-10	FALSE
GTF2I	3.37224697564782e-12	chr7:74698999:+,chr7:74744941:+,chr7:74749451:+,chr7:74760692:+	15,2,21,20	0,14,0,1	0.203,0.027,0.284,0.27	0,0.7,0,0.05	0.468333333333333	0.283333333333333	0.185	distal	3.24747383754885e-10	TRUE
KLHDC2	3.8938153396401e-12	chr14:49783138:+,chr14:49785980:+	78,0	6,10	0.897,0	0.375,0.625	0	0.625	-0.625	proximal	3.40885833824856e-10	TRUE
LUC7L2	4.64391335498581e-12	chr7:139409614:+,chr7:139419147:+,chr7:139423136:+	30,0,82	10,14,11	0.229,0,0.626	0.238,0.333,0.262	0.626	0.4285	0.1975	distal	3.72674046737611e-10	TRUE
SRSF3	6.62805754751535e-12	chr6:36600198:+,chr6:36602293:+,chr6:36602784:+,chr6:36602935:+,chr6:36603429:+	1,16,100,28,78	16,32,45,20,18	0.004,0.07,0.441,0.123,0.344	0.114,0.229,0.321,0.143,0.129	0.67425	0.454	0.22025	distal	4.90986109096714e-10	TRUE
NFIX	1.43031233891245e-11	chr19:13094675:+,chr19:13096969:+,chr19:13098791:+	109,9,50	14,14,0	0.641,0.053,0.294	0.5,0.5,0	0.3205	0.25	0.0705	distal	9.83850558837633e-10	FALSE
CLIC4	3.65592316780009e-10	chr1:24842021:+,chr1:24844321:+	39,2	1,15	0.722,0.037	0.059,0.882	0.037	0.882	-0.845	proximal	2.34710267372766e-08	TRUE
SSBP4	4.02075993902001e-10	chr19:18434423:+,chr19:18434562:+	0,32	12,0	0,1	1,0	1	0	1	distal	2.41999488829767e-08	TRUE
TRIM27	8.87324414014643e-10	chr6:28903002:-,chr6:28903842:-,chr6:28921954:-	2,38,5	11,1,12	0.042,0.792,0.104	0.458,0.042,0.5	0.438	0.479	-0.041	proximal	5.02643182762413e-08	FALSE
HNRNPA1	1.06786023870459e-09	chr12:54284578:+,chr12:54284881:+,chr12:54285246:+	11,727,788	18,145,156	0.007,0.468,0.508	0.056,0.455,0.489	0.742	0.7165	0.0255	distal	5.71305227706958e-08	FALSE
PTOV1	1.62554983725841e-09	chr19:49860064:+,chr19:49860738:+	1,295	11,61	0.003,0.997	0.153,0.847	0.997	0.847	0.15	distal	8.23897101726234e-08	TRUE
RABEPK	2.1342425359063e-09	chr9:125222388:+,chr9:125234000:+	0,25	15,0	0,0.862	1,0	0.862	0	0.862	distal	1.02763778103888e-07	TRUE
RAB7A	2.4517333120263e-09	chr3:128814099:+,chr3:128814390:+,chr3:128814797:+	22,17,46	22,0,0	0.242,0.187,0.505	1,0,0	0.5985	0	0.5985	distal	1.12429484737206e-07	TRUE
CDCA2	2.70040341708176e-09	chr8:25488627:+,chr8:25503399:+	0,12	49,6	0,1	0.681,0.083	1	0.083	0.917	distal	1.14532297683842e-07	TRUE
TTC3	2.73545466949986e-09	chr21:37129034:+,chr21:37153066:+,chr21:37160839:+,chr21:37164198:+,chr21:37165784:+,chr21:37182916:+,chr21:37197695:+	44,25,38,13,12,7,32	4,0,2,0,5,11,3	0.207,0.117,0.178,0.061,0.056,0.033,0.15	0.121,0,0.061,0,0.152,0.333,0.091	0.324166666666667	0.490166666666667	-0.166	proximal	1.14532297683842e-07	TRUE
ITGB1BP1	3.42086368258528e-09	chr2:9405684:-,chr2:9406660:-,chr2:9406717:-	17,63,1	2,11,12	0.179,0.663,0.011	0.074,0.407,0.444	0.5105	0.2775	0.233	distal	1.32054760951975e-07	TRUE
NEDD1	3.42821290114162e-09	chr12:96943721:+,chr12:96952033:+	15,0	2,30	1,0	0.062,0.938	0	0.938	-0.938	proximal	1.32054760951975e-07	TRUE
EGR1	4.07302117275873e-09	chr5:138468120:+,chr5:138468602:+,chr5:138469300:+	164,75,32	26,2,23	0.584,0.267,0.114	0.464,0.036,0.411	0.2475	0.429	-0.1815	proximal	1.50858438052564e-07	TRUE
MFAP4	4.5774205828212e-09	chr17:19383459:-,chr17:19383662:-	23,0	1,18	1,0	0.053,0.947	1	0.053	0.947	distal	1.63261334120623e-07	TRUE
MAP1B	1.68548795645479e-08	chr5:72195109:+,chr5:72195305:+,chr5:72195449:+,chr5:72195578:+,chr5:72207044:+	176,139,41,7,18	46,47,6,19,13	0.385,0.304,0.09,0.015,0.039	0.322,0.329,0.042,0.133,0.091	0.17125	0.294	-0.12275	proximal	5.79687465023558e-07	TRUE
GMPS	2.02417475652701e-08	chr3:155916043:+,chr3:155937713:+	2,34	10,0	0.05,0.85	0.769,0	0.85	0	0.85	distal	6.7216561742604e-07	TRUE
PAFAH1B1	2.44792175932902e-08	chr17:2667027:+,chr17:2672918:+,chr17:2681910:+,chr17:2682463:+	32,1,20,11	2,11,15,0	0.356,0.011,0.222,0.122	0.057,0.314,0.429,0	0.273666666666667	0.390666666666667	-0.117	proximal	7.80029737735953e-07	TRUE
DCAF8	2.51099915574398e-08	chr1:160215720:-,chr1:160231348:-,chr1:160239222:-	14,0,11	0,10,0	0.452,0,0.355	0,1,0	0.452	0.5	-0.048	proximal	7.80029737735953e-07	FALSE
OSER1	2.74696858384658e-08	chr20:44195939:-,chr20:44196496:-,chr20:44196912:-	0,19,14	20,2,9	0,0.576,0.424	0.645,0.065,0.29	0.288	0.6775	-0.3895	proximal	8.26665858201331e-07	TRUE
PTGES3	3.22074158792501e-08	chr12:56663349:-,chr12:56663601:-,chr12:56664183:-,chr12:56664442:-	91,49,13,43	5,35,1,11	0.457,0.246,0.065,0.216	0.094,0.66,0.019,0.208	0.642666666666667	0.540333333333333	0.102333333333333	distal	9.3987095429448e-07	TRUE
