gene_id	lr	df	pvalue	adj_pvalue	N1_C.HQ.bam	N1_T.HQ.bam	N28_C.HQ.bam	N28_T.HQ.bam	R2_C.HQ.bam	R2_T.HQ.bam	R8_C.HQ.bam	R8_T.HQ.bam	gDPAU1	gDPAU2	dgDPAU	Note	feature_id	sig
RBM26:chr13:79318868:79320620:u1	63.4644422427278	2	1.65528000288633e-14	6.28509817095939e-11	0.973684210526316	0.230769230769231	0.833333333333333	0.407894736842105	0.928571428571429	0.351351351351351	0.882352941176471	0.367647058823529	0.904485478401887	0.339415594446554	0.565069883955333	lengthen	chr13_79319977_79319986_-_3UTR;chr13_79320394_79320411_-_3UTR;chr13_79320476_79320477_-_3UTR	Yes
PRPF4B:chr6:4060617:4064983:u1	53.7581847643123	1	2.26747625103934e-13	4.3048036625982e-10	0.703225806451613	0.348214285714286	0.83695652173913	0.517509727626459	0.854794520547945	0.451713395638629	0.887378640776699	0.425806451612903	0.820588872378847	0.435810965148069	0.384777907230778	lengthen	chr6_4061893_4061926_+_3UTR;chr6_4064971_4064988_+_3UTR	Yes
FAHD2A:chr2:95412958:95416616:u1	57.267126700176	3	2.25366065146623e-12	2.8523831645391e-09	0.363636363636364	0.222222222222222	0.418079096045198	0.261261261261261	0.490909090909091	0.202898550724638	0.594871794871795	0.133333333333333	0.466874086365612	0.204928841885364	0.261945244480248	lengthen	chr2_95413119_95413142_+_3UTR;chr2_95414926_95414929_+_3UTR;chr2_95415536_95415568_+_3UTR;chr2_95416592_95416617_+_3UTR	Yes
WDR36:chr5:111126884:111130502:u1	53.1792738114473	3	1.6789064342204e-11	1.59370193268371e-08	0.797979797979798	0.598639455782313	0.740112994350282	0.642276422764228	0.713333333333333	0.572327044025157	0.737179487179487	0.535135135135135	0.747151403210725	0.587094514426708	0.160056888784017	lengthen	chr5_111126977_111127025_+_3UTR;chr5_111128351_111128380_+_3UTR;chr5_111129697_111129715_+_3UTR;chr5_111130494_111130507_+_3UTR	Yes
DPH1:chr17:2042605:2044965:u2	43.8783798015411	1	3.49427506064593e-11	2.65355248105452e-08	0.41304347826087	0.15	0.440860215053763	0.212121212121212	0.458715596330275	0.161290322580645	0.504587155963303	0.127659574468085	0.454301611402053	0.162767777292486	0.291533834109567	lengthen	chr17_2043418_2043446_+_3UTR;chr17_2043883_2043904_+_3UTR	Yes
BSDC1:chr1:32364633:32368332:u1	41.4317223507765	1	1.22060484504875e-10	7.72439432775016e-08	0.771186440677966	0.954198473282443	0.607594936708861	0.895061728395062	0.586206896551724	0.982456140350877	0.537313432835821	0.975609756097561	0.625575426693593	0.951831524531486	-0.326256097837893	shorten	chr1_32365100_32365117_-_3UTR;chr1_32368019_32368020_-_3UTR	Yes
FBXO22:chr15:75933103:75942511:u2	47.9854083228388	4	9.50417064237394e-10	5.15533370415627e-07	0.666666666666667	0.223214285714286	0.680232558139535	0.395833333333333	0.661111111111111	0.380434782608696	0.660377358490566	0.298387096774194	0.66709692360197	0.324467374607627	0.342629548994343	lengthen	chr15_75934104_75934110_+_3UTR;chr15_75934561_75934614_+_3UTR;chr15_75935261_75935273_+_3UTR;chr15_75938517_75938565_+_3UTR;chr15_75938825_75938826_+_3UTR	Yes
TRAF7:chr16:2176575:2178129:u1	36.4459075271334	2	1.21862963860542e-08	5.78392092223097e-06	0.529032258064516	0.41324200913242	0.559375	0.477611940298508	0.602272727272727	0.486111111111111	0.571428571428571	0.480769230769231	0.565527139191454	0.464433572827817	0.101093566363636	lengthen	chr16_2176928_2176945_+_3UTR;chr16_2178041_2178075_+_3UTR;chr16_2178117_2178130_+_3UTR	Yes
AK2:chr1:33007940:33013402:u2	35.3097754792052	2	2.15069921242449e-08	9.07356101063974e-06	0.202970297029703	0.255952380952381	0.0947368421052631	0.292056074766355	0.128755364806867	0.244360902255639	0.153392330383481	0.252941176470588	0.144963708581328	0.261327633611241	-0.116363925029912	shorten	chr1_33007974_33007996_-_3UTR;chr1_33008874_33008888_-_3UTR;chr1_33009914_33009936_-_3UTR	Yes
LUC7L3:chr17:50750662:50756215:u1	34.0173237418931	2	4.10423297073602e-08	1.55837725898847e-05	0.606280193236715	0.487534626038781	0.626373626373626	0.532509752925878	0.631857555341675	0.527756939234809	0.622222222222222	0.496954314720812	0.62168339929356	0.51118890823007	0.11049449106349	lengthen	chr17_50752534_50752559_+_3UTR;chr17_50752619_50752649_+_3UTR;chr17_50752703_50752753_+_3UTR	Yes
NDUFA10:chr2:239957372:239961122:u2	32.188158907371	2	1.02430690873473e-07	3.53572121133252e-05	0.434146341463415	0.149425287356322	0.504739336492891	0.273615635179153	0.598101265822785	0.342756183745583	0.589041095890411	0.381763527054108	0.531507009917375	0.286890158333792	0.244616851583584	lengthen	chr2_239957323_239957381_-_3UTR;chr2_239959565_239959589_-_3UTR;chr2_239960721_239960754_-_3UTR	Yes
SNAPC3:chr9:15459867:15466733:u1	36.4126214315106	4	2.37981759346386e-07	7.53013950198524e-05	0.831730769230769	0.592592592592593	0.767605633802817	0.646067415730337	0.797945205479452	0.584782608695652	0.764285714285714	0.578947368421053	0.790391830699688	0.600597496359909	0.189794334339779	lengthen	chr9_15461618_15461642_+_3UTR;chr9_15462195_15462220_+_3UTR;chr9_15462453_15462477_+_3UTR;chr9_15462794_15462841_+_3UTR;chr9_15466721_15466768_+_3UTR	Yes
FAM162A:chr3:122409832:122412334:u1	26.121655749223	1	3.2056841119244e-07	8.62457560922884e-05	0.878787878787879	0.904255319148936	0.630434782608696	0.931818181818182	0.595238095238095	0.931506849315068	0.5	0.9375	0.651115189158667	0.926270087570547	-0.275154898411879	shorten	chr3_122409989_122410002_+_3UTR;chr3_122412323_122412340_+_3UTR	Yes
CPD:chr17:30464815:30469989:u1	35.657607598971	4	3.40307578664095e-07	8.62457560922884e-05	0.454545454545455	0.482638888888889	0.602272727272727	0.51	0.68	0.51171875	0.693251533742331	0.513940520446097	0.607517428890128	0.504574539833746	0.102942889056382	lengthen	chr17_30466410_30466423_+_3UTR;chr17_30467331_30467358_+_3UTR;chr17_30467679_30467700_+_3UTR;chr17_30468666_30468691_+_3UTR;chr17_30469297_30469318_+_3UTR	Yes
CTDSPL2:chr15:44524175:44529038:u1	32.8841199377589	3	3.40712757804668e-07	8.62457560922884e-05	0.67741935483871	0.666666666666667	0.76271186440678	0.642857142857143	0.842342342342342	0.582655826558266	0.896090534979424	0.542483660130719	0.794641024141814	0.608665824053199	0.185975200088615	lengthen	chr15_44525989_44526007_+_3UTR;chr15_44526170_44526192_+_3UTR;chr15_44527215_44527257_+_3UTR;chr15_44529023_44529042_+_3UTR	Yes
LGALS8:chr1:236548162:236552979:u1	25.5484974129286	1	4.31401877182779e-07	9.64493989871164e-05	0.811594202898551	0.495726495726496	0.826771653543307	0.554838709677419	0.899497487437186	0.625377643504532	0.945841392649903	0.72752808988764	0.870926184132237	0.600867734699022	0.270058449433215	lengthen	chr1_236549253_236549277_+_3UTR;chr1_236550847_236550868_+_3UTR	Yes
MAP3K7:chr6:90513580:90516648:u1	29.310490532298	2	4.31825067890698e-07	9.64493989871164e-05	0.56	0.396825396825397	0.574380165289256	0.474874371859296	0.597633136094674	0.478622327790974	0.607758620689655	0.442424242424242	0.584942980518396	0.448186584724977	0.136756395793419	lengthen	chr6_90513540_90513588_-_3UTR;chr6_90515601_90515612_-_3UTR;chr6_90515676_90515715_-_3UTR	Yes
