gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
CACNA2D1	4.90046654625561e-15	chr7:81950001:-,chr7:81951679:-,chr7:81971780:-,chr7:81984635:-	6,12,0,0	11,0,33,33	0.25,0.5,0,0	0.085,0,0.254,0.254	0.583333333333333	0.169666666666667	0.413666666666667	distal	9.07076357711914e-12	TRUE
CDC42	2.66639473962619e-14	chr1:22090127:+,chr1:22090807:+,chr1:22091599:+,chr1:22092414:+,chr1:22092943:+	16,70,63,12,61	56,302,73,15,57	0.07,0.306,0.275,0.052,0.266	0.108,0.584,0.141,0.029,0.11	0.519	0.34825	0.17075	distal	1.80491760617692e-11	TRUE
YWHAZ	2.92531216560279e-14	chr8:100918576:-,chr8:100918727:-,chr8:100919541:-,chr8:100919700:-,chr8:100919924:-,chr8:100919980:-	86,150,40,156,89,50	76,217,22,349,227,155	0.137,0.24,0.064,0.249,0.142,0.08	0.067,0.191,0.019,0.307,0.2,0.136	0.4954	0.394	0.1014	distal	1.80491760617692e-11	TRUE
MAP4	5.24616190729461e-14	chr3:47850695:-,chr3:47916622:-,chr3:47916689:-,chr3:47973079:-	17,35,25,11	1,6,12,52	0.173,0.357,0.255,0.112	0.012,0.071,0.143,0.619	0.496	0.107	0.389	distal	2.42766142260058e-11	TRUE
HNRNPA1	7.65785997945984e-14	chr12:54284881:+,chr12:54285246:+,chr12:54287087:+	585,791,52	368,920,71	0.402,0.543,0.036	0.261,0.652,0.05	0.3075	0.376	-0.0685	proximal	2.83493976439603e-11	FALSE
RTN4	7.44925316614245e-13	chr2:54972189:-,chr2:55026078:-,chr2:55026600:-,chr2:55027115:-	96,5,139,83	68,59,272,166	0.263,0.014,0.381,0.227	0.098,0.085,0.39,0.238	0.399333333333333	0.284666666666667	0.114666666666667	distal	2.29809460175495e-10	TRUE
HSP90AB1	1.15872115121732e-12	chr6:44250447:+,chr6:44251139:+,chr6:44253883:+	273,173,293	412,466,330	0.35,0.222,0.376	0.322,0.364,0.258	0.487	0.44	0.047	distal	3.06398978700467e-10	FALSE
MAP2	4.08539652699961e-12	chr2:209580099:+,chr2:209692830:+,chr2:209692958:+,chr2:209693544:+,chr2:209693923:+,chr2:209725730:+,chr2:209729898:+,chr2:209730502:+,chr2:209730895:+,chr2:209734112:+	32,45,6,19,19,50,32,50,28,47	31,114,27,46,33,52,27,56,10,17	0.077,0.108,0.014,0.046,0.046,0.12,0.077,0.12,0.067,0.113	0.057,0.211,0.05,0.085,0.061,0.096,0.05,0.104,0.018,0.031	0.434777777777778	0.304555555555556	0.130222222222222	distal	9.45258621434536e-10	TRUE
RBBP4	2.77560227024399e-11	chr1:32676639:+,chr1:32680505:+,chr1:32680653:+,chr1:32680802:+,chr1:32681880:+	14,15,46,10,11	0,41,84,0,0	0.123,0.132,0.404,0.088,0.096	0,0.304,0.622,0,0	0.397	0.387	0.01	distal	5.70848866913514e-09	FALSE
EIF2S2	3.52344791564262e-11	chr20:34088309:-,chr20:34089440:-,chr20:34096691:-,chr20:34098548:-,chr20:34101842:-,chr20:34103499:-	14,34,0,10,16,20	0,60,14,30,0,23	0.144,0.351,0,0.103,0.165,0.206	0,0.451,0.105,0.226,0,0.173	0.499	0.5142	-0.0152	proximal	6.52190209185448e-09	FALSE
