gene_id	p_value	FDR	sig	tss_id	pas_id
AKAP9	0	0	TRUE	chr7:91940840:+;chr7:91941079:+;chr7:92097700:+;chr7:92098154:+	chr7:92000950:+;chr7:92001737:+;chr7:92002099:+;chr7:92110668:+
ANK2	0	0	TRUE	chr4:112817997:+;chr4:113049522:+;chr4:113049622:+;chr4:113049729:+;chr4:113174416:+;chr4:113240498:+;chr4:113292460:+;chr4:113292925:+;chr4:113293328:+;chr4:113318585:+;chr4:113330252:+;chr4:113333073:+;chr4:113333148:+;chr4:113341712:+;chr4:113357694:+;chr4:113358808:+;chr4:113369702:+;chr4:113373317:+	chr4:113353763:+;chr4:113239664:+;chr4:113383732:+
ASH1L	0	0	TRUE	chr1:155349351:-;chr1:155370868:-;chr1:155521618:-;chr1:155562693:-;chr1:155562803:-;chr1:155563092:-	chr1:155336829:-;chr1:155479905:-;chr1:155480731:-
ATRX	0	0	TRUE	chrX:77521421:-;chrX:77589872:-;chrX:77600540:-;chrX:77633321:-;chrX:77698580:-;chrX:77786204:-	chrX:77506893:-;chrX:77682296:-;chrX:77664668:-;chrX:77682399:-;chrX:77682937:-;chrX:77683973:-
BAZ2B	0	0	TRUE	chr2:159347593:-;chr2:159555864:-;chr2:159615560:-;chr2:159616450:-;chr2:159616505:-;chr2:159712430:-	chr2:159318979:-;chr2:159404850:-;chr2:159350326:-;chr2:159389459:-
CCDC88A	0	0	TRUE	chr2:55296455:-;chr2:55296684:-;chr2:55301211:-;chr2:55301272:-;chr2:55309207:-;chr2:55312574:-;chr2:55315952:-;chr2:55316051:-;chr2:55318904:-;chr2:55344472:-;chr2:55362354:-;chr2:55364019:-;chr2:55388844:-;chr2:55418951:-;chr2:55419276:-;chr2:55419499:-	chr2:55287845:-;chr2:55288084:-;chr2:55288188:-;chr2:55290171:-;chr2:55334367:-;chr2:55334899:-
CEP170	0	0	TRUE	chr1:243129439:-;chr1:243140074:-;chr1:243140363:-;chr1:243156821:-;chr1:243164494:-;chr1:243186280:-;chr1:243186409:-;chr1:243200814:-;chr1:243254470:-;chr1:243255216:-;chr1:243255406:-	chr1:243124428:-;chr1:243164980:-;chr1:243165096:-;chr1:243165893:-
DYNC1H1	0	0	TRUE	chr14:101964573:+;chr14:101964688:+;chr14:102008249:+;chr14:102011979:+;chr14:102027507:+;chr14:102028011:+;chr14:102032279:+;chr14:102032435:+;chr14:102033157:+;chr14:102036494:+;chr14:102039491:+;chr14:102039546:+;chr14:102040313:+;chr14:102041660:+;chr14:102042118:+	chr14:101983472:+;chr14:102050792:+
GOLGB1	0	0	TRUE	chr3:121690730:-;chr3:121718501:-;chr3:121730973:-;chr3:121749461:-;chr3:121749676:-;chr3:121749866:-;chr3:121749966:-	chr3:121663201:-;chr3:121697376:-;chr3:121697545:-;chr3:121697876:-
HSP90AA1	0	0	TRUE	chr14:102084798:-;chr14:102086331:-;chr14:102087044:-;chr14:102139465:-;chr14:102139686:-	chr14:102081050:-;chr14:102084841:-;chr14:102084921:-
KMT2C	0	0	TRUE	chr7:152148411:-;chr7:152148684:-;chr7:152151492:-;chr7:152152823:-;chr7:152177438:-;chr7:152181350:-;chr7:152182594:-;chr7:152183163:-;chr7:152194261:-;chr7:152435786:-;chr7:152435936:-;chr7:152436567:-;chr7:152436641:-	chr7:152134928:-;chr7:152162751:-;chr7:152177046:-;chr7:152202968:-
MAP4	0	0	TRUE	chr3:47857478:-;chr3:47891336:-;chr3:47892575:-;chr3:47928302:-;chr3:48088801:-;chr3:48089203:-;chr3:48089272:-	chr3:47850695:-;chr3:47851558:-;chr3:47973079:-
NCOR1	0	0	TRUE	chr17:16039466:-;chr17:16047035:-;chr17:16057723:-;chr17:16057935:-;chr17:16080007:-;chr17:16080513:-;chr17:16091918:-;chr17:16194611:-;chr17:16215401:-;chr17:16215529:-	chr17:16031406:-;chr17:16126121:-;chr17:16126177:-;chr17:16137369:-;chr17:16149453:-
PPP1R12A	0	0	TRUE	chr12:79788752:-;chr12:79796790:-;chr12:79797237:-;chr12:79805816:-;chr12:79821118:-;chr12:79872872:-;chr12:79934715:-;chr12:79934931:-;chr12:79935097:-;chr12:79935455:-	chr12:79773826:-;chr12:79797300:-
SMARCA4	0	0	TRUE	chr19:10960932:+;chr19:10961321:+;chr19:10984124:+;chr19:10984279:+;chr19:10986420:+;chr19:10989425:+;chr19:10991175:+;chr19:10991260:+;chr19:10994852:+;chr19:10994921:+;chr19:10994998:+;chr19:10996264:+;chr19:11003110:+;chr19:11007902:+;chr19:11010394:+;chr19:11019014:+;chr19:11019603:+;chr19:11021748:+;chr19:11030799:+;chr19:11033487:+;chr19:11034123:+;chr19:11035022:+;chr19:11041439:+	chr19:10996376:+;chr19:11062273:+
