gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
MSMO1	1.5878196001132e-17	chr4:165341915:+,chr4:165342063:+,chr4:165343006:+,chr4:165343070:+,chr4:165343164:+	80,61,2,137,131	7,1,14,21,21	0.193,0.147,0.005,0.33,0.316	0.109,0.016,0.219,0.328,0.328	0.60275	0.6875	-0.08475	proximal	2.01558879523309e-14	FALSE
VCAN	2.68208755187371e-17	chr5:83520452:+,chr5:83537169:+,chr5:83538176:+,chr5:83580635:+	33,24,14,37	0,58,8,0	0.213,0.155,0.09,0.239	0,0.716,0.099,0	0.350666666666667	0.304666666666667	0.046	distal	2.01558879523309e-14	FALSE
RPL15	3.81429510016487e-15	chr3:23919552:+,chr3:23919783:+,chr3:23920772:+,chr3:23920847:+	376,176,148,168	222,16,37,52	0.427,0.2,0.168,0.191	0.661,0.048,0.11,0.155	0.369666666666667	0.244333333333333	0.125333333333333	distal	1.9109618451826e-12	TRUE
CSNK1A1	8.62209569426376e-15	chr5:149493238:-,chr5:149495984:-,chr5:149509933:-,chr5:149513127:-	0,22,61,13	15,0,7,17	0,0.218,0.604,0.129	0.357,0,0.167,0.405	0.346666666666667	0.412666666666667	-0.066	proximal	3.23975245711961e-12	FALSE
IQGAP2	2.26984203365292e-14	chr5:76502273:+,chr5:76590448:+,chr5:76606298:+,chr5:76637171:+,chr5:76698147:+	0,12,19,16,12	11,0,0,0,0	0,0.145,0.229,0.193,0.145	0.647,0,0,0,0	0.4405	0	0.4405	distal	6.82314515316067e-12	TRUE
FAM83D	3.02684621498103e-14	chr20:38953035:+,chr20:38953096:+	7,14	82,0	0.333,0.667	0.988,0	0.667	0	0.667	distal	7.58224976852748e-12	TRUE
CPE	5.13969600839209e-13	chr4:165495647:+,chr4:165497756:+,chr4:165498003:+,chr4:165498177:+	1,1,0,38	20,14,11,7	0.02,0.02,0,0.776	0.385,0.269,0.212,0.135	0.782666666666667	0.366	0.416666666666667	distal	1.10356615723047e-10	TRUE
MOXD1	2.37381102634998e-12	chr6:132296055:-,chr6:132296171:-,chr6:132296855:-	239,47,11	3,2,6	0.754,0.148,0.035	0.158,0.105,0.316	0.828	0.2105	0.6175	distal	4.45979746575502e-10	TRUE
GOLM1	5.85429425234763e-12	chr9:86026141:-,chr9:86026915:-,chr9:86027699:-	53,64,7	38,0,17	0.402,0.485,0.053	0.594,0,0.266	0.6445	0.594	0.0505000000000001	distal	9.77667140142054e-10	FALSE
TXNL1	3.00473301283793e-11	chr18:56602822:-,chr18:56602900:-	98,2	20,19	0.883,0.018	0.435,0.413	0.883	0.435	0.448	distal	4.51611371829541e-09	TRUE
SRPK2	6.8002128769276e-11	chr7:105117426:-,chr7:105142445:-,chr7:105143197:-,chr7:105143286:-	0,12,12,39	10,1,3,1	0,0.154,0.154,0.5	0.667,0.067,0.2,0.067	0.154	0.778333333333333	-0.624333333333333	proximal	8.63769188137126e-09	TRUE
GTF2I	6.89636078352995e-11	chr7:74698999:+,chr7:74735492:+,chr7:74744789:+,chr7:74749451:+,chr7:74758817:+,chr7:74760692:+	13,32,14,3,12,11	3,2,0,17,0,4	0.117,0.288,0.126,0.027,0.108,0.099	0.097,0.065,0,0.548,0,0.129	0.3096	0.4708	-0.1612	proximal	8.63769188137126e-09	TRUE
PCNT	2.52832774350672e-10	chr21:46357133:+,chr21:46363573:+	1,18	29,0	0.029,0.529	0.617,0	0.529	0	0.529	distal	2.88859709820882e-08	TRUE
PPP1R12A	2.90252814348029e-10	chr12:79797300:-,chr12:79805724:-,chr12:79809864:-,chr12:79820856:-,chr12:79822120:-	29,10,0,19,11	4,0,15,2,6	0.315,0.109,0,0.207,0.12	0.114,0,0.429,0.057,0.171	0.4485	0.34275	0.10575	distal	2.88859709820882e-08	TRUE
EXOC1	3.09422648334426e-10	chr4:55883916:+,chr4:55899821:+,chr4:55905018:+	0,26,11	11,1,0	0,0.578,0.244	0.846,0.077,0	0.533	0.0385	0.4945	distal	2.88859709820882e-08	TRUE
RBBP4	3.13716093909914e-10	chr1:32680505:+,chr1:32680653:+,chr1:32686211:+	10,153,2	33,84,19	0.061,0.927,0.012	0.226,0.575,0.13	0.4755	0.4175	0.0580000000000001	distal	2.88859709820882e-08	FALSE
SMC4	3.2672089600499e-10	chr3:160412058:+,chr3:160412339:+,chr3:160413571:+,chr3:160414412:+,chr3:160414516:+,chr3:160416412:+,chr3:160430650:+,chr3:160431190:+,chr3:160431821:+	20,10,39,25,22,18,20,0,4	31,9,23,11,2,19,34,18,20	0.1,0.05,0.194,0.124,0.109,0.09,0.1,0,0.02	0.137,0.04,0.102,0.049,0.009,0.084,0.15,0.08,0.088	0.307	0.376375	-0.069375	proximal	2.88859709820882e-08	FALSE
ITFG1	3.71795686301783e-10	chr16:47154387:-,chr16:47154598:-,chr16:47155394:-	24,0,19	2,14,2	0.48,0,0.38	0.105,0.737,0.105	0.48	0.4735	0.00650000000000001	distal	3.06262797623368e-08	FALSE
CCT5	3.8715855986986e-10	chr5:10258499:+,chr5:10264926:+,chr5:10265080:+	16,26,39	19,2,105	0.182,0.295,0.443	0.145,0.015,0.802	0.5905	0.8095	-0.219	proximal	3.06262797623368e-08	TRUE
SUMO1	9.58742536852706e-10	chr2:202206182:-,chr2:202206486:-,chr2:202206592:-,chr2:202206776:-	7,58,30,30	39,30,8,15	0.055,0.453,0.234,0.234	0.386,0.297,0.079,0.149	0.435	0.610333333333333	-0.175333333333333	proximal	7.20495016444809e-08	TRUE
SLC39A6	1.21424973766314e-09	chr18:36108531:-,chr18:36109094:-,chr18:36109164:-,chr18:36122053:-	28,0,46,59	9,13,5,19	0.204,0,0.336,0.431	0.17,0.245,0.094,0.358	0.316	0.364666666666667	-0.0486666666666667	proximal	8.69055883670336e-08	FALSE
VPS35	1.29737034392383e-09	chr16:46659677:-,chr16:46659789:-,chr16:46660469:-	15,24,4	1,0,17	0.283,0.453,0.075	0.056,0,0.944	0.5095	0.056	0.4535	distal	8.86339830417055e-08	TRUE
GPBP1	1.58382817483177e-09	chr5:57176333:+,chr5:57231158:+,chr5:57247110:+,chr5:57263085:+,chr5:57263247:+	38,0,13,14,14	18,13,0,1,0	0.463,0,0.159,0.171,0.171	0.429,0.31,0,0.024,0	0.37875	0.0955	0.28325	distal	1.03448083041568e-07	TRUE
