gene_symbol	PASid	RED	pvalue	p_adj	APAreg
A1BG-AS1	19:58354039:+	-0.207391094578336	0.896180770730324	0.945084200264474	NC
A4GALT	22:42695171:-	0.146612399158472	0.757509021114821	0.945084200264474	NC
AAAS	12:53307890:-	-0.360311805517791	0.487383047619972	0.833421586515257	NC
AAAS	12:53314774:-	-0.138860955901193	0.36711621753151	0.833421586515257	NC
AAAS	12:53314794:-	0.0143239894080218	0.951207084252218	0.9547180343329	NC
AACS	12:125125036:+	-0.584347387855581	0.0285913299409466	0.243323473352894	DN
AACS	12:125134853:+	-0.271513982246412	0.260976016885649	0.833421586515257	NC
AACS	12:125136740:+	-0.70659699745417	4.69474359212047e-05	0.0931677826592691	DN
AACS	12:125136795:+	-0.580800953828293	0.00245241651271941	0.0931677826592691	DN
AADAT	4:170070477:-	-0.313704074406434	0.923339304331345	0.945084200264474	NC
AAK1	2:69465846:-	-2.10812116681098	0.371364940671915	0.833421586515257	NC
AAK1	2:69642877:-	-0.359588677822856	0.215227141845345	0.833421586515257	NC
AAMDC	11:77872352:+	0.0562529211078928	0.943061575286046	0.947309332416178	NC
AAMDC	11:77872354:+	0.0562265464227405	0.943081827385237	0.947328821998241	NC
AAMP	2:218267380:-	-0.199898056048693	0.463009231204057	0.833421586515257	NC
AARS1	16:70254269:-	3.20564938919786	0.5	0.833421586515257	NC
AARS1	16:70255442:-	-3.29474448115897	0.5	0.833421586515257	NC
AARS1	16:70262473:-	0	NA	NA	NC
AARSD1	17:42954849:-	0.0438263586176211	0.540758246917111	0.833421586515257	NC
AARSD1	17:42955090:-	0.0539709083899405	0.490705718081372	0.833421586515257	NC
AARSD1	17:42955274:-	0	NA	NA	NC
AARSD1	17:42955439:-	0	NA	NA	NC
AARSD1	17:42956028:-	0	NA	NA	NC
AARSD1	17:42960942:-	-0.496168847706787	0.431937353671168	0.833421586515257	NC
AASDH	4:56348928:-	0.212068063137623	0.796354122509379	0.945084200264474	NC
AASDH	4:56382424:-	-0.227908716217693	0.264067876832265	0.833421586515257	NC
AATF	17:37021154:+	0.380339697434249	0.637049130756677	0.849722073021636	NC
AATF	17:37021455:+	0.288758293076387	0.85146106530227	0.945084200264474	NC
AATK	17:81122509:-	0.00453544243111859	0.996352251199533	0.996550734511449	NC
AATK	17:81122619:-	0.18316185123199	0.840822725534856	0.945084200264474	NC
AATK	17:81124962:-	0	NA	NA	NC
AATK	17:81126446:-	-0.273235310199135	0.648820908077659	0.86484418488795	NC
ABAT	16:8715633:+	0.246280122587942	0.115700986561869	0.833421586515257	NC
ABAT	16:8746025:+	0	NA	NA	NC
ABCA17P	16:2339610:+	-0.367300596713079	0.667412360724536	0.888978184243217	NC
ABCA17P	16:2361512:+	-0.664974712790399	0.262655090019045	0.833421586515257	NC
ABCA17P	16:2361656:+	-0.785708867455879	0.177588244814161	0.833421586515257	NC
ABCA17P	16:2361658:+	-0.742312339526859	0.179672920437948	0.833421586515257	NC
ABCA17P	16:2361663:+	-0.743507942088659	0.179918641732987	0.833421586515257	NC
ABCA17P	16:2361668:+	-0.744637566505122	0.1801875821568	0.833421586515257	NC
ABCA17P	16:2361670:+	-0.745438465344422	0.18007719934327	0.833421586515257	NC
ABCA17P	16:2361672:+	-0.746241553971878	0.179965839374331	0.833421586515257	NC
ABCA17P	16:2362673:+	0.000611303291547127	0.999186287196697	0.999194355163291	NC
ABCA2	9:137008236:-	0	NA	NA	NC
ABCA2	9:137009351:-	-0.0129772508129151	0.85274500163215	0.945084200264474	NC
ABCA2	9:137019426:-	1.00885796042254	0.885357958812267	0.945084200264474	NC
ABCA2	9:137023813:-	-6.61032397930268	0.0655498775734677	0.52342226223206	NC
ABCA3	16:2289048:-	0	NA	NA	NC
ABCA3	16:2323339:-	-0.429373671737653	0.355401702662586	0.833421586515257	NC
ABCA5	17:69248260:-	-0.188458859235921	0.448026340327785	0.833421586515257	NC
ABCA5	17:69249288:-	-0.307115692963566	0.301248033762204	0.833421586515257	NC
ABCA5	17:69316900:-	-0.0949662102765005	0.835917245936221	0.945084200264474	NC
ABCA7	19:1041682:+	-1.01352690445563	0.0786374120309491	0.624095886272808	NC
ABCA7	19:1042465:+	-1.43180851722368	0.118605111367112	0.833421586515257	NC
ABCA7	19:1042744:+	0.58411970291894	0.423751086132904	0.833421586515257	NC
ABCB1	7:87515228:-	-0.113523789781203	0.588787428358614	0.833421586515257	NC
ABCB4	7:87402096:-	0.0344632644586529	0.61382476646711	0.835826943204343	NC
ABCB4	7:87423849:-	-0.364390917783835	0.504722854451056	0.833421586515257	NC
ABCB6	2:219213240:-	-0.20110307348538	0.481810527900029	0.833421586515257	NC
ABCB6	2:219215029:-	0	NA	NA	NC
ABCB8	7:151031626:+	0.869248818807722	0.706321771390686	0.939094377974852	NC
ABCB8	7:151033034:+	0.383624711984659	0.474062177017547	0.833421586515257	NC
ABCB8	7:151033060:+	0.233357341643754	0.686920840802342	0.914054248438156	NC
ABCB8	7:151033242:+	-0.964505062403754	0.779099312048252	0.945084200264474	NC
ABCB8	7:151033698:+	-0.253346100614163	0.736169293597714	0.945084200264474	NC
ABCB8	7:151033750:+	-0.141778579888067	0.599853702004298	0.833421586515257	NC
ABCB8	7:151033842:+	-0.23918348059531	0.122949672326246	0.833421586515257	NC
ABCB8	7:151037524:+	-0.466717863762276	0.367042736665232	0.833421586515257	NC
ABCB8	7:151037570:+	-0.476893761703346	0.352758714939858	0.833421586515257	NC
ABCB8	7:151037586:+	-0.473946016358922	0.370571373310872	0.833421586515257	NC
ABCC10	6:43432176:+	0	NA	NA	NC
ABCC10	6:43435156:+	1.7932275326923	0.216075837324181	0.833421586515257	NC
ABCC10	6:43442061:+	-0.083545130328189	0.691788998923862	0.92031893863007	NC
ABCC10	6:43447437:+	-0.0390386054587155	0.789682336641512	0.945084200264474	NC
ABCC4	13:95075041:-	1.26905374178066	0.393389362929513	0.833421586515257	NC
ABCC4	13:95095769:-	1.4558479889763	0.108322548568283	0.833421586515257	NC
ABCC4	13:95095797:-	1.42931024271971	0.108347649547898	0.833421586515257	NC
ABCC4	13:95095944:-	1.2940076978616	0.099246209891521	0.780155911379997	NC
ABCC5	3:183983753:-	0.621725061291854	0.069033470091019	0.550230845465659	NC
ABCC5	3:184000663:-	0.324052245743173	0.680942538858644	0.906330740620222	NC
ABCC6	16:16202000:-	0.924319283236741	0.171793488929147	0.833421586515257	NC
ABCC6	16:16221187:-	0.134223957339404	0.0771589525856144	0.612680629058187	NC
ABCC6P1	16:18573828:+	-1.01200810107176	0.153414325096798	0.833421586515257	NC
ABCC8	11:17393108:-	-0.455133492562417	0.5	0.833421586515257	NC
ABCC8	11:17394287:-	0.456183625206242	0.371842645488798	0.833421586515257	NC
ABCC8	11:17396933:-	0.610441688103337	0.326005176858898	0.833421586515257	NC
ABCC8	11:17396935:-	0.537737720658259	0.360870360715629	0.833421586515257	NC
ABCC8	11:17397155:-	1.05024130131907	0.13797420703645	0.833421586515257	NC
ABCC8	11:17427886:-	0.281392716029264	0.237401719521636	0.833421586515257	NC
ABCC8	11:17427905:-	0.389655448658006	0.306095083287427	0.833421586515257	NC
ABCD1	X:153729897:+	-0.431417683602797	0.314645622170853	0.833421586515257	NC
ABCD3	1:94478723:+	-1.03256458993359	0.33831239932585	0.833421586515257	NC
ABCD4	14:74289079:-	0.717042305442874	0.327827562777312	0.833421586515257	NC
ABCD4	14:74289301:-	2.52205113898701	0.553863226936398	0.833421586515257	NC
ABCD4	14:74290347:-	-0.0733404407181312	0.298714416119835	0.833421586515257	NC
ABCD4	14:74290378:-	-0.0892435694146578	0.341338244893709	0.833421586515257	NC
ABCD4	14:74292312:-	-0.289981574336128	0.0965736109501858	0.760090556576024	NC
ABCD4	14:74292322:-	-0.317002641791356	0.144555233218613	0.833421586515257	NC
ABCD4	14:74292551:-	-0.307403368604008	0.211146918886126	0.833421586515257	NC
ABCD4	14:74292604:-	-0.150732369010982	0.542795098166099	0.833421586515257	NC
ABCD4	14:74292748:-	-0.276808929258021	0.160654490062982	0.833421586515257	NC
ABCD4	14:74292775:-	0	NA	NA	NC
ABCD4	14:74292831:-	0	NA	NA	NC
ABCD4	14:74294054:-	0.806752526742754	0.63798902146765	0.850831157829171	NC
ABCD4	14:74295730:-	-1.14858864177028	0.308541468896431	0.833421586515257	NC
ABCD4	14:74295879:-	-0.373750801532026	0.0986310475330038	0.775593726236741	NC
ABCD4	14:74297836:-	-0.796209998346454	0.0822955523056879	0.652236592739997	NC
