gene_id	chisq	pvalue	adj_pvalue	ExDp	ExNExM	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
HNRNPK	78.3952624880305	1.81739577986761e-15	3.01324220302049e-12	0.546268656716418	0.436216216216216	0.110052440500202	chr9:83968909:-_vs_chr9:83968178:-	0.472986419255076	chr9:83968083:-;chr9:83968178:-;chr9:83968344:-;chr9:83968909:-;chr9:83974537:-;chr9:83978257:-	distal	TRUE
GDI2	41.7235337696501	1.0513583721672e-10	8.71576090526609e-08	0.4	0.941176470588235	-0.541176470588235	chr10:5765913:-_vs_chr10:5765223:-	-1.08235294117647	chr10:5765223:-;chr10:5765913:-	proximal	TRUE
FADS2	40.0521634615385	2.47270724401347e-10	1.02894503992969e-07	0.470588235294118	0.980769230769231	-0.510180995475113	chr11:61864229:+_vs_chr11:61867354:+	-1.02036199095023	chr11:61864229:+;chr11:61867354:+	proximal	TRUE
CNN3	47.6870401770749	2.48237645338889e-10	1.02894503992969e-07	0.125	0.821656050955414	-0.696656050955414	chr1:94901708:-_vs_chr1:94896957:-	-1.38057324840764	chr1:94896957:-;chr1:94897208:-;chr1:94897617:-;chr1:94901708:-	proximal	TRUE
NSG1	54.7293261648094	5.25705532166947e-10	1.7432395446656e-07	0.682539682539682	0.706481481481481	-0.023941798941799	chr4:4417738:+_vs_chr4:4418468:+	0.230555555555556	chr4:4417738:+;chr4:4418332:+;chr4:4418468:+;chr4:4418546:+;chr4:4418587:+;chr4:4418690:+;chr4:4419058:+	distal	TRUE
UBE2I	42.1397588524649	7.07078498183774e-10	1.9538935833145e-07	0.241935483870968	0.0546448087431694	0.187290675127798	chr16:1325350:+_vs_chr16:1327015:+	0.374581350255597	chr16:1325350:+;chr16:1326766:+;chr16:1327015:+	distal	TRUE
CAPRIN1	46.9824887516205	1.5377758856124e-09	3.64233202620765e-07	0.778409090909091	0.361702127659574	0.416706963249517	chr11:34091967:+_vs_chr11:34101141:+	0.890232108317215	chr11:34091967:+;chr11:34099056:+;chr11:34099516:+;chr11:34100493:+;chr11:34101141:+	distal	TRUE
SETD2	40.1142857142857	1.94667537146217e-09	3.83395083343655e-07	1	0.375	0.625	chr3:47122924:-_vs_chr3:47122819:-	1.32142857142857	chr3:47122819:-;chr3:47122924:-;chr3:47123603:-	distal	TRUE
GFOD2	39.8632943143813	2.20696590758928e-09	3.83395083343655e-07	0.717391304347826	0.75	-0.0326086956521739	chr16:67680743:-_vs_chr16:67674538:-	-0.880434782608696	chr16:67674538:-;chr16:67680743:-;chr16:67682024:-	proximal	TRUE
SRI	39.7699641458962	2.3123949538218e-09	3.83395083343655e-07	0.513513513513514	0.113924050632911	0.399589462880602	chr7:88206289:-_vs_chr7:88205851:-	1.02052685596989	chr7:88205115:-;chr7:88205851:-;chr7:88206289:-	distal	TRUE
PPP2R5E	51.0863863751433	2.84593170196615e-09	4.28959523805444e-07	0.547619047619048	0.423371647509579	0.124247400109469	chr14:63376003:-_vs_chr14:63374241:-	0.561576354679803	chr14:63374241:-;chr14:63374685:-;chr14:63374734:-;chr14:63375842:-;chr14:63376003:-;chr14:63376081:-;chr14:63391820:-	distal	TRUE
BRWD1	45.02796513831	3.92308570951369e-09	5.42039675531141e-07	0.622549019607843	0.683823529411765	-0.0612745098039216	chr21:39296437:-_vs_chr21:39250818:-	-0.735294117647059	chr21:39236611:-;chr21:39250818:-;chr21:39296437:-;chr21:39296480:-;chr21:39296775:-	proximal	TRUE
SMARCA5	47.5916009926785	4.30335942031523e-09	5.4884383991405e-07	0.7	0.362376237623762	0.337623762376238	chr4:143528017:+_vs_chr4:143550064:+	0.602918186555498	chr4:143528017:+;chr4:143534951:+;chr4:143543538:+;chr4:143543971:+;chr4:143548058:+;chr4:143550064:+	distal	TRUE
TPR	42.7922514267342	1.14275614462063e-08	1.34386118705646e-06	0.689655172413793	0.246153846153846	0.443501326259947	chr1:186359936:-_vs_chr1:186338063:-	0.818037135278515	chr1:186338063:-;chr1:186346164:-;chr1:186355500:-;chr1:186359936:-;chr1:186363420:-	distal	TRUE
PALMD	36.4243756243756	1.2318202232348e-08	1.34386118705646e-06	0.433333333333333	0.538461538461538	-0.105128205128205	chr1:99690074:+_vs_chr1:99694372:+	-1.20512820512821	chr1:99687181:+;chr1:99690074:+;chr1:99694372:+	proximal	TRUE
TERF2IP	42.4212326884358	1.36429087480329e-08	1.34386118705646e-06	0.570422535211268	0.655427631578947	-0.0850050963676797	chr16:75656326:+_vs_chr16:75657432:+	-0.344607116382506	chr16:75654357:+;chr16:75655437:+;chr16:75656326:+;chr16:75656801:+;chr16:75657432:+	proximal	TRUE
JAK1	32.2182506789188	1.37790350904462e-08	1.34386118705646e-06	0.923076923076923	0	0.923076923076923	chr1:64864911:-_vs_chr1:64833229:-	1.84615384615385	chr1:64833229:-;chr1:64864911:-	distal	TRUE
USP48	41.098835978836	2.56411031644602e-08	2.36183050259306e-06	0.485714285714286	0.472222222222222	0.0134920634920635	chr1:21721037:-_vs_chr1:21706528:-	0.774603174603175	chr1:21706528:-;chr1:21715435:-;chr1:21721037:-;chr1:21747129:-;chr1:21756547:-	distal	TRUE
ADD2	34.2793367613086	3.60028267530699e-08	3.14172035560999e-06	0.942857142857143	0.52112676056338	0.421730382293763	chr2:70674673:-_vs_chr2:70663482:-	0.969818913480885	chr2:70663482:-;chr2:70674673:-;chr2:70675084:-	distal	TRUE
VCAN	44.3053584200066	6.42977238040843e-08	5.33028130335859e-06	0.504781420765027	0.457537154989384	0.047244265775643	chr5:83539490:+_vs_chr5:83580635:+	0.249504020048032	chr5:83519909:+;chr5:83520452:+;chr5:83537169:+;chr5:83538176:+;chr5:83539361:+;chr5:83539490:+;chr5:83580635:+	distal	TRUE
CDC42	36.1632072217853	6.91639094293023e-08	5.46065532541825e-06	0.345238095238095	0.477053140096618	-0.131815044858523	chr1:22090807:+_vs_chr1:22091599:+	-0.226237530585357	chr1:22090127:+;chr1:22090807:+;chr1:22091599:+;chr1:22092943:+	proximal	TRUE
YWHAB	35.6613045310424	8.83055151010741e-08	6.65502472898095e-06	0.727272727272727	0.596153846153846	0.131118881118881	chr20:44908400:+_vs_chr20:44908520:+	0.666083916083916	chr20:44905027:+;chr20:44908131:+;chr20:44908400:+;chr20:44908520:+	distal	TRUE
SNX6	34.2626262626263	1.74372372139029e-07	1.22522826294327e-05	0.111111111111111	0.675925925925926	-0.564814814814815	chr14:34581566:-_vs_chr14:34561409:-	-1.19444444444444	chr14:34561409:-;chr14:34562403:-;chr14:34563019:-;chr14:34581566:-	proximal	TRUE
TUBB2B	31.0902236131658	1.77355116469473e-07	1.22522826294327e-05	0.0420991926182238	0.100877192982456	-0.0587780003642324	chr6:3224496:-_vs_chr6:3224264:-	-0.117556000728465	chr6:3224264:-;chr6:3224403:-;chr6:3224496:-	proximal	FALSE
TBCD	27.1251345486111	1.90702315068845e-07	1.26473775353658e-05	0	1	-1	chr17:82937314:+_vs_chr17:82942704:+	-2	chr17:82937314:+;chr17:82942704:+	proximal	TRUE
RPL15	33.2933230422106	2.79297652494346e-07	1.78105964552164e-05	0.544765840220386	0.460690145855567	0.0840756943648184	chr3:23919552:+_vs_chr3:23920772:+	0.205692071584184	chr3:23919552:+;chr3:23919783:+;chr3:23920772:+;chr3:23920847:+	distal	TRUE
CCNT2	29.2478632478633	4.45561022578214e-07	2.73607472383214e-05	0.557692307692308	0.375	0.182692307692308	chr2:134954039:+_vs_chr2:134955113:+	1.13461538461538	chr2:134953905:+;chr2:134954039:+;chr2:134955113:+	distal	TRUE
