gene_id	chisq	pvalue	adj_pvalue	ExDp	ExMU	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
TUBA1A	66.7599102264055	3.1861754585524e-15	5.88486607194629e-12	0.990416759527524	0.996780461784653	-0.0063637022571289	chr12:49186026:-_vs_chr12:49184799:-	-0.0127274045142578	chr12:49184799:-;chr12:49185002:-;chr12:49186026:-	proximal	FALSE
CCNT2	50.7393755108809	5.55925706388239e-11	5.13397389849539e-08	0.371794871794872	0.449612403100775	-0.0778175313059034	chr2:134954039:+_vs_chr2:134955113:+	0.931127012522361	chr2:134953905:+;chr2:134954039:+;chr2:134955113:+;chr2:134955826:+	distal	TRUE
BAIAP2	45.3502262443439	1.42011493399168e-10	8.7431742769421e-08	0.117647058823529	0.616666666666667	-0.499019607843137	chr17:81109409:+_vs_chr17:81110513:+	-1.44901960784314	chr17:81109409:+;chr17:81110513:+;chr17:81116225:+	proximal	TRUE
INA	49.8021245255988	3.97121720718748e-10	1.83370954541882e-07	0.42816091954023	0.379740518962076	0.048420400578154	chr10:103288619:+_vs_chr10:103288687:+	0.387019065317641	chr10:103288619:+;chr10:103288687:+;chr10:103288830:+;chr10:103289828:+;chr10:103290346:+	distal	TRUE
NSG1	57.3357023429671	5.12606138259305e-10	1.89356707472987e-07	0.727891156462585	0.744851994851995	-0.01696083838941	chr4:4418546:+_vs_chr4:4419058:+	-0.257014157014157	chr4:4417613:+;chr4:4417738:+;chr4:4418332:+;chr4:4418468:+;chr4:4418546:+;chr4:4418587:+;chr4:4418690:+;chr4:4419058:+	proximal	TRUE
ZNF146	41.351943076081	1.04843051563453e-09	3.22741860396163e-07	0.297619047619048	0.681034482758621	-0.383415435139573	chr19:36237463:+_vs_chr19:36237643:+	-0.876026272577997	chr19:36237463:+;chr19:36237643:+;chr19:36237912:+	proximal	TRUE
FUS	40.6286001563507	1.50526017764473e-09	3.97173649729973e-07	0.4725	0.493613138686131	-0.0211131386861314	chr16:31186135:+_vs_chr16:31191605:+	-0.235656934306569	chr16:31186135:+;chr16:31191605:+;chr16:31191779:+	proximal	TRUE
DHRS1	34.5621323401061	4.1286024397325e-09	9.5319108827324e-07	0.125	1	-0.875	chr14:24294993:-_vs_chr14:24290598:-	-1.75	chr14:24290598:-;chr14:24294993:-	proximal	TRUE
HNRNPC	40.6925773224895	7.59838240300935e-09	1.55935692203981e-06	0.306306306306306	0.234108527131783	0.0721977791745233	chr14:21210937:-_vs_chr14:21210567:-	0.384915147705845	chr14:21210053:-;chr14:21210567:-;chr14:21210937:-;chr14:21211868:-	distal	TRUE
CENPV	37.11320473727	8.72911044487924e-09	1.6122666991692e-06	0.782258064516129	0.952054794520548	-0.169796730004419	chr17:16348061:-_vs_chr17:16342537:-	-0.484312859036677	chr17:16342537:-;chr17:16348061:-;chr17:16348324:-	proximal	TRUE
NEFL	45.6342217484009	1.07804111263712e-08	1.81012903185523e-06	0	0.548400852878465	-0.548400852878465	chr8:24954283:-_vs_chr8:24952375:-	-1.40938166311301	chr8:24950955:-;chr8:24951428:-;chr8:24952375:-;chr8:24952461:-;chr8:24952705:-;chr8:24954283:-	proximal	TRUE
USP48	42.2209686609687	1.50117526840402e-08	2.31055893395186e-06	0.392857142857143	0.329365079365079	0.0634920634920635	chr1:21756547:-_vs_chr1:21706528:-	0.59047619047619	chr1:21678910:-;chr1:21706528:-;chr1:21721037:-;chr1:21747129:-;chr1:21756547:-	distal	TRUE
JAK1	30.7682209729756	2.9076074933644e-08	4.13103926172619e-06	0.923076923076923	0.032258064516129	0.890818858560794	chr1:64864911:-_vs_chr1:64833229:-	1.78163771712159	chr1:64833229:-;chr1:64864911:-	distal	TRUE
GFOD2	33.5048779896574	5.30283587982656e-08	6.99595562145689e-06	0.66	0.788461538461539	-0.128461538461539	chr16:67680743:-_vs_chr16:67674538:-	-0.850769230769231	chr16:67674538:-;chr16:67680743:-;chr16:67682964:-	proximal	TRUE
HNRNPK	40.9139443035426	9.76595738139345e-08	1.1417894352867e-05	0.546268656716418	0.458850574712644	0.0874180820037742	chr9:83968909:-_vs_chr9:83968178:-	0.312129010121805	chr9:83968083:-;chr9:83968178:-;chr9:83968344:-;chr9:83968909:-;chr9:83974537:-;chr9:83978257:-	distal	TRUE
MAP1B	62.3533447674739	9.89097507557508e-08	1.1417894352867e-05	0.353680981595092	0.367588765235824	-0.013907783640732	chr5:72195305:+_vs_chr5:72205642:+	-0.0816097223170482	chr5:72194337:+;chr5:72194540:+;chr5:72194957:+;chr5:72195065:+;chr5:72195109:+;chr5:72195305:+;chr5:72195449:+;chr5:72195578:+;chr5:72195685:+;chr5:72195941:+;chr5:72197762:+;chr5:72197787:+;chr5:72205642:+;chr5:72205875:+;chr5:72207044:+;chr5:72209565:+	proximal	FALSE
