gene_id	chisq	pvalue	adj_pvalue	IP	oRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
SEPTIN2	120.068971970245	1.57612684782963e-23	3.12545953924615e-20	0.441379310344828	0.679530201342282	-0.238150890997454	chr2:241336944:+_vs_chr2:241354027:+	-0.43566304096274	chr2:241336944:+;chr2:241337788:+;chr2:241351994:+;chr2:241352555:+;chr2:241353497:+;chr2:241353736:+;chr2:241354027:+	proximal	TRUE
USP1	89.5854089488865	3.69441147374359e-17	3.66300897621677e-14	0.691358024691358	0.438202247191011	0.253155777500347	chr1:62440011:+_vs_chr1:62451733:+	0.780898876404494	chr1:62439929:+;chr1:62439959:+;chr1:62440011:+;chr1:62442255:+;chr1:62445095:+;chr1:62445301:+;chr1:62451733:+	distal	TRUE
RTN4	86.2161285029952	1.84771396796901e-16	1.22133893282751e-13	0.51685393258427	0.64499484004128	-0.12814090745701	chr2:54972291:-_vs_chr2:54972189:-	-0.459247921522246	chr2:54972189:-;chr2:54972291:-;chr2:54973144:-;chr2:54981278:-;chr2:55026078:-;chr2:55026600:-;chr2:55027115:-	proximal	TRUE
SCD	77.4583009236753	2.85281573324068e-15	1.41428339975407e-12	0.418181818181818	0.493589743589744	-0.0754079254079255	chr10:100361071:+_vs_chr10:100362011:+	-0.826923076923077	chr10:100361071:+;chr10:100361696:+;chr10:100362011:+;chr10:100363234:+;chr10:100363596:+;chr10:100364826:+	proximal	TRUE
CALM1	72.0260415397846	3.87933458495276e-14	1.53854409639227e-11	0.467226890756303	0.490036900369004	-0.0228100096127011	chr14:90405107:+_vs_chr14:90405610:+	-0.333188626003907	chr14:90403939:+;chr14:90405107:+;chr14:90405213:+;chr14:90405610:+;chr14:90408054:+;chr14:90408268:+	proximal	TRUE
SET	64.9089957700252	5.24597002190137e-14	1.55105376771796e-11	0.699074074074074	0.34640522875817	0.352668845315904	chr9:128694964:+_vs_chr9:128695533:+	0.937091503267974	chr9:128691894:+;chr9:128694053:+;chr9:128694964:+;chr9:128695533:+	distal	TRUE
GTF2I	71.3076560866282	5.47522762179816e-14	1.55105376771796e-11	0.582142857142857	0.404705882352941	0.177436974789916	chr7:74735492:+_vs_chr7:74749451:+	0.716176470588235	chr7:74698999:+;chr7:74735492:+;chr7:74744789:+;chr7:74749451:+;chr7:74758817:+;chr7:74760692:+	distal	TRUE
SLC1A3	75.3912609727462	1.19432465773396e-13	2.96043224535806e-11	0.455357142857143	0.704761904761905	-0.249404761904762	chr5:36610904:+_vs_chr5:36686229:+	-0.710526315789474	chr5:36608855:+;chr5:36609558:+;chr5:36610904:+;chr5:36686229:+;chr5:36686284:+;chr5:36686312:+;chr5:36686654:+;chr5:36688334:+	proximal	TRUE
CCND2	73.9581211655728	2.33373443462187e-13	5.14199487095019e-11	0.474067333939945	0.404336734693878	0.0697305992460678	chr12:4276581:+_vs_chr12:4301558:+	0.171974522292994	chr12:4276581:+;chr12:4300193:+;chr12:4300282:+;chr12:4300462:+;chr12:4300989:+;chr12:4301290:+;chr12:4301558:+;chr12:4305353:+	distal	FALSE
PHF14	67.8173734997389	2.91434477086474e-13	5.77914568062478e-11	0.416326530612245	0.605797101449275	-0.18947057083703	chr7:10982484:+_vs_chr7:11037043:+	-0.696835255841467	chr7:10982484:+;chr7:10982554:+;chr7:10982670:+;chr7:11028908:+;chr7:11037043:+;chr7:11169492:+	proximal	TRUE
ARL3	60.4606675779275	4.68621484793367e-13	8.44796731222952e-11	0.545977011494253	0.330935251798561	0.215041759695692	chr10:102676527:-_vs_chr10:102675211:-	0.526172165715703	chr10:102675211:-;chr10:102676527:-;chr10:102676666:-;chr10:102676892:-	distal	TRUE
MKI67	58.3623188405797	1.31537237122762e-12	2.17365284345364e-10	0.846153846153846	0.301282051282051	0.544871794871795	chr10:128109018:-_vs_chr10:128097892:-	1.13461538461538	chr10:128097892:-;chr10:128109018:-;chr10:128109150:-;chr10:128115641:-	distal	TRUE
DKK3	54.2922609010826	1.62399744000596e-12	2.47722071040909e-10	0.379032258064516	0.558988764044944	-0.179956505980428	chr11:11963569:-_vs_chr11:11963111:-	-0.462667633200435	chr11:11963036:-;chr11:11963111:-;chr11:11963569:-	proximal	TRUE
GPM6B	60.1513176200802	2.6960483954011e-12	3.81875997720027e-10	0.859756097560976	0.528532608695652	0.331223488865323	chrX:13773456:-_vs_chrX:13771029:-	0.789236479321315	chrX:13770943:-;chrX:13771029:-;chrX:13773456:-;chrX:13773601:-;chrX:13774155:-	distal	TRUE
HES1	47.8306895724621	4.6466123287688e-12	6.14282149863235e-10	0.253968253968254	0.0291479820627803	0.224820271905474	chr3:194138604:+_vs_chr3:194138732:+	0.449640543810947	chr3:194138604:+;chr3:194138732:+	distal	TRUE
PSAP	47.4478664671796	5.64863909832023e-12	7.00078208248063e-10	0.412903225806452	0.726635514018692	-0.31373228821224	chr10:71816549:-_vs_chr10:71816298:-	-0.62746457642448	chr10:71816298:-;chr10:71816549:-	proximal	TRUE
EIF1	54.7257231904935	7.8564248811612e-12	9.16428855255451e-10	0.649161196207148	0.560678325384208	0.0884828708229403	chr17:41690999:+_vs_chr17:41692668:+	0.245619283848142	chr17:41689941:+;chr17:41690999:+;chr17:41691644:+;chr17:41692668:+	distal	TRUE
DBN1	50.8520593135141	9.07017410072423e-12	9.99230846763119e-10	0.634831460674157	0.43558282208589	0.199248638588268	chr5:177457223:-_vs_chr5:177456622:-	0.398497277176535	chr5:177456622:-;chr5:177456925:-;chr5:177457223:-	distal	TRUE
XRCC5	59.0316208136586	1.92650711430162e-11	2.01066505666322e-09	0.613513513513513	0.46	0.153513513513513	chr2:216205424:+_vs_chr2:216206281:+	0.533513513513514	chr2:216122176:+;chr2:216127658:+;chr2:216148182:+;chr2:216205424:+;chr2:216206118:+;chr2:216206281:+	distal	TRUE
RBMX	55.0034552624419	3.24356520187919e-11	3.21599489766322e-09	0.180253623188406	0.371875	-0.191621376811594	chrX:136874047:-_vs_chrX:136873461:-	-0.402789855072464	chrX:136869192:-;chrX:136869410:-;chrX:136873461:-;chrX:136873958:-;chrX:136874047:-	proximal	TRUE
KLC1	50.4645460568811	6.36150544624789e-11	6.00707871424265e-09	0.474666666666667	0.570957095709571	-0.0962904290429044	chr14:103686225:+_vs_chr14:103701544:+	-0.559841584158416	chr14:103675587:+;chr14:103685912:+;chr14:103686225:+;chr14:103701544:+	proximal	TRUE
PTGES3	50.1269871767662	7.50684176445321e-11	6.76639419041396e-09	0.653061224489796	0.6243961352657	0.0286650892240954	chr12:56663601:-_vs_chr12:56663349:-	0.547619047619048	chr12:56663349:-;chr12:56663601:-;chr12:56664183:-;chr12:56664442:-	distal	TRUE
CUL1	55.8659963730502	8.65963067731263e-11	7.46610766656998e-09	0.684090909090909	0.605063291139241	0.0790276179516686	chr7:148798029:+_vs_chr7:148801017:+	0.584723820483314	chr7:148731567:+;chr7:148759579:+;chr7:148798029:+;chr7:148798646:+;chr7:148801017:+;chr7:148801110:+	distal	TRUE
GID8	41.8684269477457	9.76263789790052e-11	8.0663795631403e-09	0.947368421052632	0	0.947368421052632	chr20:62945632:+_vs_chr20:62948472:+	1.89473684210526	chr20:62945632:+;chr20:62948472:+	distal	TRUE
SYNE2	61.835719622787	2.0314109450163e-10	1.61131516158693e-08	0.322443181818182	0.489473684210526	-0.167030502392345	chr14:63986481:+_vs_chr14:64027527:+	0.39066985645933	chr14:63986481:+;chr14:63995157:+;chr14:64027527:+;chr14:64051620:+;chr14:64052009:+;chr14:64093392:+;chr14:64098059:+;chr14:64177382:+;chr14:64226433:+	distal	TRUE
