gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
ENO1	4.37106867168796e-39	chr1:8861005:-,chr1:8868841:-	61,12	1128,0	0.836,0.164	0.984,0	0.836	0.984	-0.148	proximal	1.27460362466421e-35	TRUE
CAMTA1	7.40718393677211e-31	chr1:6872020:+,chr1:6888201:+,chr1:7751244:+	2,15,0	164,3,11	0.08,0.6,0	0.854,0.016,0.057	0.3	0.065	0.235	distal	1.07996741798137e-27	TRUE
NSL1	2.92567147145073e-30	chr1:212737624:-,chr1:212737757:-,chr1:212738207:-,chr1:212738425:-	12,2,0,0	0,123,19,10	0.857,0.143,0,0	0,0.737,0.114,0.06	0.952333333333333	0.529333333333333	0.423	distal	2.84375267025011e-27	TRUE
MAPKAPK5	7.99667701229562e-25	chr12:111886379:+,chr12:111893159:+,chr12:111893350:+,chr12:111893414:+	13,5,0,0	0,15,25,93	0.722,0.278,0,0	0,0.111,0.185,0.689	0.0926666666666667	0.849333333333333	-0.756666666666666	proximal	5.82957754196351e-22	TRUE
CALM1	2.02954925909841e-24	chr14:90402502:+,chr14:90403939:+,chr14:90405107:+,chr14:90405213:+,chr14:90405610:+	10,9,7,9,20	0,85,36,97,375	0.164,0.148,0.115,0.148,0.328	0,0.127,0.054,0.145,0.559	0.5335	0.7265	-0.193	proximal	1.18363312790619e-21	TRUE
RTN4	1.02485388513564e-20	chr2:54972189:-,chr2:55026078:-,chr2:55026370:-,chr2:55026600:-,chr2:55027115:-	18,11,16,68,25	325,21,10,157,117	0.111,0.068,0.099,0.42,0.154	0.434,0.028,0.013,0.21,0.156	0.3165	0.514	-0.1975	proximal	4.9807898817592e-18	TRUE
SMARCA1	6.89599566148706e-20	chrX:129446506:-,chrX:129448333:-,chrX:129448394:-,chrX:129471216:-,chrX:129498050:-,chrX:129499777:-,chrX:129507947:-,chrX:129508016:-,chrX:129516363:-	0,0,5,1,0,0,12,1,0	18,35,19,21,10,27,2,23,21	0,0,0.2,0.04,0,0,0.48,0.04,0	0.091,0.178,0.096,0.107,0.051,0.137,0.01,0.117,0.107	0.3	0.479625	-0.179625	proximal	2.87267476412804e-17	TRUE
ARPC2	1.18095605172555e-19	chr2:218254245:+,chr2:218254348:+	13,16	0,189	0.361,0.444	0,0.875	0.444	0.875	-0.431	proximal	4.30458480853963e-17	TRUE
ANKHD1	3.31453397990911e-19	chr5:140440206:+,chr5:140472477:+,chr5:140476181:+,chr5:140496721:+,chr5:140496774:+,chr5:140524215:+,chr5:140526160:+	0,1,12,0,0,2,3	14,15,0,21,51,17,10	0,0.042,0.5,0,0,0.083,0.125	0.079,0.084,0,0.118,0.287,0.096,0.056	0.367833333333333	0.400333333333333	-0.0325	proximal	1.07390900949055e-16	FALSE
SYNE2	1.52751915681211e-18	chr14:63954891:+,chr14:63986481:+,chr14:63995157:+,chr14:64078505:+,chr14:64093392:+,chr14:64163431:+,chr14:64226433:+	1,1,0,10,5,7,6	28,43,66,0,21,14,41	0.016,0.016,0,0.159,0.079,0.111,0.095	0.051,0.079,0.121,0,0.039,0.026,0.075	0.322333333333333	0.176166666666667	0.146166666666667	distal	4.45424586126412e-16	TRUE
