gene_id	lr	df	pvalue	adj_pvalue	N1_C.HQ.bam	N1_T.HQ.bam	N28_C.HQ.bam	N28_T.HQ.bam	R2_C.HQ.bam	R2_T.HQ.bam	R8_C.HQ.bam	R8_T.HQ.bam	WARM1	WARM2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
DPP6	116.814686154756	1	3.15183248194987e-27	1.6348555083874e-23	0.0961538461538462	1	0.213592233009709	0.916666666666667	0.272727272727273	0.964285714285714	0.264367816091954	1	0.211710291995695	0.970238095238095	-0.7585278032424	chr7_153787782_153787784_+_intron_vs_chr7_154893309_154893360_+_3UTR	-1.55999346565384	chr7_153787782_153787784_+_intron;chr7_154893309_154893360_+_3UTR	proximal	TRUE
FGF14	127.653633643043	4	1.23628999328157e-26	3.20631809757576e-23	0.246503496503497	0.9	0.323076923076923	0.578947368421053	0.298913043478261	0.645985401459854	0.388	0.697552447552448	0.31412336576467	0.705621304358339	-0.391497938593668	chr13_102084225_102084228_-_intron_vs_chr13_101720851_101720865_-_3UTR	-0.518335291571331	chr13_101720851_101720865_-_3UTR;chr13_101720920_101720932_-_3UTR;chr13_102084225_102084228_-_intron;chr13_102218917_102218918_-_intron;chr13_102231056_102231058_-_intron	proximal	TRUE
ANKS1B	111.940189847294	1	3.68253614048194e-26	6.36710498689327e-23	0.0303030303030303	1	0.1875	0.926829268292683	0.153846153846154	0.901234567901235	0.28125	0.937984496124031	0.163224796037296	0.941512083079487	-0.778287287042191	chr12_99653666_99653671_-_intron_vs_chr12_98744665_98744673_-_3UTR	-1.54651348651349	chr12_98744665_98744673_-_3UTR;chr12_99653666_99653671_-_intron	proximal	TRUE
BRWD1	82.4850943778638	3	8.99269153816346e-18	1.16612727521135e-14	0.809269162210339	0.494494494494495	0.760683760683761	0.603588907014682	0.867816091954023	0.494188226471691	0.933070866141732	0.530286138981791	0.842709970247464	0.530639441740665	0.312070528506799	chr21_39296405_39296452_-_3UTR_vs_chr21_39236606_39236613_-_exon	0.887796446942946	chr21_39236606_39236613_-_exon;chr21_39250817_39250837_-_exon;chr21_39296405_39296452_-_3UTR;chr21_39296476_39296492_-_3UTR	distal	TRUE
EPHA7	65.229038512949	2	6.85005813045655e-15	7.10625030453562e-12	0.839285714285714	0.367647058823529	0.75	0.285714285714286	0.852791878172589	0.537593984962406	0.845771144278607	0.434659090909091	0.821962184184228	0.406403605102328	0.4155585790819	chr6_93259942_93259963_-_3UTR_vs_chr6_93240010_93240036_-_3UTR	0.77215745680476	chr6_93240010_93240036_-_3UTR;chr6_93241415_93241430_-_3UTR;chr6_93259942_93259963_-_3UTR	distal	TRUE
RAB3GAP1	67.6371317200083	3	1.36804495915838e-14	1.18267486719242e-11	0.277258566978193	0.777777777777778	0.220973782771536	0.511111111111111	0.40625	0.817258883248731	0.377450980392157	0.859116022099447	0.320483332535471	0.741315948559267	-0.420832616023795	chr2_135155241_135155242_+_intron_vs_chr2_135170271_135170292_+_3UTR	-0.9237203002061	chr2_135155241_135155242_+_intron;chr2_135169424_135169453_+_3UTR;chr2_135169896_135169926_+_3UTR;chr2_135170271_135170292_+_3UTR	proximal	TRUE
RBM26	61.0388171477842	2	5.56659038865849e-14	4.12484347799594e-11	0.973684210526316	0.230769230769231	0.833333333333333	0.407894736842105	0.928571428571429	0.351351351351351	0.882352941176471	0.367647058823529	0.904485478401887	0.339415594446554	0.565069883955333	chr13_79320476_79320477_-_3UTR_vs_chr13_79319977_79319986_-_3UTR	1.10762527233115	chr13_79319977_79319986_-_3UTR;chr13_79320394_79320411_-_3UTR;chr13_79320476_79320477_-_3UTR	distal	TRUE
MAGI2-AS3	59.3552520168719	2	1.29172715211753e-13	8.37523592254202e-11	0.7875	0.32258064516129	0.793388429752066	0.422297297297297	0.8	0.390070921985816	0.745098039215686	0.445783132530121	0.781496617241938	0.395182999243631	0.386313617998307	chr7_79462982_79463044_+_exon_vs_chr7_79471191_79471211_+_exon	0.763103996550516	chr7_79462982_79463044_+_exon;chr7_79463563_79463583_+_exon;chr7_79471191_79471211_+_exon	distal	TRUE
MAGI1	67.6331649979269	5	3.18288492374897e-13	1.83440267772066e-10	0.274285714285714	0.716666666666667	0.311111111111111	0.8	0.44	0.723809523809524	0.481818181818182	0.844444444444444	0.376803751803752	0.771230158730159	-0.394426406926407	chr3_65884584_65884585_-_intron_vs_chr3_65356159_65356186_-_3UTR	-0.560312732688012	chr3_65354878_65354879_-_3UTR;chr3_65356159_65356186_-_3UTR;chr3_65378659_65378679_-_intron;chr3_65730904_65730905_-_intron;chr3_65764685_65764686_-_intron;chr3_65884584_65884585_-_intron	proximal	TRUE
SLC6A7	51.9131253109317	1	5.8011332299479e-13	3.00904780637398e-10	0.657894736842105	0.940397350993378	0.492647058823529	0.969230769230769	0.458937198067633	0.82010582010582	0.489260143198091	0.915422885572139	0.52468478423284	0.911289206475527	-0.386604422242687	chr5_150198026_150198140_+_intron_vs_chr5_150211052_150211072_+_3UTR	-0.789450684198855	chr5_150198026_150198140_+_intron;chr5_150211052_150211072_+_3UTR	proximal	TRUE
