gene_id	chisq	pvalue	adj_pvalue	IP	vRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
FBLN1	70.6009941236643	4.37296646888908e-17	6.45887147454918e-14	0.0751173708920188	1	-0.924882629107981	chr22:45563362:+_vs_chr22:45601135:+	-1.84976525821596	chr22:45563362:+;chr22:45601135:+	proximal	TRUE
DBN1	72.2796916098107	2.01680723247524e-16	1.48941214118297e-13	0.634831460674157	0.421875	0.212956460674157	chr5:177457223:-_vs_chr5:177456925:-	0.704880617977528	chr5:177456622:-;chr5:177456925:-;chr5:177457223:-	distal	TRUE
PDHA1	57.0876365697794	4.16817773744724e-14	2.05213283940319e-11	0	0.666666666666667	-0.666666666666667	chrX:19359850:+_vs_chrX:19360929:+	-1.33333333333333	chrX:19359850:+;chrX:19360929:+	proximal	TRUE
SEPTIN2	65.8274684154237	1.72235419398925e-13	6.35979286130531e-11	0.375	0.609929078014184	-0.234929078014184	chr2:241336944:+_vs_chr2:241353736:+	-0.40795559666975	chr2:241336944:+;chr2:241351994:+;chr2:241353497:+;chr2:241353736:+;chr2:241354027:+	proximal	TRUE
GPM6B	59.099627016582	9.15339003048328e-13	2.35097235505572e-10	0.801587301587302	0.281045751633987	0.520541549953315	chrX:13771456:-_vs_chrX:13770943:-	0.816526610644258	chrX:13770943:-;chrX:13771029:-;chrX:13771456:-;chrX:13773456:-	distal	TRUE
AKR1A1	50.9344362745098	9.55032777950869e-13	2.35097235505572e-10	0.958677685950413	0.25	0.708677685950413	chr1:45567847:+_vs_chr1:45570049:+	1.41735537190083	chr1:45567847:+;chr1:45570049:+	distal	TRUE
TTC3	73.0907827368498	1.18849263997215e-12	2.50771947034123e-10	0.43070652173913	0.545918367346939	-0.115211845607808	chr21:37160839:+_vs_chr21:37165784:+	-0.508651286601597	chr21:37095368:+;chr21:37129034:+;chr21:37153066:+;chr21:37160839:+;chr21:37164198:+;chr21:37165784:+;chr21:37182916:+;chr21:37197695:+;chr21:37203104:+	proximal	TRUE
MAP1B	81.8544300709176	1.82567019524852e-12	3.03240490252531e-10	0.35426267281106	0.379790310918294	-0.0255276381072337	chr5:72195109:+_vs_chr5:72195578:+	-0.155127602786969	chr5:72193999:+;chr5:72194957:+;chr5:72195065:+;chr5:72195109:+;chr5:72195305:+;chr5:72195449:+;chr5:72195578:+;chr5:72195685:+;chr5:72195941:+;chr5:72200234:+;chr5:72205642:+;chr5:72205875:+;chr5:72207044:+	proximal	FALSE
HNRNPA1	57.6710696154414	1.84777549916911e-12	3.03240490252531e-10	0.509486847779215	0.561258278145695	-0.0517714303664802	chr12:54284881:+_vs_chr12:54287087:+	-0.144395277708763	chr12:54284578:+;chr12:54284881:+;chr12:54285246:+;chr12:54287087:+	proximal	FALSE
PEA15	48.5961784100845	3.14481438253473e-12	4.6448908430038e-10	0.616438356164384	0.957446808510638	-0.341008452346255	chr1:160214639:+_vs_chr1:160215372:+	-0.68201690469251	chr1:160214639:+;chr1:160215372:+	proximal	TRUE
TUFM	47.7478026051043	4.84727228461694e-12	6.5085646948902e-10	0	0.338028169014085	-0.338028169014085	chr16:28842787:-_vs_chr16:28842414:-	-0.676056338028169	chr16:28842414:-;chr16:28842787:-	proximal	TRUE
USP1	55.1112610741971	6.50097049140187e-12	8.00161117983381e-10	0.674418604651163	0.488888888888889	0.185529715762274	chr1:62440011:+_vs_chr1:62451733:+	1.09457364341085	chr1:62439959:+;chr1:62440011:+;chr1:62445095:+;chr1:62451733:+	distal	TRUE
EIF1	53.5353198137666	1.40964450527838e-11	1.60157302638167e-09	0.649161196207148	0.596354166666667	0.0528070295404814	chr17:41691644:+_vs_chr17:41692668:+	0.239828364332604	chr17:41689941:+;chr17:41690999:+;chr17:41691644:+;chr17:41692668:+	distal	TRUE
TERF2IP	52.2572073091043	2.63990981906677e-11	2.78510485911545e-09	0.668776371308017	0.436213991769547	0.23256237953847	chr16:75656326:+_vs_chr16:75657432:+	0.825519612439444	chr16:75654357:+;chr16:75656326:+;chr16:75656801:+;chr16:75657432:+	distal	TRUE
PCMTD2	47.3846153846154	5.13524898804601e-11	5.05650850356264e-09	0.688888888888889	0	0.688888888888889	chr20:64273284:+_vs_chr20:64275653:+	1.37777777777778	chr20:64273284:+;chr20:64274907:+;chr20:64275653:+	distal	TRUE
ABI1	42.0169167722521	9.04872058999898e-11	8.35310019464281e-09	0	0.916666666666667	-0.916666666666667	chr10:26747831:-_vs_chr10:26747430:-	-1.83333333333333	chr10:26747430:-;chr10:26747831:-	proximal	TRUE
ARHGAP5	45.5615942028986	1.27769008748347e-10	1.11008721130181e-08	0.833333333333333	0.361111111111111	0.472222222222222	chr14:32091669:+_vs_chr14:32094385:+	1.05555555555556	chr14:32091328:+;chr14:32091669:+;chr14:32094385:+	distal	TRUE
TOP2B	54.6654017549862	1.52952005818732e-10	1.25505618107927e-08	0.483116883116883	0.555555555555556	-0.0724386724386724	chr3:25631833:-_vs_chr3:25630094:-	-0.544733044733045	chr3:25597994:-;chr3:25604762:-;chr3:25627274:-;chr3:25630094:-;chr3:25631833:-;chr3:25632720:-	proximal	TRUE
TBC1D1	47.5466297066297	2.65914740200772e-10	2.01299956878865e-08	0.211111111111111	0.594594594594595	-0.383483483483483	chr4:37952817:+_vs_chr4:38035656:+	-1.1990990990991	chr4:37952817:+;chr4:38035656:+;chr4:38090024:+;chr4:38137619:+	proximal	TRUE
