gene_id	chisq	pvalue	adj_pvalue	Ex	In	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
ARPC2	218.242663579197	4.47794959652948e-46	1.9299962761042e-42	0.91996699669967	0.828125	0.09184199669967	chr2:218254245:+_vs_chr2:218254348:+	0.789088283828383	chr2:218229800:+;chr2:218249914:+;chr2:218254132:+;chr2:218254245:+;chr2:218254348:+	distal	TRUE
CALM1	195.125002823954	3.48087389311632e-37	7.50128323966567e-34	0.696076817558299	0.584699453551913	0.111377364006387	chr14:90402502:+_vs_chr14:90405213:+	0.240590973487148	chr14:90401316:+;chr14:90402502:+;chr14:90403939:+;chr14:90404750:+;chr14:90404820:+;chr14:90404963:+;chr14:90405107:+;chr14:90405213:+;chr14:90405610:+;chr14:90408268:+	distal	TRUE
VMP1	154.637637637638	2.63550375734441e-34	3.78634039805147e-31	0.540540540540541	0.111111111111111	0.429429429429429	chr17:59736891:+_vs_chr17:59840593:+	1.47447447447447	chr17:59736891:+;chr17:59840593:+;chr17:59841094:+	distal	TRUE
ANKHD1	167.470524157375	8.56911186826125e-33	9.2332180380515e-30	0.439775910364146	0.285714285714286	0.15406162464986	chr5:140476181:+_vs_chr5:140496774:+	1.11274509803922	chr5:140440206:+;chr5:140476181:+;chr5:140496721:+;chr5:140496774:+;chr5:140524215:+;chr5:140526189:+;chr5:140526239:+;chr5:140539849:+	distal	TRUE
UBN1	151.105546664585	1.52150654972551e-32	1.31153864586339e-29	0.172749391727494	0.984848484848485	-0.812099093120991	chr16:4858061:+_vs_chr16:4873062:+	-1.55308560053086	chr16:4858061:+;chr16:4859929:+;chr16:4860754:+;chr16:4873062:+	proximal	TRUE
CRMP1	110.012049968428	9.73968790754356e-26	6.99634248025213e-23	1	0.964401294498382	0.0355987055016181	chr4:5831307:-_vs_chr4:5820798:-	0.0711974110032363	chr4:5820798:-;chr4:5831307:-	distal	FALSE
ELAVL2	121.981559489866	1.19381632886144e-24	7.35049768198972e-22	0.316990291262136	0.228	0.088990291262136	chr9:23703921:-_vs_chr9:23691880:-	0.494174757281553	chr9:23690104:-;chr9:23690432:-;chr9:23690853:-;chr9:23691569:-;chr9:23691880:-;chr9:23703921:-	distal	TRUE
RGL1	104	2.14417858980205e-22	1.15517621525585e-19	0.795454545454545	0	0.795454545454545	chr1:183897401:+_vs_chr1:183928185:+	1.625	chr1:183897401:+;chr1:183926845:+;chr1:183927154:+;chr1:183928185:+	distal	TRUE
CUL1	117.782576105792	9.50923086217348e-22	4.55386500177419e-19	0.584427207637232	0.448529411764706	0.135897795872526	chr7:148784076:+_vs_chr7:148798029:+	0.429383686648884	chr7:148731567:+;chr7:148759579:+;chr7:148760495:+;chr7:148784076:+;chr7:148797999:+;chr7:148798029:+;chr7:148798646:+;chr7:148801017:+;chr7:148801110:+	distal	TRUE
ENO1	84.7844472104565	3.32731381022288e-20	1.43407225220606e-17	0.9921875	0.835616438356164	0.156571061643836	chr1:8868841:-_vs_chr1:8861005:-	0.313142123287671	chr1:8861005:-;chr1:8868841:-	distal	TRUE
SF3B1	103.099254173803	5.65650186228299e-20	2.21632027513088e-17	0.52891156462585	0.375816993464052	0.153094571161798	chr2:197419197:-_vs_chr2:197405105:-	0.350140056022409	chr2:197391980:-;chr2:197398521:-;chr2:197401419:-;chr2:197405105:-;chr2:197408481:-;chr2:197418512:-;chr2:197419197:-	distal	TRUE
SPECC1L	99.2663225986127	7.54521135297992e-20	2.70998841094529e-17	0.487058823529412	0.461538461538462	0.0255203619909501	chr22:24324294:+_vs_chr22:24334540:+	-0.440950226244344	chr22:24313388:+;chr22:24322834:+;chr22:24324294:+;chr22:24324346:+;chr22:24330405:+;chr22:24334540:+	proximal	TRUE
IPO5	92.8748913770054	3.22548391009406e-19	1.06937197326965e-16	0.455492424242424	0.283333333333333	0.172159090909091	chr13:98010203:+_vs_chr13:98015624:+	1.36666666666667	chr13:98006210:+;chr13:98010203:+;chr13:98015624:+;chr13:98022484:+;chr13:98023078:+	distal	TRUE
RBM4B	88.5584418508036	4.46845401369257e-19	1.37564548564393e-16	0.810160427807487	0.5	0.310160427807487	chr11:66675560:-_vs_chr11:66664998:-	0.717605923488276	chr11:66664998:-;chr11:66666904:-;chr11:66667880:-;chr11:66675560:-	distal	TRUE
ARID4A	106.992025095899	6.01534292585627e-19	1.72840853402937e-16	0.276422764227642	0.514814814814815	-0.238392050587172	chr14:58330153:+_vs_chr14:58364599:+	-0.541463414634146	chr14:58330153:+;chr14:58351144:+;chr14:58351212:+;chr14:58351288:+;chr14:58353773:+;chr14:58359216:+;chr14:58364329:+;chr14:58364599:+;chr14:58366935:+;chr14:58372932:+	proximal	TRUE
TBCE	78.5970441409509	7.61632934076979e-19	2.05164871616986e-16	0.973451327433628	0.166666666666667	0.806784660766962	chr1:235448778:+_vs_chr1:235448964:+	1.61356932153392	chr1:235448778:+;chr1:235448964:+	distal	TRUE
FAM126A	102.920098739096	4.03314501374691e-18	1.02252088289701e-15	0.596019247594051	0.388888888888889	0.207130358705162	chr7:22981093:-_vs_chr7:22945969:-	0.672103487064117	chr7:22944397:-;chr7:22944444:-;chr7:22944499:-;chr7:22944588:-;chr7:22945686:-;chr7:22945969:-;chr7:22964492:-;chr7:22981093:-;chr7:22989515:-;chr7:23011160:-	distal	TRUE
GNAI3	83.7030210153419	4.92639393863564e-18	1.17959765975109e-15	0.415486307837583	0.533333333333333	-0.117847025495751	chr1:109592110:+_vs_chr1:109592776:+	-0.759773371104816	chr1:109592110:+;chr1:109592776:+;chr1:109593507:+;chr1:109593820:+	proximal	TRUE
MAP2K4	81.9889797828946	1.14905381696475e-17	2.52198289101405e-15	0.514942528735632	0.846153846153846	-0.331211317418214	chr17:12142709:+_vs_chr17:12143734:+	-1.44615384615385	chr17:12095610:+;chr17:12110406:+;chr17:12142709:+;chr17:12143734:+	proximal	TRUE
KDM3B	73.2021305367959	1.17029368492531e-17	2.52198289101405e-15	0.010989010989011	0.909090909090909	-0.898101898101898	chr5:138386054:+_vs_chr5:138386329:+	-1.7962037962038	chr5:138386054:+;chr5:138386329:+	proximal	TRUE
PAXBP1	85.1071408682763	1.43960364821911e-17	2.95461510658304e-15	0.171270718232044	0.288461538461538	-0.117190820229494	chr21:32769897:-_vs_chr21:32750928:-	-0.894177645558861	chr21:32733899:-;chr21:32744799:-;chr21:32750928:-;chr21:32762128:-;chr21:32769897:-	proximal	TRUE
SEPTIN7	93.9940842740206	1.86749593930401e-17	3.65859431745467e-15	0.436196700902583	0.405247813411079	0.0309488874915046	chr7:35888867:+_vs_chr7:35903104:+	0.118514072295585	chr7:35863648:+;chr7:35882569:+;chr7:35888867:+;chr7:35898297:+;chr7:35899089:+;chr7:35903104:+;chr7:35904630:+;chr7:35905307:+	distal	FALSE
TOMM20	76.5606471187345	1.67716175937818e-16	3.14285529692173e-14	0.539029535864979	0.481481481481481	0.0575480543834975	chr1:235111829:-_vs_chr1:235109341:-	0.668424753867792	chr1:235109341:-;chr1:235111597:-;chr1:235111829:-;chr1:235112027:-	distal	TRUE
USP48	99.8183610130756	1.94001965776981e-16	3.43729081079735e-14	0.410741800572309	0.574675324675325	-0.163933524103016	chr1:21756547:-_vs_chr1:21706847:-	-0.550847457627119	chr1:21678910:-;chr1:21695196:-;chr1:21704322:-;chr1:21706528:-;chr1:21706847:-;chr1:21715435:-;chr1:21721037:-;chr1:21728622:-;chr1:21736468:-;chr1:21747129:-;chr1:21752590:-;chr1:21756547:-	proximal	TRUE
TXNRD1	79.7230273769563	1.99378817331633e-16	3.43729081079735e-14	0.714285714285714	0.575	0.139285714285714	chr12:104331634:+_vs_chr12:104350247:+	1.21231527093596	chr12:104326386:+;chr12:104327536:+;chr12:104331634:+;chr12:104334309:+;chr12:104350247:+	distal	TRUE
MAPKAPK5	75.8670076726343	2.36194865573908e-16	3.91538411778286e-14	0.792156862745098	0.0925925925925926	0.699564270152505	chr12:111886379:+_vs_chr12:111893414:+	1.31045751633987	chr12:111886379:+;chr12:111893159:+;chr12:111893350:+;chr12:111893414:+	distal	TRUE
CELF2	83.9947909354897	5.33153227689056e-16	8.51070522718456e-14	0.645833333333333	0.75	-0.104166666666667	chr10:11329790:+_vs_chr10:11331041:+	-1.19416144200627	chr10:11045607:+;chr10:11217456:+;chr10:11329268:+;chr10:11329389:+;chr10:11329790:+;chr10:11331041:+;chr10:11336513:+	proximal	TRUE
PLS3	70.1038169750118	5.98617713415713e-16	9.21443694579186e-14	0.555555555555556	0.736994219653179	-0.181438664097624	chrX:115650512:+_vs_chrX:115650672:+	-1.29800899165061	chrX:115650258:+;chrX:115650512:+;chrX:115650672:+	proximal	TRUE
AASDHPPT	76.2179770798261	1.10091338086723e-15	1.63618505915095e-13	0.52445652173913	0.347826086956522	0.176630434782609	chr11:106097836:+_vs_chr11:106098695:+	0.778985507246377	chr11:106091462:+;chr11:106096991:+;chr11:106097308:+;chr11:106097836:+;chr11:106098695:+	distal	TRUE
NBPF1	92.2004048906144	1.95894969456708e-15	2.81435772786138e-13	0.521551724137931	0.777777777777778	-0.256226053639847	chr1:16573175:-_vs_chr1:16564862:-	-0.507343550446999	chr1:16564862:-;chr1:16573175:-;chr1:16585547:-;chr1:16590974:-;chr1:16592797:-;chr1:16593105:-;chr1:16593174:-;chr1:16593670:-;chr1:16594971:-;chr1:16596023:-;chr1:16605417:-	proximal	TRUE
GORASP2	76.4286863042034	4.68120745408934e-15	6.50838842810485e-13	0.720143884892086	0.591111111111111	0.129032773780975	chr2:170966581:+_vs_chr2:170967135:+	0.706155075939249	chr2:170966359:+;chr2:170966483:+;chr2:170966581:+;chr2:170966811:+;chr2:170966916:+;chr2:170967135:+	distal	TRUE
SMARCA1	83.6759814196792	8.87253989185955e-15	1.19502021668483e-12	0.394574175824176	0.51	-0.115425824175824	chrX:129507947:-_vs_chrX:129499777:-	0.617362637362637	chrX:129446758:-;chrX:129447061:-;chrX:129448333:-;chrX:129448394:-;chrX:129471216:-;chrX:129499777:-;chrX:129507947:-;chrX:129508016:-;chrX:129516363:-	distal	TRUE
ALS2	57.2075576677159	3.92161296565591e-14	5.12186420665969e-12	0.923913043478261	0	0.923913043478261	chr2:201759457:-_vs_chr2:201757483:-	1.84782608695652	chr2:201757483:-;chr2:201759457:-	distal	TRUE
GNAI1	69.2903488268249	1.4397392954362e-13	1.82508128333235e-11	0.394205794205794	0.555555555555556	-0.161349761349761	chr7:80217369:+_vs_chr7:80218186:+	-0.881229881229881	chr7:80212834:+;chr7:80217369:+;chr7:80217475:+;chr7:80218039:+;chr7:80218186:+;chr7:80219408:+	proximal	TRUE
PEX11B	57.9716386554622	2.57999350423375e-13	3.17707771521356e-11	0.922268907563025	0	0.922268907563025	chr1:145916145:-_vs_chr1:145911350:-	1.84453781512605	chr1:145911350:-;chr1:145915615:-;chr1:145916145:-	distal	TRUE
ZNF429	64.9186602870813	2.67675901815923e-13	3.20467538007397e-11	0.244047619047619	0.515151515151515	-0.271103896103896	chr19:21519153:+_vs_chr19:21537809:+	-0.608946608946609	chr19:21519153:+;chr19:21519726:+;chr19:21537305:+;chr19:21537641:+;chr19:21537809:+	proximal	TRUE
CBX5	72.5370425068713	4.53055687874304e-13	5.27748652631959e-11	0.374654377880184	0.333333333333333	0.041321044546851	chr12:54240997:-_vs_chr12:54240386:-	0.340911418330773	chr12:54230946:-;chr12:54237265:-;chr12:54239359:-;chr12:54240386:-;chr12:54240997:-;chr12:54241619:-;chr12:54241769:-;chr12:54252106:-	distal	TRUE
PNISR	91.52969100628	5.13694846952523e-13	5.8263810272773e-11	0.576022566995769	0.421857923497268	0.154164643498501	chr6:99411304:-_vs_chr6:99402574:-	0.277139355823256	chr6:99399964:-;chr6:99400821:-;chr6:99400908:-;chr6:99400975:-;chr6:99401446:-;chr6:99401513:-;chr6:99401599:-;chr6:99402574:-;chr6:99404687:-;chr6:99408132:-;chr6:99408182:-;chr6:99410500:-;chr6:99410573:-;chr6:99411304:-;chr6:99412176:-;chr6:99414666:-	distal	TRUE
TRIM2	66.4052643784787	5.72625986767909e-13	6.32825128966587e-11	0.542016806722689	0.682352941176471	-0.140336134453781	chr4:153335357:+_vs_chr4:153336409:+	-0.970588235294118	chr4:153276268:+;chr4:153315504:+;chr4:153323114:+;chr4:153335357:+;chr4:153336409:+;chr4:153339317:+	proximal	TRUE
KIFAP3	66.05967055619	6.75488050818587e-13	7.27838374757027e-11	0.882461538461538	0.76	0.122461538461538	chr1:169984602:-_vs_chr1:169921333:-	0.524444444444444	chr1:169921333:-;chr1:169984602:-;chr1:170024425:-;chr1:170031927:-;chr1:170038375:-;chr1:170039260:-	distal	TRUE
SFXN3	55.3554632625669	9.54363631222841e-13	1.00324567087084e-10	0.828719723183391	0.409090909090909	0.419628814092482	chr10:101038361:+_vs_chr10:101041241:+	0.839257628184964	chr10:101038361:+;chr10:101040402:+;chr10:101041241:+	distal	TRUE
LEMD3	54.6906234767756	1.33070566609695e-12	1.3655574811614e-10	0.601694915254237	0.0714285714285714	0.530266343825666	chr12:65189336:+_vs_chr12:65218619:+	1.46004842615012	chr12:65189336:+;chr12:65218619:+;chr12:65239572:+	distal	TRUE
