gene_id	chisq	pvalue	adj_pvalue	ExM	ExNExM	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
ADD2	63.2300164382988	1.19919717304155e-13	2.75095831495732e-10	0.644970414201183	0.644444444444444	-0.000525969756738909	chr2:70674673:-_vs_chr2:70663482:-	-0.627376725838264	chr2:70663482:-;chr2:70674673:-;chr2:70675084:-;chr2:70675847:-	proximal	TRUE
NUP107	59.917695473251	6.12111068878202e-13	7.02091396003298e-10	0.462962962962963	1	0.537037037037037	chr12:68734827:+_vs_chr12:68742665:+	1.48148148148148	chr12:68714370:+;chr12:68731633:+;chr12:68734827:+;chr12:68742665:+	distal	TRUE
CCDC112	72.8765489322226	1.31159504265387e-12	1.00293300928266e-09	0.424107142857143	0.528846153846154	0.104739010989011	chr5:115279659:-_vs_chr5:115267190:-	0.324725274725275	chr5:115267190:-;chr5:115267355:-;chr5:115269704:-;chr5:115271449:-;chr5:115271504:-;chr5:115275542:-;chr5:115276011:-;chr5:115279659:-;chr5:115284798:-	distal	TRUE
CANT1	48.3880873436908	3.49686020890379e-12	2.00544932980632e-09	0.0238095238095238	0.862068965517241	0.838259441707717	chr17:78993065:-_vs_chr17:78992670:-	1.67651888341544	chr17:78992670:-;chr17:78993065:-	distal	TRUE
CCDC88A	69.9392441488051	4.55516748777592e-11	1.79109352522979e-08	0.448780487804878	0.448235294117647	-0.000545193687231049	chr2:55335050:-_vs_chr2:55334899:-	0.502725968436155	chr2:55334152:-;chr2:55334257:-;chr2:55334367:-;chr2:55334739:-;chr2:55334899:-;chr2:55334952:-;chr2:55335050:-;chr2:55339483:-;chr2:55343746:-;chr2:55344410:-;chr2:55344475:-	distal	TRUE
RBM22	47.5682944622793	4.68463868848246e-11	1.79109352522979e-08	0.679347826086957	0.432203389830508	-0.247144436256448	chr5:150691134:-_vs_chr5:150690792:-	-1.0123434045689	chr5:150690792:-;chr5:150691134:-;chr5:150693280:-	proximal	TRUE
PRMT2	58.068874966522	1.10967091181637e-10	3.63655010243821e-08	0.612433862433862	0.571246819338422	-0.0411870430954401	chr21:46659140:+_vs_chr21:46659537:+	-0.271083242457288	chr21:46637978:+;chr21:46659140:+;chr21:46659537:+;chr21:46660144:+;chr21:46661270:+;chr21:46664941:+;chr21:46665120:+	proximal	TRUE
ATCAY	45.4620582556871	7.38006284665092e-10	2.06015360321274e-07	0.232323232323232	0.608187134502924	0.375863902179692	chr19:3926156:+_vs_chr19:3928082:+	0.69377990430622	chr19:3925857:+;chr19:3926156:+;chr19:3926326:+;chr19:3928082:+	distal	TRUE
ACTR2	45.1921762926596	8.42218656037169e-10	2.06015360321274e-07	0.666666666666667	0.318627450980392	-0.348039215686274	chr2:65270138:+_vs_chr2:65271253:+	-0.861577964519141	chr2:65255616:+;chr2:65270138:+;chr2:65270269:+;chr2:65271253:+	proximal	TRUE
AKAP9	60.6926739344708	9.85722684682246e-10	2.06015360321274e-07	0.389238294898672	0.496296296296296	0.107058001397624	chr7:92001203:+_vs_chr7:92002569:+	0.338993710691824	chr7:91995798:+;chr7:92000950:+;chr7:92001203:+;chr7:92001450:+;chr7:92001737:+;chr7:92002569:+;chr7:92012527:+;chr7:92042717:+;chr7:92084939:+;chr7:92097678:+	distal	TRUE
ANK2	47.90488780097	9.87867900407156e-10	2.06015360321274e-07	0.743421052631579	0.360576923076923	-0.382844129554656	chr4:113070213:+_vs_chr4:113353763:+	-0.7027665317139	chr4:113070213:+;chr4:113336669:+;chr4:113341882:+;chr4:113353496:+;chr4:113353763:+	proximal	TRUE
MAP1B	73.3777543404103	1.11015704294594e-09	2.12225021376499e-07	0.298652606912712	0.288948948948949	-0.00970365796376343	chr5:72195109:+_vs_chr5:72195305:+	0.0966489336436612	chr5:72194540:+;chr5:72194957:+;chr5:72195065:+;chr5:72195109:+;chr5:72195305:+;chr5:72195449:+;chr5:72195578:+;chr5:72195685:+;chr5:72195941:+;chr5:72197762:+;chr5:72197787:+;chr5:72205642:+;chr5:72205875:+;chr5:72207044:+;chr5:72209111:+;chr5:72209565:+	distal	FALSE
CAPRIN1	47.1098407413459	1.44666039309245e-09	2.55279918596468e-07	0.689473684210526	0.361702127659574	-0.327771556550952	chr11:34091967:+_vs_chr11:34101141:+	-0.739753639417693	chr11:34091967:+;chr11:34099056:+;chr11:34099516:+;chr11:34100493:+;chr11:34101141:+	proximal	TRUE
ATF7IP	49.1483811780007	2.06955591375322e-09	3.39111519010706e-07	0.653846153846154	0.489855072463768	-0.163991081382386	chr12:14438156:+_vs_chr12:14498552:+	-0.568283166109253	chr12:14424935:+;chr12:14425028:+;chr12:14425192:+;chr12:14434368:+;chr12:14438156:+;chr12:14498552:+	proximal	TRUE
GOLM1	39.1617441993195	3.13426199251798e-09	4.7933313405575e-07	0.858974358974359	0.410714285714286	-0.448260073260073	chr9:86027063:-_vs_chr9:86026141:-	-0.896520146520146	chr9:86026141:-;chr9:86026915:-;chr9:86027063:-	proximal	TRUE
SETX	42.3504695996046	3.38061383597542e-09	4.84695508732976e-07	0.838095238095238	0.274509803921569	-0.563585434173669	chr9:132329728:-_vs_chr9:132328612:-	-0.925210084033613	chr9:132328612:-;chr9:132329003:-;chr9:132329260:-;chr9:132329728:-	proximal	TRUE
RAB6A	44.9161490241165	4.13880082211736e-09	5.58494652113955e-07	0.728658536585366	0.472222222222222	-0.256436314363144	chr11:73676810:-_vs_chr11:73675653:-	-0.588075880758808	chr11:73675653:-;chr11:73675893:-;chr11:73676209:-;chr11:73676810:-;chr11:73677688:-	proximal	TRUE
PRPF40A	49.4797696753374	5.97644240888734e-09	7.61664382554865e-07	0.342465753424658	0.462546816479401	0.120081063054743	chr2:152672551:-_vs_chr2:152656156:-	0.431506849315068	chr2:152656156:-;chr2:152657905:-;chr2:152663888:-;chr2:152671274:-;chr2:152672551:-;chr2:152673660:-;chr2:152679395:-	distal	TRUE
CNN3	46.3325230949403	7.77094130770869e-09	9.38238913678092e-07	0.582122905027933	0.810909090909091	0.228786185881158	chr1:94901708:-_vs_chr1:94896957:-	0.454748603351955	chr1:94896957:-;chr1:94897208:-;chr1:94897406:-;chr1:94897502:-;chr1:94897617:-;chr1:94901708:-	distal	TRUE
PDIA6	43.4752851662943	8.24531424312916e-09	9.45737543686914e-07	0.525	0.494186046511628	-0.0308139534883721	chr2:10783855:-_vs_chr2:10783391:-	-0.400096899224806	chr2:10783391:-;chr2:10783855:-;chr2:10784081:-;chr2:10788704:-;chr2:10790782:-	proximal	TRUE
MPP3	37.1002118008697	8.78600343495745e-09	9.59766279990114e-07	0.666666666666667	0.211538461538462	-0.455128205128205	chr17:43824763:-_vs_chr17:43809000:-	-0.988782051282051	chr17:43801443:-;chr17:43809000:-;chr17:43824763:-	proximal	TRUE
EIF2S3	40.2514651219196	9.42431498208066e-09	9.82699025858775e-07	0.372093023255814	0.485714285714286	0.113621262458472	chrX:24077468:+_vs_chrX:24078806:+	0.764784053156146	chrX:24064290:+;chrX:24077468:+;chrX:24077971:+;chrX:24078806:+	distal	TRUE
PPFIA2	48.32286164199	1.01847420481085e-08	1.0158173155809e-06	0.463492063492063	0.480225988700565	0.0167339252085016	chr12:81375797:-_vs_chr12:81368726:-	-0.598385794995965	chr12:81339199:-;chr12:81347724:-;chr12:81368726:-;chr12:81375797:-;chr12:81384064:-;chr12:81405861:-;chr12:81457811:-	proximal	TRUE
EIF3F	39.8834222766218	1.12789184711458e-08	1.07807662386702e-06	0.38962962962963	0.372093023255814	-0.0175366063738157	chr11:7996171:+_vs_chr11:7997474:+	0.320516795865633	chr11:7996007:+;chr11:7996171:+;chr11:7997474:+;chr11:7997562:+	distal	TRUE
STAU1	37.6388449522665	3.37052168147385e-08	3.0927906949204e-06	0.434782608695652	0.513513513513513	0.0787309048178613	chr20:49124478:-_vs_chr20:49114828:-	0.562867215041128	chr20:49113523:-;chr20:49114828:-;chr20:49124387:-;chr20:49124478:-	distal	TRUE
PCMTD2	37.4693010973846	3.66084392675444e-08	3.22999075691334e-06	0.408602150537634	0.375757575757576	-0.0328445747800586	chr20:64275653:+_vs_chr20:64276027:+	-0.76891495601173	chr20:64273284:+;chr20:64273968:+;chr20:64275653:+;chr20:64276027:+	proximal	TRUE
SLC44A5	40.0645510556695	4.19739210003374e-08	3.566228695362e-06	0.442708333333333	0.552631578947368	0.109923245614035	chr1:75213300:-_vs_chr1:75211911:-	0.944078947368421	chr1:75204652:-;chr1:75210822:-;chr1:75211911:-;chr1:75212184:-;chr1:75213300:-	distal	TRUE
FNBP1L	53.3215609765181	6.48901125694049e-08	5.31635422265053e-06	0.530232558139535	0.440785498489426	-0.0894470596501089	chr1:93523310:+_vs_chr1:93554661:+	-0.147991543340381	chr1:93523310:+;chr1:93523489:+;chr1:93529692:+;chr1:93530804:+;chr1:93530882:+;chr1:93546874:+;chr1:93550970:+;chr1:93552595:+;chr1:93552649:+;chr1:93553107:+;chr1:93554661:+	proximal	FALSE
OSER1	32.9270878721859	7.07902939962486e-08	5.59975635956532e-06	0.176470588235294	0.814814814814815	0.638344226579521	chr20:44196912:-_vs_chr20:44195939:-	1.27668845315904	chr20:44195939:-;chr20:44196496:-;chr20:44196912:-	distal	TRUE
FAM13B	38.2680524362855	9.86571639097872e-08	7.54398446696839e-06	0.5	0.630952380952381	0.130952380952381	chr5:137953380:-_vs_chr5:137948988:-	0.857142857142857	chr5:137942919:-;chr5:137948988:-;chr5:137952634:-;chr5:137953380:-;chr5:137985276:-	distal	TRUE
IDH3A	32.1549479166667	1.04145803975398e-07	7.70678949417943e-06	0.478260869565217	0.65625	0.177989130434783	chr15:78169608:+_vs_chr15:78170542:+	1.22146739130435	chr15:78169405:+;chr15:78169608:+;chr15:78170542:+	distal	TRUE
