gene_id	chisq	pvalue	adj_pvalue	ExMU	ExNExM	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
RTN4	113.024651034061	4.55134556033127e-19	1.01768086729007e-15	0.340710310098065	0.435881998795906	0.0951716886978409	chr2:55026600:-_vs_chr2:54972189:-	0.164925762168633	chr2:54972189:-;chr2:54972291:-;chr2:54973144:-;chr2:54981278:-;chr2:55025759:-;chr2:55025982:-;chr2:55026078:-;chr2:55026370:-;chr2:55026600:-;chr2:55026801:-;chr2:55026984:-;chr2:55027115:-	distal	FALSE
MAP1B	99.6815384748138	5.4578627753545e-15	6.10189058284633e-12	0.384848484848485	0.374790673708618	-0.010057811139867	chr5:72195109:+_vs_chr5:72195305:+	0.142707412025432	chr5:72194337:+;chr5:72194540:+;chr5:72194957:+;chr5:72195065:+;chr5:72195109:+;chr5:72195305:+;chr5:72195449:+;chr5:72195578:+;chr5:72195685:+;chr5:72195941:+;chr5:72197762:+;chr5:72205642:+;chr5:72205875:+;chr5:72207044:+;chr5:72209565:+	distal	FALSE
ADD2	55.4978508346515	5.37646814280787e-12	4.00726092243947e-09	0.625661375661376	0.644444444444444	0.0187830687830688	chr2:70675847:-_vs_chr2:70674673:-	0.477619047619048	chr2:70663482:-;chr2:70674673:-;chr2:70675084:-;chr2:70675847:-	distal	TRUE
THRAP3	55.9507913215062	2.05338039151432e-11	1.01027472835143e-08	0.432	0.333333333333333	-0.0986666666666667	chr1:36289138:+_vs_chr1:36292693:+	-0.573385620915033	chr1:36289081:+;chr1:36289138:+;chr1:36291436:+;chr1:36292693:+;chr1:36296765:+	proximal	TRUE
HSPA5	55.7322920366199	2.28178833972343e-11	1.01027472835143e-08	0.529585798816568	0.535919540229885	0.006333741413317	chr9:125236755:-_vs_chr9:125236247:-	0.436305515881113	chr9:125236247:-;chr9:125236755:-;chr9:125236815:-;chr9:125236992:-;chr9:125240207:-	distal	TRUE
PRMT2	61.0832318032318	2.71093397589828e-11	1.01027472835143e-08	0.796296296296296	0.707407407407407	-0.0888888888888889	chr21:46659140:+_vs_chr21:46664941:+	-0.291091091091091	chr21:46637978:+;chr21:46653185:+;chr21:46659140:+;chr21:46659537:+;chr21:46660144:+;chr21:46661270:+;chr21:46664941:+	proximal	TRUE
YWHAZ	62.9829445563164	1.20737431103723e-10	3.85669851354178e-08	0.433445945945946	0.509584013050571	0.0761380671046251	chr8:100919700:-_vs_chr8:100918727:-	0.162964595917288	chr8:100918576:-;chr8:100918619:-;chr8:100918727:-;chr8:100918853:-;chr8:100919541:-;chr8:100919700:-;chr8:100919924:-;chr8:100919980:-;chr8:100920359:-	distal	FALSE
RSPO3	55.154118287373	4.31491191268491e-10	1.07255956459319e-07	0.383647798742138	0.645833333333333	0.262185534591195	chr6:127150462:+_vs_chr6:127196888:+	1.06367924528302	chr6:127150462:+;chr6:127195949:+;chr6:127196184:+;chr6:127196815:+;chr6:127196888:+;chr6:127197033:+;chr6:127198329:+	distal	TRUE
CCDC88A	66.9332256834575	4.65678607736091e-10	1.07255956459319e-07	0.401808136614766	0.515151515151515	0.113343378536749	chr2:55335050:-_vs_chr2:55334899:-	0.369155824867819	chr2:55334257:-;chr2:55334367:-;chr2:55334408:-;chr2:55334739:-;chr2:55334899:-;chr2:55334952:-;chr2:55335050:-;chr2:55339483:-;chr2:55343746:-;chr2:55344410:-;chr2:55344475:-;chr2:55346188:-	distal	TRUE
SEMA3C	57.4806684800348	4.7967780169642e-10	1.07255956459319e-07	0.536263736263736	0.423499577345731	-0.112764158918005	chr7:80744420:-_vs_chr7:80742538:-	-0.540828402366864	chr7:80742538:-;chr7:80743612:-;chr7:80743984:-;chr7:80744049:-;chr7:80744367:-;chr7:80744420:-;chr7:80761617:-;chr7:80804166:-	proximal	TRUE
RTN1	39.1859831450846	3.09650564494976e-09	5.83577247666813e-07	0.827272727272727	0.758369723435226	-0.0689030038375017	chr14:59596174:-_vs_chr14:59595983:-	-0.238486171761281	chr14:59595983:-;chr14:59596174:-;chr14:59596534:-	proximal	TRUE
TPP2	35.1000675207756	3.13189936136036e-09	5.83577247666813e-07	0	1	1	chr13:102657118:+_vs_chr13:102657157:+	2	chr13:102657118:+;chr13:102657157:+	distal	TRUE
FNBP1L	62.2912707298798	3.46969444577194e-09	5.88793648885853e-07	0.513907037521001	0.487207403375068	-0.0266996341459326	chr1:93523310:+_vs_chr1:93552649:+	-0.130304073577691	chr1:93501254:+;chr1:93523310:+;chr1:93523489:+;chr1:93529692:+;chr1:93530804:+;chr1:93530882:+;chr1:93546874:+;chr1:93550970:+;chr1:93552595:+;chr1:93552649:+;chr1:93553107:+;chr1:93554661:+	proximal	FALSE
WDR33	42.1731966960591	3.68654341878441e-09	5.88793648885853e-07	0.166666666666667	0.612403100775194	0.445736434108527	chr2:127764473:-_vs_chr2:127723313:-	0.924141749723145	chr2:127721874:-;chr2:127723313:-;chr2:127763113:-;chr2:127764473:-	distal	TRUE
RPL22	41.9139189207252	4.18447761249256e-09	5.92947272341335e-07	0.361904761904762	0.198787878787879	-0.163116883116883	chr1:6186615:-_vs_chr1:6185020:-	-0.316283716283716	chr1:6185020:-;chr1:6185119:-;chr1:6186218:-;chr1:6186615:-	proximal	TRUE
PARP1	41.8855347324392	4.24291429224569e-09	5.92947272341335e-07	0.363867684478371	0.580246913580247	0.216379229101875	chr1:226388689:-_vs_chr1:226361003:-	0.654038262180756	chr1:226361003:-;chr1:226379623:-;chr1:226388689:-;chr1:226390419:-	distal	TRUE
NBPF1	47.4362068317185	4.62922390078598e-09	6.08879096597498e-07	0.635555555555556	0.394520547945205	-0.24103500761035	chr1:16605417:-_vs_chr1:16573175:-	-0.585083713850837	chr1:16564862:-;chr1:16573175:-;chr1:16590974:-;chr1:16593670:-;chr1:16594971:-;chr1:16605417:-	proximal	TRUE
OSER1	36.2785714285714	1.32497690575398e-08	1.64591575625883e-06	0.222222222222222	0.814814814814815	0.592592592592593	chr20:44196912:-_vs_chr20:44195939:-	1.18518518518519	chr20:44195939:-;chr20:44196496:-;chr20:44196912:-	distal	TRUE
RBFOX1	35.2697768762677	2.19414468583073e-08	2.58216185132501e-06	0.911764705882353	0.258620689655172	-0.65314401622718	chr16:7588205:+_vs_chr16:7711573:+	-1.30628803245436	chr16:7588205:+;chr16:7709638:+;chr16:7711573:+	proximal	TRUE
HNRNPA1	38.0345494424835	2.77926853406477e-08	3.10722222108442e-06	0.578909612625538	0.529359430604982	-0.0495501820205558	chr12:54284881:+_vs_chr12:54285246:+	-0.19046676912237	chr12:54284578:+;chr12:54284881:+;chr12:54285246:+;chr12:54287087:+	proximal	FALSE
ANK2	47.7459897692971	3.99176981359345e-08	4.25028443009284e-06	0.458201058201058	0.310267857142857	-0.147933201058201	chr4:113070213:+_vs_chr4:113336669:+	-0.436111111111111	chr4:113070213:+;chr4:113336669:+;chr4:113341882:+;chr4:113343120:+;chr4:113353496:+;chr4:113353763:+;chr4:113354864:+;chr4:113383732:+	proximal	TRUE
SLC44A5	39.9534214092141	4.42549814644377e-08	4.49791538884012e-06	0.536585365853659	0.4375	-0.0990853658536586	chr1:75211911:-_vs_chr1:75205277:-	-0.914634146341463	chr1:75203933:-;chr1:75204652:-;chr1:75205277:-;chr1:75210822:-;chr1:75211911:-	proximal	TRUE
MCM6	29.7621958218549	4.88423970491161e-08	4.74833042616624e-06	1	0	-1	chr2:135865057:-_vs_chr2:135840443:-	-2	chr2:135840443:-;chr2:135865057:-	proximal	TRUE
MPP3	33.263611648227	5.98271764155634e-08	5.57389860271666e-06	0.648648648648649	0.211538461538462	-0.437110187110187	chr17:43824763:-_vs_chr17:43809000:-	-1.08731808731809	chr17:43801443:-;chr17:43809000:-;chr17:43824763:-	proximal	TRUE
RUNX1T1	44.1036410095513	7.05038802135231e-08	6.3058670462975e-06	0.504098360655738	0.512820512820513	0.00872215216477512	chr8:91959998:-_vs_chr8:91959588:-	0.496847414880202	chr8:91957221:-;chr8:91958907:-;chr8:91959522:-;chr8:91959588:-;chr8:91959998:-;chr8:92074633:-;chr8:92079222:-	distal	TRUE
TBCD	28.4305648148148	9.71198404186766e-08	8.35230627600619e-06	0.107142857142857	1	0.892857142857143	chr17:82937314:+_vs_chr17:82942704:+	1.78571428571429	chr17:82937314:+;chr17:82942704:+	distal	TRUE
