gene_id	lr	df	pvalue	adj_pvalue	N1_C.HQ.bam	N1_T.HQ.bam	N28_C.HQ.bam	N28_T.HQ.bam	R2_C.HQ.bam	R2_T.HQ.bam	R8_C.HQ.bam	R8_T.HQ.bam	gDPAU1	gDPAU2	dgDPAU	Note	feature_id	sig
DPP6	117.024480067716	1	2.83546125585434e-27	1.49088552832821e-23	0.0961538461538462	1	0.213592233009709	0.916666666666667	0.272727272727273	0.964285714285714	0.264367816091954	1	0.211710291995695	0.970238095238095	-0.7585278032424	shorten	chr7_153787782_153787784_+_intron;chr7_154893309_154893360_+_3UTR	Yes
FGF14	127.26982042389	4	1.49340220554452e-26	3.92615439837655e-23	0.246503496503497	0.9	0.323076923076923	0.578947368421053	0.298913043478261	0.645985401459854	0.388	0.697552447552448	0.31412336576467	0.705621304358339	-0.391497938593668	shorten	chr13_101720851_101720865_-_3UTR;chr13_101720920_101720932_-_3UTR;chr13_102084225_102084228_-_intron;chr13_102218917_102218918_-_intron;chr13_102231056_102231058_-_intron	Yes
ANKS1B	111.713044173979	1	4.12956772447007e-26	7.23775569842121e-23	0.0303030303030303	1	0.1875	0.926829268292683	0.153846153846154	0.901234567901235	0.28125	0.937984496124031	0.163224796037296	0.941512083079487	-0.778287287042191	shorten	chr12_98744665_98744673_-_3UTR;chr12_99653666_99653671_-_intron	Yes
BRWD1	82.525930932572	3	8.81306786726298e-18	1.15847777115172e-14	0.809269162210339	0.494494494494495	0.760683760683761	0.603588907014682	0.867816091954023	0.494188226471691	0.933070866141732	0.530286138981791	0.842709970247464	0.530639441740665	0.312070528506799	lengthen	chr21_39236606_39236613_-_exon;chr21_39250817_39250837_-_exon;chr21_39296405_39296452_-_3UTR;chr21_39296476_39296492_-_3UTR	Yes
EPHA7	64.1050726489289	2	1.20160117207063e-14	1.21449427155901e-11	0.839285714285714	0.367647058823529	0.75	0.285714285714286	0.852791878172589	0.537593984962406	0.845771144278607	0.434659090909091	0.821962184184228	0.406403605102328	0.4155585790819	lengthen	chr6_93240010_93240036_-_3UTR;chr6_93241415_93241430_-_3UTR;chr6_93259942_93259963_-_3UTR	Yes
RAB3GAP1	67.6108464137287	3	1.38588163357818e-14	1.21449427155901e-11	0.277258566978193	0.777777777777778	0.220973782771536	0.511111111111111	0.40625	0.817258883248731	0.377450980392157	0.859116022099447	0.320483332535471	0.741315948559267	-0.420832616023795	shorten	chr2_135155241_135155242_+_intron;chr2_135169424_135169453_+_3UTR;chr2_135169896_135169926_+_3UTR;chr2_135170271_135170292_+_3UTR	Yes
RBM26	61.0193263724559	2	5.62110416747523e-14	4.22225224465496e-11	0.973684210526316	0.230769230769231	0.833333333333333	0.407894736842105	0.928571428571429	0.351351351351351	0.882352941176471	0.367647058823529	0.904485478401887	0.339415594446554	0.565069883955333	lengthen	chr13_79319977_79319986_-_3UTR;chr13_79320394_79320411_-_3UTR;chr13_79320476_79320477_-_3UTR	Yes
MAGI2-AS3	59.4245433881301	2	1.24774074857938e-13	8.20077607003796e-11	0.7875	0.32258064516129	0.793388429752066	0.422297297297297	0.8	0.390070921985816	0.745098039215686	0.445783132530121	0.781496617241938	0.395182999243631	0.386313617998307	lengthen	chr7_79462982_79463044_+_exon;chr7_79463563_79463583_+_exon;chr7_79471191_79471211_+_exon	Yes
MAGI1	67.6932043115839	5	3.09274977245896e-13	1.80685314484324e-10	0.274285714285714	0.716666666666667	0.311111111111111	0.8	0.44	0.723809523809524	0.481818181818182	0.844444444444444	0.376803751803752	0.771230158730159	-0.394426406926407	shorten	chr3_65354878_65354879_-_3UTR;chr3_65356159_65356186_-_3UTR;chr3_65378659_65378679_-_intron;chr3_65730904_65730905_-_intron;chr3_65764685_65764686_-_intron;chr3_65884584_65884585_-_intron	Yes
SLC6A7	51.9491852083656	1	5.69556831735541e-13	2.99472982126547e-10	0.657894736842105	0.940397350993378	0.492647058823529	0.969230769230769	0.458937198067633	0.82010582010582	0.489260143198091	0.915422885572139	0.52468478423284	0.911289206475527	-0.386604422242687	shorten	chr5_150198026_150198140_+_intron;chr5_150211052_150211072_+_3UTR	Yes
PRPF4B	50.5229771077356	1	1.17777774799866e-12	5.62977763543358e-10	0.703225806451613	0.348214285714286	0.83695652173913	0.517509727626459	0.854794520547945	0.451713395638629	0.887378640776699	0.425806451612903	0.820588872378847	0.435810965148069	0.384777907230778	lengthen	chr6_4061893_4061926_+_3UTR;chr6_4064971_4064988_+_3UTR	Yes
BMS1P20	56.5422784159175	3	3.21820518470484e-12	1.4101102384315e-09	0.733333333333333	0.344086021505376	0.567901234567901	0.245098039215686	0.615384615384615	0.212121212121212	0.634259259259259	0.147902869757174	0.637719610636277	0.237302035649862	0.400417574986415	lengthen	chr22_22309684_22309694_+_intron;chr22_22310532_22310541_+_intron;chr22_22313929_22313940_+_intron;chr22_22321310_22321322_+_intron	Yes
FAHD2A	55.5755754878264	3	5.17503021424792e-12	2.09310068203966e-09	0.363636363636364	0.222222222222222	0.418079096045198	0.261261261261261	0.490909090909091	0.202898550724638	0.594871794871795	0.133333333333333	0.466874086365612	0.204928841885364	0.261945244480248	lengthen	chr2_95413119_95413142_+_3UTR;chr2_95414926_95414929_+_3UTR;chr2_95415536_95415568_+_3UTR;chr2_95416592_95416617_+_3UTR	Yes
DGCR5	51.6445507039341	2	6.10278829303799e-12	2.29203291748527e-09	0.393939393939394	0.0409836065573771	0.314814814814815	0.0545454545454545	0.28125	0.0985915492957747	0.354545454545454	0.106666666666667	0.336137415824916	0.0751968192663182	0.260940596558598	lengthen	chr22_18994622_18994638_+_exon;chr22_18998483_18998492_+_intron;chr22_19005878_19005906_+_intron	Yes
CPE	56.5842533151982	5	6.15975429236257e-11	2.15919920461616e-08	0.507317073170732	0.871794871794872	0.58	0.814285714285714	0.581818181818182	0.775609756097561	0.36	0.6	0.507283813747228	0.765422585544537	-0.258138771797308	shorten	chr4_165398075_165398076_+_intron;chr4_165414946_165414947_+_intron;chr4_165444523_165444530_+_intron;chr4_165461194_165461219_+_intron;chr4_165498152_165498209_+_3UTR;chr4_165498319_165498330_+_3UTR	Yes
