gene_id	chisq	pvalue	adj_pvalue	IP	PgS	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
XRCC5	77.4333793522539	6.08875304349777e-16	8.70082809915832e-13	0.615384615384615	0.413223140495868	0.202161474888748	chr2:216205424:+_vs_chr2:216206281:+	0.603305785123967	chr2:216122176:+;chr2:216127658:+;chr2:216205424:+;chr2:216206118:+;chr2:216206281:+	distal	TRUE
NFIX	60.9312099154	3.71771205097474e-13	2.65630526042145e-10	0.333333333333333	0.318518518518518	0.0148148148148148	chr19:13095019:+_vs_chr19:13098791:+	0.453174603174603	chr19:13094675:+;chr19:13095019:+;chr19:13096969:+;chr19:13098791:+	distal	TRUE
MKI67	66.2575483417469	6.14524945750127e-13	2.92718715825644e-10	0.824242424242424	0.341071428571429	0.483170995670996	chr10:128115641:-_vs_chr10:128097892:-	0.840097402597403	chr10:128097892:-;chr10:128101344:-;chr10:128101604:-;chr10:128109018:-;chr10:128115328:-;chr10:128115641:-	distal	TRUE
SECISBP2	57.3628856414543	2.15003479321209e-12	7.6809992987502e-10	0.435374149659864	0.607843137254902	-0.172468987595038	chr9:89338529:+_vs_chr9:89358175:+	-1.16446578631453	chr9:89334706:+;chr9:89338529:+;chr9:89341360:+;chr9:89358175:+	proximal	TRUE
TRIM27	46.5555296580355	8.90585830990153e-12	2.51425228540674e-09	0.05	0.842105263157895	-0.792105263157895	chr6:28903842:-_vs_chr6:28903002:-	-1.58421052631579	chr6:28903002:-;chr6:28903842:-	proximal	TRUE
HNRNPA3	68.3302720136035	1.0556692590931e-11	2.51425228540674e-09	0.381465517241379	0.291940789473684	0.0895247277676951	chr2:177219778:+_vs_chr2:177220534:+	0.268602540834846	chr2:177216037:+;chr2:177216188:+;chr2:177219778:+;chr2:177220127:+;chr2:177220534:+;chr2:177220986:+;chr2:177221383:+;chr2:177222654:+;chr2:177223853:+	distal	TRUE
TTC3	66.611189243725	2.31544657338819e-11	4.72681879053103e-09	0.461111111111111	0.403688524590164	0.0574225865209472	chr21:37153179:+_vs_chr21:37197695:+	0.34143897996357	chr21:37095368:+;chr21:37129034:+;chr21:37153066:+;chr21:37153179:+;chr21:37160839:+;chr21:37164198:+;chr21:37165784:+;chr21:37197695:+;chr21:37203104:+	distal	TRUE
SRSF10	60.4831475837055	3.59030975244032e-11	6.41319079529652e-09	0.344202898550725	0.364468864468864	-0.0202659659181398	chr1:23970528:-_vs_chr1:23967478:-	0.383659818442427	chr1:23966445:-;chr1:23967478:-;chr1:23967553:-;chr1:23969089:-;chr1:23970528:-;chr1:23971360:-;chr1:23978115:-	distal	TRUE
AZI2	51.2227106227106	4.3857534670917e-11	6.96360189386004e-09	0.5	0.607142857142857	-0.107142857142857	chr3:28323664:-_vs_chr3:28323539:-	-1.17380952380952	chr3:28323539:-;chr3:28323664:-;chr3:28332766:-;chr3:28340403:-	proximal	TRUE
GNAI1	51.984052311325	1.39008690823264e-10	1.82563067729186e-08	0.423809523809524	0.363636363636364	0.0601731601731602	chr7:80217369:+_vs_chr7:80218039:+	0.896103896103896	chr7:80212834:+;chr7:80217369:+;chr7:80218039:+;chr7:80218186:+;chr7:80219408:+	distal	TRUE
ITFG1	45.3711802902979	1.40531402730654e-10	1.82563067729186e-08	0.369047619047619	0.882352941176471	-0.513305322128851	chr16:47155394:-_vs_chr16:47154598:-	-1.44397759103641	chr16:47154598:-;chr16:47155394:-;chr16:47218142:-	proximal	TRUE
PARP1	54.2104879850229	1.89710235501893e-10	2.25913272110171e-08	0.4	0.383606557377049	0.0163934426229508	chr1:226388689:-_vs_chr1:226377160:-	0.320279295689132	chr1:226360691:-;chr1:226361003:-;chr1:226377160:-;chr1:226379623:-;chr1:226388689:-;chr1:226390419:-	distal	TRUE
SLC25A3	39.3307797359236	3.57757114141783e-10	3.68437512755626e-08	0.985915492957746	0.681818181818182	0.304097311139565	chr12:98601238:+_vs_chr12:98601708:+	0.608194622279129	chr12:98601238:+;chr12:98601708:+	distal	TRUE
CSNK1A1	46.9227628872454	3.60960474358206e-10	3.68437512755626e-08	0.323943661971831	0.444444444444444	-0.120500782472613	chr5:149509933:-_vs_chr5:149493238:-	-0.754423979776093	chr5:149493238:-;chr5:149495984:-;chr5:149509933:-;chr5:149513127:-	proximal	TRUE
CPE	48.8060575589987	6.40891865826977e-10	6.10556317511167e-08	0.694444444444445	0.274038461538462	0.420405982905983	chr4:165495647:+_vs_chr4:165498177:+	0.716666666666667	chr4:165495647:+;chr4:165497756:+;chr4:165498003:+;chr4:165498177:+;chr4:165498330:+	distal	TRUE
NFIB	51.1847530564108	7.92682276808562e-10	7.07964358474647e-08	0.43030303030303	0.776470588235294	-0.346167557932264	chr9:14087479:-_vs_chr9:14086670:-	-0.78698752228164	chr9:14086670:-;chr9:14087450:-;chr9:14087479:-;chr9:14088083:-;chr9:14088165:-;chr9:14307399:-	proximal	TRUE
