gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
DBN1	7.35698543064782e-15	chr5:177456622:-,chr5:177456925:-,chr5:177457223:-	2,76,2	17,20,27	0.025,0.95,0.025	0.262,0.308,0.415	0.5	0.416	0.084	distal	5.32645745178902e-12	FALSE
WDR77	2.20308993869956e-14	chr1:111440257:-,chr1:111440952:-	0,19	44,0	0,1	1,0	0	1	-1	proximal	7.9751855780924e-12	TRUE
PAX6	1.27586315310923e-13	chr11:31789194:-,chr11:31789837:-,chr11:31793214:-,chr11:31793758:-,chr11:31809746:-	1,27,16,4,0	20,49,0,37,24	0.02,0.551,0.327,0.082,0	0.14,0.343,0,0.259,0.168	0.61725	0.462	0.15525	distal	3.07908307617027e-11	TRUE
HNRNPA1	3.58731716286074e-12	chr12:54284578:+,chr12:54284881:+,chr12:54285246:+,chr12:54287087:+	18,145,156,0	1,230,332,41	0.056,0.455,0.489,0	0.002,0.379,0.547,0.068	0.477666666666667	0.559	-0.0813333333333334	proximal	6.49304406477795e-10	FALSE
MXI1	5.84700618230298e-12	chr10:110279293:+,chr10:110285108:+,chr10:110285432:+,chr10:110286092:+	0,5,1,14	18,16,27,0	0,0.238,0.048,0.667	0.234,0.208,0.351,0	0.778333333333333	0.303333333333333	0.475	distal	8.46646495197472e-10	TRUE
NCAPG	1.16259105371979e-11	chr4:17825048:+,chr4:17825486:+,chr4:17834448:+	10,51,0	0,6,13	0.161,0.823,0	0,0.214,0.464	0.4115	0.571	-0.1595	proximal	1.40285987148854e-09	TRUE
TSPAN12	2.4754261970458e-11	chr7:120787320:-,chr7:120788495:-	0,11	44,1	0,1	0.846,0.019	0	0.846	-0.846	proximal	2.56029795237309e-09	TRUE
PDIA6	3.9357782814435e-11	chr2:10783391:-,chr2:10783855:-,chr2:10784081:-,chr2:10788704:-,chr2:10790782:-	0,30,5,10,3	21,7,10,42,14	0,0.577,0.096,0.192,0.058	0.216,0.072,0.103,0.433,0.144	0.52875	0.42975	0.099	distal	3.46990932938149e-09	FALSE
SRSF3	4.31342319950737e-11	chr6:36600198:+,chr6:36602293:+,chr6:36602784:+,chr6:36602935:+,chr6:36603429:+	16,32,45,20,18	2,9,118,34,36	0.114,0.229,0.321,0.143,0.129	0.01,0.043,0.567,0.163,0.173	0.454	0.5895	-0.1355	proximal	3.46990932938149e-09	TRUE
EGR1	7.4225310633432e-11	chr5:138468120:+,chr5:138468602:+,chr5:138469034:+,chr5:138469228:+,chr5:138469300:+	26,2,1,4,23	706,325,65,26,152	0.464,0.036,0.018,0.071,0.411	0.553,0.255,0.051,0.02,0.119	0.48225	0.22325	0.259	distal	5.37391248986047e-09	TRUE
