gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
SEPTIN2	2.25332377483998e-22	chr2:241336944:+,chr2:241351994:+,chr2:241352555:+,chr2:241353497:+,chr2:241353736:+,chr2:241354027:+	35,50,7,22,11,20	0,85,25,13,62,99	0.24,0.342,0.048,0.151,0.075,0.137	0,0.272,0.08,0.042,0.198,0.316	0.3752	0.586	-0.2108	proximal	3.86895692140025e-19	TRUE
GPM6B	5.45012209260804e-18	chrX:13770943:-,chrX:13771029:-,chrX:13773456:-,chrX:13773601:-,chrX:13774155:-,chrX:13780611:-	18,23,0,0,0,10	23,39,81,18,23,0	0.346,0.442,0,0,0,0.192	0.119,0.201,0.418,0.093,0.119,0	0.6996	0.5916	0.108	distal	4.678929816504e-15	TRUE
USP1	5.65733264216742e-17	chr1:62439929:+,chr1:62439959:+,chr1:62440011:+,chr1:62445095:+,chr1:62451733:+	0,13,0,3,27	15,6,27,27,2	0,0.224,0,0.052,0.466	0.14,0.056,0.252,0.252,0.019	0.561	0.348	0.213	distal	2.71587080102443e-14	TRUE
RTN4	6.32701409673718e-17	chr2:54972189:-,chr2:54972291:-,chr2:54981278:-,chr2:55026600:-,chr2:55027115:-	49,31,12,51,30	183,2,6,60,51	0.251,0.159,0.062,0.262,0.154	0.535,0.006,0.018,0.175,0.149	0.46675	0.59225	-0.1255	proximal	2.71587080102443e-14	TRUE
SCD	2.85281573324068e-15	chr10:100361071:+,chr10:100361696:+,chr10:100362011:+,chr10:100363234:+,chr10:100363596:+,chr10:100364826:+	11,9,0,2,1,10	4,13,81,32,16,10	0.282,0.231,0,0.051,0.026,0.256	0.024,0.077,0.479,0.189,0.095,0.059	0.3536	0.4554	-0.1018	proximal	9.79656922794851e-13	TRUE
CALM1	1.42123763351723e-14	chr14:90403939:+,chr14:90405107:+,chr14:90405213:+,chr14:90405610:+,chr14:90408054:+	19,20,7,55,11	36,4,49,174,0	0.152,0.16,0.056,0.44,0.088	0.126,0.014,0.171,0.608,0	0.486	0.545	-0.0589999999999999	proximal	4.06710836124846e-12	FALSE
SET	5.24597002190137e-14	chr9:128691894:+,chr9:128694053:+,chr9:128694964:+,chr9:128695533:+	9,16,6,41	24,2,24,1	0.117,0.208,0.078,0.532	0.364,0.03,0.364,0.015	0.653333333333333	0.267666666666667	0.385666666666667	distal	1.17512072832843e-11	TRUE
GTF2I	5.47522762179816e-14	chr7:74698999:+,chr7:74735492:+,chr7:74744789:+,chr7:74749451:+,chr7:74758817:+,chr7:74760692:+	15,0,0,21,0,20	13,32,14,3,12,11	0.203,0,0,0.284,0,0.27	0.117,0.288,0.126,0.027,0.108,0.099	0.4404	0.3096	0.1308	distal	1.17512072832843e-11	TRUE
CCND2	2.33373443462187e-13	chr12:4276581:+,chr12:4300193:+,chr12:4300282:+,chr12:4300462:+,chr12:4300989:+,chr12:4301290:+,chr12:4301558:+,chr12:4305353:+	1,152,2,28,20,0,55,56	17,89,14,21,28,13,17,25	0.003,0.474,0.006,0.087,0.062,0,0.171,0.174	0.072,0.376,0.059,0.089,0.118,0.055,0.072,0.105	0.462714285714286	0.382142857142857	0.0805714285714286	distal	4.4522466936064e-11	FALSE
PHF14	2.91434477086474e-13	chr7:10982484:+,chr7:10982554:+,chr7:10982670:+,chr7:11028908:+,chr7:11037043:+,chr7:11169492:+	15,6,13,0,5,10	2,16,0,13,36,2	0.234,0.094,0.203,0,0.078,0.156	0.024,0.19,0,0.155,0.429,0.024	0.3184	0.4982	-0.1798	proximal	5.00392997157476e-11	TRUE
ARL3	4.68621484793367e-13	chr10:102675211:-,chr10:102676527:-,chr10:102676666:-,chr10:102676892:-	20,2,31,5	0,30,78,31	0.328,0.033,0.508,0.082	0,0.2,0.52,0.207	0.519333333333333	0.306666666666667	0.212666666666667	distal	7.31475535809284e-11	TRUE
XRCC5	8.12323850990485e-13	chr2:216122176:+,chr2:216127658:+,chr2:216190279:+,chr2:216205424:+,chr2:216206118:+,chr2:216206281:+	14,37,10,13,27,52	8,33,0,40,0,13	0.086,0.228,0.062,0.08,0.167,0.321	0.073,0.303,0,0.367,0,0.119	0.573	0.3998	0.1732	distal	1.14361142472981e-10	TRUE
