gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
ARPC2	4.34130061162667e-45	chr2:218249914:+,chr2:218254245:+,chr2:218254348:+	30,2,537	3,13,16	0.047,0.003,0.846	0.083,0.361,0.444	0.8475	0.6245	0.223	distal	1.79686432315228e-41	TRUE
CALM1	1.33574670447838e-39	chr14:90402502:+,chr14:90403939:+,chr14:90405107:+,chr14:90405213:+,chr14:90405610:+,chr14:90408268:+	7,348,239,461,704,151	10,9,7,9,20,2	0.003,0.17,0.117,0.225,0.344,0.074	0.164,0.148,0.115,0.148,0.328,0.033	0.565	0.4598	0.1052	distal	2.76432780491801e-36	TRUE
VMP1	2.63550375734441e-34	chr17:59736891:+,chr17:59840593:+,chr17:59841094:+	0,170,15	14,4,0	0,0.842,0.074	0.778,0.222,0	0.495	0.111	0.384	distal	3.63611668388284e-31	TRUE
ANKHD1	8.56911186826125e-33	chr5:140440206:+,chr5:140476181:+,chr5:140496721:+,chr5:140496774:+,chr5:140524215:+,chr5:140526189:+,chr5:140526239:+,chr5:140539849:+	40,0,25,74,16,18,15,16	0,12,0,0,2,0,2,0	0.153,0,0.096,0.284,0.061,0.069,0.057,0.061	0,0.5,0,0,0.083,0,0.083,0	0.343142857142857	0.19	0.153142857142857	distal	8.86688850568333e-30	TRUE
UBN1	1.52150654972551e-32	chr16:4858061:+,chr16:4859929:+,chr16:4860754:+,chr16:4873062:+	82,39,16,0	0,0,1,21	0.55,0.262,0.107,0	0,0,0.045,0.955	0.158666666666667	0.985	-0.826333333333333	proximal	1.25950312186278e-29	TRUE
ELAVL2	1.24378573546626e-25	chr9:23690853:-,chr9:23691569:-,chr9:23691880:-,chr9:23703921:-	36,57,286,0	1,8,24,14	0.079,0.125,0.626,0	0.02,0.16,0.48,0.28	0.371	0.286666666666667	0.0843333333333333	distal	8.58004859849142e-23	FALSE
RGL1	2.14417858980205e-22	chr1:183897401:+,chr1:183926845:+,chr1:183927154:+,chr1:183928185:+	0,21,12,55	16,0,0,0	0,0.158,0.09,0.414	1,0,0,0	0.526666666666667	0	0.526666666666667	distal	1.26782216902724e-19	TRUE
SF3B1	2.35636066414629e-20	chr2:197391980:-,chr2:197405105:-,chr2:197408481:-,chr2:197419197:-	157,387,276,9	5,15,20,11	0.174,0.429,0.306,0.01	0.096,0.288,0.385,0.212	0.562	0.416333333333333	0.145666666666667	distal	1.21912209861269e-17	TRUE
ENO1	3.32731381022288e-20	chr1:8861005:-,chr1:8868841:-	1016,8	61,12	0.984,0.008	0.836,0.164	0.984	0.836	0.148	distal	1.53019465116805e-17	TRUE
SPECC1L	7.54521135297992e-20	chr22:24313388:+,chr22:24322834:+,chr22:24324294:+,chr22:24324346:+,chr22:24330405:+,chr22:24334540:+	8,52,165,16,97,2	10,9,12,7,4,10	0.019,0.126,0.4,0.039,0.235,0.005	0.182,0.164,0.218,0.127,0.073,0.182	0.4016	0.4366	-0.035	proximal	3.12296297899839e-17	FALSE
