gene_id	p_value	dominant_pair	dominant_pair_coor	contribution	PA1	PA2	annotation	FDR	sig	tss	pas
CYHR1	0	TSS04-PA01	chr8:144462851:-|chr8:144449931:-	561.605658130218	chr8:144463825:-	chr8:144449931:-	ALE	0	TRUE	chr8:144462415:-;chr8:144462851:-;chr8:144465035:-;chr8:144465428:-;chr8:144465489:-;chr8:144465648:-	chr8:144449931:-;chr8:144451125:-;chr8:144463825:-
ASNS	2.22236503040527e-285	TSS10-PA02	chr7:97928411:-|chr7:97922758:-	1182.26223135447	chr7:97852128:-	chr7:97922758:-	ALE	2.54905268987484e-282	TRUE	chr7:97858379:-;chr7:97872113:-;chr7:97872394:-;chr7:97872542:-;chr7:97928411:-	chr7:97852128:-;chr7:97922758:-
CAMTA1	5.48253363510668e-280	TSS05-PA03	chr1:7704736:+|chr1:7769706:+	911.649523301948	chr1:6872020:+	chr1:6888201:+	ALE	4.1923107196449e-277	TRUE	chr1:6785454:+;chr1:7669730:+;chr1:7704736:+	chr1:6872020:+;chr1:6888201:+;chr1:7769706:+
HNRNPA1	1.06446491646214e-246	TSS15-PA03	chr12:54285907:+|chr12:54287087:+	997.645251836151	chr12:54285246:+	chr12:54284881:+	TUTR	6.10470629591035e-244	TRUE	chr12:54280663:+;chr12:54281795:+;chr12:54282394:+;chr12:54282573:+;chr12:54282800:+;chr12:54283812:+;chr12:54284258:+;chr12:54284709:+;chr12:54285907:+;chr12:54286247:+	chr12:54284881:+;chr12:54285246:+;chr12:54287087:+
NCOR1	5.48261120028259e-220	TSS07-PA01	chr17:16057935:-|chr17:16031404:-	1182.03015075377	chr17:16126117:-	chr17:16031404:-	ALE	2.51542201868965e-217	TRUE	chr17:16057935:-;chr17:16215529:-	chr17:16031404:-;chr17:16126117:-
SFXN5	7.37015910852612e-217	TSS07-PA04	chr2:73059158:-|chr2:73053329:-	249.190777928423	chr2:72942036:-	chr2:73053329:-	ALE	2.81785749915982e-214	TRUE	chr2:72981117:-;chr2:72988348:-;chr2:73059158:-;chr2:73070567:-;chr2:73071266:-;chr2:73071662:-	chr2:72942036:-;chr2:73047893:-;chr2:73049115:-;chr2:73053329:-
KALRN	1.45748098103168e-207	TSS25-PA05	chr3:124584658:+|chr3:124675427:+	714.570175438596	chr3:124395531:+	chr3:124408540:+	ALE	4.77637338640955e-205	TRUE	chr3:124033369:+;chr3:124094661:+;chr3:124384513:+;chr3:124384719:+;chr3:124384825:+;chr3:124384953:+;chr3:124562700:+;chr3:124584658:+	chr3:124395531:+;chr3:124408540:+;chr3:124408582:+;chr3:124519850:+;chr3:124675427:+
GPM6B	2.09581511849561e-204	TSS03-PA01	chrX:13817069:-|chrX:13770943:-	259.981514187328	chrX:13773456:-	chrX:13770943:-	TUTR	6.00974985228615e-202	TRUE	chrX:13817069:-;chrX:13817323:-;chrX:13938415:-;chrX:13938638:-;chrX:13938824:-	chrX:13770943:-;chrX:13771029:-;chrX:13771456:-;chrX:13773456:-
ASPH	2.52472721530734e-192	TSS12-PA01	chr8:61689768:-|chr8:61624535:-	281.246670280468	chr8:61675259:-	chr8:61624535:-	ALE	6.43524914657225e-190	TRUE	chr8:61651086:-;chr8:61684190:-;chr8:61689699:-;chr8:61689768:-;chr8:61714525:-	chr8:61624535:-;chr8:61675259:-
PSMG2	9.46375760047915e-148	TSS02-PA01	chr18:12658193:+|chr18:12663659:+	293.651695311221	chr18:12725740:+	chr18:12663659:+	ALE	2.17098599354992e-145	TRUE	chr18:12658043:+;chr18:12658193:+;chr18:12658246:+;chr18:12703023:+	chr18:12663659:+;chr18:12725740:+
POLR2F	3.15870458308414e-125	TSS03-PA02	chr22:37986193:+|chr22:38041915:+	503.238773515271	chr22:37967801:+	chr22:38041915:+	ALE	6.58733483054093e-123	TRUE	chr22:37953663:+;chr22:37986193:+	chr22:37967801:+;chr22:38041915:+
FEZ1	7.5317910481547e-118	TSS11-PA02	chr11:125496218:-|chr11:125488204:-	103.377059033576	chr11:125445752:-	chr11:125488204:-	ALE	1.43982738870557e-115	TRUE	chr11:125451520:-;chr11:125452825:-;chr11:125463540:-;chr11:125481597:-;chr11:125481756:-;chr11:125495665:-;chr11:125496122:-;chr11:125496218:-	chr11:125445752:-;chr11:125488204:-
MAP4	4.72216913555676e-112	TSS04-PA01	chr3:47892575:-|chr3:47850695:-	208.034931592624	chr3:47973079:-	chr3:47850695:-	ALE	8.33281230535939e-110	TRUE	chr3:47857478:-;chr3:47891336:-;chr3:47892575:-;chr3:48016412:-;chr3:48088801:-;chr3:48089272:-	chr3:47850695:-;chr3:47851558:-;chr3:47973079:-
SCP2	2.41964652516978e-105	TSS01-PA01	chr1:52927229:+|chr1:52994232:+	217.653685513439	chr1:53051599:+	chr1:52994232:+	ALE	3.96476366338534e-103	TRUE	chr1:52927229:+;chr1:52927380:+;chr1:53014928:+	chr1:52994232:+;chr1:53051599:+
SMG5	4.12304665982718e-97	TSS07-PA02	chr1:156291498:-|chr1:156290091:-	324.539658025372	chr1:156249224:-	chr1:156290091:-	ALE	6.30551269176236e-95	TRUE	chr1:156282825:-;chr1:156282890:-;chr1:156291498:-	chr1:156249224:-;chr1:156290091:-
CYB561D2	6.30207082177108e-94	TSS03-PA02	chr3:50365334:+|chr3:50368192:+	332.958098811757	chr3:50354079:+	chr3:50368192:+	ALE	9.03559404071428e-92	TRUE	chr3:50350845:+;chr3:50351197:+;chr3:50365334:+	chr3:50354079:+;chr3:50368192:+
