gene_id	p_value	FDR	sig	tss_id	pas_id
CHD4	7.06596210721853e-282	2.01662558540017e-278	TRUE	chr12:6578141:-;chr12:6581343:-;chr12:6583106:-;chr12:6583331:-;chr12:6587450:-;chr12:6587513:-;chr12:6594629:-;chr12:6595409:-;chr12:6601977:-;chr12:6606682:-;chr12:6606993:-;chr12:6607334:-;chr12:6607582:-	chr12:6570082:-;chr12:6578456:-;chr12:6581354:-;chr12:6600535:-;chr12:6602431:-;chr12:6587841:-
DYNC1H1	6.61575238222583e-272	9.44067864943627e-269	TRUE	chr14:101964573:+;chr14:101964688:+;chr14:102039491:+;chr14:102041660:+;chr14:102043325:+	chr14:101983472:+;chr14:102050792:+
ACIN1	1.07625090208218e-183	1.02387335818085e-180	TRUE	chr14:23069525:-;chr14:23071201:-;chr14:23071538:-;chr14:23095136:-	chr14:23061315:-;chr14:23058564:-;chr14:23080360:-
SMARCA4	9.53839820668962e-180	6.80564712047304e-177	TRUE	chr19:10960932:+;chr19:10984124:+;chr19:10986420:+;chr19:10991175:+;chr19:10991260:+;chr19:10994852:+;chr19:10994921:+;chr19:10994998:+;chr19:11033487:+;chr19:11041439:+	chr19:10996376:+;chr19:11003382:+;chr19:11062273:+
TTC32	3.22918976071877e-154	1.84322151541827e-151	TRUE	chr2:19901641:-;chr2:19901956:-	chr2:19896631:-;chr2:19896754:-;chr2:19897006:-
SRRM2	2.1153264943937e-153	1.00619030249993e-150	TRUE	chr16:2752626:+;chr16:2757832:+;chr16:2767722:+;chr16:2767856:+;chr16:2768528:+;chr16:2769895:+;chr16:2770355:+	chr16:2757819:+;chr16:2758536:+;chr16:2759032:+;chr16:2771408:+
ATP2B1	2.75681893979992e-140	1.12399446488414e-137	TRUE	chr12:89656019:-;chr12:89708838:-;chr12:89709300:-;chr12:89709366:-	chr12:89591090:-;chr12:89621651:-;chr12:89626506:-;chr12:89630505:-;chr12:89627679:-
MAP4	4.67222449895754e-121	1.6668160900031e-118	TRUE	chr3:47892575:-;chr3:48088801:-;chr3:48089272:-	chr3:47850695:-;chr3:47877418:-;chr3:47916030:-;chr3:47916622:-;chr3:47916689:-;chr3:47973079:-
TMSB15B	5.03402148530257e-117	1.5963441465615e-114	TRUE	chrX:103962627:+;chrX:104076194:-	chrX:103964583:+;chrX:104072887:-;chrX:103965976:+;chrX:103973758:+
PHIP	2.28158897704002e-114	6.51165494047222e-112	TRUE	chr6:78982943:-;chr6:79078254:-	chr6:78946763:-;chr6:78945395:-;chr6:78982887:-;chr6:78990885:-
CDK12	1.51253991039987e-101	3.92435354934656e-99	TRUE	chr17:39461486:+;chr17:39529882:+	chr17:39470947:+;chr17:39490724:+;chr17:39533097:+;chr17:39532477:+
PCNT	5.21943441026265e-95	1.24135548390747e-92	TRUE	chr21:46324124:+;chr21:46324667:+;chr21:46440994:+	chr21:46349811:+;chr21:46357133:+;chr21:46363573:+;chr21:46402386:+;chr21:46326406:+;chr21:46445734:+
ASNS	2.49371865370888e-94	5.47467156745011e-92	TRUE	chr7:97872113:-;chr7:97872394:-;chr7:97872542:-;chr7:97928411:-	chr7:97852128:-;chr7:97922785:-
DDX5	3.20194472387717e-84	6.52739302996104e-82	TRUE	chr17:64503561:-;chr17:64503823:-;chr17:64505370:-;chr17:64506289:-;chr17:64506499:-;chr17:64506626:-;chr17:64506866:-	chr17:64499620:-;chr17:64502479:-
CHD3	6.46657804988528e-83	1.23037425029151e-80	TRUE	chr17:7884796:+;chr17:7888789:+;chr17:7889718:+;chr17:7890735:+;chr17:7893829:+;chr17:7907439:+;chr17:7907911:+;chr17:7907992:+;chr17:7909938:+	chr17:7893896:+;chr17:7894250:+;chr17:7898073:+;chr17:7912204:+;chr17:7912755:+
HSP90AA1	4.12782774925097e-82	7.36301274772641e-80	TRUE	chr14:102084798:-;chr14:102086331:-;chr14:102087044:-;chr14:102139686:-	chr14:102081050:-;chr14:102083061:-;chr14:102084473:-;chr14:102084781:-;chr14:102084841:-;chr14:102084921:-
CD99	1.67591542047238e-79	2.81356624119305e-77	TRUE	chrX:2691187:+;chrX:2691276:+;chrY:2691187:+;chrY:2691276:+	chrX:2741230:+;chrY:2726371:+;chrX:2741309:+;chrY:2741230:+;chrY:2741309:+
MAP2	5.00949974769988e-79	7.94284015551971e-77	TRUE	chr2:209424047:+;chr2:209579315:+;chr2:209579421:+;chr2:209579607:+;chr2:209653171:+;chr2:209653393:+;chr2:209661465:+;chr2:209709954:+	chr2:209580099:+;chr2:209692830:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209734112:+
LUC7L	3.62036254008053e-77	5.43816562599465e-75	TRUE	chr16:206087:-;chr16:229142:-;chr16:229340:-	chr16:188990:-;chr16:206117:-;chr16:189523:-;chr16:206005:-
NEDD4L	5.32133168472654e-76	7.59354031410477e-74	TRUE	chr18:58044226:+;chr18:58044367:+;chr18:58045525:+;chr18:58045657:+;chr18:58045922:+;chr18:58330851:+;chr18:58341038:+	chr18:58245507:+;chr18:58341097:+;chr18:58383306:+;chr18:58396578:+
SYNE2	4.02006021574336e-74	5.46345326463406e-72	TRUE	chr14:63852965:+;chr14:64212811:+	chr14:63986481:+;chr14:63995157:+;chr14:64226433:+
KIAA1109	9.73683546596248e-73	1.2631331099935e-70	TRUE	chr4:122152331:+;chr4:122339221:+	chr4:122192256:+;chr4:122239944:+;chr4:122271473:+;chr4:122356754:+
SMARCA5	1.49683962239601e-69	1.85738273144271e-67	TRUE	chr4:143513702:+;chr4:143547432:+	chr4:143528017:+;chr4:143543538:+;chr4:143543971:+;chr4:143544781:+;chr4:143548058:+;chr4:143550064:+
MYH10	4.10111958229669e-69	4.87691470328115e-67	TRUE	chr17:8493898:-;chr17:8604893:-;chr17:8630721:-	chr17:8487524:-;chr17:8506434:-;chr17:8474298:-;chr17:8512497:-
EMC3	2.63957029695911e-66	3.01333345100853e-64	TRUE	chr3:9986682:-;chr3:9986838:-;chr3:10011176:-	chr3:9962683:-;chr3:9963960:-
CYHR1	1.35530556397489e-65	1.48770849214782e-63	TRUE	chr8:144462851:-;chr8:144465428:-;chr8:144465489:-;chr8:144465648:-	chr8:144451125:-;chr8:144463825:-
MATR3	8.58760768032115e-62	9.07741937764317e-60	TRUE	chr5:139293674:+;chr5:139293952:+;chr5:139308095:+;chr5:139308243:+;chr5:139322746:+	chr5:139319032:+;chr5:139322957:+;chr5:139325489:+;chr5:139329704:+;chr5:139330395:+
TPR	1.72651285302787e-61	1.75980988662198e-59	TRUE	chr1:186326220:-;chr1:186375253:-;chr1:186375325:-;chr1:186375693:-	chr1:186313826:-;chr1:186355500:-;chr1:186359936:-;chr1:186360828:-;chr1:186363420:-
PABPC1	2.05905818110234e-61	2.02639725822968e-59	TRUE	chr8:100704960:-;chr8:100705695:-;chr8:100706779:-;chr8:100712761:-;chr8:100715496:-;chr8:100715601:-;chr8:100721559:-;chr8:100721645:-;chr8:100721851:-;chr8:100721992:-;chr8:100722087:-	chr8:100702930:-;chr8:100703118:-;chr8:100703295:-
PTPRZ1	4.94883449893861e-60	4.70799121999027e-58	TRUE	chr7:121873089:+;chr7:121873152:+;chr7:121873327:+;chr7:121873481:+;chr7:122011208:+;chr7:122013706:+	chr7:121968006:+;chr7:121968063:+;chr7:122010588:+;chr7:122038883:+;chr7:122059821:+;chr7:122062036:+
MYO6	3.03861749219544e-58	2.79748849120187e-56	TRUE	chr6:75749201:+;chr6:75749315:+;chr6:75890210:+	chr6:75867063:+;chr6:75881817:+;chr6:75890213:+;chr6:75891280:+;chr6:75908568:+
SETX	2.57196128631472e-57	2.29386797223195e-55	TRUE	chr9:132286497:-;chr9:132354986:-	chr9:132275352:-;chr9:132295897:-;chr9:132328612:-;chr9:132329003:-;chr9:132329260:-;chr9:132329485:-;chr9:132329728:-
HDLBP	3.06517679036786e-56	2.65091350294239e-54	TRUE	chr2:241230824:-;chr2:241236771:-;chr2:241242540:-;chr2:241272812:-;chr2:241315203:-;chr2:241315672:-	chr2:241229218:-;chr2:241227293:-;chr2:241246859:-;chr2:241247057:-
SETD5	4.99224251158862e-56	4.19054709649233e-54	TRUE	chr3:9397615:+;chr3:9397827:+;chr3:9475050:+	chr3:9435901:+;chr3:9445680:+;chr3:9476875:+
ZFR	1.90850195753041e-55	1.55624702479766e-53	TRUE	chr5:32390317:-;chr5:32444496:-;chr5:32444738:-	chr5:32354350:-;chr5:32388486:-;chr5:32395232:-;chr5:32397219:-;chr5:32406855:-;chr5:32404030:-
TMEM161B-AS1	6.77854716965937e-55	5.3738815617244e-53	TRUE	chr5:88268868:+;chr5:88392181:+	chr5:88287657:+;chr5:88436672:+
CREB5	1.40437873244186e-54	1.08326943307813e-52	TRUE	chr7:28409335:+;chr7:28686133:+	chr7:28410758:+;chr7:28411709:+;chr7:28820507:+
SLF1	1.63207992065228e-54	1.22577791935305e-52	TRUE	chr5:94618669:+;chr5:94691195:+;chr5:94692186:+	chr5:94643378:+;chr5:94649528:+;chr5:94651770:+;chr5:94695650:+;chr5:94695770:+;chr5:94695862:+
UBXN4	7.59861546338194e-53	5.56062782884412e-51	TRUE	chr2:135741734:+;chr2:135741786:+;chr2:135741855:+;chr2:135772447:+	chr2:135769811:+;chr2:135770658:+;chr2:135782799:+
MIA3	1.86158926038258e-52	1.32824393728297e-50	TRUE	chr1:222618097:+;chr1:222644303:+;chr1:222644394:+	chr1:222627962:+;chr1:222628456:+;chr1:222628615:+;chr1:222650359:+;chr1:222650664:+;chr1:222666142:+;chr1:222652304:+;chr1:222658824:+
STRBP	3.3454904716754e-50	2.32878775760039e-48	TRUE	chr9:123136136:-;chr9:123136503:-;chr9:123268564:-	chr9:123124710:-;chr9:123125220:-;chr9:123136057:-;chr9:123139599:-;chr9:123147804:-;chr9:123179069:-;chr9:123184159:-
TBL1XR1	4.26885003951107e-50	2.90078524113443e-48	TRUE	chr3:177051535:-;chr3:177098493:-;chr3:177197163:-;chr3:177197482:-	chr3:177034268:-;chr3:177047351:-;chr3:177020754:-
SRRT	4.74138348734843e-50	3.14695545881219e-48	TRUE	chr7:100875103:+;chr7:100881764:+;chr7:100882053:+;chr7:100884754:+;chr7:100884992:+;chr7:100885295:+;chr7:100887002:+	chr7:100882651:+;chr7:100884837:+;chr7:100888661:+
ANKRD26	6.82081339883377e-50	4.42422760006172e-48	TRUE	chr10:27039989:-;chr10:27100298:-;chr10:27100485:-	chr10:27035100:-;chr10:27035627:-;chr10:27037973:-;chr10:27067249:-;chr10:27040018:-;chr10:27086575:-
CDH2	8.50764763540216e-50	5.39573918920839e-48	TRUE	chr18:28177000:-;chr18:28177119:-;chr18:28177946:-	chr18:27950971:-;chr18:27982977:-;chr18:27951824:-;chr18:28013878:-
STMN1	1.85428549575593e-49	1.15046321845379e-47	TRUE	chr1:25903813:-;chr1:25905128:-;chr1:25905489:-;chr1:25906153:-;chr1:25906417:-;chr1:25906991:-	chr1:25900561:-;chr1:25901556:-;chr1:25900120:-
RGS12	4.37774949412683e-49	2.65831852260382e-47	TRUE	chr4:3293021:+;chr4:3422515:+;chr4:3422930:+	chr4:3428602:+;chr4:3439908:+;chr4:3432169:+
DOCK7	1.10168387501169e-48	6.55042870684034e-47	TRUE	chr1:62476189:-;chr1:62492760:-;chr1:62663106:-;chr1:62688264:-;chr1:62688344:-	chr1:62455011:-;chr1:62578859:-;chr1:62636538:-;chr1:62648183:-;chr1:62648489:-
ARPP21	1.89720022463346e-48	1.10502233491916e-46	TRUE	chr3:35638945:+;chr3:35639525:+;chr3:35639589:+;chr3:35640255:+;chr3:35642290:+;chr3:35643621:+;chr3:35679745:+;chr3:35690072:+;chr3:35738232:+	chr3:35682883:+;chr3:35687847:+;chr3:35794446:+
SFPQ	4.54002584591613e-48	2.59144675284893e-46	TRUE	chr1:35178136:-;chr1:35181606:-;chr1:35188042:-;chr1:35193145:-	chr1:35176380:-;chr1:35183600:-;chr1:35184129:-;chr1:35188011:-;chr1:35189013:-
THOC2	2.60071717618124e-47	1.45538172957279e-45	TRUE	chrX:123614153:-;chrX:123621579:-;chrX:123733037:-	chrX:123611481:-;chrX:123623822:-;chrX:123626588:-;chrX:123668180:-
MIR100HG	5.66376482099672e-47	3.1085355382932e-45	TRUE	chr11:122100438:-;chr11:122100793:-;chr11:122101509:-;chr11:122101686:-;chr11:122102121:-;chr11:122105544:-;chr11:122203087:-;chr11:122309424:-	chr11:122028325:-;chr11:122089110:-;chr11:122090942:-;chr11:122091019:-;chr11:122091085:-;chr11:122091501:-
PPP4R3A	6.64836896662413e-46	3.58008396806514e-44	TRUE	chr14:91481873:-;chr14:91481998:-;chr14:91510144:-;chr14:91510300:-;chr14:91510478:-;chr14:91510554:-	chr14:91457628:-;chr14:91462099:-;chr14:91462766:-;chr14:91485652:-;chr14:91465398:-
PRRC2C	6.78171877395272e-45	3.58426395941872e-43	TRUE	chr1:171485530:+;chr1:171557955:+	chr1:171513172:+;chr1:171515809:+;chr1:171532830:+;chr1:171566672:+
MYCBP2	7.87804963268758e-45	4.08799157303461e-43	TRUE	chr13:77087514:-;chr13:77327094:-	chr13:77081510:-;chr13:77243102:-;chr13:77260553:-;chr13:77296635:-
INPP5F	7.80488458738032e-44	3.97770368078275e-42	TRUE	chr10:119726042:+;chr10:119818686:+;chr10:119818810:+	chr10:119791645:+;chr10:119797494:+;chr10:119829151:+
UBE2I	3.4363823370255e-43	1.72060266488961e-41	TRUE	chr16:1309152:+;chr16:1309635:+;chr16:1309758:+;chr16:1313995:+	chr16:1325350:+;chr16:1327015:+
ELF2	1.55217271945518e-42	7.63776024366394e-41	TRUE	chr4:139084224:-;chr4:139084325:-;chr4:139084414:-;chr4:139177199:-	chr4:139058737:-;chr4:139061966:-;chr4:139067696:-;chr4:139058862:-;chr4:139059094:-
EIF4G1	2.13058180853981e-42	1.03062381043604e-40	TRUE	chr3:184314495:+;chr3:184327286:+;chr3:184327949:+	chr3:184323497:+;chr3:184325318:+;chr3:184335353:+
UBR5	8.69813229007602e-42	4.13741159264616e-40	TRUE	chr8:102305182:-;chr8:102305257:-;chr8:102347000:-;chr8:102412689:-;chr8:102412759:-	chr8:102293955:-;chr8:102305100:-;chr8:102253885:-;chr8:102311326:-;chr8:102326601:-
