gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
ABHD3	1.2995814250075e-24	chr18:21650901:-,chr18:21651111:-,chr18:21666005:-	69,21,0	0,0,20	0.726,0.221,0	0,0,1	0.8365	0	0.8365	distal	1.56339645428403e-21	TRUE
GTF2I	1.39020201293296e-16	chr7:74698999:+,chr7:74735492:+,chr7:74744789:+,chr7:74744941:+,chr7:74758817:+,chr7:74760692:+	13,32,14,1,12,11	0,0,0,14,0,1	0.117,0.288,0.126,0.009,0.108,0.099	0,0,0,0.7,0,0.05	0.2988	0.47	-0.1712	proximal	8.36206510779178e-14	TRUE
NEDD1	1.77834612884375e-14	chr12:96943721:+,chr12:96944722:+,chr12:96952033:+,chr12:96953351:+	11,21,0,10	2,0,30,0	0.22,0.42,0,0.2	0.062,0,0.938,0	0.34	0.625333333333333	-0.285333333333333	proximal	7.13116797666344e-12	TRUE
CTNNA1	3.22832988642855e-14	chr5:138812227:+,chr5:138934327:+,chr5:138934631:+,chr5:138934712:+,chr5:138935032:+	0,43,10,54,41	12,0,0,13,6	0,0.261,0.061,0.327,0.248	0.387,0,0,0.419,0.194	0.589	0.50825	0.08075	distal	9.70920213343387e-12	FALSE
SEPTIN7	1.11086907016738e-12	chr7:35882569:+,chr7:35898297:+,chr7:35903104:+,chr7:35904630:+,chr7:35905307:+	296,114,87,12,148	31,58,21,7,14	0.444,0.171,0.131,0.018,0.222	0.226,0.423,0.153,0.051,0.102	0.34375	0.3225	0.02125	distal	2.67275098282272e-10	FALSE
SLMAP	5.20503156854776e-12	chr3:57862014:+,chr3:57862089:+,chr3:57864617:+	14,1,28	0,14,0	0.246,0.018,0.491	0,1,0	0.5	0.5	0	proximal	1.04360882949383e-09	FALSE
FAM83D	9.89582381412476e-12	chr20:38953035:+,chr20:38953096:+	7,14	64,0	0.333,0.667	1,0	0.667	0	0.667	distal	1.70066800691315e-09	TRUE
TMED10	5.55675020075235e-11	chr14:75131469:-,chr14:75133060:-,chr14:75133185:-,chr14:75134244:-	11,2,14,65	1,10,0,5	0.12,0.022,0.152,0.707	0.062,0.625,0,0.312	0.185333333333333	0.478666666666667	-0.293333333333333	proximal	7.95489883207696e-09	TRUE
ZEB1	5.95129588434685e-11	chr10:31520822:+,chr10:31524017:+,chr10:31527051:+,chr10:31527413:+	123,38,12,16	16,4,21,3	0.618,0.191,0.06,0.08	0.356,0.089,0.467,0.067	0.183666666666667	0.408	-0.224333333333333	proximal	7.95489883207696e-09	TRUE
KCTD3	1.69189792261513e-10	chr1:215620322:+,chr1:215620421:+,chr1:215620477:+	0,21,12	12,0,0	0,0.477,0.273	0.857,0,0	0.5115	0	0.5115	distal	2.03370711308789e-08	TRUE
UBE2S	1.91961356330477e-10	chr19:55401283:-,chr19:55401470:-	69,29	127,0	0.704,0.296	1,0	0.704	1	-0.296	proximal	2.03370711308789e-08	TRUE
CENPV	2.0286355242772e-10	chr17:16342537:-,chr17:16348150:-	230,5	25,11	0.975,0.021	0.61,0.268	0.975	0.61	0.365	distal	2.03370711308789e-08	TRUE
PAFAH1B1	2.96766884177497e-10	chr17:2667027:+,chr17:2672918:+,chr17:2681910:+,chr17:2682463:+	20,0,19,30	2,11,15,0	0.215,0,0.204,0.323	0.057,0.314,0.429,0	0.459	0.390666666666667	0.0683333333333334	distal	2.69217919809112e-08	FALSE
SAP30BP	3.13304312329806e-10	chr17:75702546:+,chr17:75704814:+,chr17:75706757:+	10,12,43	22,3,0	0.141,0.169,0.606	0.88,0.12,0	0.6905	0.06	0.6305	distal	2.69217919809112e-08	TRUE
SF3B2	6.926534364564e-10	chr11:66054327:+,chr11:66058867:+,chr11:66068892:+	0,55,18	13,15,0	0,0.753,0.247	0.464,0.536,0	0.6235	0.268	0.3555	distal	5.55508056038033e-08	TRUE
IST1	1.00430600820143e-09	chr16:71927808:+,chr16:71928996:+	0,46	10,3	0,0.754	0.714,0.214	0.754	0.214	0.54	distal	7.55112579916454e-08	TRUE
SERF2	1.13500380472937e-09	chr15:43794043:+,chr15:43796001:+	329,0	70,10	0.991,0	0.875,0.125	0	0.125	-0.125	proximal	7.86812124075099e-08	TRUE
FLOT1	1.17727499861611e-09	chr6:30727713:-,chr6:30727830:-	3,121	16,25	0.024,0.976	0.39,0.61	0.024	0.39	-0.366	proximal	7.86812124075099e-08	TRUE
MPDZ	1.47707393866121e-09	chr9:13196181:-,chr9:13217225:-	33,0	1,12	0.429,0	0.071,0.857	0.429	0.071	0.358	distal	9.35221025373388e-08	TRUE
AZIN2	1.87446845040654e-09	chr1:33120394:+,chr1:33120526:+	0,20	20,0	0,1	1,0	1	0	1	distal	1.12749277291953e-07	TRUE
MAP1B	2.74180310028114e-09	chr5:72195109:+,chr5:72195305:+,chr5:72195578:+,chr5:72207044:+	249,174,11,21	46,47,19,13	0.407,0.284,0.018,0.034	0.322,0.329,0.133,0.091	0.140666666666667	0.289333333333333	-0.148666666666667	proximal	1.57066149030391e-07	TRUE
KLHDC2	4.40444165350449e-09	chr14:49783138:+,chr14:49785980:+	54,0	6,10	0.831,0	0.375,0.625	0	0.625	-0.625	proximal	2.40842877689359e-07	TRUE
RAB7A	6.99120052598859e-09	chr3:128813513:+,chr3:128814099:+,chr3:128814390:+,chr3:128814797:+	13,44,26,68	0,22,0,0	0.085,0.288,0.17,0.444	0,1,0,0	0.653333333333333	0.333333333333333	0.32	distal	3.65670184033229e-07	TRUE
RFC3	9.13174922192167e-09	chr13:33832785:+,chr13:33837496:+	0,28	10,0	0,0.966	0.833,0	0.966	0	0.966	distal	4.57728929748824e-07	TRUE
WDR75	1.7124327241252e-08	chr2:189475259:+,chr2:189475378:+	23,0	0,13	0.92,0	0,0.929	0	0.929	-0.929	proximal	8.24022626849044e-07	TRUE
TOP2A	1.93622494683822e-08	chr17:40395446:-,chr17:40396288:-,chr17:40398613:-,chr17:40398903:-,chr17:40407613:-,chr17:40411173:-,chr17:40413206:-,chr17:40416033:-	18,11,2,33,23,33,9,10	7,27,36,40,10,64,15,6	0.112,0.068,0.012,0.205,0.143,0.205,0.056,0.062	0.024,0.094,0.125,0.139,0.035,0.223,0.052,0.021	0.423857142857143	0.359428571428571	0.0644285714285714	distal	8.95876388863992e-07	FALSE
FTSJ1	2.05539646715213e-08	chrX:48486299:+,chrX:48486345:+	25,0	0,11	0.833,0	0,1	0	1	-1	proximal	9.15793314808893e-07	TRUE
DYNC1I2	2.82129998735265e-08	chr2:171725691:+,chr2:171725949:+,chr2:171748411:+	21,19,66	22,14,3	0.193,0.174,0.606	0.5,0.318,0.068	0.693	0.227	0.466	distal	1.2121513874233e-06	TRUE
MKI67	3.83738216803448e-08	chr10:128101604:-,chr10:128109018:-,chr10:128109150:-,chr10:128111953:-,chr10:128115328:-,chr10:128115641:-	5,16,12,1,3,23	11,50,1,31,24,44	0.062,0.198,0.148,0.012,0.037,0.284	0.06,0.275,0.005,0.17,0.132,0.242	0.3214	0.3774	-0.056	proximal	1.59185198211913e-06	FALSE
