gene_id	chisq	pvalue	adj_pvalue	IP	PgG2M	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
MKI67	99.8628650833123	5.64884154163634e-20	4.63937019304401e-17	0.827586206896552	0.380952380952381	0.446633825944171	chr10:128109018:-_vs_chr10:128097892:-	1.00862068965517	chr10:128097892:-;chr10:128101604:-;chr10:128109018:-;chr10:128111953:-;chr10:128115328:-;chr10:128115641:-	distal	TRUE
MXI1	91.8411480372114	8.81171926504085e-20	4.63937019304401e-17	0.257309941520468	0.816666666666667	-0.559356725146199	chr10:110279293:+_vs_chr10:110286092:+	-1.15614035087719	chr10:110279293:+;chr10:110285108:+;chr10:110285432:+;chr10:110286092:+	proximal	TRUE
ARL6IP1	87.8518495423635	1.89846547493084e-17	6.66361381700725e-15	0.52824427480916	0.63037542662116	-0.102131151812	chr16:18795529:-_vs_chr16:18791667:-	-0.243141494932652	chr16:18791667:-;chr16:18792616:-;chr16:18793171:-;chr16:18793259:-;chr16:18795473:-;chr16:18795529:-	proximal	TRUE
FBLN1	65.2356528057232	6.64562621341416e-16	1.74946110068128e-13	0.0751173708920188	0.577777777777778	-0.502660406885759	chr22:45563362:+_vs_chr22:45601135:+	-1.00532081377152	chr22:45563362:+;chr22:45601135:+	proximal	TRUE
ZBED5	61.4418512658228	4.5506299275942e-14	9.58362662751339e-12	0.645569620253165	0.53125	0.114319620253165	chr11:10852879:-_vs_chr11:10852797:-	1.14556962025316	chr11:10852797:-;chr11:10852879:-;chr11:10854619:-	distal	TRUE
TCP1	53.2433987856629	2.94676053287862e-13	5.17156473520198e-11	0.0567375886524823	0.543478260869565	-0.486740672217083	chr6:159778952:-_vs_chr6:159778498:-	-0.973481344434166	chr6:159778498:-;chr6:159778952:-	proximal	TRUE
CANX	60.086796808924	2.78155155539993e-12	4.18424826833732e-10	0.487113402061856	0.451219512195122	0.0358938898667337	chr5:179724793:+_vs_chr5:179730908:+	0.708071410611013	chr5:179709995:+;chr5:179724712:+;chr5:179724793:+;chr5:179728862:+;chr5:179730908:+	distal	TRUE
GTF2I	56.447140120416	3.37224697564782e-12	4.43872008169644e-10	0.597701149425287	0.377777777777778	0.21992337164751	chr7:74744941:+_vs_chr7:74749451:+	1.26091954022989	chr7:74698999:+;chr7:74744941:+;chr7:74749451:+;chr7:74760692:+	distal	TRUE
LUC7L2	52.1909274193548	4.64391335498581e-12	5.4333786253334e-10	0.732142857142857	0.514285714285714	0.217857142857143	chr7:139419147:+_vs_chr7:139423136:+	0.817857142857143	chr7:139409614:+;chr7:139419147:+;chr7:139423136:+	distal	TRUE
SRSF3	58.291506796031	6.62805754751535e-12	6.97934459753366e-10	0.68609865470852	0.484732824427481	0.201365830281039	chr6:36602293:+_vs_chr6:36603429:+	0.38489713483723	chr6:36600198:+;chr6:36602293:+;chr6:36602784:+;chr6:36602935:+;chr6:36603429:+	distal	TRUE
ZXDC	50.001998001998	1.38740767229665e-11	1.25509907739567e-09	0.324175824175824	0.5	-0.175824175824176	chr3:126441915:-_vs_chr3:126438047:-	-1.59340659340659	chr3:126437601:-;chr3:126438047:-;chr3:126441915:-	proximal	TRUE
NFIX	49.9410863673854	1.43031233891245e-11	1.25509907739567e-09	0.324404761904762	0.25	0.0744047619047619	chr19:13096969:+_vs_chr19:13098791:+	0.744047619047619	chr19:13094675:+;chr19:13096969:+;chr19:13098791:+	distal	TRUE
MCL1	44.9335693298325	2.03833375074668e-11	1.65105033810481e-09	0.906976744186046	0.0967741935483871	0.810202550637659	chr1:150575962:-_vs_chr1:150574558:-	1.62040510127532	chr1:150574558:-;chr1:150575962:-	distal	TRUE
CLIC4	39.288477963594	3.65592316780009e-10	2.74977649692392e-08	0.0487804878048781	0.9375	-0.888719512195122	chr1:24842021:+_vs_chr1:24844321:+	-1.77743902439024	chr1:24842021:+;chr1:24844321:+	proximal	TRUE
SSBP4	39.1027560763889	4.02075993902001e-10	2.82257347719205e-08	1	0	1	chr19:18434423:+_vs_chr19:18434562:+	2	chr19:18434423:+;chr19:18434562:+	distal	TRUE
HNRNPA1	45.8411798869037	6.13004891526119e-10	4.03433844235627e-08	0.509486847779215	0.477533960292581	0.0319528874866342	chr12:54284578:+_vs_chr12:54285246:+	0.0699854412438612	chr12:54284578:+;chr12:54284881:+;chr12:54285246:+;chr12:54287087:+	distal	FALSE
NREP	51.3809262470234	7.22599170700555e-10	4.47586427498638e-08	0.654771784232365	0.566666666666667	0.0881051175656984	chr5:111729843:-_vs_chr5:111729303:-	0.399861687413555	chr5:111729303:-;chr5:111729731:-;chr5:111729843:-;chr5:111729940:-;chr5:111730035:-;chr5:111734729:-	distal	TRUE
TRIM27	41.6856209150327	8.87324414014643e-10	5.19084782198566e-08	0.466666666666667	0.479166666666667	-0.0125	chr6:28903842:-_vs_chr6:28903002:-	-1.21666666666667	chr6:28903002:-;chr6:28903842:-;chr6:28921954:-	proximal	TRUE
PTOV1	36.3776698046361	1.62554983725841e-09	9.00896830859527e-08	0.996621621621622	0.847222222222222	0.149399399399399	chr19:49860064:+_vs_chr19:49860738:+	0.298798798798799	chr19:49860064:+;chr19:49860738:+	distal	TRUE
RABEPK	35.8471111111111	2.1342425359063e-09	1.12367869515466e-07	1	0	1	chr9:125222388:+_vs_chr9:125234000:+	2	chr9:125222388:+;chr9:125234000:+	distal	TRUE
RAB7A	39.6529411764706	2.4517333120263e-09	1.22936913217319e-07	0.641176470588235	0	0.641176470588235	chr3:128814099:+_vs_chr3:128814797:+	1.28235294117647	chr3:128814099:+;chr3:128814390:+;chr3:128814797:+	distal	TRUE
CDCA2	35.3887630557273	2.70040341708176e-09	1.25236250738407e-07	1	0.109090909090909	0.890909090909091	chr8:25488627:+_vs_chr8:25503399:+	1.78181818181818	chr8:25488627:+;chr8:25503399:+	distal	TRUE
TTC3	51.1720093261476	2.73545466949986e-09	1.25236250738407e-07	0.40448343079922	0.646666666666667	-0.242183235867447	chr21:37153066:+_vs_chr21:37182916:+	-0.545263157894737	chr21:37129034:+;chr21:37153066:+;chr21:37160839:+;chr21:37164198:+;chr21:37165784:+;chr21:37182916:+;chr21:37197695:+	proximal	TRUE
ITGB1BP1	38.9867455579736	3.42086368258528e-09	1.44396327396085e-07	0.598765432098765	0.3	0.298765432098765	chr2:9406717:-_vs_chr2:9406660:-	0.805432098765432	chr2:9405684:-;chr2:9406660:-;chr2:9406717:-	distal	TRUE
NEDD1	34.9240430964052	3.42821290114162e-09	1.44396327396085e-07	0	0.9375	-0.9375	chr12:96943721:+_vs_chr12:96952033:+	-1.875	chr12:96943721:+;chr12:96952033:+	proximal	TRUE
EGR1	38.6377616199466	4.07302117275873e-09	1.64957357496728e-07	0.256457564575646	0.470588235294118	-0.214130670718472	chr5:138468602:+_vs_chr5:138469300:+	-0.57043629259822	chr5:138468120:+;chr5:138468602:+;chr5:138469300:+	proximal	TRUE
MFAP4	34.3612700228833	4.5774205828212e-09	1.78519402730027e-07	1	0.0526315789473684	0.947368421052632	chr17:19383662:-_vs_chr17:19383459:-	1.89473684210526	chr17:19383459:-;chr17:19383662:-	distal	TRUE
MAP1B	49.0547706063935	7.27010233580566e-09	2.73407777128692e-07	0.320943245403677	0.416058394160584	-0.0951151487569069	chr5:72195109:+_vs_chr5:72195578:+	-0.208195487405696	chr5:72194957:+;chr5:72195109:+;chr5:72195305:+;chr5:72195449:+;chr5:72195578:+;chr5:72195685:+;chr5:72207044:+	proximal	TRUE
GMPS	31.4712282135076	2.02417475652701e-08	7.34984834007913e-07	0.944444444444444	0	0.944444444444444	chr3:155916043:+_vs_chr3:155937713:+	1.88888888888889	chr3:155916043:+;chr3:155937713:+	distal	TRUE
PAFAH1B1	38.2949367246899	2.44792175932902e-08	8.59220537524488e-07	0.385416666666667	0.488095238095238	-0.102678571428571	chr17:2667027:+_vs_chr17:2672918:+	-0.805803571428571	chr17:2667027:+;chr17:2672918:+;chr17:2681910:+;chr17:2682463:+	proximal	TRUE
OSER1	34.8203655468733	2.74696858384658e-08	9.33083199609823e-07	0.287878787878788	0.67741935483871	-0.389540566959922	chr20:44196496:-_vs_chr20:44195939:-	-1.1564027370479	chr20:44195939:-;chr20:44196496:-;chr20:44196912:-	proximal	TRUE
MAP2	48.4748894832944	2.87502630604046e-08	9.4606334383144e-07	0.448337825696316	0.523809523809524	-0.0754716981132076	chr2:209729898:+_vs_chr2:209734112:+	0.517295597484277	chr2:209580099:+;chr2:209692830:+;chr2:209694036:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209730895:+;chr2:209734112:+	distal	TRUE
PTGES3	37.7321096326198	3.22074158792501e-08	1.02770936123789e-06	0.653061224489796	0.551282051282051	0.101779173207745	chr12:56663601:-_vs_chr12:56663349:-	0.791208791208791	chr12:56663349:-;chr12:56663601:-;chr12:56664183:-;chr12:56664442:-	distal	TRUE
TMPO	39.0321236715246	6.86082016203088e-08	2.12483636194662e-06	0.732905982905983	0.619402985074627	0.113502997831356	chr12:98547951:+_vs_chr12:98550312:+	0.510141599693839	chr12:98527918:+;chr12:98535629:+;chr12:98545063:+;chr12:98547951:+;chr12:98550312:+	distal	TRUE
SUMO3	28.7468476835664	8.24840709342518e-08	2.48159219125049e-06	0.979166666666667	0.333333333333333	0.645833333333333	chr21:44805862:-_vs_chr21:44805624:-	1.29166666666667	chr21:44805624:-;chr21:44805862:-	distal	TRUE
ZEB1	34.5952599033504	1.4833129008971e-07	4.33869023512402e-06	0.378666666666667	0.416666666666667	-0.038	chr10:31527051:+_vs_chr10:31527413:+	0.569090909090909	chr10:31520822:+;chr10:31524017:+;chr10:31527051:+;chr10:31527413:+	distal	TRUE
RAD23B	34.5111432893273	1.5452475572204e-07	4.39769102095427e-06	0.337899543378995	0.56140350877193	-0.223503965392934	chr9:107302076:+_vs_chr9:107330882:+	-0.92141312184571	chr9:107302076:+;chr9:107330444:+;chr9:107330882:+;chr9:107331044:+	proximal	TRUE
STIP1	31.0930826262858	1.77101767292329e-07	4.90758318312691e-06	0.904761904761905	0.484375	0.420386904761905	chr11:64197315:+_vs_chr11:64204541:+	0.84077380952381	chr11:64197315:+;chr11:64197895:+;chr11:64204541:+	distal	TRUE
WDR77	26.9937119399739	2.04118406538455e-07	5.51119697653827e-06	0.75	0	0.75	chr1:111440952:-_vs_chr1:111440257:-	1.5	chr1:111440257:-;chr1:111440952:-	distal	TRUE
CTNNA1	30.6594982078853	2.19975622414014e-07	5.79085826004892e-06	0.777777777777778	0.403225806451613	0.374551971326165	chr5:138812227:+_vs_chr5:138935032:+	0.74910394265233	chr5:138812227:+;chr5:138934712:+;chr5:138935032:+	distal	TRUE
PABPC1	30.4913694524696	2.39267245852104e-07	6.02949338366369e-06	0.568733153638814	0.321052631578947	0.247680522059867	chr8:100703295:-_vs_chr8:100702930:-	0.495361044119733	chr8:100702930:-;chr8:100703118:-;chr8:100703295:-	distal	TRUE
FXR1	33.6011988011988	2.40492613593423e-07	6.02949338366369e-06	0.325757575757576	0.75	-0.424242424242424	chr3:180957913:+_vs_chr3:180976255:+	-0.928571428571429	chr3:180957913:+;chr3:180975402:+;chr3:180976255:+;chr3:180976546:+	proximal	TRUE
SNX3	26.2346685572492	3.02345619340742e-07	7.40395202711165e-06	0	0.423076923076923	-0.423076923076923	chr6:108211536:-_vs_chr6:108211222:-	-0.846153846153846	chr6:108211222:-;chr6:108211536:-	proximal	TRUE
DBN1	29.7247726535289	3.51032745164678e-07	8.40085183314559e-06	0.634831460674157	0.5	0.134831460674157	chr5:177456925:-_vs_chr5:177456622:-	0.599157303370786	chr5:177456622:-;chr5:177456925:-;chr5:177457223:-	distal	TRUE
HSPA5	34.8002772588873	5.10548381710523e-07	1.19468321320262e-05	0.705592105263158	0.768292682926829	-0.0627005776636714	chr9:125240207:-_vs_chr9:125236815:-	-0.375481386392811	chr9:125236247:-;chr9:125236755:-;chr9:125236815:-;chr9:125236992:-;chr9:125240207:-	proximal	TRUE
UBXN4	28.7667818542754	5.66725415156881e-07	1.26355104306386e-05	0.619402985074627	0.0789473684210526	0.540455616653574	chr2:135769811:+_vs_chr2:135782799:+	1.08091123330715	chr2:135769811:+;chr2:135770658:+;chr2:135782799:+	distal	TRUE
ADD1	25.0204267618582	5.67261513972428e-07	1.26355104306386e-05	0.285714285714286	0.903225806451613	-0.617511520737327	chr4:2926047:+_vs_chr4:2930062:+	-1.23502304147465	chr4:2926047:+;chr4:2930062:+	proximal	TRUE
EIF4E2	24.9910262013627	5.75977683447913e-07	1.26355104306386e-05	0	0.846153846153846	-0.846153846153846	chr2:232569210:+_vs_chr2:232583641:+	-1.69230769230769	chr2:232569210:+;chr2:232583641:+	proximal	TRUE
SENP7	24.374246443212	7.93220462346109e-07	1.70461458540909e-05	0	0.785714285714286	-0.785714285714286	chr3:101372060:-_vs_chr3:101370351:-	-1.57142857142857	chr3:101370351:-;chr3:101372060:-	proximal	TRUE
PRPF40A	30.7998675428448	9.36652528224543e-07	1.97259022444089e-05	0.322916666666667	0.623188405797101	-0.300271739130435	chr2:152672551:-_vs_chr2:152657973:-	-0.779891304347826	chr2:152657973:-;chr2:152671274:-;chr2:152672551:-;chr2:152673660:-	proximal	TRUE
GPM6B	27.1268738675958	1.28669076533263e-06	2.63143673695401e-05	0.719512195121951	0.38	0.339512195121951	chrX:13773456:-_vs_chrX:13771029:-	0.880975609756098	chrX:13770943:-;chrX:13771029:-;chrX:13773456:-	distal	TRUE
PPP4R3B	23.4147617669753	1.30572706652396e-06	2.63143673695401e-05	0.111111111111111	1	-0.888888888888889	chr2:55613997:-_vs_chr2:55564416:-	-1.77777777777778	chr2:55564416:-;chr2:55613997:-	proximal	TRUE
EIF2AK1	27.0690041574161	1.32446483436432e-06	2.63143673695401e-05	0.487341772151899	0.477272727272727	0.0100690448791715	chr7:6041141:-_vs_chr7:6024756:-	0.948216340621404	chr7:6023831:-;chr7:6024756:-;chr7:6041141:-	distal	TRUE
YWHAZ	37.5143177094641	1.3976536685479e-06	2.72542465366841e-05	0.544949494949495	0.501915708812261	0.0430337861372344	chr8:100919924:-_vs_chr8:100918727:-	-0.238244514106583	chr8:100918576:-;chr8:100918727:-;chr8:100918853:-;chr8:100919541:-;chr8:100919700:-;chr8:100919924:-;chr8:100919980:-	proximal	TRUE
SAP30BP	23.0065447097705	1.6145083307555e-06	3.09104958597371e-05	0.7	0	0.7	chr17:75702546:+_vs_chr17:75708008:+	1.4	chr17:75702546:+;chr17:75708008:+	distal	TRUE
ZC3H14	22.6885941644562	1.90495262782517e-06	3.58199128053554e-05	0.137931034482759	0.933333333333333	-0.795402298850575	chr14:88611888:+_vs_chr14:88613509:+	-1.59080459770115	chr14:88611888:+;chr14:88613509:+	proximal	TRUE
RBM22	26.0756357031655	2.17644477064486e-06	4.02069533945444e-05	0.396341463414634	0.375	0.0213414634146342	chr5:150691134:-_vs_chr5:150690792:-	0.871951219512195	chr5:150690792:-;chr5:150691134:-;chr5:150693280:-	distal	TRUE
RPL3	22.3882265386403	2.2273523152141e-06	4.04379653089733e-05	0.971389017074296	0.919667590027701	0.0517214270465954	chr22:39312956:-_vs_chr22:39312884:-	0.103442854093191	chr22:39312884:-;chr22:39312956:-	distal	FALSE
