gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
RTN4	2.00056908768774e-13	chr2:54972189:-,chr2:54981278:-,chr2:55026078:-,chr2:55026600:-,chr2:55027115:-	68,1,59,272,166	58,19,11,98,60	0.098,0.001,0.085,0.39,0.238	0.184,0.06,0.035,0.31,0.19	0.23875	0.324	-0.08525	proximal	3.639035170504e-10	FALSE
THRAP3	5.2891177652157e-12	chr1:36289081:+,chr1:36289138:+,chr1:36292693:+,chr1:36296765:+	17,59,31,14	7,122,0,17	0.121,0.421,0.221,0.1	0.043,0.753,0,0.105	0.387666666666667	0.356	0.0316666666666666	distal	3.25993185058917e-09	FALSE
ADD2	5.37646814280787e-12	chr2:70663482:-,chr2:70674673:-,chr2:70675084:-,chr2:70675847:-	127,38,16,71	22,30,19,4	0.474,0.142,0.06,0.265	0.293,0.4,0.253,0.053	0.588666666666667	0.644	-0.0553333333333333	proximal	3.25993185058917e-09	FALSE
PRMT2	1.02628591705254e-11	chr21:46637978:+,chr21:46659140:+,chr21:46659537:+,chr21:46660144:+,chr21:46661270:+,chr21:46664941:+	15,6,51,32,6,209	11,21,12,8,15,64	0.041,0.016,0.139,0.087,0.016,0.568	0.071,0.136,0.078,0.052,0.097,0.416	0.6918	0.5832	0.1086	distal	4.66703520779642e-09	TRUE
HSPA5	2.28178833972343e-11	chr9:125236247:-,chr9:125236755:-,chr9:125236815:-,chr9:125236992:-,chr9:125240207:-	25,56,29,32,27	64,20,5,47,38	0.148,0.331,0.172,0.189,0.16	0.364,0.114,0.028,0.267,0.216	0.5295	0.53025	-0.000750000000000028	proximal	8.30114597991384e-09	FALSE
YWHAZ	1.88304446808602e-10	chr8:100918576:-,chr8:100918727:-,chr8:100919700:-,chr8:100919924:-,chr8:100919980:-	76,217,349,227,155	74,166,139,136,42	0.067,0.191,0.307,0.2,0.136	0.12,0.269,0.225,0.22,0.068	0.41375	0.48925	-0.0755	proximal	5.70876314574744e-08	FALSE
CCDC88A	3.50910245427484e-10	chr2:55334367:-,chr2:55334739:-,chr2:55334899:-,chr2:55334952:-,chr2:55335050:-,chr2:55339483:-,chr2:55343746:-,chr2:55344410:-,chr2:55344475:-	12,4,8,14,32,33,15,26,17	3,11,22,0,0,22,4,10,6	0.05,0.017,0.033,0.058,0.133,0.138,0.062,0.108,0.071	0.028,0.104,0.208,0,0,0.208,0.038,0.094,0.057	0.273125	0.37425	-0.101125	proximal	9.11865337760849e-08	TRUE
RUNX1T1	5.32101215341725e-10	chr8:91957137:-,chr8:91957221:-,chr8:91958907:-,chr8:91959588:-,chr8:91959998:-,chr8:92079222:-	0,19,16,28,37,11	10,0,4,29,7,0	0,0.132,0.111,0.194,0.257,0.076	0.122,0,0.049,0.354,0.085,0	0.3012	0.31	-0.00879999999999997	proximal	1.20986513838325e-07	FALSE
TPP2	3.13189936136036e-09	chr13:102657118:+,chr13:102657157:+	19,0	0,20	0.864,0	0,0.952	0	0.952	-0.952	proximal	6.32991659812721e-07	TRUE
WDR33	3.68654341878441e-09	chr2:127721874:-,chr2:127723313:-,chr2:127763113:-,chr2:127764473:-	5,0,6,31	14,11,15,3	0.096,0,0.115,0.596	0.264,0.208,0.283,0.057	0.134333333333333	0.497	-0.362666666666667	proximal	6.43155091466242e-07	TRUE
RPL22	4.18447761249256e-09	chr1:6185020:-,chr1:6185119:-,chr1:6186218:-,chr1:6186615:-	73,62,151,169	18,16,78,163	0.154,0.131,0.318,0.356	0.065,0.058,0.281,0.586	0.347333333333333	0.197333333333333	0.15	distal	6.43155091466242e-07	TRUE
