gene_id	chisq	pvalue	adj_pvalue	ExDp	ExN3	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
SMARCC2	48.0856904165175	3.61680418709041e-11	3.32002783075136e-08	0.412698412698413	0.796296296296296	-0.383597883597884	chr12:56181494:-_vs_chr12:56162365:-	-1.18518518518519	chr12:56162365:-;chr12:56181494:-;chr12:56181753:-	proximal	TRUE
CDC42	50.2182026425186	7.17843855297590e-11	3.32002783075136e-08	0.345238095238095	0.594871794871795	-0.2496336996337	chr1:22090807:+_vs_chr1:22092943:+	-0.493656343656344	chr1:22090127:+;chr1:22090807:+;chr1:22091599:+;chr1:22092943:+	proximal	TRUE
H3-3B	47.6340838180792	2.54762342690427e-10	7.85517223295484e-08	0.473333333333333	0.489230769230769	-0.0158974358974358	chr17:75778023:-_vs_chr17:75777459:-	0.467692307692308	chr17:75776434:-;chr17:75777459:-;chr17:75778023:-;chr17:75778250:-	distal	TRUE
NDFIP1	46.145962047716	5.2803348146161e-10	1.12976377877351e-07	0.66412213740458	0.495726495726496	0.168395641678084	chr5:142138870:+_vs_chr5:142152775:+	0.542376198864749	chr5:142138870:+;chr5:142151866:+;chr5:142152775:+;chr5:142153198:+	distal	TRUE
RPL15	45.7503605041501	6.4087327745549e-10	1.12976377877351e-07	0.544765840220386	0.444444444444444	0.100321395775941	chr3:23919552:+_vs_chr3:23920772:+	0.331012926467472	chr3:23919552:+;chr3:23919783:+;chr3:23920772:+;chr3:23920847:+	distal	TRUE
KIDINS220	37.93125	7.32819748393626e-10	1.12976377877351e-07	0	0.833333333333333	-0.833333333333333	chr2:8803035:-_vs_chr2:8730714:-	-1.66666666666667	chr2:8730714:-;chr2:8803035:-	proximal	TRUE
SDCBP	40.1276384094739	1.93372197882022e-09	2.55527547201243e-07	0.714285714285714	0.945454545454545	-0.231168831168831	chr8:58582275:+_vs_chr8:58582840:+	-0.819480519480519	chr8:58579688:+;chr8:58582275:+;chr8:58582840:+	proximal	TRUE
SH3BP5	39.8230698069807	2.25180233527357e-09	2.60364645016006e-07	0.108910891089109	0.616666666666667	-0.507755775577558	chr3:15255650:-_vs_chr3:15254853:-	-1.01551155115512	chr3:15254853:-;chr3:15255234:-;chr3:15255650:-	proximal	TRUE
NEUROD6	53.7992467346759	2.57702575202338e-09	2.64860980069069e-07	0.486024844720497	0.520070838252656	-0.0340459935321595	chr7:31338259:-_vs_chr7:31337465:-	-0.320068271649299	chr7:31337465:-;chr7:31337811:-;chr7:31337860:-;chr7:31337925:-;chr7:31338080:-;chr7:31338259:-;chr7:31338418:-;chr7:31339095:-	proximal	TRUE
RFC2	33.8196078431373	6.04663513571203e-09	5.59313750053363e-07	0.970588235294118	0	0.970588235294118	chr7:74231847:-_vs_chr7:74231664:-	1.94117647058824	chr7:74231664:-;chr7:74231847:-	distal	TRUE
METAP2	34.2149818991924	3.71801451902991e-08	3.12651220918424e-06	0.394736842105263	0.62962962962963	-0.234892787524366	chr12:95514343:+_vs_chr12:95515839:+	-1.41910331384016	chr12:95494993:+;chr12:95514343:+;chr12:95515839:+	proximal	TRUE
DEGS1	30.9456333140544	1.90651886227155e-07	1.3940938428531e-05	0.307692307692308	0.657894736842105	-0.350202429149798	chr1:224193160:+_vs_chr1:224193259:+	-1.37651821862348	chr1:224193160:+;chr1:224193259:+;chr1:224193441:+	proximal	TRUE
UQCRFS1	30.8910504316575	1.95926702238814e-07	1.3940938428531e-05	0.745283018867924	0.304347826086957	0.440935192780968	chr19:29207388:-_vs_chr19:29207349:-	0.922067268252666	chr19:29207270:-;chr19:29207349:-;chr19:29207388:-	distal	TRUE
HDGFL3	30.5795454545455	2.28947589299826e-07	1.51268942930242e-05	0.15	0.833333333333333	-0.683333333333333	chr15:83157451:-_vs_chr15:83137800:-	-1.36666666666667	chr15:83137800:-;chr15:83138192:-;chr15:83157451:-	proximal	TRUE
ZFR	38.8158205430933	2.58641506958706e-07	1.59495595957868e-05	0.360714285714286	0.8	-0.439285714285714	chr5:32404030:-_vs_chr5:32354615:-	-0.767857142857143	chr5:32354615:-;chr5:32388486:-;chr5:32395232:-;chr5:32397219:-;chr5:32404030:-;chr5:32406855:-	proximal	TRUE
YWHAQ	33.2692874642968	2.82578028699009e-07	1.63365422841615e-05	0.842022116903633	0.748953974895398	0.093068142008236	chr2:9584630:-_vs_chr2:9583977:-	0.245434174780384	chr2:9583977:-;chr2:9584267:-;chr2:9584630:-;chr2:9584936:-	distal	TRUE
MAP4	26.0524198024198	3.32272146306073e-07	1.80795138431246e-05	0	0.923076923076923	-0.923076923076923	chr3:47973079:-_vs_chr3:47916689:-	-1.84615384615385	chr3:47916689:-;chr3:47973079:-	proximal	TRUE
EIF4A2	25.788498614995	3.80951808184438e-07	1.86041791048657e-05	0.931535269709544	0.784810126582278	0.146725143127265	chr3:186789767:+_vs_chr3:186789897:+	0.29345028625453	chr3:186789767:+;chr3:186789897:+	distal	TRUE
ATRX	37.9725797864737	3.82139895126972e-07	1.86041791048657e-05	0.385321100917431	0.28695652173913	0.0983645791783008	chrX:77693854:-_vs_chrX:77684359:-	0.525927403270842	chrX:77682921:-;chrX:77683759:-;chrX:77683930:-;chrX:77683973:-;chrX:77684359:-;chrX:77693854:-	distal	TRUE
SUN1	28.5794369029663	6.2237785079578e-07	2.81338017893912e-05	0.367647058823529	0.833333333333333	-0.465686274509804	chr7:845517:+_vs_chr7:874899:+	-1.3921568627451	chr7:843812:+;chr7:845517:+;chr7:874899:+	proximal	TRUE
VTA1	24.7917173929901	6.38713337921313e-07	2.81338017893912e-05	0.729166666666667	0.129032258064516	0.600134408602151	chr6:142219603:+_vs_chr6:142220777:+	1.2002688172043	chr6:142219603:+;chr6:142220777:+	distal	TRUE
DPYSL2	24.6258614864865	6.96112419074319e-07	2.92683630747157e-05	1	0.4	0.6	chr8:26657129:+_vs_chr8:26658175:+	1.2	chr8:26657129:+;chr8:26658175:+	distal	TRUE
TSG101	23.9955047409806	9.65608829753947e-07	3.88342681531479e-05	0.55	1	-0.45	chr11:18481835:-_vs_chr11:18480311:-	-0.9	chr11:18480311:-;chr11:18481835:-	proximal	TRUE
FNBP1L	37.7999362502542	1.22918767714932e-06	4.65420169984124e-05	0.386111111111111	0.49009900990099	-0.103987898789879	chr1:93523489:+_vs_chr1:93552649:+	-0.31012101210121	chr1:93523489:+;chr1:93529692:+;chr1:93530804:+;chr1:93530882:+;chr1:93552649:+;chr1:93553107:+;chr1:93554661:+	proximal	TRUE
PKIA	27.1721459492888	1.25789235130844e-06	4.65420169984124e-05	0.558441558441558	0.533333333333333	0.0251082251082251	chr8:78602248:+_vs_chr8:78602376:+	1.07445887445887	chr8:78601920:+;chr8:78602248:+;chr8:78602376:+	distal	TRUE
GPM6A	32.6904688060976	1.38208599632247e-06	4.91703671768572e-05	0.598214285714286	0.581018518518518	0.0171957671957672	chr4:175633448:-_vs_chr4:175632943:-	0.283730158730159	chr4:175632943:-;chr4:175633448:-;chr4:175634532:-;chr4:175634820:-;chr4:175640800:-	distal	TRUE
ACBD5	23.1430609225939	1.50384910670794e-06	5.00861952956273e-05	0	1	-1	chr10:27197012:-_vs_chr10:27196598:-	-2	chr10:27196598:-;chr10:27197012:-	proximal	TRUE
AGO3	23.1105521556449	1.52949015156387e-06	5.00861952956273e-05	0	0.869565217391304	-0.869565217391304	chr1:36056091:+_vs_chr1:36056559:+	-1.73913043478261	chr1:36056091:+;chr1:36056559:+	proximal	TRUE
SETD2	23.0133620689655	1.60879327186411e-06	5.00861952956273e-05	0.103448275862069	1	-0.896551724137931	chr3:47122819:-_vs_chr3:47016448:-	-1.79310344827586	chr3:47016448:-;chr3:47122819:-	proximal	TRUE
ITSN1	32.3023415507994	1.65931724676588e-06	5.00861952956273e-05	0.297770700636943	0.0441176470588235	0.253653053578119	chr21:33774850:+_vs_chr21:33794454:+	0.762832521543649	chr21:33774850:+;chr21:33794454:+;chr21:33837369:+;chr21:33838494:+;chr21:33899868:+	distal	TRUE
RAB18	26.5951433277423	1.67856438288048e-06	5.00861952956273e-05	0.558139534883721	0.6	-0.0418604651162791	chr10:27533845:+_vs_chr10:27539161:+	-0.972093023255814	chr10:27533845:+;chr10:27539161:+;chr10:27539828:+	proximal	TRUE
PPP4R3B	22.7704958728343	1.8254680525058e-06	5.27674358927458e-05	0.80952380952381	0.15	0.65952380952381	chr2:55613997:-_vs_chr2:55564416:-	1.31904761904762	chr2:55564416:-;chr2:55613997:-	distal	TRUE
ACIN1	26.322156824305	1.92404962746539e-06	5.39316941031964e-05	0.642857142857143	0.2578125	0.385044642857143	chr14:23080360:-_vs_chr14:23058564:-	0.770089285714286	chr14:23058564:-;chr14:23061315:-;chr14:23080360:-	distal	TRUE
RTN4	36.5556808322145	2.14925807547264e-06	5.84724623474175e-05	0.29951690821256	0.393333333333333	-0.093816425120773	chr2:55026600:-_vs_chr2:54981278:-	-0.248405797101449	chr2:54972189:-;chr2:54981278:-;chr2:55025759:-;chr2:55026078:-;chr2:55026370:-;chr2:55026600:-;chr2:55027115:-	proximal	TRUE
DBN1	25.9816218408989	2.28119547687432e-06	6.02887376031071e-05	0.75	0.464646464646465	0.285353535353535	chr5:177457223:-_vs_chr5:177456622:-	0.570707070707071	chr5:177456622:-;chr5:177456925:-;chr5:177457223:-	distal	TRUE
PCBP2	25.9085681325829	2.36606086877485e-06	6.07946195449092e-05	0.816455696202532	0.850574712643678	-0.0341190164411467	chr12:53475655:+_vs_chr12:53479624:+	-0.387458169649353	chr12:53475655:+;chr12:53479624:+;chr12:53479795:+	proximal	TRUE
CEP170	33.5287034831942	2.95480826677599e-06	7.38702066693997e-05	0.565116279069767	0.521311475409836	0.0438048036599314	chr1:243185790:-_vs_chr1:243172730:-	-0.477506671749905	chr1:243164980:-;chr1:243165893:-;chr1:243172730:-;chr1:243185790:-;chr1:243191027:-;chr1:243191331:-	proximal	TRUE
TUBA1A	25.3868349452301	3.07127592298259e-06	7.47613218094445e-05	0.990416759527524	0.998272195640617	-0.00785543611309281	chr12:49186026:-_vs_chr12:49184799:-	-0.0157108722261855	chr12:49184799:-;chr12:49185002:-;chr12:49186026:-	proximal	FALSE
RUFY2	25.1535188576855	3.45130054344071e-06	8.18577692995553e-05	0.148148148148148	0.6625	-0.514351851851852	chr10:68384084:-_vs_chr10:68377662:-	-1.0287037037037	chr10:68377662:-;chr10:68378535:-;chr10:68384084:-	proximal	TRUE
HSP90AA1	32.8697907591839	3.99424339606298e-06	9.23668785339564e-05	0.397837837837838	0.333	0.0648378378378379	chr14:102084841:-_vs_chr14:102084473:-	0.226486486486486	chr14:102081050:-;chr14:102083061:-;chr14:102084473:-;chr14:102084781:-;chr14:102084841:-;chr14:102084921:-	distal	TRUE
ZNF346	21.1541029750164	4.23792968363675e-06	9.561182822839e-05	0	1	-1	chr5:177065978:+_vs_chr5:177078637:+	-2	chr5:177065978:+;chr5:177078637:+	proximal	TRUE
PRKACB	24.0180767715674	6.08892880511341e-06	0.000134101408207855	0.32089552238806	0.833333333333333	-0.512437810945274	chr1:84237163:+_vs_chr1:84238498:+	-1.20646766169154	chr1:84236239:+;chr1:84237163:+;chr1:84238498:+	proximal	TRUE
ITM2B	29.1431849139854	7.31089980737847e-06	0.000157269356321514	0.482014388489209	0.497641509433962	-0.0156271209447536	chr13:48261870:+_vs_chr13:48262047:+	-0.258449843898466	chr13:48256283:+;chr13:48261388:+;chr13:48261870:+;chr13:48262047:+;chr13:48262091:+	proximal	TRUE
PTGES3	26.4865420851047	7.54272872727767e-06	0.000158568728925724	0.589080459770115	0.581481481481481	0.00759897828863354	chr12:56663601:-_vs_chr12:56663349:-	0.512260536398467	chr12:56663349:-;chr12:56663601:-;chr12:56664183:-;chr12:56664442:-	distal	TRUE
GPR89B	19.5615767045455	9.7408667426146e-06	0.000200228927487078	0.0625	1	-0.9375	chr1:147993020:+_vs_chr1:147993339:+	-1.875	chr1:147993020:+;chr1:147993339:+	proximal	TRUE
SRSF2	19.328093306288	1.10074845095657e-05	0.000216884126662583	1	0.691176470588235	0.308823529411765	chr17:76735548:-_vs_chr17:76734128:-	0.617647058823529	chr17:76734128:-;chr17:76735548:-	distal	TRUE
CFL1	19.3115250936496	1.11034118548537e-05	0.000216884126662583	0.820580474934037	0.944223107569721	-0.123642632635684	chr11:65854922:-_vs_chr11:65854811:-	-0.247285265271368	chr11:65854811:-;chr11:65854922:-	proximal	TRUE
