gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
XRCC5	4.28477778815656e-17	chr2:216122176:+,chr2:216127658:+,chr2:216190279:+,chr2:216205424:+,chr2:216206118:+,chr2:216206281:+	14,37,10,13,27,52	25,24,0,56,0,16	0.086,0.228,0.062,0.08,0.167,0.321	0.195,0.188,0,0.438,0,0.125	0.573	0.4254	0.1476	distal	5.33026356846677e-14	TRUE
MKI67	4.43364458419459e-14	chr10:128097892:-,chr10:128101344:-,chr10:128109018:-,chr10:128113435:-,chr10:128115328:-,chr10:128115641:-	22,5,0,0,0,4	6,17,25,10,16,39	0.564,0.128,0,0,0,0.103	0.041,0.117,0.172,0.069,0.11,0.269	0.6664	0.2874	0.379	distal	2.75772693136903e-11	TRUE
NFIX	3.71771205097474e-13	chr19:13094675:+,chr19:13095019:+,chr19:13096969:+,chr19:13098791:+	109,0,9,50	20,11,10,4	0.641,0,0.053,0.294	0.444,0.244,0.222,0.089	0.329333333333333	0.318333333333333	0.011	distal	1.54161126380419e-10	FALSE
SECISBP2	2.15003479321209e-12	chr9:89334706:+,chr9:89338529:+,chr9:89341360:+,chr9:89358175:+	0,36,11,2	11,1,5,17	0,0.59,0.18,0.033	0.216,0.02,0.098,0.333	0.349666666666667	0.405	-0.0553333333333334	proximal	6.68660820688961e-10	FALSE
TRIM27	8.90585830990153e-12	chr6:28903002:-,chr6:28903842:-	2,38	32,6	0.042,0.792	0.696,0.13	0.042	0.696	-0.654	proximal	1.8760750833026e-09	TRUE
TTC3	1.02593399846274e-11	chr21:37095368:+,chr21:37129034:+,chr21:37153066:+,chr21:37153179:+,chr21:37160839:+,chr21:37164198:+,chr21:37165784:+,chr21:37197695:+	7,44,25,3,38,13,12,32	12,8,0,12,16,0,7,1	0.033,0.207,0.117,0.014,0.178,0.061,0.056,0.15	0.156,0.104,0,0.156,0.208,0,0.091,0.013	0.412285714285714	0.291571428571429	0.120714285714286	distal	1.8760750833026e-09	TRUE
HNRNPA3	1.0556692590931e-11	chr2:177216037:+,chr2:177216188:+,chr2:177219778:+,chr2:177220127:+,chr2:177220534:+,chr2:177220986:+,chr2:177221383:+,chr2:177222654:+,chr2:177223853:+	20,3,76,11,22,12,15,15,0	24,11,92,1,4,6,0,1,13	0.105,0.016,0.398,0.058,0.115,0.063,0.079,0.079,0	0.147,0.067,0.564,0.006,0.025,0.037,0,0.006,0.08	0.3485	0.2725	0.0760000000000001	distal	1.8760750833026e-09	FALSE
GNAI1	3.29337132744699e-11	chr7:80212834:+,chr7:80217369:+,chr7:80218039:+,chr7:80218186:+	22,24,29,24	0,28,0,0	0.21,0.229,0.276,0.229	0,0.848,0,0	0.489333333333333	0.282666666666667	0.206666666666667	distal	4.96260592448418e-09	TRUE
SRSF10	3.59030975244032e-11	chr1:23966445:-,chr1:23967478:-,chr1:23967553:-,chr1:23969089:-,chr1:23970528:-,chr1:23971360:-,chr1:23978115:-	1,15,12,13,7,8,36	20,0,0,5,27,10,29	0.01,0.153,0.122,0.133,0.071,0.082,0.367	0.189,0,0,0.047,0.255,0.094,0.274	0.322666666666667	0.313166666666667	0.00950000000000001	distal	4.96260592448418e-09	FALSE
AZI2	4.3857534670917e-11	chr3:28323539:-,chr3:28323664:-,chr3:28332766:-,chr3:28340403:-	0,17,11,2	17,0,0,11	0,0.333,0.216,0.039	0.515,0,0,0.333	0.294	0.515	-0.221	proximal	5.45587731306207e-09	TRUE
PARP1	1.1730100052386e-10	chr1:226360691:-,chr1:226361003:-,chr1:226377160:-,chr1:226379623:-,chr1:226388689:-	7,27,27,8,84	24,3,0,10,82	0.043,0.166,0.166,0.049,0.515	0.197,0.025,0,0.082,0.672	0.26275	0.23625	0.0265	distal	1.32656767865165e-08	FALSE
