gene_id	chisq	pvalue	adj_pvalue	oRG	vRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
MAP1B	137.806035893855	6.23085873126681e-22	1.09351570733733e-18	0.340397350993377	0.318502824858757	0.0218945261346205	chr5:72195109:+_vs_chr5:72195578:+	-0.165226175777304	chr5:72193999:+;chr5:72194957:+;chr5:72195065:+;chr5:72195109:+;chr5:72195305:+;chr5:72195449:+;chr5:72195578:+;chr5:72195685:+;chr5:72195941:+;chr5:72197787:+;chr5:72200234:+;chr5:72205642:+;chr5:72205875:+;chr5:72207044:+;chr5:72209111:+;chr5:72209565:+	proximal	FALSE
PAPOLA	85.6354194327502	2.4378132419326e-16	2.13918111979586e-13	0.527989821882952	0.489583333333333	0.0384064885496183	chr14:96534618:+_vs_chr14:96547917:+	0.483062977099237	chr14:96532696:+;chr14:96534618:+;chr14:96534878:+;chr14:96542884:+;chr14:96547917:+;chr14:96556333:+;chr14:96556405:+	distal	TRUE
EIF3A	71.8153358986692	4.29195508375447e-14	2.51079372399637e-11	0.377142857142857	0.605	-0.227857142857143	chr10:119058030:-_vs_chr10:119056752:-	-0.763095238095238	chr10:119035048:-;chr10:119038324:-;chr10:119056752:-;chr10:119056940:-;chr10:119058030:-;chr10:119059212:-	proximal	TRUE
TUFM	55.4457819483583	9.60726332535703e-14	4.2151867840004e-11	0	0.338028169014085	-0.338028169014085	chr16:28842787:-_vs_chr16:28842414:-	-0.676056338028169	chr16:28842414:-;chr16:28842787:-	proximal	TRUE
EZR	67.3729008686819	1.41192295633617e-12	4.95584957673996e-10	0.420025591810621	0.40337224383917	0.0166533479714507	chr6:158783582:-_vs_chr6:158770869:-	-0.250789786178929	chr6:158765748:-;chr6:158766130:-;chr6:158766193:-;chr6:158766556:-;chr6:158770869:-;chr6:158775200:-;chr6:158783582:-	proximal	TRUE
CUL1	56.7300666745572	1.40946092684813e-11	4.12267321103079e-09	0.591549295774648	0.341666666666667	0.249882629107981	chr7:148797999:+_vs_chr7:148798029:+	0.904694835680751	chr7:148759579:+;chr7:148797999:+;chr7:148798029:+;chr7:148801017:+;chr7:148801110:+	distal	TRUE
PPP1R12A	56.4148278102664	6.67525801975454e-11	1.64990935302647e-08	0.52	0.447368421052632	0.0726315789473684	chr12:79809864:-_vs_chr12:79797300:-	0.886666666666667	chr12:79796790:-;chr12:79797300:-;chr12:79805724:-;chr12:79809864:-;chr12:79820856:-;chr12:79822120:-	distal	TRUE
HNRNPU	61.5138457263183	7.52095431579017e-11	1.64990935302647e-08	0.410078594544614	0.342977697408077	0.0671008971365368	chr1:244855993:-_vs_chr1:244853658:-	0.221252713940437	chr1:244853388:-;chr1:244853658:-;chr1:244854133:-;chr1:244854436:-;chr1:244855993:-;chr1:244856592:-;chr1:244858777:-;chr1:244862694:-	distal	TRUE
TSN	45.2371899979504	1.50268864100697e-10	2.76935279004166e-08	0.326923076923077	0.75609756097561	-0.429174484052533	chr2:121766453:+_vs_chr2:121767293:+	-1.10600375234522	chr2:121765791:+;chr2:121766453:+;chr2:121767293:+	proximal	TRUE
GALNS	40.9297839506173	1.57797879774454e-10	2.76935279004166e-08	1	0	1	chr16:88855128:-_vs_chr16:88813734:-	2	chr16:88813734:-;chr16:88855128:-	distal	TRUE
PDGFD	40.6005560704356	1.86753509821397e-10	2.97956736124138e-08	0	0.541666666666667	-0.541666666666667	chr11:103909141:-_vs_chr11:103908991:-	-1.08333333333333	chr11:103908991:-;chr11:103909141:-	proximal	TRUE
ACTR3	47.1097101589689	3.29377110258079e-10	4.79632964840791e-08	0.431524547803618	0.537878787878788	-0.10635424007517	chr2:113957876:+_vs_chr2:113958257:+	-0.742952783650458	chr2:113957876:+;chr2:113958184:+;chr2:113958257:+;chr2:113958561:+	proximal	TRUE
NCAPG	46.9345777216611	3.58877777049522e-10	4.79632964840791e-08	0.296875	0.691358024691358	-0.394483024691358	chr4:17825486:+_vs_chr4:17834448:+	-0.915509259259259	chr4:17825048:+;chr4:17825486:+;chr4:17834448:+;chr4:17840209:+	proximal	TRUE
HNRNPA1	46.8038145024417	3.82613191325987e-10	4.79632964840791e-08	0.524503847711624	0.561258278145695	-0.0367544304340713	chr12:54284578:+_vs_chr12:54287087:+	-0.0880963684790743	chr12:54284578:+;chr12:54284881:+;chr12:54285246:+;chr12:54287087:+	proximal	FALSE
SMARCA5	52.3732771811463	4.52274576198827e-10	5.29161254152628e-08	0.28476821192053	0.394805194805195	-0.110036982884665	chr4:143528017:+_vs_chr4:143543971:+	-0.498666896017889	chr4:143528017:+;chr4:143543538:+;chr4:143543971:+;chr4:143550064:+;chr4:143553414:+;chr4:143554372:+	proximal	TRUE
