gene	codingLen	codingLenInTarget	set_FMRPTargets	set_PSD	set_Embryonic	set_ChromatinModifiers	set_EssentialGenes	set_MendelianDiseaseGenes	set_DeNovoLGDsInSchizoprenia	set_DeNovoLGDsInID	dnv_LGDs_prb	dnv_LGDs_prbM	dnv_LGDs_prbML	dnv_LGDs_prbMH	dnv_LGDs_prbF	dnv_LGDs_sib	dnv_missense_prb	dnv_missense_prbM	dnv_missense_prbML	dnv_missense_prbMH	dnv_missense_prbF	dnv_missense_sib	dnv_synonymous_prb	dnv_synonymous_prbM	dnv_synonymous_prbML	dnv_synonymous_prbMH	dnv_synonymous_prbF	dnv_synonymous_sib
CHD8	7752	7752	1	0	0	1	1	0	0	0	7	5	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
DYRK1A	2376	2376	0	0	1	0	1	0	0	0	4	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	11931	11931	1	1	0	0	0	0	0	0	3	3	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0
GRIN2B	4455	4455	1	1	0	0	0	0	0	0	3	2	2	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
DSCAM	6039	6039	1	0	0	0	1	0	0	0	3	3	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CHD2	5491	5491	0	0	0	1	0	0	0	1	3	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID1B	6750	6596	1	0	0	1	0	0	0	0	2	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0
KDM6B	5049	5049	1	0	0	1	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADNP	3309	3309	1	0	1	0	1	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MED13L	6633	6633	1	0	1	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SCN2A	6110	6110	1	0	0	0	0	0	1	1	2	1	1	0	1	0	4	4	3	1	0	0	0	0	0	0	0	0
WDFY3	10581	10581	1	0	0	0	0	0	0	0	2	2	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
