gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
TCP1	1.14120972784343e-15	chr6:159778498:-,chr6:159778952:-,chr6:159784002:-	25,21,2	0,86,23	0.521,0.438,0.042	0,0.789,0.211	0.74	0.3945	0.3455	distal	7.76022614933534e-13	TRUE
DHX15	2.13237298085815e-11	chr4:24527475:-,chr4:24539346:-,chr4:24539851:-	6,0,10	68,10,1	0.375,0,0.625	0.84,0.123,0.012	0.375	0.9015	-0.5265	proximal	7.25006813491772e-09	TRUE
STIP1	6.23651401553552e-11	chr11:64197315:+,chr11:64197895:+,chr11:64204541:+	15,3,14	1,17,80	0.395,0.079,0.368	0.01,0.168,0.792	0.4075	0.876	-0.4685	proximal	1.11554824609183e-08	TRUE
EGR1	6.56204850642254e-11	chr5:138468120:+,chr5:138468602:+,chr5:138469034:+,chr5:138469300:+	26,2,1,23	161,109,44,38	0.464,0.036,0.018,0.411	0.454,0.307,0.124,0.107	0.435	0.292	0.143	distal	1.11554824609183e-08	TRUE
LMNB1	1.68190289396003e-10	chr5:126818978:+,chr5:126832738:+,chr5:126836770:+,chr5:126837014:+	30,17,12,55	129,13,0,85	0.248,0.14,0.099,0.455	0.556,0.056,0,0.366	0.567666666666667	0.384666666666667	0.183	distal	2.28738793578564e-08	TRUE
CLIC4	3.65592316780009e-10	chr1:24842021:+,chr1:24844321:+	1,15	39,2	0.059,0.882	0.929,0.048	0.882	0.048	0.834	distal	4.14337959017343e-08	TRUE
ABHD3	7.58256042791191e-10	chr18:21650901:-,chr18:21651111:-,chr18:21666005:-	0,0,20	12,10,0	0,0,1	0.5,0.417,0	0	0.7085	-0.7085	proximal	7.36591584425728e-08	TRUE
C7orf26	1.68141299996016e-09	chr7:6600021:+,chr7:6608726:+	12,0	0,29	1,0	0,1	0	1	-1	proximal	1.42920104996614e-07	TRUE
TPX2	3.10769565346623e-09	chr20:31766592:+,chr20:31766663:+,chr20:31770390:+,chr20:31770464:+,chr20:31783856:+,chr20:31794006:+,chr20:31801800:+	21,19,22,16,24,5,15	18,11,14,3,1,31,7	0.164,0.148,0.172,0.125,0.188,0.039,0.117	0.191,0.117,0.149,0.032,0.011,0.33,0.074	0.419333333333333	0.4415	-0.0221666666666667	proximal	2.34803671595226e-07	FALSE
CCNL2	3.93716240278477e-09	chr1:1385711:-,chr1:1387335:-	10,1	0,34	0.909,0.091	0,0.919	0.909	0	0.909	distal	2.67727043389365e-07	TRUE
NCAPG	7.15046316684365e-09	chr4:17825048:+,chr4:17825486:+,chr4:17843514:+	10,51,0	34,28,20	0.161,0.823,0	0.382,0.315,0.225	0.4115	0.3825	0.029	distal	4.07963039580756e-07	FALSE
DAAM1	7.88507446313034e-09	chr14:59291305:+,chr14:59330596:+,chr14:59332727:+	13,3,0	1,17,20	0.684,0.158,0	0.017,0.283,0.333	0.079	0.4745	-0.3955	proximal	4.07963039580756e-07	TRUE
SMC4	8.10330216029026e-09	chr3:160412058:+,chr3:160413571:+,chr3:160414412:+,chr3:160414516:+,chr3:160416288:+,chr3:160416412:+,chr3:160430650:+,chr3:160431190:+,chr3:160431821:+,chr3:160432420:+	17,23,9,13,15,10,19,4,4,12	31,23,11,2,0,19,34,18,20,3	0.103,0.139,0.055,0.079,0.091,0.061,0.115,0.024,0.024,0.073	0.137,0.102,0.049,0.009,0,0.084,0.15,0.08,0.088,0.013	0.318	0.325333333333333	-0.0073333333333333	proximal	4.07963039580756e-07	FALSE
MKI67	8.39923905019204e-09	chr10:128101344:-,chr10:128101604:-,chr10:128109018:-,chr10:128111953:-,chr10:128113435:-,chr10:128115328:-,chr10:128115641:-	1,11,50,31,0,24,44	17,9,25,5,10,16,39	0.005,0.06,0.275,0.17,0,0.132,0.242	0.117,0.062,0.172,0.034,0.069,0.11,0.269	0.345333333333333	0.341666666666667	0.00366666666666671	distal	4.07963039580756e-07	FALSE
ZEB1	9.87698853201747e-09	chr10:31520822:+,chr10:31527051:+,chr10:31527413:+	16,21,3	38,0,15	0.356,0.467,0.067	0.603,0,0.238	0.3005	0.238	0.0625	distal	4.30301235109905e-07	FALSE
ESCO2	1.01247349437625e-08	chr8:27777154:+,chr8:27787987:+,chr8:27804903:+	2,1,16	13,16,0	0.091,0.045,0.727	0.26,0.32,0	0.7495	0.16	0.5895	distal	4.30301235109905e-07	TRUE
MCL1	1.32640427125886e-08	chr1:150574558:-,chr1:150575962:-	3,28	27,5	0.097,0.903	0.794,0.147	0.097	0.794	-0.697	proximal	5.2662274415057e-07	TRUE
NCAM1	1.39400138157504e-08	chr11:113275627:+,chr11:113275701:+	0,11	33,2	0,1	0.673,0.041	1	0.041	0.959	distal	5.2662274415057e-07	TRUE
SQLE	5.59479598203028e-08	chr8:125003203:+,chr8:125019601:+,chr8:125022272:+	12,1,12	0,12,46	0.414,0.034,0.414	0,0.207,0.793	0.431	0.8965	-0.4655	proximal	2.00234803567399e-06	TRUE
RETREG2	7.11561470114617e-08	chr2:219183492:+,chr2:219183726:+	0,19	14,0	0,1	1,0	1	0	1	distal	2.33821834511962e-06	TRUE
MAP1B	7.22096841875177e-08	chr5:72195109:+,chr5:72195305:+,chr5:72195449:+,chr5:72195578:+,chr5:72207044:+	46,47,6,19,13	72,41,10,0,0	0.322,0.329,0.042,0.133,0.091	0.514,0.293,0.071,0,0	0.294	0.10875	0.18525	distal	2.33821834511962e-06	TRUE
KLHDC2	8.64405292822336e-08	chr14:49780733:+,chr14:49783138:+,chr14:49785980:+	0,6,10	13,28,0	0,0.375,0.625	0.317,0.683,0	0.8125	0.3415	0.471	distal	2.67179817781449e-06	TRUE
RFC3	9.68950038662413e-08	chr13:33832785:+,chr13:33837496:+	10,0	0,23	0.833,0	0,0.719	0	0.719	-0.719	proximal	2.8647218534367e-06	TRUE
H2AZ2	1.45151316175852e-07	chr7:44831571:-,chr7:44834232:-,chr7:44834309:-	13,66,12	0,174,15	0.141,0.717,0.13	0,0.825,0.071	0.4995	0.4125	0.087	distal	4.11262062498249e-06	FALSE
