gene_id	chisq	pvalue	adj_pvalue	ExN1	ExN2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
MLLT3	78.6399648412704	9.17851188807502e-14	1.29441794048161e-10	0.274630541871921	0.405104712041885	-0.130474170169964	chr9:20414126:-_vs_chr9:20354827:-	-0.326000051582287	chr9:20345627:-;chr9:20346136:-;chr9:20346306:-;chr9:20354827:-;chr9:20360756:-;chr9:20413862:-;chr9:20414126:-;chr9:20414156:-;chr9:20456708:-	proximal	TRUE
PAIP1	66.35643932124	1.3323910864453e-13	1.29441794048161e-10	0.653061224489796	0.454545454545455	0.198515769944341	chr5:43527300:-_vs_chr5:43526267:-	0.747990105132962	chr5:43526267:-;chr5:43527111:-;chr5:43527300:-;chr5:43529816:-;chr5:43535573:-	distal	TRUE
SPOP	62.7764676352457	7.56224114767575e-13	4.89781151664466e-10	0.611111111111111	0.494736842105263	0.116374269005848	chr17:49610218:-_vs_chr17:49599986:-	0.556985055230669	chr17:49599284:-;chr17:49599482:-;chr17:49599986:-;chr17:49600192:-;chr17:49610218:-	distal	TRUE
PACC1	49.2182452111943	2.29010712190755e-12	1.11241953446659e-09	1	0.224489795918367	0.775510204081633	chr1:212365268:-_vs_chr1:212364478:-	1.55102040816327	chr1:212364478:-;chr1:212365268:-	distal	TRUE
CYP51A1	55.9907825999065	4.22000576031743e-12	1.49996602275788e-09	0.483606557377049	0.343137254901961	0.140469302475088	chr7:92118576:-_vs_chr7:92113276:-	0.656219864995178	chr7:92113276:-;chr7:92113661:-;chr7:92118576:-;chr7:92127543:-	distal	TRUE
TPM3	62.0258842187876	4.63190743002948e-12	1.49996602275788e-09	0.638095238095238	0.494736842105263	0.143358395989975	chr1:154156838:-_vs_chr1:154156364:-	0.587898317221625	chr1:154156364:-;chr1:154156838:-;chr1:154158612:-;chr1:154170678:-;chr1:154172030:-;chr1:154173157:-	distal	TRUE
DICER1	50	1.3887943864964e-11	3.40521337298116e-09	0.736842105263158	0	0.736842105263158	chr14:95132043:-_vs_chr14:95124291:-	1.52631578947368	chr14:95116494:-;chr14:95124291:-;chr14:95132043:-	distal	TRUE
RPL7L1	53.5463315360741	1.40204359155169e-11	3.40521337298116e-09	0.459119496855346	0.784722222222222	-0.325602725366876	chr6:42887595:+_vs_chr6:42889889:+	-1.08569182389937	chr6:42886844:+;chr6:42887433:+;chr6:42887595:+;chr6:42889889:+	proximal	TRUE
RAB1A	54.7642738415717	3.64027441579386e-11	7.58434411472922e-09	0.5328125	0.604	-0.0711875	chr2:65087878:-_vs_chr2:65086854:-	-0.60975	chr2:65086854:-;chr2:65086946:-;chr2:65087878:-;chr2:65088428:-;chr2:65088590:-	proximal	TRUE
PPP1CB	43.6548116688414	3.91712848306948e-11	7.58434411472922e-09	1	0.327272727272727	0.672727272727273	chr2:28799875:+_vs_chr2:28801037:+	1.34545454545455	chr2:28799875:+;chr2:28801037:+	distal	TRUE
BCLAF1	60.1007695328248	4.29376146484927e-11	7.58434411472922e-09	0.558333333333333	0.314393939393939	0.243939393939394	chr6:136272002:-_vs_chr6:136268217:-	0.490909090909091	chr6:136261275:-;chr6:136268217:-;chr6:136269472:-;chr6:136272002:-;chr6:136276045:-;chr6:136276347:-;chr6:136276439:-	distal	TRUE
RRAGB	47.0611320754717	6.03677533954574e-11	9.17839674671744e-09	0.660377358490566	0.133333333333333	0.527044025157233	chrX:55751322:+_vs_chrX:55758731:+	1.14591194968553	chrX:55751322:+;chrX:55758731:+;chrX:55758774:+	distal	TRUE
PDIA6	53.679846944874	6.1409756926056e-11	9.17839674671744e-09	0.546116504854369	0.38961038961039	0.156506115243979	chr2:10783855:-_vs_chr2:10783391:-	0.570419871390745	chr2:10783391:-;chr2:10783855:-;chr2:10784008:-;chr2:10788704:-;chr2:10790782:-	distal	TRUE
NCOA4	46.4522816438931	8.18493443976183e-11	1.13595197260409e-08	0.822222222222222	0.350649350649351	0.471572871572872	chr10:46010526:-_vs_chr10:46005088:-	0.943145743145743	chr10:46005088:-;chr10:46006408:-;chr10:46010526:-	distal	TRUE
TTC13	46	1.02618796317019e-10	1.32925547495979e-08	0.818181818181818	0	0.818181818181818	chr1:230906735:-_vs_chr1:230906243:-	1.63636363636364	chr1:230906243:-;chr1:230906593:-;chr1:230906735:-	distal	TRUE
MAP2	75.3761780354729	2.01863077060461e-10	2.45137474205297e-08	0.580925999208548	0.509803921568627	0.0711220776399203	chr2:209733900:+_vs_chr2:209734112:+	0.191537667698658	chr2:209580099:+;chr2:209679812:+;chr2:209681172:+;chr2:209692830:+;chr2:209692958:+;chr2:209693544:+;chr2:209693923:+;chr2:209695108:+;chr2:209696647:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209730895:+;chr2:209733900:+;chr2:209734112:+	distal	FALSE
PPP2CA	55.1215303198773	4.38080111387648e-10	5.00699797897765e-08	0.358255451713396	0.439226519337017	-0.0809710676236209	chr5:134197097:-_vs_chr5:134196964:-	-0.427221562451593	chr5:134196266:-;chr5:134196546:-;chr5:134196719:-;chr5:134196964:-;chr5:134197097:-;chr5:134197624:-;chr5:134201926:-	proximal	TRUE
EPHA7	42.6635026103465	5.44174414715297e-10	5.7151014003373e-08	0.428571428571429	0.837209302325581	-0.408637873754153	chr6:93243247:-_vs_chr6:93243112:-	-1.12624584717608	chr6:93243112:-;chr6:93243247:-;chr6:93410897:-	proximal	TRUE
RAF1	46.0300634430505	5.58862205900199e-10	5.7151014003373e-08	0.7	0.267676767676768	0.432323232323232	chr3:12600154:-_vs_chr3:12583601:-	0.810822510822511	chr3:12583601:-;chr3:12586743:-;chr3:12586834:-;chr3:12600154:-	distal	TRUE
HK1	42.2445587928154	6.70981603142697e-10	6.33191957637844e-08	0.859375	0.333333333333333	0.526041666666667	chr10:69380336:+_vs_chr10:69401882:+	1.05208333333333	chr10:69380336:+;chr10:69386410:+;chr10:69401882:+	distal	TRUE
ZPR1	42.2050866296175	6.84355692763496e-10	6.33191957637844e-08	0.894736842105263	0.185714285714286	0.709022556390977	chr11:116778560:-_vs_chr11:116777720:-	1.41804511278195	chr11:116777720:-;chr11:116778371:-;chr11:116778560:-	distal	TRUE
ATF7IP	49.7687776130874	1.54528288020334e-09	1.36476574374323e-07	0.504347826086956	0.268	0.236347826086956	chr12:14424935:+_vs_chr12:14425472:+	0.791304347826087	chr12:14424935:+;chr12:14425192:+;chr12:14425472:+;chr12:14434368:+;chr12:14447045:+;chr12:14498552:+	distal	TRUE
SSTR2	40.2797202797203	1.79213150632516e-09	1.51396152903904e-07	0.666666666666667	0	0.666666666666667	chr17:73171556:+_vs_chr17:73171763:+	1.57575757575758	chr17:73171556:+;chr17:73171763:+;chr17:73172009:+	distal	TRUE
POMT1	40.1086956521739	1.95212400057781e-09	1.58040705546779e-07	0.833333333333333	0.0833333333333333	0.75	chr9:131508710:+_vs_chr9:131523799:+	1.5	chr9:131508710:+;chr9:131523341:+;chr9:131523799:+	distal	TRUE
RABL6	39.7705101015738	2.31176380739319e-09	1.79670283110599e-07	0.529411764705882	0.532258064516129	-0.00284629981024664	chr9:136840341:+_vs_chr9:136841182:+	-1.36622390891841	chr9:136840209:+;chr9:136840341:+;chr9:136841182:+	proximal	TRUE
