gene_id	chisq	pvalue	adj_pvalue	PgG2M	PgS	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
TCP1	68.8133750607334	1.14120972784343e-15	8.85578748806503e-13	0.739583333333333	0.394495412844037	0.345087920489297	chr6:159778952:-_vs_chr6:159778498:-	0.872324159021407	chr6:159778498:-;chr6:159778952:-;chr6:159784002:-	distal	TRUE
STIP1	46.9960292960269	6.23651401553552e-11	1.6973832136613e-08	0.484375	0.903061224489796	-0.418686224489796	chr11:64197315:+_vs_chr11:64204541:+	-0.837372448979592	chr11:64197315:+;chr11:64197895:+;chr11:64204541:+	proximal	TRUE
EGR1	50.401262739989	6.56204850642254e-11	1.6973832136613e-08	0.467948717948718	0.294507575757576	0.173441142191142	chr5:138468602:+_vs_chr5:138469300:+	0.605550699300699	chr5:138468120:+;chr5:138468602:+;chr5:138469034:+;chr5:138469300:+	distal	TRUE
LMNB1	48.4814959242369	1.68190289396003e-10	3.26289161428245e-08	0.60233918128655	0.393538913362702	0.208800267923848	chr5:126818978:+_vs_chr5:126837014:+	0.413130844732978	chr5:126818978:+;chr5:126832738:+;chr5:126836770:+;chr5:126837014:+	distal	TRUE
CLIC4	39.288477963594	3.65592316780009e-10	5.67399275642574e-08	0.9375	0.0487804878048781	0.888719512195122	chr1:24842021:+_vs_chr1:24844321:+	1.77743902439024	chr1:24842021:+;chr1:24844321:+	distal	TRUE
DHX15	37.7200410947014	8.16612688629635e-10	1.05615241062766e-07	0.375	0.985507246376812	-0.610507246376812	chr4:24539851:-_vs_chr4:24527475:-	-1.22101449275362	chr4:24527475:-;chr4:24539851:-	proximal	TRUE
C7orf26	36.3118167029991	1.68141299996016e-09	1.86396641138441e-07	0	1	-1	chr7:6600021:+_vs_chr7:6608726:+	-2	chr7:6600021:+;chr7:6608726:+	proximal	TRUE
TPX2	53.4580317855445	3.00999684485859e-09	2.91969693951283e-07	0.409297052154195	0.466973886328725	-0.0576768341745301	chr20:31783856:+_vs_chr20:31794006:+	-0.473374295954941	chr20:31766592:+;chr20:31766663:+;chr20:31770390:+;chr20:31770464:+;chr20:31783856:+;chr20:31794006:+;chr20:31801478:+;chr20:31801800:+	proximal	TRUE
NCAPG	37.512177407518	7.15046316684365e-09	6.11881778338915e-07	0.418032786885246	0.414634146341463	0.00339864054378247	chr4:17825048:+_vs_chr4:17825486:+	0.745301879248301	chr4:17825048:+;chr4:17825486:+;chr4:17843514:+	distal	TRUE
DAAM1	37.3165883458647	7.88507446313034e-09	6.11881778338915e-07	0.09375	0.75	-0.65625	chr14:59291305:+_vs_chr14:59332727:+	-1.3125	chr14:59291305:+;chr14:59330596:+;chr14:59332727:+	proximal	TRUE
