SE_id	p_value	FDR	exon	pas_id	sig	gene_id
GSTA4:SE01	0	0	chr6:52985451-52985583:-	chr6:52977955:-;chr6:52982551:-	TRUE	GSTA4
MLLT3:SE06	0	0	chr9:20413721-20414425:-	chr9:20345059:-;chr9:20345285:-;chr9:20345627:-;chr9:20414126:-	TRUE	MLLT3
PSPC1:SE02	0	0	chr13:19705662-19705831:-	chr13:19674752:-;chr13:19675389:-;chr13:19702867:-	TRUE	PSPC1
PSPC1:SE03	0	0	chr13:19709542-19709599:-	chr13:19674752:-;chr13:19675389:-;chr13:19702867:-	TRUE	PSPC1
RBM5:SE01	0	0	chr3:50100532-50100605:+	chr3:50102194:+;chr3:50118960:+	TRUE	RBM5
RTN4:SE03	0	0	chr2:55025086-55027485:-	chr2:54972189:-;chr2:55026600:-	TRUE	RTN4
RTN4:SE04	0	0	chr2:55028164-55028220:-	chr2:54972189:-;chr2:55026600:-	TRUE	RTN4
ELMOD1:SE02	8.28696307769523e-320	2.07329455647341e-316	chr11:107618105-107618206:+	chr11:107620897:+;chr11:107665989:+	TRUE	ELMOD1
RNF40:SE05	2.07022354323199e-315	4.60394713530762e-312	chr16:30766379-30766558:+	chr16:30767299:+;chr16:30775189:+;chr16:30776303:+	TRUE	RNF40
NIPBL:SE07	8.23603251256994e-301	1.64844190739087e-297	chr5:36984676-36986301:+	chr5:36985201:+;chr5:36986106:+;chr5:37000855:+	TRUE	NIPBL
BAZ1B:SE09	1.00776735118388e-294	1.83367850308593e-291	chr7:73476868-73478569:-	chr7:73440406:-;chr7:73477038:-	TRUE	BAZ1B
NFX1:SE17	2.83316874230056e-278	4.72548936476215e-275	chr9:33364708-33364774:+	chr9:33365299:+;chr9:33370176:+;chr9:33371157:+	TRUE	NFX1
ZNF540:SE02	3.78265600611823e-263	5.82383538172741e-260	chr19:37598376-37598456:+	chr19:37600591:+;chr19:37613387:+;chr19:37614095:+	TRUE	ZNF540
TTLL5:SE10	5.49780291505343e-260	7.85989466748531e-257	chr14:75764615-75764772:+	chr14:75765893:+;chr14:75954829:+;chr14:75955079:+	TRUE	TTLL5
ZNF606:SE01	1.18616581368954e-255	1.5827405840664e-252	chr19:57999808-57999896:-	chr19:57977072:-;chr19:57977367:-;chr19:57977486:-;chr19:57997391:-	TRUE	ZNF606
ANK2:SE09	1.38212969131172e-251	1.72895786072525e-248	chr4:113236987-113237172:+	chr4:113239664:+;chr4:113353763:+;chr4:113383732:+	TRUE	ANK2
