SE_id	p_value	FDR	exon	pas_id	sig	gene_id
ASPH:SE22	4.72600398628037e-289	4.78696943770338e-285	chr8:61682439-61682483:-	chr8:61624535:-;chr8:61675259:-	TRUE	ASPH
CYHR1:SE01	1.79658073089457e-238	9.09878311161553e-235	chr8:144452359-144452570:-	chr8:144449931:-;chr8:144451125:-	TRUE	CYHR1
TPM2:SE02	4.46836771442515e-125	1.50866988598041e-121	chr9:35685064-35685139:-	chr9:35682008:-;chr9:35682926:-	TRUE	TPM2
TPM3:SE03	2.660773175675e-105	6.73774287410301e-102	chr1:154171413-154171488:-	chr1:154156364:-;chr1:154158612:-	TRUE	TPM3
PSPC1:SE02	5.58281746074634e-99	9.42472634331662e-96	chr13:19705662-19705831:-	chr13:19674752:-;chr13:19675389:-;chr13:19702867:-	TRUE	PSPC1
PSPC1:SE03	5.58281746074634e-99	9.42472634331662e-96	chr13:19709542-19709599:-	chr13:19674752:-;chr13:19675389:-;chr13:19702867:-	TRUE	PSPC1
SLC5A11:SE05	4.62719144043473e-98	6.69554601430906e-95	chr16:24875627-24875731:+	chr16:24876225:+;chr16:24911626:+	TRUE	SLC5A11
TPM3:SE04	1.03466567972658e-95	1.31001608374382e-92	chr1:154172029-154172104:-	chr1:154156364:-;chr1:154158612:-	TRUE	TPM3
TMEM161B-AS1:SE02	4.51645328013804e-78	5.08301725272424e-75	chr5:88282042-88282106:+	chr5:88287650:+;chr5:88436669:+	TRUE	TMEM161B-AS1
KLHL7:SE03	2.1024428466834e-76	2.12956435940562e-73	chr7:23143851-23144025:+	chr7:23144500:+;chr7:23175304:+;chr7:23175421:+	TRUE	KLHL7
FGFR2:SE11	1.2137274932928e-67	1.11762234359661e-64	chr10:121565438-121565704:-	chr10:121478332:-;chr10:121479218:-;chr10:121564324:-	TRUE	FGFR2
RNASEH2B:SE03	1.04919887883678e-66	8.85611286978146e-64	chr13:50953905-50953985:+	chr13:50956503:+;chr13:50956760:+;chr13:50970457:+	TRUE	RNASEH2B
HPS1:SE14	2.87724999062968e-58	2.24182039654524e-55	chr10:98443124-98443240:-	chr10:98416212:-;chr10:98417015:-;chr10:98429144:-;chr10:98441904:-	TRUE	HPS1
HSPA14:SE03	7.52217190841312e-54	5.4422913757369e-51	chr10:14842134-14842846:+	chr10:14844734:+;chr10:14846999:+;chr10:14871741:+	TRUE	HSPA14
REEP1:SE04	4.43441510398727e-52	2.9944127058858e-49	chr2:86251957-86252070:-	chr2:86214102:-;chr2:86214597:-;chr2:86216485:-;chr2:86251351:-	TRUE	REEP1
TPM2:SE01	7.57739211935237e-51	4.79696279855751e-48	chr9:35684732-35684807:-	chr9:35682008:-;chr9:35682926:-	TRUE	TPM2
PCMTD1:SE04	2.77523296063883e-43	1.65354909754769e-40	chr8:51845661-51845763:-	chr8:51817583:-;chr8:51820167:-;chr8:51842849:-	TRUE	PCMTD1
TPM1:SE05	2.0213484755321e-41	1.13745770603693e-38	chr15:63061713-63061788:+	chr15:63066093:+;chr15:63070637:+;chr15:63071915:+	TRUE	TPM1
GPM6B:SE03	7.29562490023304e-41	3.88933603234003e-38	chrX:13807650-13807769:-	chrX:13770943:-;chrX:13771029:-;chrX:13771456:-;chrX:13773456:-	TRUE	GPM6B
CACFD1:SE01	1.09107472247863e-38	5.525747931993e-36	chr9:133465035-133465158:+	chr9:133466685:+;chr9:133470763:+	TRUE	CACFD1
CADM3:SE02	3.51843284957726e-38	1.6970574444461e-35	chr1:159199751-159199876:+	chr1:159201267:+;chr1:159202012:+;chr1:159203143:+	TRUE	CADM3
GLYR1:SE04	1.72080761147189e-37	7.92275468027218e-35	chr16:4845074-4845153:-	chr16:4803203:-;chr16:4844369:-	TRUE	GLYR1
TPM1:SE04	5.89302622530253e-36	2.59523750591693e-33	chr15:63061198-63061273:+	chr15:63066093:+;chr15:63070637:+;chr15:63071915:+	TRUE	TPM1
MAP4K4:SE18	5.97082316032195e-34	2.51993615795421e-31	chr2:101888796-101888935:+	chr2:101891494:+;chr2:101892039:+;chr2:101892804:+;chr2:101894690:+	TRUE	MAP4K4
MTERF4:SE04	2.02858223982179e-32	8.21900380286197e-30	chr2:241099396-241099894:-	chr2:241075547:-;chr2:241087096:-;chr2:241087222:-;chr2:241089169:-;chr2:241095571:-	TRUE	MTERF4
UPF3A:SE04	1.4725150973361e-31	5.73657900804515e-29	chr13:114286519-114286629:+	chr13:114287620:+;chr13:114305808:+	TRUE	UPF3A
MEAF6:SE03	3.86648818927862e-31	1.45050588404456e-28	chr1:37496707-37496736:-	chr1:37492559:-;chr1:37493178:-;chr1:37493311:-	TRUE	MEAF6
TPM1:SE01	4.35255983064272e-31	1.57453851873501e-28	chr15:63043706-63043831:+	chr15:63066093:+;chr15:63070637:+;chr15:63071915:+	TRUE	TPM1
DNAJB6:SE04	2.30747138038009e-30	8.05944055581721e-28	chr7:157384867-157385008:+	chr7:157386302:+;chr7:157417435:+	TRUE	DNAJB6
APP:SE05	3.77506426901653e-30	1.27458753269561e-27	chr21:25955627-25955755:-	chr21:25880553:-;chr21:25880806:-	TRUE	APP
APP:SE04	1.48535455749061e-29	4.85327622994271e-27	chr21:25954590-25954689:-	chr21:25880553:-;chr21:25880806:-	TRUE	APP
APP:SE03	1.79271103018328e-29	5.674490632727e-27	chr21:25911741-25911962:-	chr21:25880553:-;chr21:25880806:-	TRUE	APP
