gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
CDC42	3.70738268179532e-12	chr1:22090127:+,chr1:22090807:+,chr1:22091599:+,chr1:22092943:+	32,126,44,99	56,302,73,57	0.101,0.399,0.139,0.313	0.108,0.584,0.141,0.11	0.538666666666667	0.398666666666667	0.14	distal	7.32578817922755e-09	TRUE
HSPE1-MOB4	7.63498401002158e-10	chr2:197550913:+,chr2:197552617:+	11,92	34,26	0.092,0.767	0.523,0.4	0.767	0.4	0.367	distal	7.0235295379584e-07	TRUE
SGCB	1.06632533471028e-09	chr4:52020709:-,chr4:52022604:-,chr4:52022924:-,chr4:52023010:-,chr4:52023696:-	2,0,81,45,46	11,11,73,8,18	0.01,0,0.399,0.222,0.227	0.079,0.079,0.525,0.058,0.129	0.265	0.41525	-0.15025	proximal	7.0235295379584e-07	TRUE
HNRNPA2B1	1.71112881602821e-09	chr7:26189927:-,chr7:26190125:-,chr7:26190329:-,chr7:26191844:-,chr7:26196593:-	49,36,25,432,109	51,96,54,375,79	0.071,0.052,0.036,0.624,0.158	0.071,0.134,0.076,0.524,0.11	0.284	0.3405	-0.0565000000000001	proximal	7.69100029679483e-07	FALSE
ECPAS	2.15065762999205e-09	chr9:111362029:-,chr9:111410045:-,chr9:111411070:-	5,22,3	16,4,33	0.128,0.564,0.077	0.242,0.061,0.5	0.41	0.2725	0.1375	distal	7.69100029679483e-07	TRUE
ERCC6L2	2.33532397675956e-09	chr9:95908510:+,chr9:95972330:+,chr9:95972405:+	0,18,27	10,0,4	0,0.316,0.474	0.278,0,0.111	0.632	0.111	0.521	distal	7.69100029679483e-07	TRUE
MSMO1	1.34198301280455e-08	chr4:165341449:+,chr4:165341915:+,chr4:165342063:+,chr4:165342147:+,chr4:165343070:+,chr4:165343164:+	18,77,35,1,68,94	0,32,37,18,50,78	0.059,0.252,0.115,0.003,0.223,0.308	0,0.146,0.169,0.082,0.228,0.356	0.5846	0.6844	-0.0997999999999999	proximal	3.78822633328827e-06	FALSE
SYNE2	2.11270818531262e-08	chr14:63986481:+,chr14:63995157:+,chr14:64027527:+,chr14:64031156:+,chr14:64163431:+,chr14:64226433:+	20,2,10,9,14,12	1,13,0,11,0,6	0.123,0.012,0.061,0.055,0.086,0.074	0.013,0.165,0,0.139,0,0.076	0.2026	0.1924	0.0102	distal	5.21838921772218e-06	FALSE
RBM22	2.40135750157888e-08	chr5:150690792:-,chr5:150691134:-,chr5:150693280:-	54,17,21	13,43,19	0.574,0.181,0.223	0.159,0.524,0.232	0.6645	0.421	0.2435	distal	5.27231380346652e-06	TRUE
TMEM237	3.39677200133634e-08	chr2:201623800:-,chr2:201624272:-	17,0	1,20	0.708,0	0.036,0.714	0.708	0.036	0.672	distal	6.7120214746406e-06	TRUE
ASF1A	8.04173994249375e-08	chr6:118905786:+,chr6:118907800:+,chr6:118907863:+,chr6:118909094:+,chr6:118909126:+	28,29,12,0,45	2,6,3,10,34	0.233,0.242,0.1,0,0.375	0.033,0.098,0.049,0.164,0.557	0.4855	0.729	-0.2435	proximal	1.21963269085398e-05	TRUE
TSN	8.27218524747223e-08	chr2:121765791:+,chr2:121766300:+,chr2:121767293:+,chr2:121767503:+	37,1,67,0	16,11,32,12	0.327,0.009,0.593,0	0.205,0.141,0.41,0.154	0.398333333333333	0.474333333333333	-0.076	proximal	1.21963269085398e-05	FALSE
TAOK1	8.40412932567111e-08	chr17:29498521:+,chr17:29510957:+,chr17:29517491:+	0,18,38	17,1,46	0,0.257,0.543	0.185,0.011,0.5	0.6715	0.5055	0.166	distal	1.21963269085398e-05	TRUE
DYNC1I1	8.64112230362134e-08	chr7:95804834:+,chr7:95871724:+,chr7:95984834:+,chr7:96098424:+	4,11,8,32	10,0,52,89	0.068,0.186,0.136,0.542	0.06,0,0.311,0.533	0.694666666666667	0.740333333333333	-0.0456666666666667	proximal	1.21963269085398e-05	FALSE
KIDINS220	1.02519876301311e-07	chr2:8730714:-,chr2:8731732:-,chr2:8770671:-,chr2:8778948:-,chr2:8785765:-,chr2:8796772:-,chr2:8803035:-	10,13,19,1,18,0,63	5,6,6,15,11,18,72	0.06,0.077,0.113,0.006,0.107,0,0.375	0.03,0.036,0.036,0.091,0.067,0.109,0.436	0.238166666666667	0.17	0.0681666666666667	distal	1.35052850380927e-05	FALSE
NCBP1	1.41043115954759e-07	chr9:97668949:+,chr9:97671632:+,chr9:97672477:+	14,5,0	1,20,13	0.5,0.179,0	0.024,0.488,0.317	0.0895	0.561	-0.4715	proximal	1.74188248204128e-05	TRUE
THRAP3	1.86453914961605e-07	chr1:36289081:+,chr1:36289138:+,chr1:36291436:+,chr1:36292693:+,chr1:36296765:+	4,112,10,11,8	17,59,4,31,14	0.026,0.742,0.066,0.073,0.053	0.121,0.421,0.029,0.221,0.1	0.32625	0.3855	-0.05925	proximal	2.05060945814613e-05	FALSE
