gene_id	chisq	pvalue	adj_pvalue	PgG2M	vRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
DBN1	65.0862522686025	7.35698543064782e-15	6.24608063062e-12	0.5	0.421875	0.078125	chr5:177457223:-_vs_chr5:177456925:-	1.034375	chr5:177456622:-;chr5:177456925:-;chr5:177457223:-	distal	TRUE
WDR77	58.3418359097777	2.20308993869956e-14	9.35211678977962e-12	0	1	-1	chr1:111440952:-_vs_chr1:111440257:-	-2	chr1:111440257:-;chr1:111440952:-	proximal	TRUE
PAX6	66.4457552672331	1.27586315310923e-13	3.61069272329912e-11	0.630208333333333	0.507692307692308	0.122516025641026	chr11:31793758:-_vs_chr11:31793214:-	0.534615384615385	chr11:31789194:-;chr11:31789837:-;chr11:31793214:-;chr11:31793758:-;chr11:31809746:-	distal	TRUE
HNRNPA1	56.3213334387526	3.58731716286074e-12	7.61408067817193e-10	0.477533960292581	0.561258278145695	-0.0837243178531144	chr12:54284881:+_vs_chr12:54287087:+	-0.141631547260686	chr12:54284578:+;chr12:54284881:+;chr12:54285246:+;chr12:54287087:+	proximal	FALSE
MXI1	55.3270784543326	5.84700618230298e-12	9.92821649755046e-10	0.816666666666667	0.382513661202186	0.434153005464481	chr10:110285432:+_vs_chr10:110286092:+	1.09262295081967	chr10:110279293:+;chr10:110285108:+;chr10:110285432:+;chr10:110286092:+	distal	TRUE
TSPAN12	44.5531680440771	2.4754261970458e-11	3.50272806881981e-09	0	0.977777777777778	-0.977777777777778	chr7:120788495:-_vs_chr7:120787320:-	-1.95555555555556	chr7:120787320:-;chr7:120788495:-	proximal	TRUE
PDIA6	54.6024654793428	3.9357782814435e-11	4.77353680135075e-09	0.572916666666667	0.444148936170213	0.128767730496454	chr2:10788704:-_vs_chr2:10783855:-	0.789007092198581	chr2:10783391:-;chr2:10783855:-;chr2:10784081:-;chr2:10788704:-;chr2:10790782:-	distal	TRUE
EGR1	53.2865985354625	7.4225310633432e-11	7.87716109097297e-09	0.482142857142857	0.223901098901099	0.258241758241758	chr5:138468602:+_vs_chr5:138469300:+	0.510792778649922	chr5:138468120:+;chr5:138468602:+;chr5:138469034:+;chr5:138469228:+;chr5:138469300:+	distal	TRUE
ABHD3	41.2011853448276	1.37339230147867e-10	1.29556673772821e-08	0	0.96551724137931	-0.96551724137931	chr18:21666005:-_vs_chr18:21650901:-	-1.93103448275862	chr18:21650901:-;chr18:21666005:-	proximal	TRUE
SRSF3	54.4736042471491	1.67492796701847e-10	1.42201384399868e-08	0.55	0.677073170731707	-0.127073170731707	chr6:36602293:+_vs_chr6:36602784:+	-0.436119081779053	chr6:36600198:+;chr6:36602003:+;chr6:36602293:+;chr6:36602784:+;chr6:36602935:+;chr6:36603429:+	proximal	TRUE
NCAPG	38.4481406739839	5.62281258931779e-10	4.22744582310613e-08	0	0.684210526315789	-0.684210526315789	chr4:17825486:+_vs_chr4:17834448:+	-1.36842105263158	chr4:17825486:+;chr4:17834448:+	proximal	TRUE
SCRN1	42.4764705882353	5.97518844255284e-10	4.22744582310613e-08	1	0.411764705882353	0.588235294117647	chr7:29923016:-_vs_chr7:29920259:-	1.38235294117647	chr7:29920259:-;chr7:29923016:-;chr7:29923891:-	distal	TRUE
SNX3	34.7687336101399	3.71288684781096e-09	2.40907996760562e-07	0.423076923076923	0.0104166666666667	0.412660256410256	chr6:108211536:-_vs_chr6:108211222:-	0.825320512820513	chr6:108211222:-;chr6:108211536:-	distal	TRUE
UBXN4	38.6877051784391	3.97257002903165e-09	2.40907996760562e-07	0.0789473684210526	0.598591549295775	-0.519644180874722	chr2:135769811:+_vs_chr2:135770658:+	-1.1067457375834	chr2:135769811:+;chr2:135770658:+;chr2:135782799:+	proximal	TRUE
PPP1CC	33.6481104736257	6.60389960854582e-09	3.63855300499955e-07	0.166666666666667	0.854838709677419	-0.688172043010753	chr12:110719905:-_vs_chr12:110719811:-	-1.37634408602151	chr12:110719811:-;chr12:110719905:-	proximal	TRUE
SEPTIN7	40.9027934016909	6.85710813663048e-09	3.63855300499955e-07	0.381720430107527	0.290726817042607	0.0909936130649203	chr7:35882569:+_vs_chr7:35898297:+	0.653832161047781	chr7:35882569:+;chr7:35898297:+;chr7:35903104:+;chr7:35905307:+	distal	TRUE
CENPV	40.3336223728514	9.05381976766148e-09	4.52158410749682e-07	0.780487804878049	0.874125874125874	-0.0936380692478255	chr17:16348150:-_vs_chr17:16342537:-	-0.476718403547672	chr17:16342537:-;chr17:16348061:-;chr17:16348150:-;chr17:16348324:-	proximal	TRUE
SF3B2	36.9100529100529	9.66237407918249e-09	4.55741977401441e-07	0.267857142857143	0.833333333333333	-0.56547619047619	chr11:66054327:+_vs_chr11:66068892:+	-1.13095238095238	chr11:66054327:+;chr11:66058867:+;chr11:66068892:+	proximal	TRUE
CTNNA1	38.4618026890942	2.25663570731071e-08	1.00835985026673e-06	0.473118279569892	0.610062893081761	-0.136944613511868	chr5:138812227:+_vs_chr5:138934327:+	-0.858794887401096	chr5:138812227:+;chr5:138934327:+;chr5:138934712:+;chr5:138935032:+	proximal	TRUE
MAP2	41.2115095049878	2.42998648204045e-08	1.03152926162617e-06	0.428571428571429	0.66304347826087	-0.234472049689441	chr2:209729898:+_vs_chr2:209734112:+	-0.970496894409938	chr2:209580099:+;chr2:209692830:+;chr2:209729898:+;chr2:209730502:+;chr2:209734112:+	proximal	TRUE
CANX	40.1834242735719	3.9663599334611e-08	1.60354265881356e-06	0.5	0.558724832214765	-0.0587248322147651	chr5:179724793:+_vs_chr5:179728862:+	-0.552721849366145	chr5:179709995:+;chr5:179724712:+;chr5:179724793:+;chr5:179728862:+;chr5:179729260:+	proximal	TRUE
EMC8	29.9967602040816	4.3276876510034e-08	1.67009400713722e-06	0	1	-1	chr16:85779403:-_vs_chr16:85779314:-	-2	chr16:85779314:-;chr16:85779403:-	proximal	TRUE
MAP1B	58.0374494314014	5.13148279866792e-08	1.89382638281821e-06	0.425407925407925	0.379790310918294	0.0456176144896319	chr5:72195305:+_vs_chr5:72195449:+	-0.137038666322831	chr5:72193999:+;chr5:72194957:+;chr5:72195065:+;chr5:72195109:+;chr5:72195305:+;chr5:72195449:+;chr5:72195578:+;chr5:72195685:+;chr5:72195941:+;chr5:72200234:+;chr5:72205642:+;chr5:72205875:+;chr5:72207044:+	proximal	FALSE
AKAP11	29.5843397022294	5.35357281362037e-08	1.89382638281821e-06	1	0	1	chr13:42300372:+_vs_chr13:42301233:+	2	chr13:42300372:+;chr13:42301233:+	distal	TRUE
MCL1	29.1903396362822	6.56054912180279e-08	2.22796248176423e-06	0.0967741935483871	0.681818181818182	-0.585043988269795	chr1:150575962:-_vs_chr1:150574558:-	-1.17008797653959	chr1:150574558:-;chr1:150575962:-	proximal	TRUE
SQLE	32.0395245769541	1.10333053281255e-07	3.60279854753022e-06	0.5	0.86986301369863	-0.36986301369863	chr8:125003203:+_vs_chr8:125022272:+	-0.73972602739726	chr8:125003203:+;chr8:125022164:+;chr8:125022272:+	proximal	TRUE
SAP30BP	27.9870481283423	1.2213015157842e-07	3.84031476629922e-06	0	0.85	-0.85	chr17:75702546:+_vs_chr17:75706757:+	-1.7	chr17:75702546:+;chr17:75706757:+	proximal	TRUE
RAB7A	27.5841948803096	1.50402731090374e-07	4.56042566770457e-06	0	0.69811320754717	-0.69811320754717	chr3:128814099:+_vs_chr3:128814797:+	-1.39622641509434	chr3:128814099:+;chr3:128814797:+	proximal	TRUE
TMED10	31.0158426368953	1.84075227377679e-07	5.24148015358078e-06	0.375	0.302083333333333	0.0729166666666666	chr14:75134244:-_vs_chr14:75133060:-	0.979166666666667	chr14:75131469:-;chr14:75133060:-;chr14:75134244:-	distal	TRUE
