gene_id	chisq	pvalue	adj_pvalue	Ex	Pro	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
KLC1	347.052342529543	6.48522311023234e-75	3.82239050117094e-71	0.353606789250354	0.479351032448378	-0.125744243198024	chr14:103686225:+_vs_chr14:103701544:+	-0.506732089138117	chr14:103675587:+;chr14:103685912:+;chr14:103686225:+;chr14:103701544:+	proximal	TRUE
PEA15	302.017879493836	3.63946912851657e-65	1.07255155217383e-61	0.580882352941177	0.885572139303483	-0.304689786362306	chr1:160214639:+_vs_chr1:160215372:+	-0.868107989464443	chr1:160211963:+;chr1:160214639:+;chr1:160214819:+;chr1:160215372:+	proximal	TRUE
GPM6A	296.324149792594	5.01573751022682e-61	9.85425229509229e-58	0.625761714645934	0.730196703880914	-0.10443498923498	chr4:175634820:-_vs_chr4:175633448:-	-0.276086977649668	chr4:175632943:-;chr4:175633448:-;chr4:175633705:-;chr4:175634532:-;chr4:175634820:-;chr4:175640800:-;chr4:175805272:-	proximal	TRUE
CDC42	279.856122028937	1.68656103335866e-57	2.48514768265399e-54	0.362065926317645	0.686213991769547	-0.324148065451902	chr1:22090807:+_vs_chr1:22092943:+	-0.711575624628683	chr1:22090127:+;chr1:22090807:+;chr1:22091599:+;chr1:22091837:+;chr1:22092414:+;chr1:22092738:+;chr1:22092943:+	proximal	TRUE
RTN4	268.023786653992	1.14156554688033e-49	1.34567746666253e-46	0.438124323980403	0.645147767763572	-0.207023443783168	chr2:55026600:-_vs_chr2:54972189:-	-0.397203760172908	chr2:54972189:-;chr2:54972291:-;chr2:54973144:-;chr2:54979929:-;chr2:54981278:-;chr2:55025759:-;chr2:55025982:-;chr2:55026078:-;chr2:55026370:-;chr2:55026600:-;chr2:55026801:-;chr2:55026984:-;chr2:55027115:-;chr2:55027296:-	proximal	TRUE
MAP2	307.62732853869	8.28388419053748e-48	8.13753556983798e-45	0.535496957403651	0.557883597883598	-0.0223866404799468	chr2:209580099:+_vs_chr2:209692830:+	0.168212112431179	chr2:209580099:+;chr2:209679812:+;chr2:209681011:+;chr2:209681053:+;chr2:209681172:+;chr2:209682341:+;chr2:209682505:+;chr2:209683159:+;chr2:209692830:+;chr2:209692958:+;chr2:209693179:+;chr2:209693272:+;chr2:209693437:+;chr2:209693544:+;chr2:209693923:+;chr2:209694036:+;chr2:209694505:+;chr2:209695067:+;chr2:209695108:+;chr2:209696647:+;chr2:209696704:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209730679:+;chr2:209730789:+;chr2:209730841:+;chr2:209730895:+;chr2:209732927:+;chr2:209733900:+;chr2:209734112:+	distal	FALSE
RPL15	238.594174634025	4.49404977591575e-47	3.78398991132106e-44	0.507944023569024	0.408250355618777	0.0996936679502469	chr3:23919552:+_vs_chr3:23920847:+	0.220120638980288	chr3:23919320:+;chr3:23919552:+;chr3:23919656:+;chr3:23919783:+;chr3:23919961:+;chr3:23920585:+;chr3:23920772:+;chr3:23920847:+;chr3:23920973:+	distal	TRUE
GPM6B	197.876920840855	8.08261004161654e-41	5.95486294816099e-38	0.810227272727273	0.552876712328767	0.257350560398506	chrX:13773456:-_vs_chrX:13771029:-	0.59041095890411	chrX:13770943:-;chrX:13771029:-;chrX:13771456:-;chrX:13773456:-;chrX:13773601:-;chrX:13774155:-	distal	TRUE
ABHD3	181.608693486526	3.96326931673117e-39	2.5955010392015e-36	0.679487179487179	0.745934959349594	-0.0664477798624141	chr18:21650983:-_vs_chr18:21650901:-	-1.60600375234522	chr18:21650901:-;chr18:21650983:-;chr18:21651111:-;chr18:21666005:-	proximal	TRUE
KIF1B	197.392298929431	5.64384181230841e-37	3.32648036417458e-34	0.180684931506849	0.506593406593407	-0.325908475086557	chr1:10273030:+_vs_chr1:10303736:+	-0.622836068041547	chr1:10258696:+;chr1:10273030:+;chr1:10273404:+;chr1:10274714:+;chr1:10274957:+;chr1:10275446:+;chr1:10282534:+;chr1:10303736:+;chr1:10377786:+;chr1:10380719:+;chr1:10381600:+	proximal	TRUE
