gene_id	chisq	pvalue	adj_pvalue	PgG2M	oRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
ABHD3	110	1.2995814250075e-24	1.68425752680972e-21	0	0.883333333333333	0.883333333333333	chr18:21666005:-_vs_chr18:21650901:-	1.76666666666667	chr18:21650901:-;chr18:21651111:-;chr18:21666005:-	distal	TRUE
GTF2I	83.7289959839357	1.39020201293296e-16	9.00850904380561e-14	0.626666666666667	0.4	-0.226666666666667	chr7:74735492:+_vs_chr7:74744941:+	-1.30682730923695	chr7:74698999:+;chr7:74735492:+;chr7:74744789:+;chr7:74744941:+;chr7:74758817:+;chr7:74760692:+	proximal	TRUE
CTNNA1	64.1050575061786	7.79422124335637e-14	3.36710357712995e-11	0.473118279569892	0.66183574879227	0.188717469222378	chr5:138812227:+_vs_chr5:138934327:+	0.698690977092099	chr5:138812227:+;chr5:138934327:+;chr5:138934712:+;chr5:138935032:+	distal	TRUE
NEDD1	57.2307692307692	3.7367699687005e-13	1.21071346985896e-10	0.9375	0.328125	-0.609375	chr12:96944722:+_vs_chr12:96952033:+	-1.59375	chr12:96943721:+;chr12:96944722:+;chr12:96952033:+	proximal	TRUE
SEPTIN7	61.9826876429553	1.11086907016738e-12	2.87937262987385e-10	0.337786259541985	0.34855403348554	0.0107677739435556	chr7:35882569:+_vs_chr7:35898297:+	-0.483123612999175	chr7:35882569:+;chr7:35898297:+;chr7:35903104:+;chr7:35904630:+;chr7:35905307:+	proximal	TRUE
SLMAP	51.9627906976744	5.20503156854776e-12	1.12428681880632e-09	0.5	0.662790697674419	0.162790697674419	chr3:57862089:+_vs_chr3:57864617:+	1.62790697674419	chr3:57862014:+;chr3:57862089:+;chr3:57864617:+	distal	TRUE
FAM83D	46.3489951988718	9.89582381412476e-12	1.83214109472938e-09	0	0.666666666666667	0.666666666666667	chr20:38953035:+_vs_chr20:38953096:+	1.33333333333333	chr20:38953035:+;chr20:38953096:+	distal	TRUE
TMED10	50.7402950310559	5.55675020075235e-11	8.56986607345947e-09	0.479166666666667	0.184782608695652	-0.294384057971015	chr14:75134244:-_vs_chr14:75133060:-	-0.997282608695652	chr14:75131469:-;chr14:75133060:-;chr14:75133185:-;chr14:75134244:-	proximal	TRUE
ZEB1	50.600446953237	5.95129588434685e-11	8.56986607345947e-09	0.416666666666667	0.194003527336861	-0.222663139329806	chr10:31520822:+_vs_chr10:31527051:+	-0.700937950937951	chr10:31520822:+;chr10:31524017:+;chr10:31527051:+;chr10:31527413:+	proximal	TRUE
KCTD3	45	1.69189792261513e-10	2.19092636621937e-08	0	0.681818181818182	0.681818181818182	chr1:215620322:+_vs_chr1:215620421:+	1.63636363636364	chr1:215620322:+;chr1:215620421:+;chr1:215620477:+	distal	TRUE
