gene_id	p_value	dominant_pair	dominant_pair_coor	contribution	PA1	PA2	annotation	FDR	sig	tss	pas
AKAP9	0	TSS09-PA04	chr7:92097700:+|chr7:92110668:+	1234.38400083547	chr7:92002099:+	chr7:92000950:+	ALE	0	TRUE	chr7:91940840:+;chr7:91941079:+;chr7:92097700:+;chr7:92098154:+	chr7:92000950:+;chr7:92001737:+;chr7:92002099:+;chr7:92110668:+
ANK2	0	TSS46-PA03	chr4:113373317:+|chr4:113383732:+	734.457184507329	chr4:113353763:+	chr4:113383732:+	ALE	0	TRUE	chr4:112817997:+;chr4:113049522:+;chr4:113049622:+;chr4:113049729:+;chr4:113174416:+;chr4:113240498:+;chr4:113292460:+;chr4:113292925:+;chr4:113293328:+;chr4:113318585:+;chr4:113330252:+;chr4:113333073:+;chr4:113333148:+;chr4:113341712:+;chr4:113357694:+;chr4:113358808:+;chr4:113369702:+;chr4:113373317:+	chr4:113353763:+;chr4:113239664:+;chr4:113383732:+
ASH1L	0	TSS03-PA01	chr1:155349351:-|chr1:155336829:-	1240.62236081336	chr1:155480731:-	chr1:155479905:-	ALE	0	TRUE	chr1:155349351:-;chr1:155370868:-;chr1:155521618:-;chr1:155562693:-;chr1:155562803:-;chr1:155563092:-	chr1:155336829:-;chr1:155479905:-;chr1:155480731:-
ATRX	0	TSS05-PA01	chrX:77589872:-|chrX:77506893:-	1000.43406381516	chrX:77682296:-	chrX:77683973:-	ALE	0	TRUE	chrX:77521421:-;chrX:77589872:-;chrX:77600540:-;chrX:77633321:-;chrX:77698580:-;chrX:77786204:-	chrX:77506893:-;chrX:77682296:-;chrX:77664668:-;chrX:77682399:-;chrX:77682937:-;chrX:77683973:-
BAZ2B	0	TSS02-PA01	chr2:159347593:-|chr2:159318979:-	1554.67222222222	chr2:159404850:-	chr2:159389459:-	ALE	0	TRUE	chr2:159347593:-;chr2:159555864:-;chr2:159615560:-;chr2:159616450:-;chr2:159616505:-;chr2:159712430:-	chr2:159318979:-;chr2:159404850:-;chr2:159350326:-;chr2:159389459:-
CCDC88A	0	TSS09-PA04	chr2:55312574:-|chr2:55290171:-	149.375127006706	chr2:55334899:-	chr2:55334367:-	ALE	0	TRUE	chr2:55296455:-;chr2:55296684:-;chr2:55301211:-;chr2:55301272:-;chr2:55309207:-;chr2:55312574:-;chr2:55315952:-;chr2:55316051:-;chr2:55318904:-;chr2:55344472:-;chr2:55362354:-;chr2:55364019:-;chr2:55388844:-;chr2:55418951:-;chr2:55419276:-;chr2:55419499:-	chr2:55287845:-;chr2:55288084:-;chr2:55288188:-;chr2:55290171:-;chr2:55334367:-;chr2:55334899:-
CEP170	0	TSS03-PA01	chr1:243129439:-|chr1:243124428:-	1545.53190926417	chr1:243165096:-	chr1:243164980:-	ALE	0	TRUE	chr1:243129439:-;chr1:243140074:-;chr1:243140363:-;chr1:243156821:-;chr1:243164494:-;chr1:243186280:-;chr1:243186409:-;chr1:243200814:-;chr1:243254470:-;chr1:243255216:-;chr1:243255406:-	chr1:243124428:-;chr1:243164980:-;chr1:243165096:-;chr1:243165893:-
DYNC1H1	0	TSS17-PA02	chr14:102036494:+|chr14:102050792:+	900.602417863587	chr14:101983472:+	chr14:102050792:+	ALE	0	TRUE	chr14:101964573:+;chr14:101964688:+;chr14:102008249:+;chr14:102011979:+;chr14:102027507:+;chr14:102028011:+;chr14:102032279:+;chr14:102032435:+;chr14:102033157:+;chr14:102036494:+;chr14:102039491:+;chr14:102039546:+;chr14:102040313:+;chr14:102041660:+;chr14:102042118:+	chr14:101983472:+;chr14:102050792:+
GOLGB1	0	TSS09-PA01	chr3:121690730:-|chr3:121663201:-	1948.49361281328	chr3:121697376:-	chr3:121697545:-	ALE	0	TRUE	chr3:121690730:-;chr3:121718501:-;chr3:121730973:-;chr3:121749461:-;chr3:121749676:-;chr3:121749866:-;chr3:121749966:-	chr3:121663201:-;chr3:121697376:-;chr3:121697545:-;chr3:121697876:-
HSP90AA1	0	TSS07-PA03	chr14:102139686:-|chr14:102084921:-	2435.93849841506	chr14:102081050:-	chr14:102084921:-	ALE	0	TRUE	chr14:102084798:-;chr14:102086331:-;chr14:102087044:-;chr14:102139465:-;chr14:102139686:-	chr14:102081050:-;chr14:102084841:-;chr14:102084921:-
KMT2C	0	TSS19-PA02	chr7:152177438:-|chr7:152162751:-	393.771117070073	chr7:152202968:-	chr7:152134928:-	ALE	0	TRUE	chr7:152148411:-;chr7:152148684:-;chr7:152151492:-;chr7:152152823:-;chr7:152177438:-;chr7:152181350:-;chr7:152182594:-;chr7:152183163:-;chr7:152194261:-;chr7:152435786:-;chr7:152435936:-;chr7:152436567:-;chr7:152436641:-	chr7:152134928:-;chr7:152162751:-;chr7:152177046:-;chr7:152202968:-
MAP4	0	TSS04-PA01	chr3:47892575:-|chr3:47850695:-	1553.74757036317	chr3:47973079:-	chr3:47850695:-	ALE	0	TRUE	chr3:47857478:-;chr3:47891336:-;chr3:47892575:-;chr3:47928302:-;chr3:48088801:-;chr3:48089203:-;chr3:48089272:-	chr3:47850695:-;chr3:47851558:-;chr3:47973079:-
NCOR1	0	TSS04-PA01	chr17:16047035:-|chr17:16031406:-	912.156560021043	chr17:16126121:-	chr17:16126177:-	ALE	0	TRUE	chr17:16039466:-;chr17:16047035:-;chr17:16057723:-;chr17:16057935:-;chr17:16080007:-;chr17:16080513:-;chr17:16091918:-;chr17:16194611:-;chr17:16215401:-;chr17:16215529:-	chr17:16031406:-;chr17:16126121:-;chr17:16126177:-;chr17:16137369:-;chr17:16149453:-
PPP1R12A	0	TSS04-PA01	chr12:79788752:-|chr12:79773826:-	1154.5366885207	chr12:79797300:-	chr12:79773826:-	ALE	0	TRUE	chr12:79788752:-;chr12:79796790:-;chr12:79797237:-;chr12:79805816:-;chr12:79821118:-;chr12:79872872:-;chr12:79934715:-;chr12:79934931:-;chr12:79935097:-;chr12:79935455:-	chr12:79773826:-;chr12:79797300:-
SMARCA4	0	TSS12-PA02	chr19:10996264:+|chr19:11062273:+	1190.48934752668	chr19:10996376:+	chr19:11062273:+	ALE	0	TRUE	chr19:10960932:+;chr19:10961321:+;chr19:10984124:+;chr19:10984279:+;chr19:10986420:+;chr19:10989425:+;chr19:10991175:+;chr19:10991260:+;chr19:10994852:+;chr19:10994921:+;chr19:10994998:+;chr19:10996264:+;chr19:11003110:+;chr19:11007902:+;chr19:11010394:+;chr19:11019014:+;chr19:11019603:+;chr19:11021748:+;chr19:11030799:+;chr19:11033487:+;chr19:11034123:+;chr19:11035022:+;chr19:11041439:+	chr19:10996376:+;chr19:11062273:+
SYNE2	0	TSS17-PA04	chr14:64196754:+|chr14:64226431:+	2852.5272881653	chr14:63995157:+	chr14:63986481:+	ALE	0	TRUE	chr14:63852965:+;chr14:63909098:+;chr14:64158707:+;chr14:64162114:+;chr14:64196754:+;chr14:64209608:+;chr14:64212811:+;chr14:64214144:+	chr14:63986481:+;chr14:63995157:+;chr14:64226431:+
TTC3	0	TSS14-PA03	chr21:37191334:+|chr21:37203101:+	5978.67227361929	chr21:37165771:+	chr21:37160839:+	ALE	0	TRUE	chr21:37073184:+;chr21:37073348:+;chr21:37144560:+;chr21:37156741:+;chr21:37191334:+	chr21:37160839:+;chr21:37165771:+;chr21:37203101:+
VCAN	0	TSS08-PA05	chr5:83553362:+|chr5:83582297:+	1368.04624277457	chr5:83539490:+	chr5:83537169:+	ALE	0	TRUE	chr5:83471618:+;chr5:83471674:+;chr5:83471744:+;chr5:83471925:+;chr5:83512102:+;chr5:83541948:+;chr5:83553362:+	chr5:83537169:+;chr5:83539490:+;chr5:83581446:+;chr5:83580635:+;chr5:83582297:+
KMT2E	9.79828815600423e-269	TSS13-PA03	chr7:105109040:+|chr7:105114085:+	468.044117647059	chr7:105090156:+	chr7:105091300:+	ALE	1.63837691955923e-266	TRUE	chr7:105014164:+;chr7:105014432:+;chr7:105101471:+;chr7:105107900:+;chr7:105109040:+	chr7:105090156:+;chr7:105091300:+;chr7:105114085:+
UBR5	2.58833580793246e-261	TSS01-PA01	chr8:102261986:-|chr8:102252273:-	517.736420277542	chr8:102305100:-	chr8:102311326:-	ALE	4.11157143090071e-259	TRUE	chr8:102261986:-;chr8:102293709:-;chr8:102412689:-;chr8:102412759:-	chr8:102252273:-;chr8:102253338:-;chr8:102253885:-;chr8:102293955:-;chr8:102305100:-;chr8:102311326:-;chr8:102326601:-
ARID4B	3.12084797254502e-236	TSS02-PA01	chr1:235181865:-|chr1:235166902:-	522.297791765014	chr1:235220428:-	chr1:235194191:-	ALE	4.72139714703596e-234	TRUE	chr1:235181865:-;chr1:235194077:-;chr1:235213916:-;chr1:235327863:-;chr1:235328134:-	chr1:235166902:-;chr1:235194191:-;chr1:235196032:-;chr1:235220318:-;chr1:235220428:-
MYO10	1.35799575501895e-231	TSS03-PA01	chr5:16741880:-|chr5:16665302:-	436.197626477811	chr5:16702966:-	chr5:16665302:-	ALE	1.96106932440692e-229	TRUE	chr5:16713468:-;chr5:16738414:-;chr5:16741880:-;chr5:16742228:-;chr5:16935938:-;chr5:16936259:-	chr5:16665302:-;chr5:16702966:-
ROCK1	2.17096261565768e-225	TSS04-PA02	chr18:20982783:-|chr18:20967849:-	409.364238042269	chr18:20992832:-	chr18:20984426:-	ALE	2.99876009997584e-223	TRUE	chr18:20954870:-;chr18:20982783:-;chr18:21111020:-;chr18:21111813:-	chr18:20949929:-;chr18:20967849:-;chr18:20992832:-;chr18:20979916:-;chr18:20984426:-;chr18:21008102:-
ATP2B1	1.2157010805533e-218	TSS01-PA01	chr12:89603152:-|chr12:89588049:-	425.779625779626	chr12:89630505:-	chr12:89588049:-	ALE	1.60928430538243e-216	TRUE	chr12:89603152:-;chr12:89603254:-;chr12:89603766:-;chr12:89656019:-;chr12:89708838:-;chr12:89709300:-;chr12:89709366:-	chr12:89588049:-;chr12:89589804:-;chr12:89630505:-
HECTD1	2.27558306639033e-209	TSS12-PA01	chr14:31128701:-|chr14:31100117:-	472.949340656197	chr14:31168426:-	chr14:31100117:-	ALE	2.89181096076883e-207	TRUE	chr14:31112443:-;chr14:31128701:-;chr14:31207474:-;chr14:31207679:-;chr14:31207793:-	chr14:31100117:-;chr14:31168426:-;chr14:31114302:-
SFPQ	5.20968595069919e-207	TSS06-PA01	chr1:35181344:-|chr1:35176380:-	148.848265091254	chr1:35183600:-	chr1:35176380:-	ALE	6.36583548668128e-205	TRUE	chr1:35179105:-;chr1:35179246:-;chr1:35180645:-;chr1:35181344:-;chr1:35181606:-;chr1:35188042:-;chr1:35190574:-;chr1:35193145:-	chr1:35176380:-;chr1:35183600:-;chr1:35184120:-
