gene_id	chisq	pvalue	adj_pvalue	ExDp	ExM	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
CDC42	79.0770746894942	2.732118195738e-16	5.30850565431893e-13	0.282958199356913	0.514469453376206	-0.231511254019293	chr1:22090807:+_vs_chr1:22092943:+	-0.463022508038585	chr1:22090127:+;chr1:22090807:+;chr1:22091599:+;chr1:22092414:+;chr1:22092943:+	proximal	TRUE
TUBA1A	54.5316957922371	1.44076355532464e-12	1.39970179399789e-09	0.990416759527524	0.995508242375241	-0.00509148284771754	chr12:49186026:-_vs_chr12:49184799:-	-0.0101829656954349	chr12:49184799:-;chr12:49185002:-;chr12:49186026:-	proximal	FALSE
GPM6A	50.6198079097178	2.68020268289393e-10	1.73587793762097e-07	0.598214285714286	0.508340283569641	0.0898740021446444	chr4:175633448:-_vs_chr4:175632943:-	0.225128082926248	chr4:175632943:-;chr4:175633448:-;chr4:175634532:-;chr4:175634820:-;chr4:175640800:-	distal	TRUE
ANK2	48.8569801781055	6.25406119155294e-10	2.76020131064807e-07	0.392857142857143	0.770454545454545	-0.377597402597403	chr4:113238732:+_vs_chr4:113353763:+	-0.640692640692641	chr4:113238732:+;chr4:113336669:+;chr4:113341882:+;chr4:113353496:+;chr4:113353763:+	proximal	TRUE
SDCBP	42.1306851443838	7.10293698056632e-10	2.76020131064807e-07	0.714285714285714	0.932900432900433	-0.218614718614719	chr8:58582275:+_vs_chr8:58582840:+	-0.816017316017316	chr8:58579688:+;chr8:58582275:+;chr8:58582840:+	proximal	TRUE
HDAC2	49.8015084721079	1.52164036539597e-09	4.9275787166073e-07	0.540127388535032	0.526666666666667	0.0134607218683652	chr6:113943369:-_vs_chr6:113941015:-	0.308674552623597	chr6:113940717:-;chr6:113940768:-;chr6:113941015:-;chr6:113943369:-;chr6:113945368:-;chr6:113958739:-	distal	TRUE
SGCB	43.0126678248658	2.44580794656247e-09	6.7156313992883e-07	0.590909090909091	0.408045977011494	0.182863113897597	chr4:52023010:-_vs_chr4:52020709:-	0.383490073145246	chr4:52020709:-;chr4:52022924:-;chr4:52023010:-;chr4:52023696:-	distal	TRUE
FDFT1	39.1032280230702	3.22731920591238e-09	6.7156313992883e-07	0.608108108108108	0.457818930041152	0.150289178066956	chr8:11838962:+_vs_chr8:11839298:+	0.586642197753309	chr8:11838667:+;chr8:11838962:+;chr8:11839298:+	distal	TRUE
SYT4	57.8860459453599	3.41807117721552e-09	6.7156313992883e-07	0.520325203252032	0.634124415677814	-0.113799212425781	chr18:43273789:-_vs_chr18:43267892:-	-0.325953113900071	chr18:43267892:-;chr18:43268254:-;chr18:43268373:-;chr18:43268761:-;chr18:43268931:-;chr18:43269513:-;chr18:43269980:-;chr18:43273593:-;chr18:43273789:-;chr18:43274193:-	proximal	TRUE
SETD2	42.3051515151515	3.45632084368929e-09	6.7156313992883e-07	0.711111111111111	0.4375	0.273611111111111	chr3:47122924:-_vs_chr3:47122819:-	1.05416666666667	chr3:47062233:-;chr3:47122819:-;chr3:47122924:-;chr3:47123490:-	distal	TRUE
ARMH4	33.7166666666667	6.37521330645041e-09	1.12609449585756e-06	0	0.933333333333333	-0.933333333333333	chr14:58137964:-_vs_chr14:58005049:-	-1.86666666666667	chr14:58005049:-;chr14:58137964:-	proximal	TRUE
