gene_id	p_value	dominant_pair	dominant_pair_coor	contribution	residual	FDR	sig	tss	pas
AKAP9	0	P09-PA03	chr7:92097700:+|chr7:92110668:+	2487.75732585852	49.877423007394	0	TRUE	chr7:91940840:+;chr7:91941079:+;chr7:92097700:+;chr7:92098154:+	chr7:92000929:+;chr7:92002095:+;chr7:92110668:+
ANK2	0	P46-PA02	chr4:113373317:+|chr4:113383732:+	340.42281135394	18.4505504349854	0	TRUE	chr4:113049622:+;chr4:113049729:+;chr4:113174416:+;chr4:113240498:+;chr4:113292460:+;chr4:113318585:+;chr4:113330252:+;chr4:113333073:+;chr4:113333148:+;chr4:113341712:+;chr4:113357694:+;chr4:113358808:+;chr4:113369702:+;chr4:113373317:+	chr4:113353763:+;chr4:113383732:+
ANKHD1	0	P13-PA03	chr5:140529630:+|chr5:140539853:+	327.725359911406	18.1031864574004	0	TRUE	chr5:140401814:+;chr5:140458733:+;chr5:140459257:+;chr5:140496650:+;chr5:140524183:+;chr5:140526033:+;chr5:140526153:+;chr5:140529630:+;chr5:140537389:+	chr5:140472477:+;chr5:140524148:+;chr5:140539853:+
ARID4B	0	P02-PA01	chr1:235181865:-|chr1:235166902:-	988.543013540766	31.4411038855312	0	TRUE	chr1:235181865:-;chr1:235194077:-;chr1:235213916:-;chr1:235234492:-;chr1:235327863:-;chr1:235328134:-	chr1:235166902:-;chr1:235194191:-;chr1:235196036:-;chr1:235220328:-
ATP2B1	0	P01-PA01	chr12:89603152:-|chr12:89589808:-	7142.04708335143	84.5106329603052	0	TRUE	chr12:89603152:-;chr12:89603254:-;chr12:89603766:-;chr12:89656019:-;chr12:89708838:-;chr12:89709300:-;chr12:89709366:-	chr12:89589808:-;chr12:89630516:-
BBX	0	P14-PA03	chr3:107778503:+|chr3:107805866:+	884.564893860596	29.7416356957817	0	TRUE	chr3:107522936:+;chr3:107523454:+;chr3:107524107:+;chr3:107525391:+;chr3:107599313:+;chr3:107645836:+;chr3:107645930:+;chr3:107776205:+;chr3:107778503:+;chr3:107798591:+	chr3:107772716:+;chr3:107773062:+;chr3:107805866:+
CCDC88A	0	P02-PA02	chr2:55296455:-|chr2:55290171:-	216.519309525284	14.7145951193121	0	TRUE	chr2:55296455:-;chr2:55296684:-;chr2:55301211:-;chr2:55301272:-;chr2:55309207:-;chr2:55312574:-;chr2:55315952:-;chr2:55343688:-;chr2:55344472:-;chr2:55362354:-;chr2:55364019:-;chr2:55388844:-;chr2:55418951:-;chr2:55419079:-;chr2:55419276:-;chr2:55419499:-	chr2:55288094:-;chr2:55290171:-;chr2:55334157:-;chr2:55334376:-;chr2:55334813:-;chr2:55334904:-
CEP170	0	P03-PA01	chr1:243129439:-|chr1:243124428:-	352.0391344054	18.7627059457158	0	TRUE	chr1:243126698:-;chr1:243129439:-;chr1:243140074:-;chr1:243164494:-;chr1:243186280:-;chr1:243186409:-;chr1:243200814:-;chr1:243255216:-;chr1:243255406:-	chr1:243124428:-;chr1:243165096:-;chr1:243165897:-
CHD4	0	P36-PA02	chr12:6607334:-|chr12:6600539:-	1612.03007254139	40.1500943030199	0	TRUE	chr12:6573101:-;chr12:6573162:-;chr12:6573402:-;chr12:6578141:-;chr12:6578904:-;chr12:6581343:-;chr12:6583106:-;chr12:6583331:-;chr12:6587450:-;chr12:6587513:-;chr12:6587734:-;chr12:6587949:-;chr12:6588318:-;chr12:6591698:-;chr12:6592566:-;chr12:6592736:-;chr12:6594629:-;chr12:6595409:-;chr12:6596030:-;chr12:6599971:-;chr12:6600563:-;chr12:6601977:-;chr12:6603142:-;chr12:6606320:-;chr12:6606434:-;chr12:6606682:-;chr12:6607334:-;chr12:6614165:-	chr12:6570082:-;chr12:6600539:-
CHD7	0	P12-PA03	chr8:60860904:+|chr8:60866897:+	864.542551267082	29.4031044494809	0	TRUE	chr8:60678740:+;chr8:60679564:+;chr8:60741259:+;chr8:60741365:+;chr8:60741433:+;chr8:60741855:+;chr8:60856857:+;chr8:60860904:+;chr8:60862531:+	chr8:60781124:+;chr8:60781265:+;chr8:60866897:+
CIRBP	0	P18-PA02	chr19:1273504:+|chr19:1274806:+	1587.42493673296	39.8425016374846	0	TRUE	chr19:1261156:+;chr19:1261342:+;chr19:1266653:+;chr19:1266798:+;chr19:1267154:+;chr19:1269266:+;chr19:1269327:+;chr19:1270943:+;chr19:1271030:+;chr19:1271982:+;chr19:1272917:+;chr19:1273504:+	chr19:1273172:+;chr19:1274806:+
DHX36	0	P03-PA01	chr3:154283218:-|chr3:154275668:-	4357.64184469728	66.0124370455847	0	TRUE	chr3:154283218:-;chr3:154284987:-;chr3:154292578:-;chr3:154295327:-;chr3:154312248:-;chr3:154324251:-;chr3:154324416:-	chr3:154275668:-;chr3:154301049:-
DYNC1H1	0	P23-PA02	chr14:102041660:+|chr14:102050792:+	6180.81602738306	78.6181660138613	0	TRUE	chr14:101964573:+;chr14:101964688:+;chr14:102008249:+;chr14:102011979:+;chr14:102012441:+;chr14:102027507:+;chr14:102028011:+;chr14:102032279:+;chr14:102032435:+;chr14:102033157:+;chr14:102036494:+;chr14:102039491:+;chr14:102039546:+;chr14:102040313:+;chr14:102041660:+;chr14:102041775:+;chr14:102042118:+;chr14:102049006:+	chr14:101983472:+;chr14:102050792:+
EIF5	0	P13-PA03	chr14:103340404:+|chr14:103343171:+	469.191575786313	21.6608304500615	0	TRUE	chr14:103334189:+;chr14:103334387:+;chr14:103334803:+;chr14:103334861:+;chr14:103335481:+;chr14:103336685:+;chr14:103336764:+;chr14:103338735:+;chr14:103340404:+	chr14:103338372:+;chr14:103341360:+;chr14:103343171:+
EIF5B	0	P03-PA02	chr2:99394809:+|chr2:99399780:+	3695.16585941097	60.7878759244882	0	TRUE	chr2:99337371:+;chr2:99394809:+	chr2:99363666:+;chr2:99399780:+
ELAVL4	0	P06-PA01	chr1:50105666:+|chr1:50107682:+	1772.13144782269	42.0966916493766	0	TRUE	chr1:50048014:+;chr1:50105666:+;chr1:50106231:+;chr1:50108920:+;chr1:50109066:+;chr1:50109706:+;chr1:50109788:+;chr1:50177130:+	chr1:50180885:+;chr1:50181300:+;chr1:50107682:+;chr1:50119039:+
HNRNPA1	0	P07-PA02	chr12:54282573:+|chr12:54285246:+	770.218226248469	27.7528057365101	0	TRUE	chr12:54280663:+;chr12:54281795:+;chr12:54282394:+;chr12:54282573:+;chr12:54282800:+;chr12:54283079:+;chr12:54283812:+;chr12:54284258:+	chr12:54284881:+;chr12:54285246:+
HSP90AA1	0	P02-PA01	chr14:102084798:-|chr14:102081048:-	2225.20283971914	47.1720557080052	0	TRUE	chr14:102084798:-;chr14:102086331:-;chr14:102087044:-;chr14:102139465:-;chr14:102139686:-	chr14:102081048:-;chr14:102084841:-;chr14:102084939:-
JMJD1C	0	P05-PA02	chr10:63207725:-|chr10:63191079:-	690.472904483431	26.2768511143065	0	TRUE	chr10:63176555:-;chr10:63193337:-;chr10:63207725:-;chr10:63268875:-;chr10:63269066:-;chr10:63269187:-;chr10:63465977:-;chr10:63521850:-	chr10:63167225:-;chr10:63191079:-;chr10:63214942:-;chr10:63206714:-
