gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
PAPOLA	3.4425600154699e-17	chr14:96532696:+,chr14:96534618:+,chr14:96534878:+,chr14:96542884:+,chr14:96547917:+,chr14:96556333:+,chr14:96556405:+,chr14:96567111:+	32,0,12,0,51,29,7,10	8,14,5,13,8,3,13,0	0.209,0,0.078,0,0.333,0.19,0.046,0.065	0.098,0.171,0.061,0.159,0.098,0.037,0.159,0	0.452714285714286	0.328714285714286	0.124	distal	5.16039746318938e-14	TRUE
EIF3A	4.29195508375447e-14	chr10:119035048:-,chr10:119038324:-,chr10:119056752:-,chr10:119056940:-,chr10:119058030:-,chr10:119059212:-	12,13,0,20,46,14	0,14,13,13,0,0	0.098,0.107,0,0.164,0.377,0.115	0,0.269,0.25,0.25,0,0	0.3246	0.4652	-0.1406	proximal	3.21682033527398e-11	TRUE
TUFM	9.60726332535703e-14	chr16:28842414:-,chr16:28842787:-	0,156	24,47	0,1	0.338,0.662	0	0.338	-0.338	proximal	4.80042924157006e-11	TRUE
CUL1	1.40946092684813e-11	chr7:148759579:+,chr7:148797999:+,chr7:148798029:+,chr7:148801017:+,chr7:148801110:+	12,0,24,20,15	5,17,0,8,0	0.132,0,0.264,0.22,0.165	0.143,0.486,0,0.229,0	0.462	0.29325	0.16875	distal	4.6972611257022e-09	TRUE
PPP1R12A	1.56679824072789e-11	chr12:79797300:-,chr12:79805724:-,chr12:79809864:-,chr12:79820856:-,chr12:79822120:-	29,10,0,19,11	0,3,19,8,2	0.315,0.109,0,0.207,0.12	0,0.071,0.452,0.19,0.048	0.4485	0.32675	0.12175	distal	4.6972611257022e-09	TRUE
SYNE2	9.17674507448404e-11	chr14:63954891:+,chr14:63986481:+,chr14:63995086:+,chr14:63995157:+,chr14:63997080:+,chr14:64048140:+,chr14:64052009:+,chr14:64177382:+,chr14:64226433:+	2,23,2,11,10,1,12,11,18	15,5,11,16,0,10,1,2,8	0.011,0.126,0.011,0.06,0.055,0.005,0.066,0.06,0.098	0.143,0.048,0.105,0.152,0,0.095,0.01,0.019,0.076	0.271625	0.24875	0.022875	distal	2.2926568111086e-08	FALSE
TSN	1.50268864100697e-10	chr2:121765791:+,chr2:121766453:+,chr2:121767293:+	22,26,4	9,2,30	0.415,0.491,0.075	0.191,0.043,0.638	0.3205	0.6595	-0.339	proximal	2.95673777227382e-08	TRUE
GALNS	1.57797879774454e-10	chr16:88813734:-,chr16:88855128:-	27,0	0,18	1,0	0,0.692	1	0	1	distal	2.95673777227382e-08	TRUE
PDGFD	1.86753509821397e-10	chr11:103908991:-,chr11:103909141:-	0,72	13,11	0,0.878	0.481,0.407	0	0.481	-0.481	proximal	3.11048345802527e-08	TRUE
ACTR3	3.29377110258079e-10	chr2:113957876:+,chr2:113958184:+,chr2:113958257:+,chr2:113958561:+	57,19,11,42	7,8,24,5	0.393,0.131,0.076,0.29	0.137,0.157,0.471,0.098	0.384333333333333	0.464333333333333	-0.0800000000000001	proximal	4.9373628827686e-08	FALSE
SMARCA5	4.52274576198827e-10	chr4:143528017:+,chr4:143543538:+,chr4:143543971:+,chr4:143550064:+,chr4:143553414:+,chr4:143554372:+	69,17,29,19,2,15	13,12,31,6,15,0	0.413,0.102,0.174,0.114,0.012,0.09	0.143,0.132,0.341,0.066,0.165,0	0.258	0.3344	-0.0764	proximal	5.94230413071296e-08	FALSE
ST13	4.75701464766881e-10	chr22:40824595:-,chr22:40826130:-	2,64	18,11	0.019,0.604	0.439,0.268	0.019	0.439	-0.42	proximal	5.94230413071296e-08	TRUE
PAX6	8.70560685459292e-10	chr11:31789194:-,chr11:31789837:-,chr11:31793758:-,chr11:31809746:-	6,86,21,0	20,49,37,24	0.047,0.672,0.164,0	0.14,0.343,0.259,0.168	0.549666666666667	0.455	0.0946666666666666	distal	9.20907925408066e-08	FALSE
LRRFIP2	9.00426575002471e-10	chr3:37074593:-,chr3:37083642:-,chr3:37129066:-	0,21,10	14,1,0	0,0.583,0.278	0.424,0.03,0	0.2915	0.439	-0.1475	proximal	9.20907925408066e-08	TRUE
XRCC5	9.21522273590459e-10	chr2:216122176:+,chr2:216127658:+,chr2:216205424:+,chr2:216206118:+,chr2:216206281:+	8,33,40,0,13	13,11,5,12,20	0.073,0.303,0.367,0,0.119	0.2,0.169,0.077,0.185,0.308	0.37825	0.5275	-0.14925	proximal	9.20907925408066e-08	TRUE
NCAPG	1.09098965150208e-09	chr4:17825048:+,chr4:17825486:+,chr4:17834448:+	15,44,2	0,6,13	0.221,0.647,0.029	0,0.214,0.464	0.3525	0.571	-0.2185	proximal	1.01966094092413e-07	TRUE
SYT11	1.20506840341461e-09	chr1:155868153:+,chr1:155881254:+,chr1:155881618:+,chr1:155882327:+,chr1:155885032:+,chr1:155885060:+,chr1:155885191:+	49,15,65,6,17,15,25	32,0,6,17,4,4,20	0.241,0.074,0.32,0.03,0.084,0.074,0.123	0.376,0,0.071,0.2,0.047,0.047,0.235	0.374666666666667	0.429166666666667	-0.0545	proximal	1.01966094092413e-07	FALSE
MAP1B	1.22440940204365e-09	chr5:72195109:+,chr5:72195305:+,chr5:72195449:+,chr5:72195578:+,chr5:72195685:+	249,174,30,11,17	142,114,45,34,33	0.407,0.284,0.049,0.018,0.028	0.296,0.238,0.094,0.071,0.069	0.137	0.22875	-0.09175	proximal	1.01966094092413e-07	FALSE
MSMO1	1.4464742286684e-09	chr4:165341449:+,chr4:165341915:+,chr4:165342063:+,chr4:165343070:+,chr4:165343164:+	0,80,61,137,131	12,23,17,28,30	0,0.193,0.147,0.33,0.316	0.105,0.202,0.149,0.246,0.263	0.68525	0.5725	0.11275	distal	1.14119203619681e-07	TRUE
YWHAQ	1.6649774267473e-09	chr2:9583977:-,chr2:9584267:-,chr2:9584498:-,chr2:9584630:-,chr2:9584936:-	297,228,0,48,43	151,170,23,27,17	0.477,0.366,0,0.077,0.069	0.388,0.437,0.059,0.069,0.044	0.77075	0.7625	0.00824999999999998	distal	1.2479005813471e-07	FALSE
FUBP1	2.29929529735548e-09	chr1:77948419:-,chr1:77948654:-,chr1:77948929:-,chr1:77962777:-,chr1:77962913:-,chr1:77964286:-	32,4,22,19,4,62	10,18,0,10,11,76	0.213,0.027,0.147,0.127,0.027,0.413	0.075,0.134,0,0.075,0.082,0.567	0.379	0.2286	0.1504	distal	1.64125888130279e-07	TRUE
TMEM47	3.69588028296355e-09	chrX:34627088:-,chrX:34628500:-,chrX:34628723:-,chrX:34629095:-,chrX:34629250:-	30,0,0,11,8	8,10,15,2,13	0.556,0,0,0.204,0.148	0.143,0.179,0.268,0.036,0.232	0.607	0.42025	0.18675	distal	2.51823842916471e-07	TRUE
IFNAR1	3.96350010941494e-09	chr21:33341127:+,chr21:33355724:+,chr21:33355866:+,chr21:33356041:+	10,12,0,0	5,0,16,13	0.238,0.286,0,0	0.122,0,0.39,0.317	0.0953333333333333	0.577	-0.481666666666667	proximal	2.51895963355571e-07	TRUE
CSNK1D	4.27002321807731e-09	chr17:82242672:-,chr17:82244362:-,chr17:82252473:-	31,17,3	3,0,13	0.564,0.309,0.055	0.15,0,0.65	0.7185	0.15	0.5685	distal	2.51895963355571e-07	TRUE
TRA2B	4.51961302295613e-09	chr3:185916744:-,chr3:185917124:-,chr3:185917328:-,chr3:185922057:-,chr3:185931624:-	138,33,28,28,34	26,12,12,33,34	0.513,0.123,0.104,0.104,0.126	0.213,0.098,0.098,0.27,0.279	0.68325	0.403	0.28025	distal	2.51895963355571e-07	TRUE
IMP4	4.63603135236525e-09	chr2:130346624:+,chr2:130347810:+	9,36	31,4	0.2,0.8	0.886,0.114	0.8	0.114	0.686	distal	2.51895963355571e-07	TRUE
PDIA6	4.82481224712998e-09	chr2:10783391:-,chr2:10783855:-,chr2:10784081:-,chr2:10788704:-,chr2:10790782:-	20,91,5,107,27	21,7,10,42,14	0.078,0.354,0.019,0.416,0.105	0.216,0.072,0.103,0.433,0.144	0.457	0.42975	0.02725	distal	2.51895963355571e-07	FALSE
CENPV	4.93293633124416e-09	chr17:16342537:-,chr17:16348061:-,chr17:16348324:-	230,0,1	118,10,14	0.975,0,0.004	0.825,0.07,0.098	0.975	0.86	0.115	distal	2.51895963355571e-07	TRUE
ABI1	5.31472535960578e-09	chr10:26747430:-,chr10:26747831:-,chr10:26748196:-,chr10:26777157:-	0,17,21,13	11,1,5,0	0,0.283,0.35,0.217	0.611,0.056,0.278,0	0.305333333333333	0.741	-0.435666666666667	proximal	2.51895963355571e-07	TRUE
SMIM14	5.38634618819466e-09	chr4:39550907:-,chr4:39551449:-	23,2	0,20	0.852,0.074	0,0.625	0.852	0	0.852	distal	2.51895963355571e-07	TRUE
HELLS	5.60279643753729e-09	chr10:94565702:+,chr10:94571419:+,chr10:94602094:+	0,10,0	13,0,15	0,0.303,0	0.26,0,0.3	0.1515	0.3	-0.1485	proximal	2.51895963355571e-07	TRUE
MAPKAPK5	5.64043517294902e-09	chr12:111893350:+,chr12:111893414:+	4,48	20,7	0.074,0.889	0.741,0.259	0.889	0.259	0.63	distal	2.51895963355571e-07	TRUE
CAT	5.67818855937505e-09	chr11:34471813:+,chr11:34472055:+	29,8	9,48	0.784,0.216	0.158,0.842	0.216	0.842	-0.626	proximal	2.51895963355571e-07	TRUE
PON2	5.71345080326178e-09	chr7:95404862:-,chr7:95405094:-,chr7:95412397:-,chr7:95413312:-	191,11,24,14	28,10,12,17	0.705,0.041,0.089,0.052	0.4,0.143,0.171,0.243	0.762	0.552333333333333	0.209666666666666	distal	2.51895963355571e-07	TRUE
