gene_id	chisq	pvalue	adj_pvalue	ExN2	ExNExM	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
ZNF711	69.2586749051366	1.46174756462761e-13	2.8533312461531e-10	0.565467625899281	0.434074074074074	-0.131393551825206	chrX:85264345:+_vs_chrX:85270103:+	-0.614015454303224	chrX:85245961:+;chrX:85255741:+;chrX:85264345:+;chrX:85270103:+;chrX:85270875:+;chrX:85271608:+	proximal	TRUE
TTC13	57	2.56988021885554e-12	2.50820309360301e-09	0.333333333333333	0.575757575757576	0.242424242424242	chr1:230906735:-_vs_chr1:230906593:-	1.38636363636364	chr1:230906243:-;chr1:230906593:-;chr1:230906735:-;chr1:230912662:-	distal	TRUE
DICER1	55.1585557299843	6.35167318496015e-12	4.13282201901407e-09	0.333333333333333	0.564625850340136	0.231292517006803	chr14:95132043:-_vs_chr14:95124291:-	1.3265306122449	chr14:95116494:-;chr14:95124291:-;chr14:95132043:-;chr14:95133321:-	distal	TRUE
RTN4	65.3576227544759	1.27441984328943e-11	5.58853096370171e-09	0.630285714285714	0.442028985507246	-0.188256728778468	chr2:55026600:-_vs_chr2:54972189:-	-0.408927536231884	chr2:54972189:-;chr2:54973144:-;chr2:54981278:-;chr2:55025982:-;chr2:55026078:-;chr2:55026600:-;chr2:55026984:-;chr2:55027115:-	proximal	TRUE
HK1	49.8509592102812	1.49624168072924e-11	5.58853096370171e-09	0.333333333333333	0.884615384615385	0.551282051282051	chr10:69380336:+_vs_chr10:69401882:+	1.1025641025641	chr10:69380336:+;chr10:69386410:+;chr10:69401882:+	distal	TRUE
CCDC112	62.0569554445414	1.71778615687553e-11	5.58853096370171e-09	0.37037037037037	0.504098360655738	0.133727990285367	chr5:115271289:-_vs_chr5:115267190:-	0.540072859744991	chr5:115267190:-;chr5:115267355:-;chr5:115271289:-;chr5:115271504:-;chr5:115275542:-;chr5:115276011:-;chr5:115284798:-	distal	TRUE
AMZ2	44.8605886724813	2.11573663880303e-11	5.89988274134788e-09	0.346153846153846	1	0.653846153846154	chr17:68257076:+_vs_chr17:68257141:+	1.30769230769231	chr17:68257076:+;chr17:68257141:+	distal	TRUE
ANKZF1	45.5998275242544	1.25349690285232e-10	3.05853244295966e-08	0.710144927536232	0.484848484848485	-0.225296442687747	chr2:219234735:+_vs_chr2:219236647:+	-1.18577075098814	chr2:219234232:+;chr2:219234735:+;chr2:219236647:+	proximal	TRUE
CAPZB	45.3422718759602	1.42577423924758e-10	3.09234590556808e-08	0.63013698630137	0.668674698795181	0.0385377124938109	chr1:19339357:-_vs_chr1:19339115:-	0.749793695329262	chr1:19338779:-;chr1:19339115:-;chr1:19339357:-	distal	TRUE
OAZ1	44.6630827562957	2.00232609409583e-10	3.71011429381707e-08	0.740223463687151	0.64027149321267	-0.099951970474481	chr19:2273325:+_vs_chr19:2273488:+	-0.482469223185621	chr19:2273241:+;chr19:2273325:+;chr19:2273488:+	proximal	TRUE
ANKRD36	54.005133370132	2.09074063688462e-10	3.71011429381707e-08	0.703125	0.213793103448276	-0.489331896551724	chr2:97181770:+_vs_chr2:97246035:+	-0.810883620689655	chr2:97144690:+;chr2:97181770:+;chr2:97213591:+;chr2:97241426:+;chr2:97243881:+;chr2:97246035:+	proximal	TRUE
GORASP2	38.6266128262596	5.13144526450335e-10	8.34715096359212e-08	0.0769230769230769	0.935483870967742	0.858560794044665	chr2:170966916:+_vs_chr2:170967135:+	1.71712158808933	chr2:170966916:+;chr2:170967135:+	distal	TRUE
