gene_id	chisq	pvalue	adj_pvalue	In	Pro	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
ENO1	171.046577040208	4.37106867168796e-39	1.34016965473953e-35	0.835616438356164	1	-0.164383561643836	chr1:8868841:-_vs_chr1:8861005:-	-0.328767123287671	chr1:8861005:-;chr1:8868841:-	proximal	TRUE
CAMTA1	138.755375102525	7.40718393677211e-31	1.13552129750716e-27	0.441176470588235	0.0702247191011236	0.370951751487112	chr1:6872020:+_vs_chr1:6888201:+	1.66920026437541	chr1:6872020:+;chr1:6888201:+;chr1:7751244:+	distal	TRUE
NSL1	131.908828973843	2.27175624803094e-29	2.32173488548763e-26	0.928571428571428	0.433098591549296	0.495472837022133	chr1:212737757:-_vs_chr1:212737624:-	1.58048289738431	chr1:212737624:-;chr1:212737757:-;chr1:212738207:-	distal	TRUE
RTN4	137.679078636201	3.10794593277904e-25	2.38224055747513e-22	0.253003003003003	0.582454531560446	-0.329451528557443	chr2:55026600:-_vs_chr2:54972189:-	-0.568924495334399	chr2:54972189:-;chr2:54972291:-;chr2:54973144:-;chr2:54981278:-;chr2:55025759:-;chr2:55025982:-;chr2:55026078:-;chr2:55026370:-;chr2:55026600:-;chr2:55027115:-	proximal	TRUE
MAPKAPK5	115.284147869674	7.99667701229562e-25	4.90356234393968e-22	0.0925925925925926	0.862155388471178	-0.769562795878585	chr12:111886379:+_vs_chr12:111893414:+	-1.42147034252297	chr12:111886379:+;chr12:111893159:+;chr12:111893350:+;chr12:111893414:+	proximal	TRUE
ARPC2	82.2802615071749	1.18095605172555e-19	6.03468542431757e-17	0.551724137931034	1	-0.448275862068966	chr2:218254245:+_vs_chr2:218254348:+	-0.896551724137931	chr2:218254245:+;chr2:218254348:+	proximal	TRUE
SMARCA1	102.68748781867	3.00317100771239e-19	1.27029514780017e-16	0.406015037593985	0.536144578313253	-0.130129540719268	chrX:129507947:-_vs_chrX:129448333:-	-0.830374128091313	chrX:129446506:-;chrX:129448333:-;chrX:129448394:-;chrX:129471216:-;chrX:129499777:-;chrX:129507947:-;chrX:129508016:-;chrX:129516363:-	proximal	TRUE
ANKHD1	99.4205988353295	3.31453397990911e-19	1.27029514780017e-16	0.490740740740741	0.555989583333333	-0.0652488425925927	chr5:140476181:+_vs_chr5:140496774:+	-1.06510416666667	chr5:140440206:+;chr5:140472477:+;chr5:140476181:+;chr5:140496721:+;chr5:140496774:+;chr5:140524215:+;chr5:140526160:+	proximal	TRUE
IVNS1ABP	102.424194407947	1.36305915049402e-18	4.64348817268296e-16	0.527083333333333	0.578125	-0.0510416666666667	chr1:185306578:-_vs_chr1:185297765:-	-0.687109375	chr1:185296388:-;chr1:185296909:-;chr1:185297175:-;chr1:185297532:-;chr1:185297765:-;chr1:185297861:-;chr1:185304994:-;chr1:185306519:-;chr1:185306578:-	proximal	TRUE
BUB3	93.0426859570358	1.54101169510976e-18	4.72474185720652e-16	0.364705882352941	0.766350710900474	-0.401644828547533	chr10:123163894:+_vs_chr10:123165365:+	-0.92960691385559	chr10:123162345:+;chr10:123162657:+;chr10:123163894:+;chr10:123164017:+;chr10:123164166:+;chr10:123165365:+	proximal	TRUE
