gene_id	lr	df	pvalue	adj_pvalue	N1_C.HQ.bam	N1_H.HQ.bam	N28_C.HQ.bam	N28_H.HQ.bam	R2_C.HQ.bam	R2_H.HQ.bam	R8_C.HQ.bam	R8_H.HQ.bam	WARM1	WARM2	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
NDUFA10:chr2:239957372:239961122:u2	65.1569707930485	2	7.1013932584924e-15	2.72054375732844e-11	0.406083923111156	0.313704352944187	0.484291010323887	0.170204511352991	0.573827865982223	0.112697996222678	0.574447499334822	0.182136767302566	0.509662574688022	0.194685906955605	0.314976667732417	chr2_239960721_239960754_-_3UTR_vs_chr2_239957323_239957381_-_3UTR	0.71991221991222	chr2_239957323_239957381_-_3UTR;chr2_239959565_239959589_-_3UTR;chr2_239960721_239960754_-_3UTR	distal	TRUE
ERP44:chr9:99979188:99982611:u1	62.249103176106	4	9.76373689409432e-13	1.87024380206377e-09	0.35073402417962	0.340849485063647	0.36019144638623	0.296294451087197	0.395357106573199	0.223303725635332	0.363540234746748	0.390763966232467	0.367455702971449	0.312802907004661	0.0546527959667886	chr9_99982464_99982494_-_3UTR_vs_chr9_99981970_99981977_-_3UTR	0.552257266542981	chr9_99981306_99981321_-_3UTR;chr9_99981970_99981977_-_3UTR;chr9_99982123_99982146_-_3UTR;chr9_99982368_99982394_-_3UTR;chr9_99982464_99982494_-_3UTR	distal	TRUE
FAM49B:chr8:129839593:129842141:u1	50.0884296841677	1	1.46971048811264e-12	1.87682029331984e-09	0.690140845070423	0.380952380952381	0.815789473684211	0.201388888888889	0.842794759825327	0.2	0.821316614420063	0.494047619047619	0.792510423250006	0.319097222222222	0.473413201027784	chr8_129841464_129841495_-_3UTR_vs_chr8_129839582_129839606_-_3UTR	0.909735452120145	chr8_129839582_129839606_-_3UTR;chr8_129841464_129841495_-_3UTR	distal	TRUE
PRPF4B:chr6:4060617:4064983:u1	43.4532207552638	1	4.34216380617267e-11	4.15870738536187e-08	0.703225806451613	0.53822629969419	0.83695652173913	0.51063829787234	0.854794520547945	0.510948905109489	0.887378640776699	0.555776892430279	0.820588872378847	0.528897598776574	0.291691273602272	chr6_4061893_4061926_+_3UTR_vs_chr6_4064971_4064988_+_3UTR	0.622920870008647	chr6_4061893_4061926_+_3UTR;chr6_4064971_4064988_+_3UTR	distal	TRUE
AK2:chr1:33007940:33013402:u2	45.9720084254059	2	1.04065124806832e-10	7.97346986269943e-08	0.213330611411657	0.323307471569774	0.10005425935974	0.336944492981537	0.13556922260077	0.287079037800687	0.158288477328711	0.367253229055575	0.151810642675219	0.328646057851893	-0.176835415176674	chr1_33009914_33009936_-_3UTR_vs_chr1_33008874_33008888_-_3UTR	-0.60574163455524	chr1_33007974_33007996_-_3UTR;chr1_33008874_33008888_-_3UTR;chr1_33009914_33009936_-_3UTR	proximal	TRUE
SNX13:chr7:17790761:17794044:u3	48.5943285757539	3	1.59141991821569e-10	1.01612161778072e-07	0.687916561450227	0.551947453936679	0.781482959791316	0.550090721418443	0.79619667106829	0.39192159803554	0.769240208610287	0.563367491151518	0.75870910023003	0.514331816135545	0.244377284094485	chr7_17793404_17793437_-_3UTR_vs_chr7_17791373_17791375_-_3UTR	0.300709219858156	chr7_17790737_17790865_-_3UTR;chr7_17791373_17791375_-_3UTR;chr7_17792823_17792852_-_3UTR;chr7_17793404_17793437_-_3UTR	distal	TRUE
TARDBP:chr1:11022655:11025492:u1	42.2902576816487	2	6.55823878567626e-10	3.43053510227867e-07	0.707920176380802	0.547242341412326	0.705365639411463	0.452234451989312	0.813545015768756	0.435265551793714	0.663341806975746	0.477064784608686	0.722543159634192	0.477951782451009	0.244591377183182	chr1_11024029_11024070_+_3UTR_vs_chr1_11025473_11025494_+_3UTR	0.484982529447786	chr1_11024029_11024070_+_3UTR;chr1_11024149_11024196_+_3UTR;chr1_11025473_11025494_+_3UTR	distal	TRUE
CNTNAP4:chr16:76558684:76560755:u1	37.9755331688198	1	7.16373814101523e-10	3.43053510227867e-07	0.545454545454545	0.141025641025641	0.488888888888889	0.21969696969697	0.712328767123288	0.177215189873418	0.45679012345679	0.174757281553398	0.550865581230878	0.178173770537357	0.372691810693521	chr16_76559036_76559069_+_3UTR_vs_chr16_76560750_76560774_+_3UTR	0.670970404860352	chr16_76559036_76559069_+_3UTR;chr16_76560750_76560774_+_3UTR	distal	TRUE
ECPAS:chr9:111360685:111362029:u1	35.6843256174434	1	2.32023360203094e-09	9.87646103264502e-07	0.597883597883598	0.241935483870968	0.614130434782609	0.217665615141956	0.487261146496815	0.244318181818182	0.397233201581028	0.188423645320197	0.524127095186012	0.223085731537826	0.301041363648187	chr9_111361871_111361897_-_3UTR_vs_chr9_111360682_111360710_-_3UTR	0.551286010499846	chr9_111360682_111360710_-_3UTR;chr9_111361871_111361897_-_3UTR	distal	TRUE
HNRNPDL:chr4:82422564:82424883:u2	35.271639343373	1	2.86777890114314e-09	1.09864609702794e-06	0.335548172757475	0.152154793315743	0.251937984496124	0.140522875816993	0.362616822429907	0.106972301814709	0.315415821501014	0.100729927007299	0.31637970029613	0.125094974488686	0.191284725807444	chr4_82424607_82424640_-_3UTR_vs_chr4_82423192_82423214_-_3UTR	0.388666106754045	chr4_82423192_82423214_-_3UTR;chr4_82424607_82424640_-_3UTR	distal	TRUE
