gene_id	chisq	pvalue	adj_pvalue	ExM	ExN1	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
HSP90AB1	84.2842125061314	1.06345338069442e-16	2.47571947025662e-13	0.460240963855422	0.55974358974359	-0.099502625888168	chr6:44251139:+_vs_chr6:44253883:+	-0.321516836577078	chr6:44250383:+;chr6:44250447:+;chr6:44251139:+;chr6:44251601:+;chr6:44252254:+;chr6:44253883:+	proximal	TRUE
NREP	65.260021804101	9.89836009527153e-13	7.94991000834076e-10	0.659807073954984	0.711360799001248	-0.0515537250462645	chr5:111730035:-_vs_chr5:111729303:-	-0.198132559381159	chr5:111729303:-;chr5:111729731:-;chr5:111729843:-;chr5:111729940:-;chr5:111730035:-;chr5:111734729:-	proximal	FALSE
NEUROD6	73.4134907637507	1.02447293921917e-12	7.94991000834076e-10	0.542502951593861	0.576570680628272	-0.0340677290344115	chr7:31338259:-_vs_chr7:31337925:-	-0.212251020437598	chr7:31337465:-;chr7:31337811:-;chr7:31337860:-;chr7:31337925:-;chr7:31338080:-;chr7:31338259:-;chr7:31338418:-;chr7:31338912:-;chr7:31339095:-	proximal	TRUE
YWHAZ	71.0757028388247	3.00038923967205e-12	1.74622653748913e-09	0.449885321100917	0.533717105263158	-0.0838317841622404	chr8:100919924:-_vs_chr8:100918727:-	-0.171888580395944	chr8:100918576:-;chr8:100918619:-;chr8:100918727:-;chr8:100918853:-;chr8:100919541:-;chr8:100919700:-;chr8:100919924:-;chr8:100919980:-;chr8:100920359:-	proximal	FALSE
CACNA2D1	53.9283986453798	1.16221402582598e-11	5.41126850424577e-09	0.238993710691824	0.777777777777778	-0.538784067085954	chr7:81984635:-_vs_chr7:81951679:-	-1.21383647798742	chr7:81950001:-;chr7:81951679:-;chr7:81971780:-;chr7:81984635:-	proximal	TRUE
NR2F1	52.9125455490843	1.91378407513767e-11	7.42548221153417e-09	0.51063829787234	0.562248995983936	-0.0516106981115954	chr5:93594133:+_vs_chr5:93594365:+	-0.779928223532428	chr5:93584750:+;chr5:93594133:+;chr5:93594365:+;chr5:93594611:+	proximal	TRUE
MAP4	55.0489826990507	3.17309590427659e-11	1.05528103787942e-08	0.228915662650602	0.489690721649485	-0.260775058998882	chr3:47973079:-_vs_chr3:47916622:-	-0.777543162340082	chr3:47850695:-;chr3:47877418:-;chr3:47916622:-;chr3:47916689:-;chr3:47973079:-	proximal	TRUE
DMTF1	47.956462585034	3.85821534388297e-11	1.12274066506994e-08	0.266666666666667	0.642857142857143	-0.376190476190476	chr7:87182173:+_vs_chr7:87196050:+	-1.27619047619048	chr7:87182173:+;chr7:87196050:+;chr7:87196325:+	proximal	TRUE
PDIA6	56.0015908443753	8.12043353818881e-11	2.10048547521151e-08	0.5025	0.547572815533981	-0.0450728155339806	chr2:10784081:-_vs_chr2:10783391:-	-0.309223300970874	chr2:10783391:-;chr2:10783855:-;chr2:10784008:-;chr2:10784081:-;chr2:10788704:-;chr2:10790782:-	proximal	TRUE
KHDRBS1	60.953686518086	9.73433972594243e-11	2.2661542881994e-08	0.60447381799695	0.582706766917293	0.0217670510796564	chr1:32043699:+_vs_chr1:32043877:+	-0.217044390335269	chr1:32040031:+;chr1:32042631:+;chr1:32042817:+;chr1:32042972:+;chr1:32043301:+;chr1:32043699:+;chr1:32043877:+;chr1:32060850:+	proximal	TRUE
CLIP1	51.8384102397084	1.49105777908408e-10	3.15562046337068e-08	0.253289473684211	0.554347826086957	-0.301058352402746	chr12:122341223:-_vs_chr12:122328260:-	-0.629862700228833	chr12:122328260:-;chr12:122332988:-;chr12:122340982:-;chr12:122341087:-;chr12:122341223:-	proximal	TRUE
CCT5	40.4237314206205	1.66762444654758e-09	3.2351914263023e-07	0.698952879581152	0.883720930232558	-0.184768050651406	chr5:10264926:+_vs_chr5:10265080:+	-0.499817362717643	chr5:10258499:+;chr5:10264926:+;chr5:10265080:+	proximal	TRUE
PPP2R5E	51.6289316261073	2.21427644693969e-09	3.91642840715855e-07	0.269927536231884	0.467213114754098	-0.197285578522214	chr14:63376081:-_vs_chr14:63374734:-	-0.42943692088382	chr14:63371367:-;chr14:63371464:-;chr14:63374685:-;chr14:63374734:-;chr14:63375842:-;chr14:63376003:-;chr14:63376081:-	proximal	TRUE
DNM1L	53.9968761630082	2.35524045104037e-09	3.91642840715855e-07	0.532593619972261	0.45260347129506	0.0799901486772007	chr12:32702262:+_vs_chr12:32740174:+	0.347699845749025	chr12:32702262:+;chr12:32708204:+;chr12:32733797:+;chr12:32740174:+;chr12:32743632:+;chr12:32744563:+;chr12:32744730:+;chr12:32745547:+	distal	TRUE
CACYBP	44.7166534151252	4.55348399940757e-09	7.06700716708055e-07	0.459401709401709	0.757042253521127	-0.297640544119417	chr1:175010264:+_vs_chr1:175010801:+	-0.501384374623811	chr1:175008704:+;chr1:175009984:+;chr1:175010264:+;chr1:175010368:+;chr1:175010801:+	proximal	TRUE
ODF2L	38.0110853432282	5.57182788031744e-09	8.10700956586188e-07	0.9	0.333333333333333	0.566666666666667	chr1:86385849:-_vs_chr1:86358797:-	1.42380952380952	chr1:86358797:-;chr1:86385849:-;chr1:86386327:-	distal	TRUE
MLLT3	49.2448128497715	6.66032793775775e-09	8.44893333411289e-07	0.451536643026005	0.322222222222222	0.129314420803783	chr9:20414126:-_vs_chr9:20346136:-	0.358756137479542	chr9:20345627:-;chr9:20346136:-;chr9:20354827:-;chr9:20413862:-;chr9:20414126:-;chr9:20414156:-;chr9:20456708:-	distal	TRUE
SEPTIN2	43.9072378395163	6.70680396584879e-09	8.44893333411289e-07	0.563291139240506	0.845833333333333	-0.282542194092827	chr2:241351994:+_vs_chr2:241354027:+	-0.745991561181435	chr2:241336944:+;chr2:241351994:+;chr2:241353497:+;chr2:241353736:+;chr2:241354027:+	proximal	TRUE
STMN1	46.5872956164539	6.89560710258354e-09	8.44893333411289e-07	0.556639373442506	0.583429470372313	-0.0267900969298063	chr1:25901556:-_vs_chr1:25900120:-	-0.06458433946023	chr1:25900120:-;chr1:25900262:-;chr1:25900561:-;chr1:25901046:-;chr1:25901556:-;chr1:25903649:-	proximal	FALSE
PRMT2	48.745876626271	8.38210285146008e-09	9.75676771909953e-07	0.605228758169935	0.699122807017544	-0.0938940488476093	chr21:46659537:+_vs_chr21:46664941:+	-0.403921568627451	chr21:46648529:+;chr21:46659140:+;chr21:46659537:+;chr21:46660144:+;chr21:46661270:+;chr21:46664941:+;chr21:46665120:+	proximal	TRUE
NCOA4	36.8506241741136	9.95379365027631e-09	1.09841007232726e-06	0.333333333333333	0.822222222222222	-0.488888888888889	chr10:46010526:-_vs_chr10:46005088:-	-0.977777777777778	chr10:46005088:-;chr10:46006408:-;chr10:46010526:-	proximal	TRUE
HNRNPA2B1	45.7149664224175	1.03801639137456e-08	1.09841007232726e-06	0.425147928994083	0.41970802919708	0.00543989979700255	chr7:26190125:-_vs_chr7:26189927:-	0.117770915216171	chr7:26189927:-;chr7:26190125:-;chr7:26190329:-;chr7:26191844:-;chr7:26196593:-;chr7:26196861:-	distal	FALSE
STX7	36.3453655831834	1.28145730822893e-08	1.29705765806823e-06	0.652941176470588	0.482142857142857	0.170798319327731	chr6:132459738:-_vs_chr6:132459513:-	0.785924369747899	chr6:132457915:-;chr6:132459513:-;chr6:132459738:-	distal	TRUE
CEP350	36.2418831168831	1.34950679074816e-08	1.30902158702572e-06	0.517857142857143	0.5	0.0178571428571429	chr1:180006533:+_vs_chr1:180093182:+	1.35714285714286	chr1:179992182:+;chr1:180006533:+;chr1:180093182:+	distal	TRUE
RTN4	51.5132852125619	2.08947449701443e-08	1.94571865161984e-06	0.298125	0.387676056338028	-0.0895510563380281	chr2:55026078:-_vs_chr2:54972189:-	-0.191338028169014	chr2:54972189:-;chr2:54972291:-;chr2:54981278:-;chr2:55025759:-;chr2:55025982:-;chr2:55026078:-;chr2:55026370:-;chr2:55026600:-;chr2:55027115:-	proximal	FALSE
TPD52	34.7364705882353	2.86464791218516e-08	2.56496166906425e-06	0.78	0.117647058823529	0.662352941176471	chr8:80049777:-_vs_chr8:80036590:-	1.32470588235294	chr8:80036590:-;chr8:80037084:-;chr8:80049777:-	distal	TRUE
ZC3H11A	34.5529616052479	3.13992822484221e-08	2.70731589164173e-06	0.394366197183099	0	0.394366197183099	chr1:203830176:+_vs_chr1:203831727:+	0.859154929577465	chr1:203830176:+;chr1:203831727:+;chr1:203854121:+	distal	TRUE
PPFIA2	50.4136873772846	3.40283379465496e-08	2.82921324069884e-06	0.411830357142857	0.522151898734177	-0.11032154159132	chr12:81457811:-_vs_chr12:81353110:-	-0.453322784810127	chr12:81259282:-;chr12:81339199:-;chr12:81347724:-;chr12:81353110:-;chr12:81368726:-;chr12:81375797:-;chr12:81384064:-;chr12:81405861:-;chr12:81457811:-	proximal	TRUE
RPL4	33.9028471442763	4.34600560625657e-08	3.48879346598803e-06	0.454289292423294	0.480572597137014	-0.0262833047137206	chr15:66499522:-_vs_chr15:66499320:-	-0.0652559182413856	chr15:66498015:-;chr15:66499320:-;chr15:66499522:-	proximal	FALSE
ARMC8	39.6811594202899	5.03796921570113e-08	3.90946411138408e-06	0.313725490196078	0.656862745098039	-0.343137254901961	chr3:138246870:+_vs_chr3:138296566:+	-0.686274509803922	chr3:138245683:+;chr3:138246870:+;chr3:138272999:+;chr3:138296513:+;chr3:138296566:+	proximal	TRUE
