gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
MSMO1	1.10825008879576e-19	chr4:165341449:+,chr4:165341915:+,chr4:165342063:+,chr4:165343070:+,chr4:165343164:+	0,36,25,68,65	15,1,7,4,8	0,0.176,0.123,0.333,0.319	0.429,0.029,0.2,0.114,0.229	0.67425	0.42175	0.2525	distal	1.39639511188266e-16	TRUE
SRSF2	5.61034469642466e-18	chr17:76734128:-,chr17:76734297:-,chr17:76735548:-	205,22,0	47,0,21	0.827,0.089,0	0.671,0,0.3	0.8715	0.671	0.2005	distal	3.53451715874753e-15	TRUE
PKIA	9.39915337770233e-16	chr8:78601920:+,chr8:78602248:+,chr8:78602376:+	18,1,48	0,14,1	0.209,0.012,0.558	0,0.636,0.045	0.564	0.363	0.201	distal	3.94764441863498e-13	TRUE
YWHAQ	2.61964599628744e-15	chr2:9583977:-,chr2:9584267:-,chr2:9584630:-,chr2:9584936:-	445,187,29,40	127,52,52,8	0.614,0.258,0.04,0.055	0.512,0.21,0.21,0.032	0.799333333333333	0.722	0.0773333333333334	distal	8.25188488830544e-13	FALSE
AP4B1	4.19506002312417e-14	chr1:113895063:-,chr1:113895147:-,chr1:113902044:-	26,1,25	0,15,0	0.351,0.014,0.338	0,1,0	0.358	0.5	-0.142	proximal	1.05715512582729e-11	TRUE
SH3BP5	1.41518878711104e-13	chr3:15254853:-,chr3:15255650:-	2,93	17,10	0.02,0.939	0.5,0.294	0.02	0.5	-0.48	proximal	2.97189645293318e-11	TRUE
IDI1	1.72402125659898e-13	chr10:1040044:-,chr10:1041344:-,chr10:1041976:-	107,3,0	17,11,10	0.823,0.023,0	0.436,0.282,0.256	0.8345	0.577	0.2575	distal	3.10323826187816e-11	TRUE
NBPF1	2.19709895105575e-13	chr1:16573175:-,chr1:16590974:-,chr1:16593105:-,chr1:16593670:-	16,19,11,0	0,0,0,16	0.184,0.218,0.126,0	0,0,0,0.471	0.371333333333333	0	0.371333333333333	distal	3.46043084791281e-11	TRUE
ZFR	9.33644641737898e-13	chr5:32354350:-,chr5:32354615:-,chr5:32395232:-,chr5:32397219:-,chr5:32406855:-	11,0,42,27,10	0,11,5,1,1	0.113,0,0.433,0.278,0.103	0,0.478,0.217,0.043,0.043	0.399	0.47775	-0.07875	proximal	1.30710249843306e-10	FALSE
METAP2	2.27554250488667e-12	chr12:95494095:+,chr12:95494993:+,chr12:95514343:+,chr12:95515839:+	11,13,32,0	0,10,0,17	0.183,0.217,0.533,0	0,0.303,0,0.515	0.427666666666667	0.616	-0.188333333333333	proximal	2.86718355615721e-10	TRUE
SLC17A6	5.00252209599731e-12	chr11:22345041:+,chr11:22377536:+,chr11:22377592:+,chr11:22377879:+,chr11:22378509:+	2,11,23,44,16	13,0,1,2,6	0.018,0.101,0.211,0.404,0.147	0.394,0,0.03,0.061,0.182	0.58075	0.24275	0.338	distal	5.73016167359691e-10	TRUE
NARF	5.99649118450597e-12	chr17:82463185:+,chr17:82488259:+	1,110	14,16	0.008,0.932	0.424,0.485	0.932	0.485	0.447	distal	6.29631574373127e-10	TRUE
NOL11	1.51001719677299e-11	chr17:67738278:+,chr17:67743813:+,chr17:67744090:+,chr17:67744203:+	27,0,0,12	2,12,11,1	0.628,0,0,0.279	0.062,0.375,0.344,0.031	0.279	0.385333333333333	-0.106333333333333	proximal	1.46355512917997e-09	TRUE
ENC1	6.40917968802584e-11	chr5:74627409:-,chr5:74629136:-,chr5:74629891:-,chr5:74635493:-	232,81,874,21	39,1,97,16	0.181,0.063,0.683,0.016	0.245,0.006,0.61,0.101	0.450666666666667	0.452333333333333	-0.00166666666666671	proximal	5.43814565640974e-09	FALSE
OS9	6.47398292429731e-11	chr12:57719138:+,chr12:57721557:+	9,103	25,18	0.078,0.888	0.556,0.4	0.888	0.4	0.488	distal	5.43814565640974e-09	TRUE
PANTR1	7.16567103713371e-11	chr2:104807576:-,chr2:104840598:-	433,0	119,14	0.989,0	0.869,0.102	0.989	0.869	0.12	distal	5.6429659417428e-09	TRUE
REEP5	7.89353317465151e-11	chr5:112876385:-,chr5:112878492:-	64,7	0,12	0.771,0.084	0,0.857	0.771	0	0.771	distal	5.85050105885935e-09	TRUE
ACIN1	8.47449602419644e-11	chr14:23058564:-,chr14:23061315:-,chr14:23080360:-	47,84,28	10,13,41	0.285,0.509,0.17	0.145,0.188,0.594	0.5395	0.239	0.3005	distal	5.93214721693751e-09	TRUE
BZW1	1.47714259542601e-10	chr2:200818026:+,chr2:200818771:+,chr2:200822560:+,chr2:200823655:+,chr2:200823837:+	13,1,11,14,44	7,11,3,0,1	0.111,0.009,0.094,0.12,0.376	0.28,0.44,0.12,0,0.04	0.51525	0.21	0.30525	distal	9.79578773808829e-09	TRUE
HNRNPU	1.59891842671903e-10	chr1:244854133:-,chr1:244855993:-,chr1:244856592:-,chr1:244856840:-,chr1:244858777:-,chr1:244862694:-	19,164,27,21,50,52	1,118,0,0,8,15	0.051,0.439,0.072,0.056,0.134,0.139	0.007,0.781,0,0,0.053,0.099	0.4946	0.6424	-0.1478	proximal	1.00731860883299e-08	TRUE
HSP90AA1	1.99310514045085e-10	chr14:102081050:-,chr14:102083061:-,chr14:102084473:-,chr14:102084781:-,chr14:102084841:-,chr14:102084921:-	142,100,152,47,136,212	13,40,10,10,58,69	0.174,0.123,0.187,0.058,0.167,0.26	0.063,0.193,0.048,0.048,0.28,0.333	0.4412	0.3214	0.1198	distal	1.19586308427051e-08	TRUE
NT5C2	2.257622951523e-10	chr10:103088038:-,chr10:103088155:-,chr10:103088390:-	2,27,15	11,0,0	0.034,0.458,0.254	0.688,0,0	0.263	0.688	-0.425	proximal	1.29300223587226e-08	TRUE
PSIP1	6.47737870637693e-10	chr9:15466748:-,chr9:15468650:-,chr9:15474079:-,chr9:15474208:-,chr9:15486882:-,chr9:15490049:-	4,14,32,33,17,29	15,2,20,4,2,0	0.024,0.082,0.188,0.194,0.1,0.171	0.306,0.041,0.408,0.082,0.041,0	0.3	0.6246	-0.3246	proximal	3.54847703044997e-08	TRUE
UBR5	8.92344218969971e-10	chr8:102253360:-,chr8:102253885:-,chr8:102305100:-,chr8:102311326:-,chr8:102326601:-,chr8:102342546:-	17,0,35,19,34,10	0,10,6,1,21,0	0.137,0,0.282,0.153,0.274,0.081	0,0.244,0.146,0.024,0.512,0	0.4222	0.3948	0.0274	distal	4.68480714959235e-08	FALSE
DEGS1	1.25015286638674e-09	chr1:224192896:+,chr1:224193160:+,chr1:224193259:+	13,15,0	0,0,13	0.361,0.417,0	0,0,0.565	0.2085	0.565	-0.3565	proximal	6.30077044658918e-08	TRUE
SAFB	2.18242506982428e-09	chr19:5641950:+,chr19:5653396:+,chr19:5654100:+,chr19:5668478:+	3,22,24,36	21,6,0,24	0.034,0.247,0.27,0.404	0.362,0.103,0,0.414	0.666333333333333	0.448333333333333	0.218	distal	1.05763676460715e-07	TRUE
TTC3	2.3788325430394e-09	chr21:37077393:+,chr21:37095368:+,chr21:37129034:+,chr21:37150845:+,chr21:37160839:+,chr21:37165784:+,chr21:37182916:+,chr21:37187097:+,chr21:37197695:+	2,43,57,13,46,64,16,20,32	16,7,10,10,12,14,8,13,16	0.006,0.13,0.172,0.039,0.139,0.193,0.048,0.06,0.096	0.124,0.054,0.078,0.078,0.093,0.109,0.062,0.101,0.124	0.4485	0.429	0.0195	distal	1.11012185341839e-07	FALSE
GGPS1	2.97795006071267e-09	chr1:235342765:+,chr1:235344504:+	25,0	1,17	0.595,0	0.029,0.5	0	0.5	-0.5	proximal	1.3400775273207e-07	TRUE
NSD1	5.00321680117415e-09	chr5:177204277:+,chr5:177211564:+,chr5:177211944:+,chr5:177235920:+	26,0,6,3	1,12,10,12	0.531,0,0.122,0.061	0.026,0.308,0.256,0.308	0.142333333333333	0.581333333333333	-0.439	proximal	2.17381143775153e-07	TRUE
FARSB	5.62329013789699e-09	chr2:222571313:-,chr2:222571745:-	0,30	12,1	0,1	0.75,0.062	0	0.75	-0.75	proximal	2.36178185791674e-07	TRUE
RTN4	7.03636226266291e-09	chr2:54972189:-,chr2:54981278:-,chr2:55026370:-,chr2:55026600:-,chr2:55027115:-	96,9,1,139,83	26,19,10,60,28	0.263,0.025,0.003,0.381,0.227	0.169,0.123,0.065,0.39,0.182	0.3785	0.39125	-0.01275	proximal	2.85994079063073e-07	FALSE
EZH2	8.95041145765985e-09	chr7:148807374:-,chr7:148828769:-	7,26	34,3	0.121,0.448	0.872,0.077	0.121	0.872	-0.751	proximal	3.52422451145356e-07	TRUE
VASH2	9.85027209050361e-09	chr1:212953710:+,chr1:212991004:+	0,23	14,0	0,0.657	0.737,0	0.657	0	0.657	distal	3.76101298001047e-07	TRUE
AMER2	1.22587734501647e-08	chr13:25161684:-,chr13:25169091:-	0,33	13,3	0,0.688	0.619,0.143	0	0.619	-0.619	proximal	4.54295721976693e-07	TRUE
PUM2	1.52299797447126e-08	chr2:20248764:-,chr2:20251236:-,chr2:20251299:-	12,10,0	0,0,14	0.308,0.256,0	0,0,0.7	0.436	0	0.436	distal	5.48279270809655e-07	TRUE
CEP170	2.73227480183798e-08	chr1:243164980:-,chr1:243165527:-,chr1:243165893:-,chr1:243172730:-,chr1:243191027:-,chr1:243191331:-	67,30,63,34,31,10	7,6,8,28,6,11	0.23,0.103,0.216,0.117,0.107,0.034	0.084,0.072,0.096,0.337,0.072,0.133	0.5102	0.3484	0.1618	distal	9.56296180643294e-07	TRUE
SLC39A6	3.49285358327709e-08	chr18:36108531:-,chr18:36109164:-,chr18:36116760:-,chr18:36122053:-	24,30,2,86	0,7,11,21	0.16,0.2,0.013,0.573	0,0.171,0.268,0.512	0.297666666666667	0.203333333333333	0.0943333333333333	distal	1.18112291320582e-06	FALSE
KIAA1841	3.6181732411867e-08	chr2:61077110:+,chr2:61088392:+,chr2:61109296:+,chr2:61115771:+	14,20,11,0	3,2,1,12	0.23,0.328,0.18,0	0.12,0.08,0.04,0.48	0.229333333333333	0.533333333333333	-0.304	proximal	1.18112291320582e-06	TRUE
BRD3	3.65585663611325e-08	chr9:134034781:-,chr9:134040211:-	4,51	14,5	0.056,0.718	0.667,0.238	0.056	0.667	-0.611	proximal	1.18112291320582e-06	TRUE
VTA1	4.03179931013818e-08	chr6:142219074:+,chr6:142219603:+,chr6:142220777:+	34,18,31	3,27,4	0.33,0.175,0.301	0.073,0.659,0.098	0.3885	0.4275	-0.039	proximal	1.27001678269353e-06	FALSE
ELMO1	4.48432607651023e-08	chr7:36854361:-,chr7:37426971:-	32,0	2,10	0.727,0	0.167,0.833	0.727	0.167	0.56	distal	1.37810996497631e-06	TRUE
SNX12	5.22899219504073e-08	chrX:71059247:-,chrX:71059406:-	28,0	1,10	1,0	0.091,0.909	1	0.091	0.909	distal	1.54315330523007e-06	TRUE
BRWD1	5.26631683530898e-08	chr21:39236611:-,chr21:39250818:-,chr21:39296437:-,chr21:39296775:-	20,32,7,18	2,1,11,0	0.215,0.344,0.075,0.194	0.08,0.04,0.44,0	0.469333333333333	0.253333333333333	0.216	distal	1.54315330523007e-06	TRUE
H3-3B	6.34072725398582e-08	chr17:75776434:-,chr17:75777459:-,chr17:75778023:-,chr17:75778250:-	92,352,170,112	30,126,135,34	0.125,0.478,0.231,0.152	0.09,0.38,0.407,0.102	0.520666666666667	0.479	0.0416666666666667	distal	1.78373534987028e-06	FALSE
DPYSL2	6.37048339239387e-08	chr8:26657129:+,chr8:26658175:+	0,45	12,8	0,0.882	0.6,0.4	0.882	0.4	0.482	distal	1.78373534987028e-06	TRUE
KHDRBS1	7.52453312640242e-08	chr1:32040031:+,chr1:32042972:+,chr1:32043301:+,chr1:32043877:+,chr1:32060850:+	14,26,87,49,5	0,5,19,20,16	0.073,0.135,0.453,0.255,0.026	0,0.069,0.264,0.278,0.222	0.4775	0.57975	-0.10225	proximal	2.06106776940588e-06	TRUE
SMOC1	8.36741253766239e-08	chr14:70030465:+,chr14:70030640:+,chr14:70031177:+,chr14:70032366:+	17,18,1,15	3,3,16,4	0.315,0.333,0.019,0.278	0.115,0.115,0.615,0.154	0.401666666666667	0.602333333333333	-0.200666666666667	proximal	2.24317868030949e-06	TRUE
NUCKS1	9.61633285851839e-08	chr1:205716728:-,chr1:205718354:-,chr1:205719554:-,chr1:205719595:-	0,19,30,55	10,7,15,7	0,0.167,0.263,0.482	0.233,0.163,0.349,0.163	0.199	0.458	-0.259	proximal	2.52428737536108e-06	TRUE
CALM1	1.03359133890577e-07	chr14:90403939:+,chr14:90405107:+,chr14:90405213:+,chr14:90405610:+,chr14:90408268:+	25,25,32,139,30	14,9,31,18,9	0.098,0.098,0.125,0.545,0.118	0.165,0.106,0.365,0.212,0.106	0.61375	0.474	0.13975	distal	2.6578063000434e-06	TRUE
KIDINS220	1.32940698578492e-07	chr2:8730714:-,chr2:8803035:-	8,41	20,4	0.098,0.5	0.741,0.148	0.098	0.741	-0.643	proximal	3.29198291556093e-06	TRUE
CCNG1	1.33246927534609e-07	chr5:163444608:+,chr5:163445016:+	3,23	16,0	0.088,0.676	1,0	0.676	0	0.676	distal	3.29198291556093e-06	TRUE
IGFBPL1	1.36008098945984e-07	chr9:38406528:-,chr9:38407239:-,chr9:38407266:-,chr9:38407304:-	48,20,0,23	18,28,11,4	0.471,0.196,0,0.225	0.257,0.4,0.157,0.057	0.601666666666667	0.576	0.0256666666666666	distal	3.29558085907576e-06	FALSE
RAB18	2.216775381131e-07	chr10:27533845:+,chr10:27539161:+,chr10:27539828:+	11,0,26	1,10,4	0.212,0,0.5	0.033,0.333,0.133	0.5	0.2995	0.2005	distal	5.27006977400955e-06	TRUE
CCT4	2.35813133969904e-07	chr2:61868446:-,chr2:61868503:-,chr2:61887951:-	66,29,19	18,37,0	0.52,0.228,0.15	0.321,0.661,0	0.634	0.6515	-0.0175	proximal	5.4241174290639e-06	FALSE
UBQLN1	2.36767030633742e-07	chr9:83659970:-,chr9:83660289:-,chr9:83661432:-,chr9:83667575:-	16,16,11,0	13,0,3,14	0.372,0.372,0.256,0	0.406,0,0.094,0.438	0.705333333333333	0.437333333333333	0.268	distal	5.4241174290639e-06	TRUE
HDGFL3	2.45095624739902e-07	chr15:83137800:-,chr15:83157451:-	0,23	11,1	0,0.426	0.393,0.036	0	0.393	-0.393	proximal	5.5146515566478e-06	TRUE
RRM1	3.08812994590517e-07	chr11:4138299:+,chr11:4138872:+	5,17	24,0	0.208,0.708	0.923,0	0.708	0	0.708	distal	6.8263925120009e-06	TRUE
RAB10	3.48622883531116e-07	chr2:26135473:+,chr2:26137411:+	12,34	21,1	0.197,0.557	0.677,0.032	0.557	0.032	0.525	distal	7.53371387226368e-06	TRUE
MLLT3	3.52769141637744e-07	chr9:20346306:-,chr9:20413862:-,chr9:20414126:-,chr9:20414156:-,chr9:20456708:-	3,21,104,11,40	13,16,27,1,9	0.014,0.095,0.468,0.05,0.18	0.169,0.208,0.351,0.013,0.117	0.33175	0.50375	-0.172	proximal	7.53371387226368e-06	TRUE
TOP2B	3.79123425570797e-07	chr3:25597994:-,chr3:25627274:-	14,6	0,30	0.304,0.13	0,0.789	0.304	0	0.304	distal	7.87591484673074e-06	TRUE
ZNF711	3.81294290198869e-07	chrX:85245961:+,chrX:85246838:+,chrX:85264345:+,chrX:85270103:+,chrX:85270875:+,chrX:85273357:+	13,1,21,88,11,10	5,10,1,21,4,0	0.073,0.006,0.118,0.494,0.062,0.056	0.116,0.233,0.023,0.488,0.093,0	0.4504	0.423	0.0274	distal	7.87591484673074e-06	FALSE
