gene_id	chisq	pvalue	adj_pvalue	PgS	vRG	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
RPL15	71.6421945170792	1.89915108609336e-15	2.26948554788157e-12	0.250764525993884	0.382905982905983	-0.132141456912099	chr3:23919552:+_vs_chr3:23919783:+	-0.428260017250843	chr3:23919552:+;chr3:23919783:+;chr3:23920772:+;chr3:23920847:+	proximal	TRUE
DBN1	60.1140034473953	8.83913992371655e-14	5.28138610442064e-11	0.533783783783784	0.421875	0.111908783783784	chr5:177457223:-_vs_chr5:177456925:-	1.04180743243243	chr5:177456622:-;chr5:177456925:-;chr5:177457223:-	distal	TRUE
NREP	59.9749346405229	5.95116035499378e-13	2.37054554140586e-10	0.490740740740741	0.73030303030303	-0.23956228956229	chr5:111730035:-_vs_chr5:111729303:-	-0.826767676767677	chr5:111729303:-;chr5:111729731:-;chr5:111730035:-;chr5:111734729:-	proximal	TRUE
EMC10	53.4591346153846	2.46318150293529e-12	7.35875474001919e-10	0.375	0.538461538461539	-0.163461538461539	chr19:50482968:+_vs_chr19:50483351:+	-1.54807692307692	chr19:50482968:+;chr19:50483351:+;chr19:50483394:+	proximal	TRUE
VCAN	55.7095548903175	4.8453442774656e-12	1.15803728231428e-09	0.644444444444444	0.55868544600939	0.0857589984350549	chr5:83537169:+_vs_chr5:83580635:+	-0.882159624413146	chr5:83519909:+;chr5:83520452:+;chr5:83537169:+;chr5:83580635:+	proximal	TRUE
NCAPG	54.5834274266982	8.42516423390863e-12	1.6780118765868e-09	0.368627450980392	0.56140350877193	-0.192776057791538	chr4:17825048:+_vs_chr4:17834448:+	-1.04891640866873	chr4:17825048:+;chr4:17825486:+;chr4:17834448:+;chr4:17843514:+	proximal	TRUE
TPM2	43.4702245723985	4.30459639827886e-11	7.34856099420462e-09	0.972222222222222	0.217391304347826	0.754830917874396	chr9:35682926:-_vs_chr9:35682008:-	1.50966183574879	chr9:35682008:-;chr9:35682926:-	distal	TRUE
CUL1	46.1981481481481	9.29393418196193e-11	1.38828141843056e-08	0.8	0.55	0.25	chr7:148797999:+_vs_chr7:148801017:+	1.1	chr7:148759579:+;chr7:148797999:+;chr7:148801017:+	distal	TRUE
STIP1	44.5790418764909	2.08825751153469e-10	2.77274191809329e-08	0.903061224489796	0.518181818181818	0.384879406307978	chr11:64197315:+_vs_chr11:64204541:+	0.769758812615955	chr11:64197315:+;chr11:64197895:+;chr11:64204541:+	distal	TRUE
UBXN4	47.58673251631	2.60741416019158e-10	3.11585992142894e-08	0.333333333333333	0.732394366197183	-0.39906103286385	chr2:135748886:+_vs_chr2:135770658:+	-0.80736029077692	chr2:135748886:+;chr2:135769811:+;chr2:135770658:+;chr2:135782799:+	proximal	TRUE
XRCC5	49.2771827475217	5.11081175672923e-10	5.5522000448104e-08	0.413223140495868	0.561475409836066	-0.148252269340198	chr2:216205424:+_vs_chr2:216206118:+	-0.577564015716028	chr2:216122176:+;chr2:216127658:+;chr2:216205424:+;chr2:216206118:+;chr2:216206281:+	proximal	TRUE
FUBP1	48.2253170211431	8.47028758547803e-10	7.7977359464944e-08	0.467532467532468	0.25	0.217532467532468	chr1:77964286:-_vs_chr1:77962777:-	0.774753246753247	chr1:77948419:-;chr1:77948654:-;chr1:77962777:-;chr1:77962913:-;chr1:77964286:-	distal	TRUE
GPM6A	41.7755988451308	8.48289266145834e-10	7.7977359464944e-08	0.448863636363636	0.610429447852761	-0.161565811489124	chr4:175633448:-_vs_chr4:175632943:-	-0.589479921918572	chr4:175632943:-;chr4:175633448:-;chr4:175634820:-	proximal	TRUE
CCT5	39.2463839729165	3.00438789126616e-09	2.56445966433076e-07	0.841269841269841	0.892241379310345	-0.0509715380405035	chr5:10258499:+_vs_chr5:10264926:+	-0.350437876299945	chr5:10258499:+;chr5:10264926:+;chr5:10265080:+	proximal	TRUE
PNISR	47.2853807328226	4.96901975629306e-09	3.7718844657614e-07	0.256	0.611627906976744	-0.355627906976744	chr6:99410500:-_vs_chr6:99399964:-	-0.61906976744186	chr6:99399964:-;chr6:99400821:-;chr6:99401446:-;chr6:99401599:-;chr6:99402574:-;chr6:99410500:-	proximal	TRUE
CEP170	38.2076673164392	5.05022187884372e-09	3.7718844657614e-07	0.14	0.796296296296296	-0.656296296296296	chr1:243165893:-_vs_chr1:243164980:-	-1.31259259259259	chr1:243164980:-;chr1:243165527:-;chr1:243165893:-	proximal	TRUE
HNRNPA1	38.006189211689	5.58548479111278e-09	3.9262672502234e-07	0.248381877022654	0.343283582089552	-0.0949017050668985	chr12:54284881:+_vs_chr12:54285246:+	-0.219316041153456	chr12:54284881:+;chr12:54285246:+;chr12:54287087:+	proximal	TRUE
MATR3	48.8668421176191	7.92776007621838e-09	5.26315182837831e-07	0.283730158730159	0.315745393634841	-0.0320152349046822	chr5:139325489:+_vs_chr5:139329704:+	-0.296841349605169	chr5:139319032:+;chr5:139322957:+;chr5:139325489:+;chr5:139329379:+;chr5:139329429:+;chr5:139329704:+;chr5:139330395:+	proximal	TRUE
DCLK1	33.0377626310941	9.03861566154618e-09	5.68481353449878e-07	0	1	-1	chr13:35868781:-_vs_chr13:35850114:-	-2	chr13:35850114:-;chr13:35868781:-	proximal	TRUE
TBP	32.3738665426645	1.27185470003484e-08	7.59933183270817e-07	0.956521739130435	0	0.956521739130435	chr6:170572689:+_vs_chr6:170572859:+	1.91304347826087	chr6:170572689:+;chr6:170572859:+	distal	TRUE
BZW1	36.0391376290745	1.49348442398305e-08	8.49863755552258e-07	0.426829268292683	0.830645161290323	-0.40381589299764	chr2:200818026:+_vs_chr2:200823837:+	-0.807631785995279	chr2:200818026:+;chr2:200818771:+;chr2:200823837:+	proximal	TRUE
TUFM	31.841886684379	1.67246817013477e-08	9.08454301505021e-07	0.037593984962406	0.338028169014085	-0.300434184051678	chr16:28842787:-_vs_chr16:28842414:-	-0.600868368103357	chr16:28842414:-;chr16:28842787:-	proximal	TRUE
PAPOLA	44.226886278261	2.08312378986971e-08	1.08059942262258e-06	0.431111111111111	0.566101694915254	-0.134990583804143	chr14:96534618:+_vs_chr14:96547917:+	0.52391713747646	chr14:96532696:+;chr14:96533228:+;chr14:96534618:+;chr14:96542884:+;chr14:96547917:+;chr14:96556405:+	distal	TRUE
ACTR3	41.448544932263	2.17024151823782e-08	1.08059942262258e-06	0.35	0.597826086956522	-0.247826086956522	chr2:113957876:+_vs_chr2:113958257:+	-0.698976982097187	chr2:113957876:+;chr2:113958146:+;chr2:113958184:+;chr2:113958257:+;chr2:113958561:+	proximal	TRUE
HSPA5	40.9573436238456	2.74304705408235e-08	1.31117649185136e-06	0.487179487179487	0.697368421052632	-0.210188933873144	chr9:125240207:-_vs_chr9:125236247:-	-0.436825236167341	chr9:125236247:-;chr9:125236755:-;chr9:125236815:-;chr9:125236992:-;chr9:125240207:-	proximal	TRUE
HELLS	34.7083333333333	2.90523440513879e-08	1.33529042851571e-06	0	0.671875	-0.671875	chr10:94558194:+_vs_chr10:94602094:+	-1.34375	chr10:94558194:+;chr10:94565702:+;chr10:94602094:+	proximal	TRUE
MID1	30.3010817307692	3.69919544290552e-08	1.63723650158226e-06	0	0.875	-0.875	chrX:10469072:-_vs_chrX:10448999:-	-1.75	chrX:10448999:-;chrX:10469072:-	proximal	TRUE
EWSR1	33.5786971268857	5.11067853190736e-08	2.18116458772475e-06	0.581632653061224	0.807692307692308	-0.226059654631083	chr22:29300336:+_vs_chr22:29300519:+	-0.536891679748823	chr22:29300218:+;chr22:29300336:+;chr22:29300519:+	proximal	TRUE
MSMO1	42.1271524064171	5.55152715563226e-08	2.2625965270988e-06	0.75	0.58	0.17	chr4:165342063:+_vs_chr4:165343006:+	0.357670454545455	chr4:165341449:+;chr4:165341915:+;chr4:165342063:+;chr4:165343006:+;chr4:165343070:+;chr4:165343164:+	distal	TRUE
SEPTIN2	42.0780000484832	5.68015864543631e-08	2.2625965270988e-06	0.409708737864078	0.568421052631579	-0.158712314767501	chr2:241351994:+_vs_chr2:241354027:+	-0.293114460909555	chr2:241348182:+;chr2:241351994:+;chr2:241352555:+;chr2:241353497:+;chr2:241353736:+;chr2:241354027:+	proximal	TRUE
ITFG1	28.5760073260073	9.00915969773352e-08	3.47288575444889e-06	0.875	0	0.875	chr16:47155394:-_vs_chr16:47154598:-	1.75	chr16:47154598:-;chr16:47155394:-	distal	TRUE
RNF180	31.9090909090909	1.1776844692396e-07	4.39791543981661e-06	0.0416666666666667	0.791666666666667	-0.75	chr5:64215270:+_vs_chr5:64370669:+	-1.5	chr5:64215270:+;chr5:64325238:+;chr5:64370669:+	proximal	TRUE
WDR43	27.7206199284121	1.40160741059596e-07	4.92575389160589e-06	0	1	-1	chr2:28915499:+_vs_chr2:28946760:+	-2	chr2:28915499:+;chr2:28946760:+	proximal	TRUE
JAM3	27.6412984913793	1.46027480277202e-07	4.92575389160589e-06	0	0.8	-0.8	chr11:134149971:+_vs_chr11:134151754:+	-1.6	chr11:134149971:+;chr11:134151754:+	proximal	TRUE
MIS18BP1	34.5637680120439	1.50620451551246e-07	4.92575389160589e-06	0.342342342342342	0.64367816091954	-0.301335818577198	chr14:45231231:-_vs_chr14:45224085:-	-0.991612301957129	chr14:45224085:-;chr14:45231231:-;chr14:45246774:-;chr14:45247069:-	proximal	TRUE
CKAP2	39.9758106465727	1.51023517779589e-07	4.92575389160589e-06	0.536	0.206060606060606	0.329939393939394	chr13:52468337:+_vs_chr13:52476627:+	0.663939393939394	chr13:52461298:+;chr13:52468337:+;chr13:52473992:+;chr13:52474084:+;chr13:52476350:+;chr13:52476627:+	distal	TRUE
NR2E1	27.5572466704772	1.52512881999513e-07	4.92575389160589e-06	0.5	0.974025974025974	-0.474025974025974	chr6:108188237:+_vs_chr6:108188790:+	-0.948051948051948	chr6:108188237:+;chr6:108188790:+	proximal	TRUE
