gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
RPL15	1.89915108609336e-15	chr3:23919552:+,chr3:23919783:+,chr3:23920772:+,chr3:23920847:+	222,16,37,52	244,126,99,116	0.661,0.048,0.11,0.155	0.409,0.211,0.166,0.194	0.244333333333333	0.375	-0.130666666666667	proximal	1.92004174804039e-12	TRUE
DBN1	8.83913992371655e-14	chr5:177456622:-,chr5:177456925:-,chr5:177457223:-	5,69,0	17,20,27	0.068,0.932,0	0.262,0.308,0.415	0.534	0.416	0.118	distal	4.46818523143872e-11	TRUE
NREP	4.33876928679148e-13	chr5:111729303:-,chr5:111729731:-,chr5:111730035:-	27,0,78	63,14,24	0.248,0,0.716	0.562,0.125,0.214	0.248	0.6245	-0.3765	proximal	1.46216524964873e-10	TRUE
RDH11	4.20093577799348e-12	chr14:67676792:-,chr14:67676860:-,chr14:67677318:-,chr14:67677556:-	0,0,0,10	14,17,15,0	0,0,0,1	0.292,0.354,0.312,0	0	0.632	-0.632	proximal	9.79728612903544e-10	TRUE
VCAN	4.8453442774656e-12	chr5:83519909:+,chr5:83520452:+,chr5:83537169:+,chr5:83580635:+	2,0,58,0	12,17,24,18	0.025,0,0.716,0	0.114,0.162,0.229,0.171	0.477333333333333	0.377666666666667	0.0996666666666667	distal	9.79728612903544e-10	FALSE
NCAPG	8.42516423390863e-12	chr4:17825048:+,chr4:17825486:+,chr4:17834448:+,chr4:17843514:+	34,28,3,20	0,6,13,0	0.382,0.315,0.034,0.225	0,0.214,0.464,0	0.352666666666667	0.380666666666667	-0.028	proximal	1.4196401734136e-09	FALSE
EMC10	1.01616311346811e-11	chr19:50482968:+,chr19:50483351:+	15,0	0,36	0.6,0	0,0.632	0	0.632	-0.632	proximal	1.46762986816608e-09	TRUE
TPM2	4.30459639827886e-11	chr9:35682008:-,chr9:35682926:-	35,1	10,36	0.972,0.028	0.213,0.766	0.972	0.213	0.759	distal	5.43993369832491e-09	TRUE
CUL1	9.29393418196193e-11	chr7:148759579:+,chr7:148797999:+,chr7:148801017:+	13,0,52	5,17,8	0.183,0,0.732	0.143,0.486,0.229	0.732	0.472	0.26	distal	1.04401860644039e-08	TRUE
STIP1	2.08825751153469e-10	chr11:64197315:+,chr11:64197895:+,chr11:64204541:+	1,17,80	23,7,25	0.01,0.168,0.792	0.418,0.127,0.455	0.876	0.5185	0.3575	distal	2.11122834416157e-08	TRUE
UBXN4	2.60741416019158e-10	chr2:135748886:+,chr2:135769811:+,chr2:135770658:+,chr2:135782799:+	11,13,3,4	0,9,39,23	0.355,0.419,0.097,0.129	0,0.111,0.481,0.284	0.333333333333333	0.641666666666667	-0.308333333333333	proximal	2.39645065086699e-08	TRUE
PAX6	3.47137327722505e-10	chr11:31789194:-,chr11:31789837:-,chr11:31793758:-,chr11:31794655:-,chr11:31809746:-	5,33,3,10,0	20,49,37,0,24	0.089,0.589,0.054,0.179,0	0.14,0.343,0.259,0,0.168	0.6025	0.52675	0.0757499999999999	distal	2.92463198606211e-08	FALSE
XRCC5	5.11081175672923e-10	chr2:216122176:+,chr2:216127658:+,chr2:216205424:+,chr2:216206118:+,chr2:216206281:+	25,24,56,0,16	13,11,5,12,20	0.195,0.188,0.438,0,0.125	0.2,0.169,0.077,0.185,0.308	0.391	0.5275	-0.1365	proximal	3.97463898927174e-08	TRUE
PNISR	6.09932857695907e-10	chr6:99399964:-,chr6:99400821:-,chr6:99400908:-,chr6:99401446:-,chr6:99401599:-,chr6:99402574:-,chr6:99410500:-	0,1,0,7,14,11,17	24,10,10,14,23,15,0	0,0.012,0,0.086,0.173,0.136,0.21	0.197,0.082,0.082,0.115,0.189,0.123,0	0.133333333333333	0.461	-0.327666666666667	proximal	4.4045865652183e-08	TRUE
FUBP1	8.47028758547803e-10	chr1:77948419:-,chr1:77948654:-,chr1:77962777:-,chr1:77962913:-,chr1:77964286:-	10,9,35,7,16	10,18,10,11,76	0.12,0.108,0.422,0.084,0.193	0.075,0.134,0.075,0.082,0.567	0.433	0.2335	0.1995	distal	5.36012780045899e-08	TRUE
GPM6A	8.48289266145834e-10	chr4:175632943:-,chr4:175633448:-,chr4:175634820:-	35,88,53	82,35,46	0.19,0.478,0.288	0.466,0.199,0.261	0.429	0.5655	-0.1365	proximal	5.36012780045899e-08	TRUE
CCT5	3.00438789126616e-09	chr5:10258499:+,chr5:10264926:+,chr5:10265080:+	19,2,105	0,25,91	0.145,0.015,0.802	0,0.214,0.778	0.8095	0.885	-0.0755	proximal	1.78672715180594e-07	FALSE
PLCE1	3.39826781949507e-09	chr10:94031732:+,chr10:94252487:+,chr10:94284897:+	1,0,10	15,18,0	0.056,0,0.556	0.385,0.462,0	0.556	0.231	0.325	distal	1.9086937586164e-07	TRUE
CEP170	5.05022187884372e-09	chr1:243164980:-,chr1:243165527:-,chr1:243165893:-	3,1,21	16,11,0	0.097,0.032,0.677	0.41,0.282,0	0.113	0.551	-0.438	proximal	2.6872496418479e-07	TRUE
HNRNPA1	5.58548479111278e-09	chr12:54284881:+,chr12:54285246:+,chr12:54287087:+	320,289,9	230,332,41	0.513,0.463,0.014	0.379,0.547,0.068	0.2455	0.3415	-0.096	proximal	2.82346256190751e-07	FALSE
DCLK1	9.03861566154618e-09	chr13:35850114:-,chr13:35868781:-	0,16	21,0	0,0.941	0.7,0	0	0.7	-0.7	proximal	4.35144782563009e-07	TRUE
TBP	1.27185470003484e-08	chr6:170572689:+,chr6:170572859:+	1,22	17,0	0.032,0.71	1,0	0.71	0	0.71	distal	5.84475046243283e-07	TRUE
RTF1	1.4506914420487e-08	chr15:41452949:+,chr15:41464833:+,chr15:41475761:+,chr15:41476475:+	2,10,45,0	20,6,16,10	0.029,0.147,0.662,0	0.357,0.107,0.286,0.179	0.490333333333333	0.405333333333333	0.085	distal	6.29130313602858e-07	FALSE
