gene_name	p_value	pas_list	count1_list	count2_list	group1_PAU	group2_PAU	gDPAU1	gDPAU2	dgDPAU	Note	adj_pvalue	sig
ADD2	1.19919717304155e-13	chr2:70663482:-,chr2:70674673:-,chr2:70675084:-,chr2:70675847:-	94,6,33,36	22,30,19,4	0.537,0.034,0.189,0.206	0.293,0.4,0.253,0.053	0.622666666666667	0.644	-0.0213333333333332	proximal	2.24010031924162e-10	FALSE
NUP107	6.12111068878202e-13	chr12:68714370:+,chr12:68731633:+,chr12:68734827:+,chr12:68742665:+	11,13,28,2	0,0,0,16	0.175,0.206,0.444,0.032	0,0,0,0.889	0.396666666666667	0.889	-0.492333333333333	proximal	5.7171173833224e-10	TRUE
CCDC112	1.31159504265387e-12	chr5:115267190:-,chr5:115267355:-,chr5:115269704:-,chr5:115271449:-,chr5:115271504:-,chr5:115275542:-,chr5:115276011:-,chr5:115279659:-,chr5:115284798:-	17,0,16,14,19,15,12,28,19	33,15,6,2,11,28,3,1,31	0.113,0,0.107,0.093,0.127,0.1,0.08,0.187,0.127	0.252,0.115,0.046,0.015,0.084,0.214,0.023,0.008,0.237	0.39575	0.5255	-0.12975	proximal	6.21492994301105e-10	TRUE
CCDC88A	1.33082011627646e-12	chr2:55334152:-,chr2:55334739:-,chr2:55334899:-,chr2:55334952:-,chr2:55335050:-,chr2:55339483:-,chr2:55344410:-	10,4,3,11,33,18,14	1,11,22,0,0,22,10	0.059,0.024,0.018,0.065,0.194,0.106,0.082	0.009,0.104,0.208,0,0,0.208,0.094	0.205833333333333	0.269	-0.0631666666666666	proximal	6.21492994301105e-10	FALSE
CANT1	3.49686020890379e-12	chr17:78992670:-,chr17:78993065:-	1,41	25,4	0.022,0.911	0.758,0.121	0.022	0.758	-0.736	proximal	1.30642697404646e-09	TRUE
RBM22	4.68463868848246e-11	chr5:150690792:-,chr5:150691134:-,chr5:150693280:-	54,17,21	5,41,13	0.574,0.181,0.223	0.081,0.661,0.21	0.6645	0.4115	0.253	distal	1.45848417834754e-08	TRUE
RAB6A	4.38467000351611e-10	chr11:73675653:-,chr11:73675893:-,chr11:73676209:-,chr11:73676810:-,chr11:73676990:-,chr11:73677688:-	31,34,6,1,10,10	2,16,16,14,0,6	0.307,0.337,0.059,0.01,0.099,0.099	0.036,0.286,0.286,0.25,0,0.107	0.6358	0.5364	0.0993999999999999	distal	1.17008050950973e-07	FALSE
PRMT2	6.91516803380094e-10	chr21:46637978:+,chr21:46659140:+,chr21:46659537:+,chr21:46660144:+,chr21:46661270:+,chr21:46664941:+	2,15,66,35,7,116	11,21,12,8,15,64	0.007,0.054,0.237,0.126,0.025,0.417	0.071,0.136,0.078,0.052,0.097,0.416	0.6182	0.5832	0.035	distal	1.53177304417155e-07	FALSE
ATCAY	7.38006284665092e-10	chr19:3925857:+,chr19:3926156:+,chr19:3926326:+,chr19:3928082:+	34,18,14,0	17,1,14,25	0.507,0.269,0.209,0	0.25,0.015,0.206,0.368	0.229	0.510333333333333	-0.281333333333333	proximal	1.53177304417155e-07	TRUE
ACTR2	8.42218656037169e-10	chr2:65255616:+,chr2:65270138:+,chr2:65270269:+,chr2:65271253:+	10,10,13,30	17,38,12,1	0.132,0.132,0.171,0.395	0.23,0.514,0.162,0.014	0.553	0.293333333333333	0.259666666666667	distal	1.57326444947743e-07	TRUE
