gene_id	chisq	pvalue	adj_pvalue	ExMU	ExN1	dWARM	MPRO_comparsion	MPRO	feature_id	Note	sig
RTN4	86.6057219347413	6.14790880103184e-16	1.40356757927557e-12	0.2903981264637	0.388521882741536	-0.0981237562778356	chr2:55026078:-_vs_chr2:54972189:-	-0.249592963655316	chr2:54972189:-;chr2:54972291:-;chr2:55025759:-;chr2:55025982:-;chr2:55026078:-;chr2:55026370:-;chr2:55026600:-;chr2:55027115:-	proximal	TRUE
CACNA2D1	69.7198879551821	4.90046654625561e-15	5.59388256255078e-12	0.285714285714286	0.777777777777778	-0.492063492063492	chr7:81984635:-_vs_chr7:81951679:-	-1.0952380952381	chr7:81950001:-;chr7:81951679:-;chr7:81971780:-;chr7:81984635:-	proximal	TRUE
HNRNPA1	63.9592214563419	8.37453748611571e-14	5.28772870925366e-11	0.578909612625538	0.534022988505747	0.0448866241197909	chr12:54284881:+_vs_chr12:54285246:+	0.253913817840004	chr12:54284578:+;chr12:54284881:+;chr12:54285246:+;chr12:54287087:+	distal	TRUE
MAP4	67.1049555468571	9.26452686684829e-14	5.28772870925366e-11	0.125	0.489690721649485	-0.364690721649485	chr3:47973079:-_vs_chr3:47916622:-	-0.869044302033993	chr3:47850695:-;chr3:47877418:-;chr3:47916622:-;chr3:47916689:-;chr3:47973079:-	proximal	TRUE
CDC42	69.7140541314169	1.17526616392496e-13	5.36626530448136e-11	0.31796875	0.490748898678414	-0.172780148678414	chr1:22090807:+_vs_chr1:22092943:+	-0.438868047907489	chr1:22090127:+;chr1:22090807:+;chr1:22091599:+;chr1:22092414:+;chr1:22092738:+;chr1:22092943:+	proximal	TRUE
YWHAZ	76.3645900650526	2.62797088356523e-13	9.9994292119657e-11	0.433445945945946	0.533717105263158	-0.100271159317212	chr8:100919924:-_vs_chr8:100918576:-	-0.13110182550972	chr8:100918576:-;chr8:100918619:-;chr8:100918727:-;chr8:100918853:-;chr8:100919541:-;chr8:100919700:-;chr8:100919924:-;chr8:100919980:-;chr8:100920359:-	proximal	FALSE
HSP90AB1	66.047822696314	6.79324121917864e-13	2.21556710048355e-10	0.482903981264637	0.55974358974359	-0.0768396084789527	chr6:44251139:+_vs_chr6:44253883:+	-0.260013210832883	chr6:44250383:+;chr6:44250447:+;chr6:44251139:+;chr6:44251601:+;chr6:44252254:+;chr6:44253883:+	proximal	TRUE
MAP2	87.7849473105267	6.38844414968829e-12	1.82310224921729e-09	0.438008130081301	0.587635869565217	-0.149627739483917	chr2:209692830:+_vs_chr2:209734112:+	-0.202589254153411	chr2:209580099:+;chr2:209681172:+;chr2:209692830:+;chr2:209692958:+;chr2:209693272:+;chr2:209693437:+;chr2:209693544:+;chr2:209693923:+;chr2:209694036:+;chr2:209695108:+;chr2:209696647:+;chr2:209725730:+;chr2:209729898:+;chr2:209730502:+;chr2:209730895:+;chr2:209733900:+;chr2:209734112:+	proximal	TRUE
EIF2S2	57.7610794688938	3.52344791564262e-11	8.93781287934677e-09	0.538582677165354	0.514893617021277	0.0236890601440778	chr20:34101842:-_vs_chr20:34098548:-	0.300050259674987	chr20:34088309:-;chr20:34089440:-;chr20:34096691:-;chr20:34098548:-;chr20:34101842:-;chr20:34103499:-	distal	TRUE
NEUROD6	65.3158812409152	4.17945114515648e-11	9.54168696439226e-09	0.573317307692308	0.576570680628272	-0.0032533729359645	chr7:31338259:-_vs_chr7:31337860:-	-0.153187508390388	chr7:31337465:-;chr7:31337811:-;chr7:31337860:-;chr7:31337925:-;chr7:31338080:-;chr7:31338259:-;chr7:31338418:-;chr7:31338912:-;chr7:31339095:-	proximal	FALSE
